ACCESSION_NUMBER	PERIODOFREPORT	ENTITYNAME	SERVICECOMPANY	REGISTRANTENGAGEDSERVICE	REGULATORYAGENCY	AMENDMENTFILED	ADDITIONALINFORMATION	NUMBERITEMSRECEIVEDFORTRANSFER	NUMMASTERSECURITYHOLDERFILINGS	NUMBERINDIVIDUALACCOUNTS	NUMDIVREINVDIRPURPLANACCOUNTS	NUMDIRECTREGISTSYSTEMACCOUNTS	NUMBERFILED	FILEALL	SECHOLDERADDITIONALINFO	ALWAYSCOMPLIANT	NUMBERMONTHSNOTCOMPLIANT	NUMBERNOTICENONCOMPLIANCEFILED	TOTAL	TOTALOTHERTHANRECEIPTORDERDATE	NUMLOSTACCTSREMITTEDTOSTATES
0001520138-19-000056	31-DEC-2018	West Coast Stock Transfer Inc.	None	Y	SEC	Yes, filed amendment(s)		798	13396	13396	0	0	0			Yes			0	0	0
0000810704-19-000001	31-DEC-2018	PRIMERICA SHAREHOLDER SERVICES, INC.	Some	Y	SEC	No, failed to file amendment(s)	Due to an oversight, a TA-1 amendment was not filed in a timely manner following a change in the officers of the entity.	0	0	0	0	0									0
0001654954-19-003714	31-DEC-2018	DIRECT TRANSFER LLC	None	Y	SEC	Not applicable		3491	72428	72428	49	17897	0			Yes			0	0	3
0001654954-19-003712	31-DEC-2018	INTERWEST TRANSFER CO INC                               /TA	None	N	SEC	Not applicable		2831	267376	267376	0	0	0			Yes			0	0	0
0001146230-19-000003	31-DEC-2018	Computershare Inc /TA	Some	Y	SEC	Yes, filed amendment(s)		972213	17293723	17294391	4465466	8683051	0			Yes			0	0	61867
0000853452-19-000003	31-DEC-2018	NATIONAL BANK OF MIDDLEBURY /TA	None	N	OCC	Not applicable		39	370	497	0	0	0			Yes					0
0001146032-19-000003	31-DEC-2018	BANCO POPULAR DE PUERTO RICO/TA	Some	N	BGFRS	Not applicable		1262	8554	11858	5335	43	0			Yes			1383	0	30
0001451217-19-000002	31-DEC-2018	SEI Institutional Transfer Agent, Inc.	Some	N	SEC	Yes, filed amendment(s)		7223	99937	99937	91819	0	0			Yes			1165531	1535	2
0001060257-19-000001	31-DEC-2018	BANCO SANTANDER PUERTO RICO /TA/ Trust Department 946	Some	N	FDIC	Not applicable		1725	346	346	20	0	0			Yes			0	0	0
0001062993-19-001474	31-DEC-2018	AST Trust Co (Canada)	Some	Y	SEC	Not applicable		116210	0	0	0	0	0			Not Applicable			0	0	0
