ACCESSION_NUMBER	PERIODOFREPORT	ENTITYNAME	SERVICECOMPANY	REGISTRANTENGAGEDSERVICE	REGULATORYAGENCY	AMENDMENTFILED	ADDITIONALINFORMATION	NUMBERITEMSRECEIVEDFORTRANSFER	NUMMASTERSECURITYHOLDERFILINGS	NUMBERINDIVIDUALACCOUNTS	NUMDIVREINVDIRPURPLANACCOUNTS	NUMDIRECTREGISTSYSTEMACCOUNTS	NUMBERFILED	FILEALL	SECHOLDERADDITIONALINFO	ALWAYSCOMPLIANT	NUMBERMONTHSNOTCOMPLIANT	NUMBERNOTICENONCOMPLIANCEFILED	TOTAL	TOTALOTHERTHANRECEIPTORDERDATE	NUMLOSTACCTSREMITTEDTOSTATES
0001853914-24-000003	31-DEC-2023	Brassica Services LLC (T-A)	None	N	SEC	Not applicable		36	80299	80299	0	0	0			Yes			0	0	0
0001866046-24-000002	31-DEC-2023	DealMaker Transfer Agent LLC	None	N	SEC	Not applicable		0	67244	67244	0	0	0			Yes			0	0	0
0001520138-24-000145	31-DEC-2023	TWO12 STOCK TRANSFER LLC	Some	N	SEC	Not applicable		0	0	0	0	0	0			Yes			0	0	0
0001520138-24-000143	31-DEC-2023	Silicon Prairie Registrar & Transfer LLC	None	N	SEC	Not applicable		0	9521	9521	0	0	0			Yes			0	0	0
0001434234-24-000001	31-DEC-2023	GLOBEX TRANSFER, LLC	Some	N	SEC	Not applicable		349	24229	24229	0	0	0			Yes			0	0	0
0001808525-24-000004	31-DEC-2023	Invesco (India) Private Ltd	None	Y	SEC	Yes, filed amendment(s)		429	0	0	0	0	0			Not Applicable			1670370	4463	0
0000896852-24-000005	31-DEC-2023	INVESCO INVESTMENT SERVICES INC	Some	N	SEC	Yes, filed amendment(s)		416480	2648220	2648220	2600410	0	0			Not Applicable			17541752	49164	1592
0001894534-24-000004	31-DEC-2023	Prolific Labs Inc	None	N	SEC	Not applicable		10	366	366	0	0	0			Not Applicable			0	0	0
0000950123-24-003029	31-DEC-2023	APACHE CORP /TA	Some	N	SEC	Not applicable		0	926	926	0	0	0			Not Applicable			0	0	0
0001393905-24-000101	31-DEC-2023	Empire Stock Transfer Inc.	None	N	SEC	Not applicable		1155	371	52910	0	1443	0			Not Applicable			0	0	0
0001520138-24-000138	31-DEC-2023	West Coast Stock Transfer Inc.	None	Y	SEC	Yes, filed amendment(s)		1337	35520	35520	0	1846	0			Yes			0	0	0
0001709660-24-000007	31-DEC-2023	GLAS Trust Co LLC	None	N	SEC	Not applicable		555	575	575	0	0	0			Not Applicable			0	0	0
0001096906-24-000668	31-DEC-2023	COLONIAL STOCK TRANSFER CO INC /TA	None	N	SEC	Not applicable		2977	328728	328728	24	2091	0			Yes			0	0	310
0001145722-24-000001	31-DEC-2023	BANK OZK /TA	None	N	FDIC	Not applicable		89	1276	1276	0	0	0			Yes			0	0	19
0000838966-24-000001	31-DEC-2023	HUNTINGTON NATIONAL BANK/OH/ /TA	None	N	OCC	Not applicable		29	34931	34931	0	0	0			Yes			0	0	0
0001410382-24-000001	31-DEC-2023	RCH Shareholder Services, LLC	None	Y	SEC	Yes, filed amendment(s)		620427	135	290041	290041	0	0			Yes			535141	0	328
0001855712-24-000001	31-DEC-2023	LedgerLab LLC	None	N	SEC	Not applicable		1	831	0	0	0	0			Not Applicable			0	0	0
0000838155-24-000001	31-DEC-2023	MANUFACTURERS & TRADERS TRUST CO	None	Y	BGFRS	Not applicable		8348	56797	56797	0	0	0			Yes			0	0	3
0001837247-24-000001	31-DEC-2023	BYRON DEVON LYNCH IV ESTATE	None	N	SEC	Not applicable		0	0	0	0	0	0			Not Applicable			0	0	0
0001654954-24-003911	31-DEC-2023	DIRECT TRANSFER LLC	None	Y	SEC	Not applicable		2491	239154	239154	0	192	0			Yes			0	0	8146
0001654954-24-003907	31-DEC-2023	INTERWEST TRANSFER CO INC                               /TA	None	N	SEC	Not applicable		0	0	0	0	0	0			Not Applicable			0	0	0
0001604325-24-000001	31-DEC-2023	Wilmington Trust, National Association/TA	All	N	OCC	Not applicable															
0001458661-24-000001	31-DEC-2023	Wilmington Trust Co	All	N	BGFRS	Not applicable															
0000854922-24-000005	31-DEC-2023	BANK OF NEW YORK MELLON /TA	Some	Y	BGFRS	Yes, filed amendment(s)		893	279578	279578	7794	0	0			Yes			0	0	1452
0001214659-24-005528	31-DEC-2023	SECURITIES TRANSFER CORP /TA	None	N	SEC	Not applicable		3838	1177797	1179174	320	643	0			Yes			0	0	11
0001998958-24-000001	31-DEC-2023	Odyssey Transfer & Trust Co	Some	Y	SEC	Yes, filed amendment(s)		571	26970	26974	0	7442	0			Yes			0	0	0
0001493152-24-011822	31-DEC-2023	Equity Stock Transfer, LLC	None	Y	SEC	Yes, filed amendment(s)		9014	31470	31470	0	20538	0			Yes			0	0	0
0001676177-24-000001	31-DEC-2023	Dynamic Stock Transfer,Inc.	None	Y	SEC	Not applicable		199	644	644	0	0	0			Yes					0
0001146230-24-000009	31-DEC-2023	Computershare Inc /TA	Some	Y	SEC	Yes, filed amendment(s)		805787	17110957	17112161	4233838	7700976	1	Yes		Yes			0	0	66173
0000839287-24-000004	31-DEC-2023	STATE STREET BANK & TRUST CO /TA	Some	Y	BGFRS	Yes, filed amendment(s)		2535	227450	227450	7033	0	0			Yes			1588636	7959	0
0000911282-24-000002	31-DEC-2023	PHOENIX TRANSFER INC                                    /TA	None	N	SEC	Yes, filed amendment(s)		6337	121858	121858	3355	0	0			Not Applicable			0	0	77
0001654954-24-003887	31-DEC-2023	MANHATTAN TRANSFER REGISTRAR CO /TA	None	Y	SEC	Yes, filed amendment(s)		1013	8924	8924	0	24	0			Yes			0	0	0
0000818238-24-000004	31-DEC-2023	COMMONWEALTH FUND SERVICES INC /TA	None	N	SEC	Not applicable		50178	289243	289243	276826	289243	0			Yes			329123	14	0
0001545030-24-000001	31-DEC-2023	Wilmington Savings Fund Society, FSB	None	N	OCC	Not applicable		12	2452	2452	0	0	0			Yes			0	0	0
0000734751-24-000001	31-DEC-2023	DUKE ENERGY CORP                                        /TA	None	N	SEC	Not applicable		1684	127225	167410	118851	48559	0			Yes			0	0	98
0001548123-24-000027	31-DEC-2023	STANDARD REGISTRAR & TRANSFER CO INC /TA	None	N	SEC	Not applicable		650	209866	209866	0	85	0			Yes			0	0	0
0000839097-24-000002	31-DEC-2023	DEUTSCHE BANK TRUST CO AMERICAS /TA	Some	Y	BGFRS	Not applicable		0	2	2	0	0	0			Yes			0	0	311
0000848027-24-000002	31-DEC-2023	DEUTSCHE BANK NATIONAL TRUST CO /TA	Some	Y	OCC	Not applicable		0	0	0	0	0	0			Not Applicable			0	0	0
0001018490-24-000010	31-DEC-2023	DB SERVICES AMERICAS INC /TA	None	Y	SEC	Yes, filed amendment(s)		274	30444	30444	0	0	0			Yes			0	0	0
0001951594-24-000004	31-DEC-2023	Odyssey Transfer US INC.	All	Y	SEC	Yes, filed amendment(s)															
0000737074-24-000001	31-DEC-2023	Victory Capital Transfer Agency, Inc.	Some	N	SEC	Yes, filed amendment(s)		310	0	0	0	0	0			Not Applicable			72302	5	0
0001905526-24-000001	31-DEC-2023	Figure Equity Solutions, Inc.	None	N	SEC	Yes, filed amendment(s)		0	0	0	0	0	0			Not Applicable			0	0	0
0000896852-24-000003	31-DEC-2023	INVESCO CANADA LTD. (FORMERLY INVESCO TRIMARK LTD.)	None	Y	SEC	Yes, filed amendment(s)		23513	0	0	0	0	0			Not Applicable			471054	5851	0
0001822070-24-000001	31-DEC-2023	Parker Transfer Agency, Inc	None	N	SEC	Not applicable		250	968	0	0	0	0			Yes			250	0	0
0001903596-24-000163	31-DEC-2023	PACIFIC STOCK TRANSFER CO /TA	Some	Y	SEC	Yes, filed amendment(s)		7431	785082	785082	0	17502	0			Yes			0	0	0
0001550840-24-000008	31-DEC-2023	SS&C (Canada) Ltd	None	N	SEC	Yes, filed amendment(s)		38	527	0	0	0	0			Yes			0	0	0
0001557183-24-000003	31-DEC-2023	ASCENSUS COLLEGE SAVINGS RECORDKEEPING SERVICES LLC	Some	Y	SEC	Yes, filed amendment(s)		0	6965991	6965991	0	0	0			Not Applicable			0	0	67
0000838135-24-000002	31-DEC-2023	TRUIST BANK	None	N	FDIC	Not applicable		0	2012	2012	0	0	0			Not Applicable			0	0	0
0001999371-24-004105	31-DEC-2023	Equiniti Trust Company, LLC /TA	Some	Y	SEC	Yes, filed amendment(s)		472989	17737301	17737301	3445764	3566872	0			Yes			0	0	26507
0001903596-24-000160	31-DEC-2023	Securitize LLC	Some	Y	SEC	Yes, filed amendment(s)		1065	110968	110968	690	0	0			Yes			0	0	0
0001022437-24-000002	31-DEC-2023	DEUTSCHE BANK AG	All	N	BGFRS	Not applicable															
0001630490-24-000001	31-DEC-2023	FIS Investor Services LLC /TA	None	Y	SEC	Not applicable		846735	1535143	1535143	1626234	0	0			Yes			22562332	919316	1164
0000872657-24-000005	31-DEC-2023	PRICE ROWE T RETIREMENT PLAN SERVICES INC               /TA	Some	N	SEC	Yes, filed amendment(s)		0	0	6926692	6926392	0	0			Not Applicable			43717644	216745	0
0000878605-24-000001	31-DEC-2023	Wilson Bank & Trust Co	None	N	FDIC	Not applicable		642	4768	4241	1	0	0			Yes			0	0	0
0001062993-24-007298	31-DEC-2023	TSX Trust Co	Some	Y	SEC	Yes, filed amendment(s)		0	0	0	0	0	0			Not Applicable			0	0	0
0001213900-24-026934	31-DEC-2023	WORLDWIDE STOCK TRANSFER LLC	None	Y	SEC	Not applicable		1556	107228	107228	0	2983	0			Yes			0	0	0
0001809901-24-000004	31-DEC-2023	Computershare Investor Services Ltd	Some	N	SEC	Not applicable		298	0	0	0	0	0			Yes			0	0	0
0001388002-24-000003	31-DEC-2023	HSBC Bank USA, National Association	None	N	OCC	Not applicable		13357	4277	4277	0	0	0			Yes			0	0	56
0001999371-24-004069	31-DEC-2023	Equiniti India Pvt. Ltd	Some	Y	SEC	Yes, filed amendment(s)		0	0	0	0	0	0			Not Applicable			0	0	0
0001846640-24-000003	31-DEC-2023	WisdomTree Transfers, Inc.	None	N	SEC	Not applicable		981	136	95	0	0	0			Yes			523	0	0
0001062993-24-007251	31-DEC-2023	TMX Investor Solutions Inc.	Some	Y	SEC	Yes, filed amendment(s)		98099	1203276	1544279	211459	415102	0			Yes			0	0	1064
0001920641-24-000004	31-DEC-2022	DigiShares TA, LLC / TA	None	N	SEC	Not applicable		0	0	0	0	0	0			Not Applicable			0	0	0
0001049169-24-000003	31-DEC-2023	ALPS FUND SERVICES, INC.	None	N	SEC	Yes, filed amendment(s)		3943	100892	100892	84687	0	0			Yes			1239256	284637	26
0001920641-24-000003	31-DEC-2023	DigiShares TA, LLC / TA	None	N	SEC	No, failed to file amendment(s)	We changed our corporate structure and were unaware of the necessity to amend form TA-1. This has been reviewed with the SEC TA audit team and we will be sure to amend form TA-1 in the future when required. The amendment was made on March 14th 2024.	0	0	0	0	0	0			Not Applicable			0	0	0
0000019617-24-000254	31-DEC-2023	JP Morgan Chase Bank NA	Some	Y	OCC	No, failed to file amendment(s)	08/09/2023 TA1: Q12 Added a Named Transfer Agent after our client disclosed their TA status >60 days post services commencing. 03/13/2024 TA1: Q6 Updated address; and Q11 & Q12 were edited for names and/or numbers, some of which changed >60 days prior.	2170	77219	77219	0	0	0			Yes			40418	0	0
0001999371-24-004036	31-DEC-2023	Gryphon 17, LLC	None	N	SEC	Not applicable		9900	9686	9686	6504	9686	0			Not Applicable			31189	485	0
0001776449-24-000003	31-DEC-2023	Liberty Stock Transfer Inc	Some	N	SEC	Yes, filed amendment(s)		348	5085	5085	0	0	0			Yes			0	0	0
