ACCESSION_NUMBER	ACTION_TYPE	ACTION_ID	ENTITYNAME	ACTIONTITLE	ACTIONDATE	COURTORBODYNAMEANDLOCATION	ACTIONDESCRIPTION	DISPOSITIONOFPROCEEDING
0000721748-12-000034	subjectOfProceedings	1	Joseph Meuse	SEC v Alternative Green Technologies, Inc.	12-DEC-2011	United States District Court with the Southern District of New York	law suit	on-going litigation
0000721748-12-000034	revokedBond	1	Pacific Stock Transfer	Halter Capital Corporation vs. Pacific Stock Transfer Company	11-AUG-2003	U.S. District Court District of Nevada	Civil Case Involving Removal of Restrictive Legend on Certificate	Dismissal with prejudice
0001277690-12-000012	foreignAgency	3	CIBC World Markets Inc. ('CIBC World Markets')	Not available	12-FEB-2003	Ontario & Quebec Securities Commissions, Canada	On February 12, 2003 each Commission approved a Settlement Agreement between CIBC World Markets and itself, whereby CIBC World Markets agreed to submit to a review of its practices relating to the disclosure of potential conflicts of interest in its equities research reports and institute changes ordered by the Commissions; to be reprimanded by the Commissions; and to pay $100,000 towards the costs of the Commissions' investigations. The Settlement Agreements were negotiated in relation to proceedings initiated by the Commissions as a result of CIBC World Markets violating Ontario and Quebec securities law by failing to adequately disclose the potential conflicts of interest inherent in recommendations it made, within five research reports, to purchase the shares of Shoppers Drug Mart Corporation ('Shoppers'). Specifically, the reports failed to adequately disclose that (i) CIBC World Markets had assumed an underwriting liability to Shoppers in the 12 months prior to the reports; (ii) CIBC World Markets, along with its affiliate, owned 7,450,000 shares of Shoppers; and (iii) Shoppers was indebted to CIBC (CIBC World Markets' parent corporation).	The Commissions approved a Settlement Agreement as specified in (v) above.
0001277690-12-000012	violationOfRegulations	5	The Bank of New York Mellon	SEC Admin. Proceeding File No. 3-12269	24-APR-2006	U.S. Securities and Exchange Commission	The SEC alleged that the Bank of New York Mellon(formerly, The Bank of New York, 'BNY') failed as a transfer agent to exercise reasonable care to ascertain the correct addresses of lost security holders and escheated assets belonging to those security holders to various states. As a result BNY entered into agreement to offer payment to certain security holders for property escheated erroneously (while reserving the right to pursue their claim for repayment with the State to which the property was escheated). In addition BNY paid a penalty of $250,000 and agreed to the retention of an independent consultant to review and evaluate certain of the Bank's policies and procedures.	See 10 (c) (2) (vi) above
0001277690-12-000012	foreignAgency	5	CIBC Mortgages Inc.	Not available	23-JUL-2004	Financial Consumer Agency of Canada (FCAC); Ottawa, Ontario, Canada	The FCAC found that CMI had failed to disclose, in an initial disclosure statement for its mortgage agreements, the amount of a payment frequency change charge.	FCAC issued a Notice of Violation and imposed a penalty for the violation in the amount of $50,000.
0001277690-12-000012	foreignAgency	6	CIBC World Markets (Japan) Inc. (CIBC Japan)	Not available	31-MAR-2001	Japan Securities Dealers Association ('JSDA')	In an action related to the first item listed above under 10(f), on March 31, 2001, the JSDA found that based on the findings of the FSA (see item 3F above), CIBC Japan had violated principles of fair and equitable trade and breached the Japanese Securities and Exchange Law.	The JSDA fined CIBC Japan Yen 11 million.
0001277690-12-000012	foreignAgency	7	The Bank of New York Mellon Corporation	Administrative Order Imposing a Fine	14-NOV-2010	Bundesanstalt fur Finanzdienstleistungsaufsicht - Germany	Bundesanstalt fur Finanzdienstleistungsaufsicht (the BaFin), the financial supervisory authority in Germany, alleged that The Bank of New York Mellon Corporation (BNY Mellon) violated certain supervisory duties under the Securities Trading Act (the Act). Under this Act, anyone whose shareholding in a German issuer reaches, exceeds or falls below 3%, 5%, 10%, 15%, 20%, 30%, 50% or 75% of the voting rights shall notify the issuer and the BaFin, without undue delay, and within four trading days at the latest. The BaFin alleged that: (1) notifications sent by BNY Mellon on behalf of certain subsidiaries to a German issuer and the BaFin of the reduction of its voting shares in the issuer below the 3% threshold was one month late and (2) BNY Mellon failed to take the supervisory measures required under the Act to prevent contravention of the shareholding notice obligations by its subsidiaries. On May 12, 2011, the BaFin issued an administrative order that: (1) determined that BNY Mellon negligently failed to comply with the supervisory requirements with respect to its subsidiaries in order to ensure compliance with the notification deadlines and (2) imposed against BNY Mellon an administrative fine of EUR 22,500.00 (approx. $31,725) and a fee (for procedural costs) of EUR 1,125.00 (approx. $1,586). BNY Mellon made payment effective May 27, 2011.	See  response in 10(f)(v) above.
0001277690-12-000012	fsrFoundOrderAgainstApplicant	2	The Bank of New York Mellon (BNYM)	Docket No. 12-018-CMP-SMB	12-JAN-2010	Board of Governors of the Federal Reserve System (BGFRS)	On 9/22/08, BNYM borrowed from the Boston Federal Reserve Bank under the Asset-Backed Commercial Paper Money Market Mutual Fund Liquidity Facility (AMLF). It was alleged that due to a failure in its internal processes at the time, a portion of the ABCP collateral pledged by BNYM was ineligible under the terms of the AMLF. As a result, BNYM received more in the AMLF loans proceeds that it otherwise would have been advanced based upon the eligible ABCP collateral pledged.	The BGFRS and BNYM have mutually agreed to enter into a combined order to Cease & Desist and Order of Assessment of a Civil Monetary Penalty of $6,000,000.
0001277690-12-000012	authorizationDeniedOrSuspended	1	One or more control affliates - see attached file for Question 10 data	See attached file for Question 10 data	11-FEB-2008	See attached file for Question 10 data	See attached file for Question 10 data	See attached file for Question 10 data
0001277690-12-000012	enjoinedInvestmentRelatedActivity	1	CIBC Mellon Trust Company	Securities and Exchange Commission v. CIBC Mellon Trust Company	14-JAN-2005	U.S. Securities and Exchange Commission ('SEC')	CIBC Mellon Trust Company ('CMTC') submitted a Consent to Entry of Judgment (the 'Consent') which was presented by the SEC in the United States District Court for the District of Columbia (the 'Court') on February 16, 2005. In the Consent, and solely for the purpose of the injunctive action and any other proceedings arising out of the SEC's investigation brought by or on behalf of the SEC or to which the SEC is a party, CMTC consented to the entry of Final Judgment as to Defendant CMTC (the 'Final Judgment') without admitting or denying the matters set forth therein (other than those relating to the jurisdiction of the Court and the subject matter of the action). The Final Judgment, entered on February 24, 2005, resolved the allegations that CMTC had failed to register as a transfer agent with the SEC, that it had issued 'legend free' stock certificates of a company whose shares were not registered with the SEC, that one of its managers had accepted payments of stock from that company's officers to issue the certificates, and that it had acted as an unregistered broker or dealer in connection with its stock plan administration business. CMTC was permanently enjoined from prescribed violations of Securities Act Section 5, Exchange Act Section 10(b) and Rule 10b-5, Exchange Act Section 15(a), Exchange Act Section 17A(c)(1), and from aiding and abetting future violations of Exchange Act Section 10(b) or Rule 10b-5. CMTC also agreed to pay a civil monetary penalty of $5 million and disgorgement of $889,773 and prejudgment interest of $140,270. Payment was made on March 4, 2005. CMTC also consented, without admitting or denying the SEC complaint's allegations, to the entry of an SEC administrative order based on the Final Judgment on March 2, 2005 (the 'Order'). Pursuant to the Order, CMTC was censured and agreed to an undertaking to engage an independent consultant to review its relevant businesses and procedures. This matter responds to items 10B(1) and 10C(2).	Entry of Judgment on consent. See item (v) above for detail.
