ACCESSION_NUMBER	CORP_PARTNER_TYPE	CORP_PARTNER_ID	ENTITYNAME	RELATIONSHIPSTARTDATE	TITLEORSTATUS	OWNERSHIPCODE	CONTROLPERSON	AUTHORITYDESCRIPTION	RELATIONSHIPENDDATE
0000913181-13-000019	soleProprietorship	11	Guggenheim SBC Holdings, LLC	30-JUL-2010	Shareholder			100% Shareholder Security Benefit Corp	
0000913181-13-000019	soleProprietorship	2	John F. Frye	16-NOV-2009	Treasurer			Officer	
0000913181-13-000019	soleProprietorship	1	Nick Bonos	13-JAN-2009	CEO, President			Officer	
0000913181-13-000019	soleProprietorship	4	Lisa Young	19-NOV-2009	Assistant Treasurer			Officer	
0000913181-13-000019	soleProprietorship	5	Richard M. Goldman	02-JUL-2009	Manager			Manager	
0000913181-13-000019	soleProprietorship	6	Amy J. Lee	30-JUL-2010	Secretary			Officer	
0000913181-13-000019	soleProprietorship	7	Amanda J. Kiefer	30-JUL-2010	Assistant Secretary			Officer	25-MAR-2011
0000913181-13-000019	soleProprietorship	8	Rydex Holdings, LLC	30-JUL-2010	Managing Member			100% Membership Interests	
0000913181-13-000019	soleProprietorship	9	Security Benefiit Asset Management Holdings, LLC	30-JUL-2010	Managing Member			100% Mmbr Interest in Rydex Holdings, LL	
0000913181-13-000019	soleProprietorship	16	Robert Patton	30-JUL-2010	Member			Member of SB Kansas Investors, LLC	
0000913181-13-000019	soleProprietorship	15	SB Kansas Investors, LLC	30-JUL-2010	80% Membership Interest			Mmbr Intr in Eldridge Investors, LLC	
0000913181-13-000019	soleProprietorship	14	Guggenheim Lawrence, LLC	30-JUL-2010	Managing Member			Member of Eldridge Investors, LLC	
0000913181-13-000019	soleProprietorship	13	Eldgridge Investors	30-JUL-2010	100% Membership Interest			100% Intr in Guggenheim SBC Hldgs	
0000913181-13-000019	soleProprietorship	12	Guggenheim Knights of Security, LLC	30-JUL-2010	Manager			100% Control Guggenheim SBC Hldgs	
0000913181-13-000019	soleProprietorship	3	Keith A. Fletcher	01-MAR-2009	Vice President			Officer	
0000913181-13-000019	soleProprietorship	10	Security Benefit Corporation	30-JUL-2010	Managing Member			100% Intr Security Benefit Asset Mngmt	
0001557183-13-000010	corporationPartnership	8	UPROMISE INCORPORATED	26-JUL-2012	100% SHAREHOLDER OF UP INVESTMENT, INC.	NA	true		
0001557183-13-000010	corporationPartnership	9	SLM CORPORATION	26-JUL-2012	100% SHAREHOLDER OF UPROMISE INC.	NA	true		
0001557183-13-000010	corporationPartnership	1	JEFFREY PAUL HOWKINS	26-JUL-2012	PRESIDENT/CHIEF EXECUTIVE OFFICER	NA	true		
0001557183-13-000010	corporationPartnership	2	KEVIN DOUGLAS COX	26-JUL-2012	CHIEF OPERATING OFFICER/SENIOR VICE-PRES	NA	true		
0001557183-13-000010	corporationPartnership	7	UP INVESTMENT, INC.	26-JUL-2012	MAJORITY STOCKHOLDER	E	true		
0001557183-13-000010	corporationPartnership	4	GEORGE ROBERT BRISTOW	26-JUL-2012	CHIEF COMPLIANCE OFFICER	NA	true		
0001557183-13-000010	corporationPartnership	5	MONICA POIRIER	26-JUL-2012	CFO/TREASURER	NA	true		
0001557183-13-000010	corporationPartnership	6	DEREK ANTHONY DELORENZO	26-JUL-2012	SENIOR VICE PRESIDENT	NA	true		
0001557183-13-000010	corporationPartnership	3	SANDRA IRENE MADDEN	26-JUL-2012	GENERAL COUNSEL/SVP/SECRETARY	NA	true		
0001419454-13-000011	corporationPartnership	7	Yash Pal Syngal	14-AUG-2006	Director	NA	true		19-AUG-2008
0001419454-13-000011	corporationPartnership	6	Caron McDonald	07-SEP-2006	Director (see Attachment 1)	NA	true		15-DEC-2008
0001419454-13-000011	corporationPartnership	5	Surinder Singh	01-DEC-2005	Director (see Attachment 1)	NA	true		31-AUG-2008
0001419454-13-000011	corporationPartnership	4	Fidelity International Services Limited	29-MAR-2007	Shareholder	NA	false		24-MAR-2009
0001419454-13-000011	corporationPartnership	3	FIL Limited	29-MAR-2007	Shareholder	B	false		24-MAR-2009
0001419454-13-000011	corporationPartnership	2	Fidelity India Shared Services Partnership	26-OCT-2004	Shareholder	NA	false		31-MAR-2012
0001419454-13-000011	corporationPartnership	1	FID Holdings (Mauritius) Limited	08-OCT-2004	Shareholder	E	true		31-MAR-2012
0001419454-13-000011	corporationPartnership	21	Robert W. Hess	29-AUG-2013	Director	NA	true		
0001419454-13-000011	corporationPartnership	20	James Blair Burlingame	02-JUL-2012	Director	NA	true		
0001419454-13-000011	corporationPartnership	19	Water Street Holdings BV	31-MAR-2012	Shareholder	NA	true		
0001419454-13-000011	corporationPartnership	18	FMR Holdings Mauritius Limited	31-MAR-2012	Shareholder	E	true		
0001419454-13-000011	corporationPartnership	17	Steven Lee Kuhlman	12-AUG-2010	Director	NA	true		02-JUL-2012
0001419454-13-000011	corporationPartnership	16	John D. Walsh	02-AUG-2010	Director	NA	true		
0001419454-13-000011	corporationPartnership	15	Anmarie Ciccolo	01-AUG-2010	Transfer Agent CCO	NA	false		
0001419454-13-000011	corporationPartnership	14	Saikat Bhattacharya	20-JUL-2010	Director	NA	true		30-APR-2013
0001419454-13-000011	corporationPartnership	13	Sunil Kunte	20-MAY-2009	Director	NA	true		
0001419454-13-000011	corporationPartnership	12	Kevin Smith	16-DEC-2008	Director	NA	true		08-APR-2009
0001419454-13-000011	corporationPartnership	11	Arijit Mukherji	01-DEC-2008	Director	NA	true		16-APR-2010
0001419454-13-000011	corporationPartnership	8	Richard Siegelman	04-FEB-2008	Transfer Agent CCO (see Attachment 1)	NA	false		31-JUL-2010
0001419454-13-000011	corporationPartnership	9	Gurpal Singh	09-SEP-2008	Director	NA	true		19-DEC-2008
0001419454-13-000011	corporationPartnership	10	Mahesh Muzumdar	01-DEC-2008	Director	NA	true		31-JUL-2010
0001376474-13-000476	corporationPartnership	11	Cook Christopher Calvin	21-JAN-2009	Director	NA	true		02-OCT-2009
0001376474-13-000476	corporationPartnership	12	Croft Kevin Wesley	21-JAN-2009	Director	NA	true		07-JUL-2009
0001376474-13-000476	corporationPartnership	13	Miles Capital Holdings, Inc.	31-DEC-2009	Parent Corp.	E	true		
0001376474-13-000476	corporationPartnership	14	David W. Miles	01-OCT-2009	CEO, President	E	true		
0001376474-13-000476	corporationPartnership	15	Laurie Mardis	31-DEC-2009	Treasurer	NA	false		
0001376474-13-000476	corporationPartnership	16	Greg Boal	01-SEP-2010	President, CIO	B	true		
0001376474-13-000476	corporationPartnership	17	Gweneth Kay Gosselink	01-AUG-2013	Chief Compliance Officer	NA	true		
0001376474-13-000476	corporationPartnership	1	West Bancorpation	30-DEC-2005	Owner	E	true		31-DEC-2009
0001376474-13-000476	corporationPartnership	2	Stanberry Thomas Edwin	01-JUL-2006	Director, Chairman	NA	true		15-JUL-2009
0001376474-13-000476	corporationPartnership	6	Lorenzen Jeffrey David	01-MAY-2005	President, CIO, Director	NA	false		14-JAN-2009
0001376474-13-000476	corporationPartnership	3	Gulling Douglas Ray	01-JAN-2006	Director, CEO	NA	true		31-DEC-2009
0001376474-13-000476	corporationPartnership	4	Winterbottom Brad Lee	01-JUL-2006	Director	NA	true		31-DEC-2009
0001376474-13-000476	corporationPartnership	5	Mitchell Amy Marie	01-OCT-2006	Secretary, Director	NA	true		
0001376474-13-000476	corporationPartnership	7	Lichtenberger Vera B.	01-SEP-2004	CCO	NA	true		01-AUG-2013
0001376474-13-000476	corporationPartnership	8	Eltjes Scott Dean	01-JUL-2006	CEO, Director	NA	false		06-JAN-2009
0001376474-13-000476	corporationPartnership	9	Augustine Jon Kent	21-JAN-2009	Director	NA	true		09-OCT-2009
0001376474-13-000476	corporationPartnership	10	Myers Thomas Eugene	21-JAN-2009	Director	NA	true		31-DEC-2009
0001283467-13-000005	corporationPartnership	1	Canadian Western Bank	29-APR-2004	Full Owner	E	true		
0001283467-13-000005	corporationPartnership	37	Laura Stevenson	17-DEC-2012	Director, Client Services	NA	false		
0001283467-13-000005	corporationPartnership	2	Charles R. Allard	02-DEC-2004	Director	NA	false		18-JUN-2009
0001283467-13-000005	corporationPartnership	3	Albrecht S. A. Bellstedt	02-DEC-2004	Director	NA	false		16-AUG-2010
0001283467-13-000005	corporationPartnership	4	Jack C. Donald	02-DEC-2004	Director	NA	false		04-MAR-2010
0001283467-13-000005	corporationPartnership	5	Allan W. Jackson	02-DEC-2004	Director	NA	false		16-AUG-2010
0001283467-13-000005	corporationPartnership	6	Wendy Leaney	02-DEC-2004	Director	NA	false		16-AUG-2010
0001283467-13-000005	corporationPartnership	7	Robert A. Manning	02-DEC-2004	Director	NA	false		16-AUG-2010
0001283467-13-000005	corporationPartnership	8	Gerald A. B. McGavin	02-DEC-2004	Director	NA	false		16-AUG-2010
0001283467-13-000005	corporationPartnership	9	Howard E. Pechet	02-DEC-2004	Director	NA	false		16-AUG-2010
0001283467-13-000005	corporationPartnership	10	Robert L. Phillips	02-DEC-2004	Director	NA	false		16-AUG-2010
0001283467-13-000005	corporationPartnership	11	Larry M. Pollock	29-APR-2004	Director	NA	false		16-AUG-2010
0001283467-13-000005	corporationPartnership	12	Alan M. Rowe	02-DEC-2004	Director	NA	false		16-AUG-2010
0001283467-13-000005	corporationPartnership	13	Arnold J. Shell	02-DEC-2004	Director	NA	false		16-AUG-2010
0001283467-13-000005	corporationPartnership	14	Adrian M. Baker	29-APR-2004	President	NA	false		31-AUG-2012
0001283467-13-000005	corporationPartnership	15	J. Robert Morris	05-SEP-2006	Managing Director	NA	false		31-DEC-2007
0001283467-13-000005	corporationPartnership	16	Matthew K. Colpitts	05-SEP-2006	General Manager	NA	false		13-MAY-2011
0001283467-13-000005	corporationPartnership	17	Sandra A. Almond	04-JAN-2005	Compliance Officer	NA	false		31-AUG-2007
0001283467-13-000005	corporationPartnership	18	Lisa S. Scotland	02-JUN-2008	Director, Compliance	NA	false		
0001283467-13-000005	corporationPartnership	19	Dianna M. Reimer	18-SEP-2006	Managing Director, Operations	NA	false		
0001283467-13-000005	corporationPartnership	20	Philip J.A. Menard	01-NOV-2003	Assistant Corporate Secretary	NA	false		
0001283467-13-000005	corporationPartnership	21	Janet M. Brown	22-NOV-2004	Managing Director, Client Services	NA	false		08-NOV-2011
0001283467-13-000005	corporationPartnership	22	Jeff Lunshof	04-FEB-2008	Director, Securities	NA	false		
0001283467-13-000005	corporationPartnership	23	Raymond J. Protti	05-MAR-2009	Director	NA	false		16-AUG-2010
0001283467-13-000005	corporationPartnership	24	Tracey C. Ball	16-AUG-2010	Director and Chair	NA	false		01-NOV-2012
0001283467-13-000005	corporationPartnership	25	Brian J. Young	16-AUG-2010	Director and Chair	NA	false		
0001283467-13-000005	corporationPartnership	26	Randell W. Garvey	16-AUG-2010	Director and CEO	NA	false		
0001283467-13-000005	corporationPartnership	27	Carolyn J. Graham	16-AUG-2010	Director, Senior VP & Chief Accountant	A	false		
0001283467-13-000005	corporationPartnership	28	Gail L. Harding, Q.C.	16-AUG-2010	Director and Corporate Secretary	NA	false		
0001283467-13-000005	corporationPartnership	29	Uve Knaak	16-AUG-2010	Director	NA	false		
0001283467-13-000005	corporationPartnership	30	Ricki L. Golick	16-AUG-2010	Director, Senior VP and Treasurer	NA	false		
0001283467-13-000005	corporationPartnership	31	Lisa D. Disley	16-AUG-2010	Assistant Corporate Secretary	NA	false		03-MAR-2011
0001283467-13-000005	corporationPartnership	32	Christopher H. Fowler	16-AUG-2010	Chief Operating Officer	NA	false		
0001283467-13-000005	corporationPartnership	33	Daniel J. Sander	03-MAR-2011	Assistant Corporate Secretary	NA	false		
0001283467-13-000005	corporationPartnership	34	John J.A. Campbell	15-AUG-2011	General Manager	NA	false		
0001283467-13-000005	corporationPartnership	35	Michael Fox	08-FEB-2012	Managing Director, Sales & Service	NA	false		06-MAR-2013
0001283467-13-000005	corporationPartnership	36	M. Glen Eastwood	01-NOV-2012	Director	NA	false		
