ACCESSION_NUMBER	ENTITY_TYPE	ENT_ID	ENTITYNAME	AGREEMENTDESCRIPTION
0000913181-13-000019	otherControlManagement	1	Rydex Holdings, LLC	100% Ownership by Rydex Holdings, LLC
0000913181-13-000019	otherControlManagement	2	Guggenheim Partners Investment Management Holdings, LLC	100% Ownership by Guggenheim Partners Investment Management Holdings, LLC
0000913181-13-000019	otherControlManagement	3	GI Holdco LLC	99.5% ownership by GI Holdco LLC
0000913181-13-000019	otherControlManagement	4	GI Holdco II LLC	100% ownership by GI Holdco II LLC
0000913181-13-000019	otherControlManagement	5	Guggenheim Partners, LLC	100% ownership by Guggenheim Partners, LLC
0000913181-13-000019	otherControlManagement	6	Guggenheim Capital, LLC	100% ownership by Guggenheim Capital, LLC
0000913181-13-000019	otherControlManagement	7	Sage Assets, Inc.	41.26% ownership by Sage Assets, Inc.
0000913181-13-000019	otherControlManagement	8	Sammons Equity Alliance, Inc.	100% ownership by Sammons Equity Alliance, Inc.
0000913181-13-000019	otherControlManagement	9	Consolidated Investment Services, Inc.	100% ownership by Consolidated Investment Services, Inc.
0000913181-13-000019	otherControlManagement	10	Sammons Enterprises, Inc.	100% ownership by Sammons Enterprises, Inc.
0000913181-13-000019	otherControlManagement	11	Sammons Enterprises Inc. Employee Stock Ownership Trust	100% ownership by Sammons Enterprises Inc. Employee Stock Ownership Trust
0000913181-13-000019	otherControlManagement	12	Greatbanc Trust Company (Trustee)	99.9% ownership by Greatbanc Trust Company (Trustee)
0001419454-13-000011	otherControlFinance	1	FMR LLC	Directly and indirectly, through certain of its affiliated companies, FMR LLC wholly or partially may finance Fidelity Business Services India Private Limited
0001419454-13-000011	otherControlManagement	1	FMR LLC	Through certain of its direct or indirect subsidiaries, FMR LLC is the ultimate parent company of Fidelity Business Services India Private Limited
0001139576-13-000002	otherControlManagement	1	Resource Leasing, Inc.	Resource Leasing, Inc. is the majority shareholder of registrant.
0001139576-13-000002	otherControlFinance	1	Resource Leasing, Inc.	Periodically loans capital to registrant which are secured by promissory note.
0001018490-13-000015	otherControlManagement	1	Various-see below.	DB Services Americas, Inc. ('SerAms'), formerly known as DB Services Tennessee, Inc. and prior as BT Services Tennessee, Inc., was incorporated in the State of Delaware on December 6, 1991 and established as a servicing company to provide operational and back-office services to Deutsche Bank Trust Company Americas ('DBTCA') and certain of its affiliates. DBTCA, formerly known as Bankers Trust Company, is the principal United States banking subsidiary of Deutsche Bank Aktiengesellschaft ('DBAG'). SerAms does not have any third party client agreements. Rather, SerAms, as engaged by DBTCA, provides technical and administrative support services including data processing, telecommunications, maintenance of appropriate records in accordance with existing standards, recordkeeping and accounting functions in connection with services provided to DBTCA's customers (or DBTCA's customers' customers, in the case of DBTCA's private label business for certain affiliates); and DBTCA has appointed SerAms as its agent to act on its behalf in connection with the transfer of securities and other instruments. Accounts are maintained jointly by DBTCA and SerAms. SerAms in its transfer agent function provides services to DBTCA in a manner as if SerAms is an independent, dedicated contractor that works solely for DBTCA and no other transfer agent. There is a shared system of database for DBTCA and SerAms. An example is escheatment - the details of escheatment are maintained by SerAms while the remission to the states is done in the name of and on behalf of DBTCA. SerAms management is responsible to the business line management of DBAG and DBAG affiliates/subsidiaries including DBTCA. The business line unit head of ServAms reports to business line unit management of DBAG/affiliate. Audits are performed by DBAG's Audit Department. Examinations of DBAG NY branch and subsidiary bank, DBTCA, are performed by the Federal Reserve Bank of New York and the New York State Department of Financial Services. DBAG provides for SerAms the infrastructure necessary to insure safety and soundness measures including accounting systems, the Legal Department, the Internal Audit Department, Compliance, Human Resources and technology functions.
0001018490-13-000015	otherControlFinance	1	Various-see below.	A Deutsche Bank AG holding company, Deutsche Bank Trust Corporation, provided the original, capital funding for the Registrant and for a time provided a line of credit for working capital. Working capital is now provided via service fees which originate from inter-company billings for the services rendered.
0001419454-13-000008	otherControlManagement	1	FMR LLC	Through certain of its direct or indirect subsidiaries, FMR LLC is the ultimate parent company of Fidelity Business Services India Private Limited
0001419454-13-000008	otherControlFinance	1	FMR LLC	Directly and indirectly, through certain of its affiliated companies, FMR LLC wholly or partially may finance Fidelity Business Services India Private Limited
0001018490-13-000013	otherControlManagement	1	Various-see below.	DB Services Americas, Inc. ('SerAms'), formerly known as DB Services Tennessee, Inc. and prior as BT Services Tennessee, Inc., was incorporated in the State of Delaware on December 6, 1991 and established as a servicing company to provide operational and back-office services to Deutsche Bank Trust Company Americas ('DBTCA') and certain of its affiliates. DBTCA, formerly known as Bankers Trust Company, is the principal United States banking subsidiary of Deutsche Bank Aktiengesellschaft ('DBAG'). SerAms does not have any third party client agreements. Rather, SerAms, as engaged by DBTCA, provides technical and administrative support services including data processing, telecommunications, maintenance of appropriate records in accordance with existing standards, recordkeeping and accounting functions in connection with services provided to DBTCA's customers (or DBTCA's customers' customers, in the case of DBTCA's private label business for certain affiliates); and DBTCA has appointed SerAms as its agent to act on its behalf in connection with the transfer of securities and other instruments. Accounts are maintained jointly by DBTCA and SerAms. SerAms in its transfer agent function provides services to DBTCA in a manner as if SerAms is an independent, dedicated contractor that works solely for DBTCA and no other transfer agent. There is a shared system of database for DBTCA and SerAms. An example is escheatment - the details of escheatment are maintained by SerAms while the remission to the states is done in the name of and on behalf of DBTCA. SerAms management is responsible to the business line management of DBAG and DBAG affiliates/subsidiaries including DBTCA. The business line unit head of ServAms reports to business line unit management of DBAG/affiliate. Audits are performed by DBAG's Audit Department. Examinations of DBAG NY branch and subsidiary bank, DBTCA, are performed by the Federal Reserve Bank of New York and the New York State Department of Financial Services. DBAG provides for SerAms the infrastructure necessary to insure safety and soundness measures including accounting systems, the Legal Department, the Internal Audit Department, Compliance, Human Resources and technology functions.
0001018490-13-000013	otherControlFinance	1	Various-see below.	A Deutsche Bank AG holding company, Deutsche Bank Trust Corporation, provided the original, capital funding for the Registrant and for a time provided a line of credit for working capital. Working capital is now provided via service fees which originate from inter-company billings for the services rendered.
0001451316-13-000005	otherControlManagement	1	Franklin Templeton Services Limited	100% ownership of Franklin Templeton Luxembourg Holding S.A.
0001451316-13-000005	otherControlManagement	3	Templeton Worldwide, Inc.	100% ownership of Templeton International, Inc.
0001451316-13-000005	otherControlManagement	4	Franklin Resources, Inc.	100% ownership of Templeton Worldwide, Inc.
0001451316-13-000005	otherControlManagement	2	Templeton International, Inc.	100% ownership of Franklin Templeton Services Limited
0001139578-13-000004	otherControlManagement	4	ORIX Corporation	Indirect owner of applicant.
0001139578-13-000004	otherControlManagement	3	Robeco Groep N.V.	Indirect owner of applicant.
0001139578-13-000004	otherControlManagement	2	Robeco International Holding B.V.	Holding company of Robeco US Holding Inc.; indirect owner of applicant.
0001139578-13-000004	otherControlManagement	1	Robeco US Holding Inc.	Holding company of Harbor Capital Advisors, Inc.
0000883757-13-000004	otherControlFinance	1	Equity Financial Holdings Inc.	Equity Financial Trust Company (formerly Equity Transfer & Trust Company) is a wholly owned subsidiary of Equity Financial Holdings Inc. (formerly known as Grey Horse Corporation and before that as Grey Horse Capital Corporation).
0000883757-13-000004	otherControlManagement	1	Equity Financial Holdings Inc.	Equity Financial Trust Company, formerly Equity Transfer & Trust Company is a wholly owned subsidiary of Equity Financial Holdings Inc. (formerly known as Grey Horse Corporation and before that as Grey Horse Capital Corporation).
