ACCESSION_NUMBER	CORP_PARTNER_TYPE	CORP_PARTNER_ID	ENTITYNAME	RELATIONSHIPSTARTDATE	TITLEORSTATUS	OWNERSHIPCODE	CONTROLPERSON	AUTHORITYDESCRIPTION	RELATIONSHIPENDDATE
0001352156-13-000008	corporationPartnership	1	Thomas Hyde Brownell	13-JUN-2013	Interim President and CEO	NA	true		
0001352156-13-000008	corporationPartnership	2	Gregory Donald Woodworth	11-AUG-2011	Director	NA	true		
0001352156-13-000008	corporationPartnership	3	Michael Dominic Dellipriscoli	09-JUN-2005	Chief Financial Officer & SVP	NA	true		
0001352156-13-000008	corporationPartnership	4	John Birch	31-MAR-2006	Chief Operating Officer	NA	true		
0001352156-13-000008	corporationPartnership	10	National Life Holding Company	01-JAN-1999	Sole Owner of NLV Financial Corporation	E	false		
0001352156-13-000008	corporationPartnership	6	Lisa Francesca Muller	06-FEB-2009	Counsel	NA	false		
0001352156-13-000008	corporationPartnership	7	Donald P. Messier	14-MAR-2010	Vice President and Treasurer	NA	false		
0001352156-13-000008	corporationPartnership	8	Sentinel Asset Management, Inc.	01-OCT-2005	Sole Shareholder	E	true		
0001352156-13-000008	corporationPartnership	9	NLV Financial Corporation	01-NOV-2005	Sole Owner of Sentinel Asset Mgmt, Inc	E	false		
0001352156-13-000008	corporationPartnership	5	John Kevin Landy	31-MAR-2006	Senior Vice President	NA	true		
0001144204-13-036250	corporationPartnership	15	Xiaohua Hu	04-APR-1994	Director of Research	NA	true		
0001144204-13-036250	corporationPartnership	16	Robert W. McBride	19-JAN-2004	Chief Technology Officer	NA	true		
0001144204-13-036250	corporationPartnership	17	Stephen C. Roussin	14-JUN-2011	President/CEO	NA	false		31-OCT-2012
0001144204-13-036250	corporationPartnership	18	Steven Schneider	02-APR-2012	Chief Administrative Officer	NA	false		17-JAN-2013
0001144204-13-036250	corporationPartnership	19	Darvin W. Sterner	24-MAR-1999	Director of Private Wealth Distribution	NA	true		
0001144204-13-036250	corporationPartnership	20	John R. Radle	20-JUN-2005	Director of Trading	NA	true		
0001144204-13-036250	corporationPartnership	1	Donald Keith Campbell	01-JAN-1974	Chairman of the Board	E	true		
0001144204-13-036250	corporationPartnership	2	Bruce Lester Cleland	01-JAN-1993	Vice Chairman of the Board	NA	false		01-NOV-2012
0001144204-13-036250	corporationPartnership	3	William Case Clarke	01-JUN-1977	Director	NA	false		31-DEC-2007
0001144204-13-036250	corporationPartnership	4	James Marion Little	01-APR-1990	Business Development and Director	NA	false		31-DEC-2008
0001144204-13-036250	corporationPartnership	5	Theresa Doyle Becks	01-JAN-1991	Director	NA	false		31-DEC-2011
0001144204-13-036250	corporationPartnership	6	Richard Missimer Bell	01-MAY-1990	EVP - Trading	NA	false		31-DEC-2003
0001144204-13-036250	corporationPartnership	7	Clifford Douglas York	01-NOV-1992	EVP - Trading	NA	false		31-AUG-2005
0001144204-13-036250	corporationPartnership	8	Geoffrey William Andrews	06-APR-1997	Chief Executive Officer	NA	true		
0001144204-13-036250	corporationPartnership	9	Michael Seth Harris	17-JUL-2000	President	NA	true		
0001144204-13-036250	corporationPartnership	10	Michael J Hebrank	19-APR-2004	Chief Technology Officer	NA	false		11-MAY-2010
0001144204-13-036250	corporationPartnership	11	Kevin Martin Heerdt	18-MAR-2003	CIO and Director of Research	NA	false		12-MAR-2010
0001144204-13-036250	corporationPartnership	12	Thomas Page Lloyd	19-SEP-2005	General Counsel/CCO	NA	true		
0001144204-13-036250	corporationPartnership	13	Gregory Todd Donovan	26-OCT-2006	Chief Financial Officer	NA	true		
0001144204-13-036250	corporationPartnership	14	Tracy Wills-Zapata	01-FEB-2006	VP/Managing Dir. - Business Development	NA	true		
0001277690-13-000008	corporationPartnership	6	Mark Richard Hemingway	12-SEP-2005	SVP & General Counsel	NA	true		
0001277690-13-000008	corporationPartnership	21	Rashid NMN Hussain	01-FEB-2013	Interim Chief Financial Officer	NA	false		06-MAY-2013
0001277690-13-000008	corporationPartnership	20	Harry Kenneth Culham	31-OCT-2012	Director	NA	true		
0001277690-13-000008	corporationPartnership	19	Jeffrey Stuart Graham	01-MAR-2012	Director	NA	true		
0001277690-13-000008	corporationPartnership	18	James Edward Robert Slater	31-DEC-2011	Director	NA	true		
0001277690-13-000008	corporationPartnership	17	June Jacqueline Ntazinda	31-DEC-2011	Director	NA	true		01-MAR-2012
0001277690-13-000008	corporationPartnership	16	David NMN Arnold	03-OCT-2011	Director	NA	true		
0001277690-13-000008	corporationPartnership	15	Edward MI Nash	09-SEP-2011	Director	NA	true		31-OCT-2012
0001277690-13-000008	corporationPartnership	14	Michael MI Tibando	06-DEC-2010	Chief Compliance Officer	NA	true		
0001277690-13-000008	corporationPartnership	13	Sue Laura Simone	29-MAR-2010	Senior Vice President, Human Resources	NA	true		
0001277690-13-000008	corporationPartnership	1	Canadian Imperial Bank of Commerce	08-JUL-1997	Shareholder	D	true		
0001277690-13-000008	corporationPartnership	2	Mellon Canada Holding Company	31-DEC-1991	Shareholder	D	true		
0001277690-13-000008	corporationPartnership	3	Richard Ernest Venn	17-DEC-1997	Director	NA	true		
0001277690-13-000008	corporationPartnership	4	James Patrick Palermo	30-JAN-1998	Director	NA	true		
0001277690-13-000008	corporationPartnership	5	Edna Jennifer Warren	28-APR-2006	Director	NA	true		
0001277690-13-000008	corporationPartnership	22	Claire Fiona Johnson	06-MAY-2013	SVP, Chief Financial Officer	NA	false		
0001277690-13-000008	corporationPartnership	7	Robert Milton Shier	01-NOV-1999	SVP, Chief Operations Officer	NA	true		
0001277690-13-000008	corporationPartnership	8	David Samuel Linds	01-JUN-2000	Senior Vice President	NA	true		
0001277690-13-000008	corporationPartnership	9	Helen Sophia Polatajko	01-NOV-1999	Senior Vice President	NA	true		01-DEC-2012
0001277690-13-000008	corporationPartnership	10	Brian Michael Naish	02-MAR-2009	SVP, Chief Financial Officer	NA	true		01-FEB-2013
0001277690-13-000008	corporationPartnership	11	Thomas Stephen Monahan	02-NOV-2009	Director, President and CEO	NA	true		
0001277690-13-000008	corporationPartnership	12	Vincent Veto Sands	29-MAR-2010	Director, Chairman	NA	true		
0000817712-13-000009	corporationPartnership	10	Michael W. Kremenak	05-JUN-2013	Assistant Secretary	NA	true		
0000817712-13-000009	corporationPartnership	9	Katie Koelling	27-JUN-2011	Privacy & Anti-Money Laundering Officer	NA	true		
0000817712-13-000009	corporationPartnership	8	Karen L. Larson	08-DEC-2010	Director and President	NA	true		
0000817712-13-000009	corporationPartnership	7	Thrivent Financial Holdings, Inc.	01-JAN-2002	Parent company	E	true		
0000817712-13-000009	corporationPartnership	1	Russell W. Swansen	05-DEC-2008	Director	NA	true		
0000817712-13-000009	corporationPartnership	5	Cynthia J. Nigbur	01-OCT-2002	Assistant Secretary	NA	true		
0000817712-13-000009	corporationPartnership	4	Kurt S. Tureson	01-JUN-2004	Treasurer	NA	true		
0000817712-13-000009	corporationPartnership	3	Jody L. Bancroft	31-MAR-2009	Director, Investment Field Operations	NA	true		
0000817712-13-000009	corporationPartnership	2	Randall L. Boushek	05-DEC-2008	Director	NA	true		
0000817712-13-000009	corporationPartnership	6	Rebecca A. Paulzine	21-JUN-2010	General Counsel and Secretary	NA	true		
0001573302-13-000011	corporationPartnership	6	Elias Anastasopoulos	08-APR-2013	President & CEO	NA	true		
0001573302-13-000011	corporationPartnership	5	Michael Steven Ptasznik	08-FEB-2013	Director & Chief Financial Officer	NA	true		
0001573302-13-000011	corporationPartnership	10	Richard Anthony Patrick Rohan	05-APR-2013	VP, Corporate Sales	NA	true		
0001573302-13-000011	corporationPartnership	11	Helen Stratigeas	05-APR-2013	VP, Client Management	NA	true		
0001573302-13-000011	corporationPartnership	8	Joe Alvarino Dutra	05-APR-2013	VP, Operations	NA	true		
0001573302-13-000011	corporationPartnership	4	Sharon Christina Pel	08-FEB-2013	Director & Secretary	NA	true		
0001573302-13-000011	corporationPartnership	7	James Robertson Gould	05-APR-2013	VP, Compliance	NA	true		
0001573302-13-000011	corporationPartnership	1	TMX Group Inc.	08-FEB-2013	Parent Company (Direct)	E	true		
0001573302-13-000011	corporationPartnership	2	TMX Group Limited	08-FEB-2013	Parent Company (Indirect,Public Company)	E	true		
0001573302-13-000011	corporationPartnership	3	Kevan Blair Cowan	08-FEB-2013	Director	NA	true		
0001573302-13-000011	corporationPartnership	9	Carol Diane Mikos	05-APR-2013	VP, Trust Services	NA	true		
0001455353-13-000007	corporationPartnership	2	RODNEY PRESTON MICHEL	23-JAN-2009	SECRETARY AND DIRECTOR	C	true		
0001455353-13-000007	corporationPartnership	1	FRANK EDWARD BRICKELL	23-JAN-2009	PRESIDENT AND DIRECTOR	C	true		
0001455353-13-000007	corporationPartnership	3	JASON TROY ADAMS	23-JAN-2009	DIRECTOR	NA	true		31-DEC-2012
0001323210-13-000006	corporationPartnership	1	Tannya Irizarry	24-SEP-2004	Managing Director	C	true		
0001323210-13-000006	corporationPartnership	3	Michelle Torres	27-MAR-2010	Board Member	B	false		
0001323210-13-000006	corporationPartnership	2	Krystle Lynn Rundle	24-JUL-2007	Board Member	B	false		
0001455353-13-000005	corporationPartnership	1	FRANK EDWARD BRICKELL	23-JAN-2009	PRESIDENT AND DIRECTOR	C	true		
0001455353-13-000005	corporationPartnership	3	JASON TROY ADAMS	23-JAN-2009	DIRECTOR	NA	true		31-DEC-2012
0001455353-13-000005	corporationPartnership	2	RODNEY PRESTON MICHEL	23-JAN-2009	SECRETARY AND DIRECTOR	C	true		
0001146230-13-000017	corporationPartnership	1	Stephen Cesso	09-NOV-2001	U.S. General Counsel and Secretary	NA	true		
0001146230-13-000017	corporationPartnership	21	Frank A. Madonna	12-NOV-2012	Executive Vice President, Operations	NA	true		
0001146230-13-000017	corporationPartnership	3	Computershare Limited	27-JUN-2005	Indirect Owner	E	true		
0001146230-13-000017	corporationPartnership	4	Nancy R. Greer	27-JUN-2005	Executive Vice President, Human Resource	NA	true		
0001146230-13-000017	corporationPartnership	5	Paul R. Griffith	27-JUN-2005	Vice President, Operations	NA	true		
0001146230-13-000017	corporationPartnership	6	Barbara Y. Hall	27-JUN-2005	Director	NA	true		
0001146230-13-000017	corporationPartnership	7	Blanche O. Hurt	27-JUN-2005	Director	NA	true		
0001146230-13-000017	corporationPartnership	8	Richard L. Johnson, Jr.	09-NOV-2001	Chief Compliance Officer	NA	true		
0001146230-13-000017	corporationPartnership	9	Charles V. Rossi	09-NOV-2001	Executive Vice President	NA	true		
0001146230-13-000017	corporationPartnership	10	Sharon L. Sritong	23-AUG-2006	Chief Financial Officer and Treasurer	NA	true		
0001146230-13-000017	corporationPartnership	11	Computershare US Services Inc.	14-MAR-2007	Direct Owner	E	true		
0001146230-13-000017	corporationPartnership	12	Joseph F. Spadaford	16-JUL-2007	Executive Vice President, Operations	NA	true		
0001146230-13-000017	corporationPartnership	13	Martin J. McHale, Jr.	13-AUG-2007	President,Computershare US Services Inc.	NA	true		
0001146230-13-000017	corporationPartnership	14	Steven R. Rothbloom	04-OCT-2007	President	NA	true		
0001146230-13-000017	corporationPartnership	15	Irvin J. Steltz	22-JAN-2008	Chief Information Officer	NA	true		
0001146230-13-000017	corporationPartnership	16	Computershare Finance Company Pty Ltd	19-MAY-2010	Indirect Owner	B	true		
0001146230-13-000017	corporationPartnership	17	ACN 081 035 752 Pty Ltd	19-MAY-2010	Indirect Owner	E	true		
0001146230-13-000017	corporationPartnership	18	Computershare Investments (UK)(No. 8) Limited	01-JAN-2012	Indirect Owner	E	true		
0001146230-13-000017	corporationPartnership	19	Computershare Holdings Inc.	01-JAN-2012	Indirect Owner	E	true		
0001146230-13-000017	corporationPartnership	20	William D. Zeller	17-JUL-2012	Chief Legal Officer	NA	true		
0001146230-13-000017	corporationPartnership	2	Computershare (US)	27-JUN-2005	Indirect Owner	E	true		
0001354488-13-003359	corporationPartnership	1	Islip Century Ltd	15-DEC-2012	Majority Shareholder	E	true		
0001354488-13-003359	corporationPartnership	3	James Stuart Adams	15-DEC-2012	President - Islip Century	E	true		
0001354488-13-003359	corporationPartnership	2	James Stuart Adams	15-DEC-2012	President - Web Stock Transfer	NA	true		
0001419454-13-000006	corporationPartnership	15	Anmarie Ciccolo	01-AUG-2010	Transfer Agent CCO	NA	false		
0001419454-13-000006	corporationPartnership	16	John D. Walsh	02-AUG-2010	Director	NA	true		
0001419454-13-000006	corporationPartnership	14	Saikat Bhattacharya	20-JUL-2010	Director	NA	true		30-APR-2013
0001419454-13-000006	corporationPartnership	17	Steven Lee Kuhlman	12-AUG-2010	Director	NA	true		02-JUL-2012
0001419454-13-000006	corporationPartnership	18	FMR Holdings Mauritius Limited	31-MAR-2012	Shareholder	E	true		
0001419454-13-000006	corporationPartnership	19	Water Street Holdings BV	31-MAR-2012	Shareholder	NA	true		
0001419454-13-000006	corporationPartnership	20	James Blair Burlingame	02-JUL-2012	Director	NA	true		
0001419454-13-000006	corporationPartnership	1	FID Holdings (Mauritius) Limited	08-OCT-2004	Shareholder	E	true		31-MAR-2012
0001419454-13-000006	corporationPartnership	2	Fidelity India Shared Services Partnership	26-OCT-2004	Shareholder	NA	false		31-MAR-2012
0001419454-13-000006	corporationPartnership	3	FIL Limited	29-MAR-2007	Shareholder	B	false		24-MAR-2009
0001419454-13-000006	corporationPartnership	4	Fidelity International Services Limited	29-MAR-2007	Shareholder	NA	false		24-MAR-2009
0001419454-13-000006	corporationPartnership	5	Surinder Singh	01-DEC-2005	Director (see Attachment 1)	NA	true		31-AUG-2008
0001419454-13-000006	corporationPartnership	6	Caron McDonald	07-SEP-2006	Director (see Attachment 1)	NA	true		15-DEC-2008
0001419454-13-000006	corporationPartnership	7	Yash Pal Syngal	14-AUG-2006	Director	NA	true		19-AUG-2008
0001419454-13-000006	corporationPartnership	8	Richard Siegelman	04-FEB-2008	Transfer Agent CCO (see Attachment 1)	NA	false		31-JUL-2010
0001419454-13-000006	corporationPartnership	9	Gurpal Singh	09-SEP-2008	Director	NA	true		19-DEC-2008
0001419454-13-000006	corporationPartnership	10	Mahesh Muzumdar	01-DEC-2008	Director	NA	true		31-JUL-2010
0001419454-13-000006	corporationPartnership	11	Arijit Mukherji	01-DEC-2008	Director	NA	true		16-APR-2010
0001419454-13-000006	corporationPartnership	12	Kevin Smith	16-DEC-2008	Director	NA	true		08-APR-2009
0001419454-13-000006	corporationPartnership	13	Sunil Kunte	20-MAY-2009	Director	NA	true		
0001576137-13-000006	soleProprietorship	2	Chris Sarian	01-FEB-2013	Managing Partner			Manages daily operations.	
0001576137-13-000006	soleProprietorship	1	More Cowbell, LLC	01-FEB-2013	Registered Agent			100% ownership & controlling interest	
0001188112-13-001740	corporationPartnership	1	Jonathan Matthew Gellis	01-APR-2005	Owner	E	true		
0000896852-13-000013	corporationPartnership	32	Crissie Wisdom	01-APR-2013	Anti-Money Laundering Compliance Officer	NA	true		
0000896852-13-000013	corporationPartnership	33	Invesco Advisers, Inc.	31-DEC-2009	Sole Voting Shareholder	E	true		
0000896852-13-000013	corporationPartnership	1	William J. Galvin Jr.	01-DEC-2003	Director / President	NA	true		
0000896852-13-000013	corporationPartnership	2	Philip A Taylor	14-APR-2006	Director / Chairman	NA	true		
0000896852-13-000013	corporationPartnership	3	John M. Zerr	30-MAY-2007	Director / Vice President / Secretary	NA	true		
0000896852-13-000013	corporationPartnership	4	Joseph H. Charpentier	20-SEP-2001	Senior Vice President	NA	true		
0000896852-13-000013	corporationPartnership	5	Mary A. Corcoran	31-JUL-1995	Senior Vice President	NA	true		
0000896852-13-000013	corporationPartnership	6	Rhonda Dixon-Gunner	01-JAN-2004	Senior Vice President	NA	true		
