ACCESSION_NUMBER	CORP_PARTNER_TYPE	CORP_PARTNER_ID	ENTITYNAME	RELATIONSHIPSTARTDATE	TITLEORSTATUS	OWNERSHIPCODE	CONTROLPERSON	AUTHORITYDESCRIPTION	RELATIONSHIPENDDATE
0001452780-23-000007	corporationPartnership	8	Shankar Narayan Gawde	30-JUN-2020	Vice President	NA	true		
0001452780-23-000007	corporationPartnership	1	Pacific Ventures	02-MAY-2005	24.58% Owner	B			
0001452780-23-000007	corporationPartnership	7	Chris Benner	28-JUN-2019	Director	NA	true		
0001452780-23-000007	corporationPartnership	6	David Fellows	25-MAR-2019	Director	NA	true		
0001452780-23-000007	corporationPartnership	5	Kevin Lysaught	25-MAR-2019	Director	NA	true		
0001452780-23-000007	corporationPartnership	4	Manjula Cherukuri	21-MAR-2005	Head of Finance, Director	NA	true		
0001452780-23-000007	corporationPartnership	3	SS&C GIDS, Inc, (formerly DST Systems, Inc.)	30-APR-2005	Indirect Ownership	NA			
0001452780-23-000007	corporationPartnership	2	DST HealthCare Holdings, Inc.	30-APR-2005	75.42% Owner	E			
0000027048-23-000009	corporationPartnership	7	Nicole Greene	05-SEP-2022	Head of Global Investor & Dist. Solution	NA	true		
0000027048-23-000009	corporationPartnership	6	Nick Wright	23-DEC-2021	President	NA	true		
0000027048-23-000009	corporationPartnership	4	Patrick Pedonti	16-APR-2018	Executive VP, Treasurer, Director	NA	true		
0000027048-23-000009	corporationPartnership	5	SS&C Technologies, Inc.	16-APR-2018	Direct Owner	E	true		
0000027048-23-000009	corporationPartnership	3	William C. Stone	16-APR-2018	Director	NA	true		
0000027048-23-000009	corporationPartnership	2	Adam Girard	16-APR-2018	Tax Officer	NA	true		
0000027048-23-000009	corporationPartnership	1	SS&C Technologies Holdings, Inc.	16-APR-2018	Indirect Owner	E	true		
0000275143-23-000007	corporationPartnership	6	Adam Girard	16-APR-2018	Tax Officer	NA			
0000275143-23-000007	corporationPartnership	8	Nicole Greene	05-SEP-2022	Head of Global Investor & Dist Solutions	NA	true		
0000275143-23-000007	corporationPartnership	7	SS&C Technologies, Inc.	16-APR-2018	Indirect Owner	E	true		
0000275143-23-000007	corporationPartnership	5	Patrick J. Pedonti	16-APR-2018	Vice President, Treasurer and Director	NA	true		
0000275143-23-000007	corporationPartnership	4	SS&C Technologies Holdings, Inc.	16-APR-2018	Indirect Owner	E	true		
0000275143-23-000007	corporationPartnership	3	Timothy William Bahr	30-MAR-2017	Director & Assistant Treasurer	NA	true		
0000275143-23-000007	corporationPartnership	2	West Side Investment Management, Inc.	30-MAR-2017	Co-shareholder	E	true		
0000275143-23-000007	corporationPartnership	1	SS&C GIDS, Inc.	05-SEP-1973	Co-shareholder	B	true		
0001817495-23-000006	corporationPartnership	2	CHETAN KHURANA	12-JUN-2023	CONSULTANT	NA			
0001817495-23-000006	corporationPartnership	1	Jai Waterman	15-APR-2015	CEO	B	true		
0001073944-23-000008	corporationPartnership	7	Michael Huisman	09-MAR-2020	SVP/Director Transfer Agency	NA			
0001073944-23-000008	corporationPartnership	6	Jill S. Calton	23-JAN-2019	EVP, Dir of Alternative Investments	NA			
0001073944-23-000008	corporationPartnership	8	Phillip J. Mason	04-MAY-2023	Director	NA			
0001073944-23-000008	corporationPartnership	1	UMB Financial Corporation	17-APR-2011	Shareholder	E	true		
0001073944-23-000008	corporationPartnership	2	Maureen A. Quill	11-MAR-1996	EVP and Exec Director Registered Funds	NA			
0001073944-23-000008	corporationPartnership	3	Jason D. Bartel	10-MAR-2023	Vice President and Secretary	NA	false		
0001073944-23-000008	corporationPartnership	4	Terrance P. Gallagher	12-MAR-2007	EVP	NA	false		
0001073944-23-000008	corporationPartnership	5	Carla J. Green	25-JAN-2019	Treasurer	NA	false		
0001846058-23-000003	corporationPartnership	1	John F. Wooten, IV	28-JAN-2021	Founder	E	true		
0001018490-23-000030	corporationPartnership	5	Heiko Roessle	27-MAR-2019	Director	NA	true		
0001018490-23-000030	corporationPartnership	3	DB USA Corporation	01-JUL-2016	Owner of 100% of DBTC	E			
0001018490-23-000030	corporationPartnership	4	Deutsche Bank AG	04-JUN-1999	Owner of 100% DB USA Corporation	E			
0001018490-23-000030	corporationPartnership	1	Deutsche Bank Holdings, Inc. (DBHold)	12-DEC-1991	Owner of 100% Registrant	E			
0001018490-23-000030	corporationPartnership	2	Deutsche Bank Trust Corporation (DBTC)	12-DEC-1991	Owner of 100% DBHold	E			
0001018490-23-000030	corporationPartnership	7	Stephen Hessler	22-APR-2021	Director and President	NA	true		01-SEP-2023
0001018490-23-000030	corporationPartnership	6	Edward McMahon	02-MAY-2019	Director	NA	true		
0000842657-23-000023	corporationPartnership	12	Nicole Grogan	26-JUL-2019	Director and Vice President	NA	true		
0000842657-23-000023	corporationPartnership	11	Hepsen Uzcan	25-JUN-2018	Director and Vice President	NA	true		
0000842657-23-000023	corporationPartnership	10	DWS USA Corporation	01-MAY-2018	100% owner of DIMA	E	true		
0000842657-23-000023	corporationPartnership	8	DWS Group GmbH & Co KGaA	02-APR-2018	100% owner of DWS USA Corporation	E	true		
0000842657-23-000023	corporationPartnership	7	Deutsche Bank AG	02-APR-2018	owner of DB Beteiligungs - Holding GmbH	E	true		
0000842657-23-000023	corporationPartnership	6	Anjie Larocca	14-JUN-2017	Secretary	NA	true		
0000842657-23-000023	corporationPartnership	5	Michael Sharkey	01-NOV-2017	Director and President	NA	true		
0000842657-23-000023	corporationPartnership	4	Deutsche Asset Management US Holding Corporation (DeAM US Holding Corp.)	01-AUG-2017	100% owner of DIMA	E	true		01-MAY-2018
0000842657-23-000023	corporationPartnership	3	DWS Investment Management Americas Inc.	06-FEB-1998	100% owner of Registrant	E	true		
0000842657-23-000023	corporationPartnership	2	Nancy Tanzil	13-MAY-2014	Chief Financial Officer and Treasurer	NA			
0000842657-23-000023	corporationPartnership	1	Kristine Lyons	22-SEP-2005	Director and Vice President	NA	true		
0000842657-23-000023	corporationPartnership	9	DB Beteiligungs - Holding GmbH	02-APR-2018	79.49% owner of DWS Group GmbH & Co KGaA	E	true		
0000734700-23-000008	corporationPartnership	4	Ericka T Horan	15-FEB-2022	Managing Director, Manager	NA	true		
0000734700-23-000008	corporationPartnership	1	David Michael Solomon	15-APR-2017	Managing Director, Manager	NA	true		
0000734700-23-000008	corporationPartnership	2	John Edward Waldron	15-DEC-2018	Managing Director, CEO, Manager	NA	true		
