ACCESSION_NUMBER	ADDRESS_ID	ADDRESS_TYPE	ADDRESS
0001319791-07-000021	1	principalOfficeAddress	C 101-104, Delphi, Hiranandani Business Park, Powai Mumbai K7 400076
0001413453-07-000001	1	principalOfficeAddress	3821 Leland Street  San Diego CA 92106
0001380486-07-000006	2	mailingAddress	PO Box 2226  Omaha NE 68103-2226
0001380486-07-000006	1	principalOfficeAddress	1005 N. Ameritrade Place  Bellevue NE 68005
0000088525-07-000488	1	principalOfficeAddress	One Security Benefit Place  Topeka KS 66636-0001
0000005076-07-000006	6	otherBusinessLocation	1301 Executive Blvd.  Chesapeake VA 23320-3671
0000005076-07-000006	7	otherBusinessLocation	8555 North River Road, Suite 360  Indianapolis IN 46240
0000005076-07-000006	5	otherBusinessLocation	135 South State College Blvd.  Brea CA 92621-5804
0000005076-07-000006	4	otherBusinessLocation	14636 North Scottsdale Rd.  Scottsdale AZ 85254
0000005076-07-000006	3	otherBusinessLocation	8332 Woodfield Crossing Blvd.  Indianapolis IN 46240-4319
0000005076-07-000006	2	otherBusinessLocation	5300 Robin Hood Road  Norfolk VA 23513-2407
0000005076-07-000006	2	mailingAddress	P.O. Box 2205  Brea CA 92622-2205
0000005076-07-000006	1	principalOfficeAddress	6455 Irvine Center Drive  Irvine CA 92618
0000005076-07-000006	1	otherBusinessLocation	3500 Wiseman Blvd.  San Antonio TX 78251-4321
0001007444-07-000010	1	principalOfficeAddress	9785 Towne Centre Drive  San Diego CA 92121
0001104659-07-070209	1	principalOfficeAddress	1250 Broadway 32nd Floor  New York NY 10001
0001104659-07-070207	1	principalOfficeAddress	1250 Broadway 32nd Floor  New York NY 10001
0001104659-07-070206	1	principalOfficeAddress	1250 Broadway 32nd Floor  New York NY 10001
0001104659-07-070204	1	principalOfficeAddress	1250 Broadway 32nd Floor  New York NY 10001
0001104659-07-070201	1	principalOfficeAddress	1250 Broadway 32nd Floor  New York NY 10001
0001104659-07-070197	1	principalOfficeAddress	1250 Broadway 32nd Floor  New York NY 10001
0001170078-07-000013	1	principalOfficeAddress	151 Detroit Street  Denver CO 80206-4923
0001039876-07-000026	1	otherBusinessLocation	MSIM Global Support and Technology Svcs Athena; Mindspace, Goregaon West Mumbai K7 400090
0001039876-07-000026	1	principalOfficeAddress	Harborside Financial Center Plaza II, 2nd Floor Jersey City NJ 07311
0000920493-07-000016	1	principalOfficeAddress	2756 Woodlawn Drive Suite #6-201 Honolulu HI 96822
0000920493-07-000016	2	mailingAddress	503 Blackbird Drive  Hockessin DE 19707
0000920493-07-000013	2	mailingAddress	503 Blackbird Drive  Hockessin DE 19707
0000920493-07-000013	1	principalOfficeAddress	2756 Woodlawn Drive Suite #6-201 Honolulu HI 96822
0001144204-07-048496	1	principalOfficeAddress	630 A Fitzwatertown Road, 2nd Fl  Willow Grove PA 19090-1904
0001144204-07-048496	2	mailingAddress	335 Madison Ave, 11th Fl.  New York NY 10017
0000949738-07-000007	1	principalOfficeAddress	55 Old Bedford Road  Lincoln MA 01773
0001170078-07-000012	1	principalOfficeAddress	151 Detroit Street  Denver CO 80206-4923
0001139578-07-000010	1	principalOfficeAddress	111 South Wacker Drive 34th Floor Chicago IL 60606
0001139578-07-000010	2	mailingAddress	PO Box 804660  Chicago IL 60680-4108
0000735016-07-000007	1	principalOfficeAddress	1426 Main Street  Columbia SC 29201
0000735016-07-000007	1	otherBusinessLocation	220 Operation Way  Cayce SC 29033
0001146230-07-000019	4	otherBusinessLocation	144 Fernwood Avenue  Edison NJ 08837
0001146230-07-000019	3	otherBusinessLocation	350 Indiana Street Suite 800 Golden CO 80401
0001146230-07-000019	2	otherBusinessLocation	2 North LaSalle Street  Chicago IL 60602
0001146230-07-000019	1	principalOfficeAddress	250 Royall Street  Canton MA 02021-1011
0001146230-07-000019	1	otherBusinessLocation	525 Washington Boulevard  Jersey City NJ 07310
0001277690-08-000008	4	otherBusinessLocation	1600 Hollis Street 4th Floor Halifax A5 B3J 1V7
0000944496-07-000011	1	otherBusinessLocation	Mellon Client Service Center 500 Ross Street Pittsburgh PA 15262
0001277690-08-000008	3	otherBusinessLocation	2001 University Street 16th Floor Montreal A8 H3A 2A6
0001277690-08-000008	2	otherBusinessLocation	600 The Dome Tower 333, 7th Avenue SW Calgary A0 T2P 2Z1
0001277690-08-000008	1	principalOfficeAddress	320 Bay Street  Toronto A6 M5H 4A6
0001277690-08-000008	1	otherBusinessLocation	1066 West Hastings Street Suite 1600 Vancouver A1 V6E 3X1
0000944496-07-000011	1	principalOfficeAddress	Newport Office Center VII 480 Washington Boulevard Jersey City NJ 07310
0001285911-07-000014	2	mailingAddress	200 Park Avenue  New York NY 10166
0001285911-07-000014	1	otherBusinessLocation	Mellon Trust of New England, N.A. One Boston Place Boston MA 02108
0001285911-07-000014	1	principalOfficeAddress	144 Glenn Curtiss Boulevard  Uniondale NY 11556
0000817712-07-000016	1	principalOfficeAddress	4321 N. Ballard Road  Appleton WI 54919
0001410382-07-000001	1	principalOfficeAddress	4135 South Stream Blvd Suite 500 Charlotte NC 28217
0000944496-07-000007	1	principalOfficeAddress	Newport Office Center VII 480 Washington Boulevard Jersey City NJ 07310
0000944496-07-000007	1	otherBusinessLocation	Mellon Client Service Center 500 Ross Street Pittsburgh PA 15262
0000909567-07-001098	1	principalOfficeAddress	90 University Avenue  Charlottetown A7 C1A 4K9
0000909567-07-001098	2	mailingAddress	Corporate Secretary, Legal Department 5140 Yonge Street, Suite 900 Toronto A6 M2N 6X7
0001007444-07-000008	1	principalOfficeAddress	9785 Towne Centre Drive  San Diego CA 92121
0001202046-07-000002	1	principalOfficeAddress	29129 Johnston Rd.  Dade City FL 33523
0000772037-07-000010	1	otherBusinessLocation	111 Westminster St  Providence RI 02903
0000772037-07-000010	1	principalOfficeAddress	One Financial Center  Boston MA 02111
0000772037-07-000010	2	mailingAddress	P.O. Box 8081  Boston MA 02266
0001409842-07-000001	1	principalOfficeAddress	30 Broad Street 46th Floor New York NY 10004
0000950137-07-012415	1	otherBusinessLocation	c/o BFDS 30 Dan Road Canton MA 02021-2809
0000950137-07-012415	1	principalOfficeAddress	734 Ameriprise Financial Center  Minneapolis MN 55474
0001285911-07-000011	2	mailingAddress	200 Park Avenue  New York NY 10166
0001285911-07-000011	1	principalOfficeAddress	144 Glenn Curtiss Boulevard  Uniondale NY 11556
0001285911-07-000011	1	otherBusinessLocation	Mellon Trust of New England, N.A. One Boston Place Boston MA 02108
0001408996-07-000003	1	otherBusinessLocation	15165 Ventura Blvd., Suite 330  Sherman Oaks CA 91403
0001408996-07-000003	2	mailingAddress	P.O. Box 371270  Las Vegas NV 89137
0001408996-07-000003	1	principalOfficeAddress	10446 Miners Gulch  Las Vegas NV 89137
0001385752-07-000011	1	principalOfficeAddress	57 Eastwood Road  Miller Place NY 11764
0001385752-07-000010	1	principalOfficeAddress	1431 Powhatan Street  Alexandria VA 22314-1343
0000849542-07-000004	1	principalOfficeAddress	4400 Computer Drive  Westborough MA 01581
0000849542-07-000004	2	otherBusinessLocation	100 Freight Street  Pawtucket RI 02860
0000849542-07-000004	3	otherBusinessLocation	400 Bellevue Parkway  Wilmington DE 19809
0000849542-07-000004	1	otherBusinessLocation	760 Moore Road  King of Prussia PA 19406
0000938152-07-000009	1	principalOfficeAddress	6084 SOUTH 900 EAST, STE 101  SALT LAKE CITY UT 84121
0001408129-07-000001	1	principalOfficeAddress	92 Lakeshore Rd E U220 Mississauga A6 L5G 4S2
0000027048-07-000013	1	otherBusinessLocation	7201 E 64th Ct  Kansas City MO 64133
0000027048-07-000013	3	otherBusinessLocation	816 Broadway  Kansas City MO 64105
0000027048-07-000013	2	otherBusinessLocation	330 W 9th Street  Kansas City MO 64105
0000027048-07-000013	2	mailingAddress	Attn: Legal Department 333 W 11th Street 5th Floor Kansas City MO 64105
0000027048-07-000013	1	principalOfficeAddress	210 W 10th Street  Kansas City MO 64105
0000027048-07-000013	5	otherBusinessLocation	430 W 7th Street  Kansas City MO 64105
0000027048-07-000013	6	otherBusinessLocation	4900 Main  Kansas City MO 64112
0000027048-07-000013	4	otherBusinessLocation	333 W 11th Street  Kansas City MO 64105
0001170078-07-000011	1	principalOfficeAddress	151 Detroit Street  Denver CO 80206-4923
