ACCESSION_NUMBER	ENTITY_TYPE	ENT_ID	ENTITYNAME	AGREEMENTDESCRIPTION
0001562770-12-000004	otherControlManagement	1	Virtus Investment Partners, Inc	Virtus Investment Partners, Inc is the parent company of Virtus Partners, Inc
0001562770-12-000004	otherControlFinance	1	Virtus Investment Partners, Inc	Virtus Investment Partners, Inc is the parent company of Virtus Partners, Inc
0001419454-12-000012	otherControlFinance	1	FMR LLC	Directly and indirectly, through certain of its affiliated companies, FMR LLC wholly or partially may finance Fidelity Business Services India Private Limited
0001419454-12-000012	otherControlManagement	1	FMR LLC	Through certain of its direct or indirect subsidiaries, FMR LLC is the ultimate parent company of Fidelity Business Services India Private Limited
0001458682-12-000007	otherControlFinance	1	Pelle Ojasu	Member of LLC per Operating Agreement dated 6/1/09
0001458682-12-000007	otherControlFinance	3	Regina Diane Kennedy	Member of LLC per Operating Agreement dated 3/1/10. David Kennedy is deceased and all membership units originally owned by David and Regina Diane Kennedy jointly are now owned solely by Regina Diane Kennedy.
0001458682-12-000007	otherControlFinance	4	Robert Kennedy	Member of LLC per Operating Agreement dated 3/1/10
0001458682-12-000007	otherControlFinance	2	Ruth Makofske - REMOVED	Became a member of LLC per Operating Agreement dated 6/1/09. Ceased to be a member effective 12/8/11.
0001465533-12-000008	otherControlManagement	1	Corporation Service Company	Sole Shareholder of Trust Company
0001511164-12-000271	otherControlManagement	1	Andy Fan	Director, President, and >90% shareholder of AF Ocean Investment Management Company
0001144204-12-059351	otherControlFinance	1	AR Capital, LLC	LLC agreement for American National Stock Transfer, LLC
0000883757-12-000009	otherControlFinance	1	Equity Financial Holdings Inc.	Equity Financial Trust Company (formerly Equity Transfer & Trust Company) is a wholly owned subsidiary of Equity Financial Holdings Inc. (formerly known as Grey Horse Corporation and before that as Grey Horse Capital Corporation).
0000883757-12-000009	otherControlManagement	1	Equity Financial Holdings Inc.	Equity Financial Trust Company, formerly Equity Transfer & Trust Company is a wholly owned subsidiary of Equity Financial Holdings Inc. (formerly known as Grey Horse Corporation and before that as Grey Horse Capital Corporation).
0001018490-12-000015	otherControlManagement	1	Various-see below.	DB Services Americas, Inc. ('SerAms'), formerly known as DB Services Tennessee, Inc. and prior as BT Services Tennessee, Inc., was incorporated in the State of Delaware on December 6, 1991 and established as a servicing company to provide operational and back-office services to Deutsche Bank Trust Company Americas ('DBTCA') and certain of its affiliates. DBTCA, formerly known as Bankers Trust Company, is the principal United States banking subsidiary of Deutsche Bank Aktiengesellschaft ('DBAG'). SerAms does not have any third party client agreements. Rather, SerAms, as engaged by DBTCA, provides technical and administrative support services including data processing, telecommunications, maintenance of appropriate records in accordance with existing standards, recordkeeping and accounting functions in connection with services provided to DBTCA's customers (or DBTCA's customers' customers, in the case of DBTCA's private label business for certain affiliates); and DBTCA has appointed SerAms as its agent to act on its behalf in connection with the transfer of securities and other instruments. Accounts are maintained jointly by DBTCA and SerAms. SerAms in its transfer agent function provides services to DBTCA in a manner as if SerAms is an independent, dedicated contractor that works solely for DBTCA and no other transfer agent. There is a shared system of database for DBTCA and SerAms. An example is escheatment - the details of escheatment are maintained by SerAms while the remission to the states is done in the name of and on behalf of DBTCA. SerAms management is responsible to the business line management of DBAG and DBAG affiliates/subsidiaries including DBTCA. The business line unit head of ServAms reports to business line unit management of DBAG/affiliate. Audits are performed by DBAG's Audit Department. Examinations of DBAG NY branch and subsidiary bank, DBTCA, are performed by the Federal Reserve Bank of New York and the New York State Department of Financial Services. DBAG provides for SerAms the infrastructure necessary to insure safety and soundness measures including accounting systems, the Legal Department, the Internal Audit Department, Compliance, Human Resources and technology functions.
0001018490-12-000015	otherControlFinance	1	Various-see below.	A Deutsche Bank AG holding company, Deutsche Bank Trust Corporation, provided the original, capital funding for the Registrant and for a time provided a line of credit for working capital. Working capital is now provided via service fees which originate from inter-company billings for the services rendered.
0001202048-12-000008	otherControlManagement	2	(cont'd) SAFG Retirement Services, Inc. and American International Group, Inc.	The Variable Annuity Life Insurance Company ('VALIC') is 100 percent owned by American General Life Insurance Company, which is 100 percent owned by AGC Life Insurance Company, which is 100 percent owned by SunAmerica Financial Group, Inc., which is 100 percent owned by SAFG Retirement Services, Inc. (DE), which is 100 percent by owned American International Group, Inc. The Treasury Department owns common stock in and has agreements with AIG. Nothing herein shall be construed as an acknowledgement or representation that any provision of the Exchange Act of 1934 or rules or forms thereunder or any other statute or regulation applies to or includes the Treasury Department, the US Treasury or any officer, agent or employee thereof in any respect, or that the Treasury Department, the US Treasury controls VALIC or VRSCO.
0001202048-12-000008	otherControlManagement	1	American General Life Insurance Company, AGC Life Insurance Company, SunAmerica Financial Group, Inc.,	The Variable Annuity Life Insurance Company ('VALIC') is 100 percent owned by American General Life Insurance Company, which is 100 percent owned by AGC Life Insurance Company, which is 100 percent owned by SunAmerica Financial Group, Inc., which is 100 percent owned by SAFG Retirement Services, Inc. (DE), which is 100 percent by owned American International Group, Inc. The Treasury Department owns common stock in and has agreements with AIG. Nothing herein shall be construed as an acknowledgement or representation that any provision of the Exchange Act of 1934 or rules or forms thereunder or any other statute or regulation applies to or includes the Treasury Department, the US Treasury or any officer, agent or employee thereof in any respect, or that the Treasury Department, the US Treasury controls VALIC or VRSCO.
0001486544-12-000006	otherControlManagement	1	REV WorldWide, Inc.	100% Owner of GoalMine, Inc.
