ACCESSION_NUMBER	ACTION_TYPE	ACTION_ID	ENTITYNAME	ACTIONTITLE	ACTIONDATE	COURTORBODYNAMEANDLOCATION	ACTIONDESCRIPTION	DISPOSITIONOFPROCEEDING
0001007444-20-000012	fsrFoundOrderAgainstApplicant	50	LPL Financial LLC	Consent Order	02-MAR-2016	Wisconsin Division of Securities	LPL consented to the findings that from January 1, 2008 through December 31, 2013, it failed to implement an adequate supervisory system regarding its sales of non-traded REITs and failed to enforce its written procedures regarding the sale of non-traded REITs to Wisconsin residents.	Civil penalty in the amount of $25,928.70, cease and desist, offers of remediation, and undertakings.
0001007444-20-000012	fsrFoundOrderAgainstApplicant	51	LPL Financial LLC	Consent Order	04-MAR-2016	Tennessee Securities Division	LPL consented to the findings that from January 1, 2008 through December 31, 2013, it failed to implement an adequate supervisory system regarding its non-traded REITs and failed to enforce its written procedures regarding the sale of non-traded REITs to Tennessee residents.	Civil penalty in the amount of $33,714.11, cease and desist, offers of remediation, and undertakings.
0001007444-20-000012	fsrFoundOrderAgainstApplicant	52	LPL Financial LLC	Consent Order	11-MAR-2016	U.S. Virgin Islands Division of Banking and Insurance	LPL consented to the findings that from January 1, 2008 through December 31, 2013, it failed to implement an adequate supervisory system regarding its sales of non-traded REITs and failed to enforce its written procedures regarding the sale of non-traded REITs to U.S. Virgin Islands residents.	Civil penalty in the amount of $10,013.22, cease and desist, offers of remediation, and undertakings.
0001007444-20-000012	fsrFoundOrderAgainstApplicant	53	LPL Financial LLC	Consent Order	14-MAR-2016	Ohio Division of Securities	LPL consented to the findings that from January 1, 2008 through December 31, 2013, it failed to implement an adequate supervisory system regarding its sales of non-traded REITs and failed to enforce its written procedures regarding the sale of non-traded REITs to Ohio residents.	Civil penalty in the amount of $35,522.13, cease and desist, offers of remediation, and undertakings.
0001007444-20-000012	fsrFoundOrderAgainstApplicant	54	LPL Financial LLC	Consent Order	30-MAR-2016	South Carolina Securities Commission	LPL consented to the findings that from January 1, 2008 through December 31, 2013, it failed to implement an adequate supervisory system regarding its sales of non-traded REITs and failed to enforce its written procedures regarding the sale of non-traded REITs to South Carolina residents.	Civil penalty in the amount of $80,000.00, cease and desist, offers of remediation, and undertakings.
0001007444-20-000012	fsrFoundOrderAgainstApplicant	55	LPL Financial LLC	Consent Order	26-APR-2016	Arkansas Securities Division	LPL consented to the findings that from January 1, 2008 through December 31, 2013, it failed to implement an adequate supervisory system regarding its sales of non-traded REITs and failed to enforce its written procedures regarding the sale of non-traded REITs to Arkansas residents.	Civil penalty in the amount of $19,347.74, cease and desist, offers of remediation, and undertakings.
0001007444-20-000012	fsrFoundOrderAgainstApplicant	59	LPL Financial LLC	Consent Order	05-JUL-2016	Wyoming Secretary of State Compliance Division	LPL consented to the findings that from January 1, 2008 through December 31, 2013, it failed to implement an adequate supervisory system regarding its sales of non-traded REITs and failed to enforce its written procedures regarding the sale of non-traded REITs to Wyoming residents.	Civil penalty in the amount of $12,344.55, cease and desist, offers of remediation, and undertakings.
0001007444-20-000012	fsrFoundOrderAgainstApplicant	56	LPL Financial LLC	Consent Order	29-APR-2016	Oregon Division of Financial Regulation	LPL consented to the findings that from January 1, 2008 through December 31, 2013, it failed to implement an adequate supervisory system regarding its sales of non-traded REITs and failed to enforce its written procedures regarding the sale of non-traded REITs to Oregon residents.	Civil penalty in the amount of $24,642.20, cease and desist, offers of remediation, and undertakings.
0001007444-20-000012	fsrFoundOrderAgainstApplicant	57	LPL Financial LLC	Consent Order	03-MAY-2016	Oklahoma Department of Securities	LPL consented to the findings that from January 1, 2008 through December 31, 2013, it failed to implement an adequate supervisory system regarding its sales of non-traded REITs and failed to enforce its written procedures regarding the sale of non-traded REITs to Oklahoma residents.	Civil penalty in the amount of $21,245.14, cease and desist, offers of remediation, and undertakings.
0001007444-20-000012	fsrFoundOrderAgainstApplicant	58	LPL Financial LLC	Consent Order	30-JUN-2016	Commonwealth of Massachusetts	The Firm entered into a Consent Order with the Commonwealth of Massachusetts, Enforcement Section of the Division, related to their investigation into whether the Firm's activities and conduct violated the Massachusetts Uniform Securities Act. The Enforcement Section alleged that during the time period of January 1, 2014 to June 30, 2016, the Firm failed to supervise its agents when it failed to review those agents' misleading communications with the public in connection with the purchase and sale of an agents' book of business. The Enforcement Section also alleged that the Firm failed to supervise its agents when such agent borrowed money from a client and lost that money in speculative trading for agents' own account.	A fine in the amount of $100,000.00, payment of restitution to clients in the amount of $217,750.00, cease and desist, additional undertakings of employee training, and changes to policies and procedures.
