ACCESSION_NUMBER	PERIODOFREPORT	ENTITYNAME	SERVICECOMPANY	REGISTRANTENGAGEDSERVICE	REGULATORYAGENCY	AMENDMENTFILED	ADDITIONALINFORMATION	NUMBERITEMSRECEIVEDFORTRANSFER	NUMMASTERSECURITYHOLDERFILINGS	NUMBERINDIVIDUALACCOUNTS	NUMDIVREINVDIRPURPLANACCOUNTS	NUMDIRECTREGISTSYSTEMACCOUNTS	NUMBERFILED	FILEALL	SECHOLDERADDITIONALINFO	ALWAYSCOMPLIANT	NUMBERMONTHSNOTCOMPLIANT	NUMBERNOTICENONCOMPLIANCEFILED	TOTAL	TOTALOTHERTHANRECEIPTORDERDATE	NUMLOSTACCTSREMITTEDTOSTATES
0001455353-15-000002	31-DEC-2014	West Coast Stock Transfer Inc.	SOME	N	SEC	Yes, filed amendment(s)		953	5029	5029	0	0	0			Yes			0	0	0
0000874230-15-000002	31-DEC-2014	Publix Super Markets, Inc.	NONE	N	SEC	Not applicable		16519	112947	112947	0	0	0			Yes			0	0	5916
0000950123-15-004188	31-DEC-2014	Transamerica Fund Services, Inc.	SOME	N	SEC	No, failed to file amendment(s)	TA-1 Amendment filed regarding changes 12/11/2014 and one additional revision was not included.	1650	286097	286097	279029	0	0			Not Applicable			679522	5	65
0001146230-15-000016	31-DEC-2014	Computershare Inc.	SOME	Y	SEC	Yes, filed amendment(s)		1349394	19198267	19198558	6139246	7903548	0			Yes			0	0	118261
0000882734-15-000002	31-DEC-2014	Olde Monmouth Stock Transfer Co., Inc.	NONE	N	SEC	Not applicable		8170	117530	117530	0	0	0			Yes			0	0	0
0000842517-15-000053	31-DEC-2014	Isabella Bank Corporation	NONE	N	BGFRS	Not applicable		13097	3057	3057	2412	0	0			Yes			0	0	0
0001410578-15-000135	31-DEC-2014	ESHARES INC	NONE	N	SEC	No, failed to file amendment(s)	Registrant amended Form TA-1 to update its principal address and phone number, which had changed prior to 60 calendar days from the date the amendment was filed.	174	1311	1311	0	0	0			Not Applicable			0	0	0
0001073944-15-000003	31-DEC-2014	UMB Fund Services, Inc.	SOME	Y	SEC	Yes, filed amendment(s)		261677	532579	532579	101379	418769	0			Yes			1899739	72766	22
0000005076-15-000002	31-DEC-2014	American Funds Service Company/TA	NONE	N	SEC	Yes, filed amendment(s)		371604	24616227	24616227	24497009	0	0			Not Applicable			196729994	671312	1024
0000733598-15-000002	31-DEC-2014	AllianceBernstein Investor Services, Inc.	NONE	Y	SEC	Not applicable		10365	940444	940444	912836	465463	0			Yes			6539832	200685	36
0001398344-15-002173	31-DEC-2014	Altegris Advisors, L.L.C.	NONE	N	SEC	Not applicable		201	7238	5045	0	0	0			Not Applicable			0	0	0
0001144204-15-020061	31-DEC-2014	Madison Stock Transfer Inc.	SOME	N	SEC	Yes, filed amendment(s)		3731	32874	32874	0	4	0			Yes			0	0	0
0001114874-15-000001	31-DEC-2014	DSI Properties, Inc.	NONE	N	SEC	Not applicable		340	0	6618	0	0									0
0001140361-15-013685	31-DEC-2014	National Western Life Insurance Company	NONE	N	SEC	Not applicable		0	2	2	0	0									0
0001393905-15-000155	31-DEC-2014	Empire Stock Transfer Inc.	NONE	N	SEC	Yes, filed amendment(s)		4517	41247	41247	0	344	0			Yes			0	0	0
0001387131-15-001124	31-DEC-2014	Kenmar Preferred Investments LLC	NONE	N	SEC	Not applicable		27	991	991	0	0									0
0001022437-15-000002	31-DEC-2014	Deutsche Bank AG	SOME	N	BGFRS	Not applicable		0	0	100	0	0									0
0001431194-15-000001	31-DEC-2014	Bank Services of Virginia, Inc.	NONE	N	FDIC	Not applicable		234	3324	3324	0	0	0			Yes			0	0	0
0001139576-15-000001	31-DEC-2014	LEAF Financial Corporation	SOME	N	SEC	Not applicable		344	11672	11986	0	0	0			Yes			0	0	4
0001145892-15-000002	31-DEC-2014	Computershare Trust Company, N.A.	ALL	Y	OCC	Not applicable															
0001146230-15-000014	31-DEC-2014	Registrar and Transfer Company (New Jersey)	NONE	Y	SEC	Yes, filed amendment(s)		28305	0	0	0	0	0			Yes			0	0	875
0000721748-15-000175	31-DEC-2014	Pacific Stock Transfer Company, Inc.	SOME	N	SEC	Yes, filed amendment(s)		9044	302874	302874	0	0	0			Yes			0	0	0
0001146230-15-000013	31-DEC-2014	Registrar and Transfer Corporation - New York	ALL	N	SEC	Yes, filed amendment(s)															
0000740583-15-000162	31-DEC-2014	se2, LLC	NONE	Y	SEC	Yes, filed amendment(s)		75467	480402	0	0	0	0			Not Applicable			0	0	80
0000818238-15-000001	31-DEC-2014	Commonwealth Fund Services, Inc.	NONE	N	SEC	Not applicable		3246	18489	18489	15969	0	0			Yes			36703	251	22
0001144204-15-019856	31-DEC-2014	HERITAGE U.S. TRANSFER CORP.	NONE	N	SEC	Not applicable		116	8241	8241	0	0	0			Not Applicable			0	0	0
0001077455-15-000001	31-DEC-2014	Trautmann, Maher & Associates, Inc.	NONE	Y	SEC	Not applicable		0	0	2515	0	0									0
0001030030-15-000001	31-DEC-2014	Nottingham Shareholder Services, LLC	NONE	N	SEC	Not applicable		0	10507	10507	4833	9999	0			Yes			20069	24	0
0001398344-15-002154	31-DEC-2014	Mutual Funds Service Co.	NONE	N	SEC	Not applicable		1780	26059	26059	25373	26059	0			Yes			131770	211	0
0000899635-15-000002	31-DEC-2014	Integrity Fund Services, LLC	NONE	N	SEC	Not applicable		13704	207206	94338	83455	94332	0			Yes			119657	492	0
