ACCESSION_NUMBER	ENTITY_TYPE	ENTITY_ID	ENTITYNAME	SUCCESSORREGISTERED	ADDRESS
0000811700-10-000004	tawCustodians	1	Pacific Stock Tansfer Inc.		4045 S. Spencer St. Suite 403 Las Vegas  89119
0000811700-10-000004	tawRegistrant	1	Florida Atlantic Stock Transfer Inc.		7130 Nob Hill Road  Tamarac  33321
0000811700-10-000004	tawSuccessors	1	Pacific Stock Transfer Inc.	Y	4045 S. Spencer St. Suite 403 Las Vegas  89119
0001078782-10-001269	tawRegistrant	1	DELOS STOCK TRANSFER LLC		4412 8TH ST SW  VERO BEACH  32968
0001078782-10-001269	tawSuccessors	1	PRESIDENTS STOCK TRANSFER CORP	Y	900 - 850 WEST HASTINGS ST  VANCOUVER  V6C 1E1
0001078782-10-001269	tawCustodians	1	SAMANTHA ROBERTS, PRESIDENTS STOCK TRANSFER CORP		900 - 850 WEST HASTINGS ST  VANCOUVER  V6C 1E1
0000772037-10-000008	tawCustodians	2	Boston Financial Data Services, Inc.		2000 Crown Colony Drive  Quincy  02169
0000772037-10-000008	tawSuccessors	2	Boston Financial Data Services, Inc.	Y	2000 Crown Colony Drive  Quincy  02169
0000772037-10-000008	tawSuccessors	1	Riversource Service Corporation	Y	734 Ameriprise Financial Center  Minneapolis  55474
0000772037-10-000008	tawCustodians	1	Riversource Service Corporation		1 Financial Center 3rd Floor Boston  02111
0000772037-10-000008	tawRegistrant	1	Columbia Management Services, Inc.		One Financial Center  Boston  02111
0000772037-10-000008	tawRegistrant	2	Columbia Management Services, Inc.		111 Westminster Street  Providence  02903
0000088525-10-000438	tawCustodians	1	se2, inc.		5801 SW 6th Avenue  Topeka  66636-0001
0000088525-10-000438	tawRegistrant	1	Security Benefit Life Insurance Company		One Security Benefit Place  Topeka  66636-0001
0000088525-10-000438	tawSuccessors	1	se2, inc.	Y	5801 SW 6th Avenue  Topeka  66636-0001
0001352392-10-000077	tawRegistrant	1	PacWest Transfer, LLC		4045 South Spencer Street Suite 403 Las Vegas  89119
0001352392-10-000077	tawSuccessors	1	Holladay Stock Transfer	Y	2939 North 67th Place  Scottsdale  85251
0001352392-10-000077	tawSuccessors	3	Manhattan Transfer Registrar Co.	Y	57 Eastwood Road  Miller Place  11764
0001352392-10-000077	tawSuccessors	2	Direct Issuer	Y	201 Shannon Oaks Cir, Suite 105 Cary  27511
0001352392-10-000077	tawCustodians	1	Pacific Stock Transfer Company		4045 South Spencer St Suite 403 Las Vegas  89119
0001352392-10-000077	tawSuccessors	6	Pacific Stock Transfer Company	Y	4045 South Spencer St Suite 403 Las Vegas  89119
0001352392-10-000077	tawSuccessors	5	Securities Transfer Corporation	Y	2591 Dallas Parkway Suite 102 Frisco  75034
0001352392-10-000077	tawSuccessors	4	Clear Trust, LLC	Y	17961 Hunting Bow Cir., Suite 102 Lutz  33558
