ACCESSION_NUMBER	ACTION_TYPE	ACTION_ID	ENTITYNAME	ACTIONTITLE	ACTIONDATE	COURTORBODYNAMEANDLOCATION	ACTIONDESCRIPTION	DISPOSITIONOFPROCEEDING
0001380486-07-000006	fsrFoundOrderAgainstApplicant	1	FIRST OMAHA SECURITIES CORPORATION	ORDER OF PROHIBITION	05-OCT-1978	STATE OF WISCONSIN	STATE OF WISCONSIN PROHIBITED FIRST OMAHA SECURITIES CORPORATION FROM TRANSACTIONS WITH WISCONSIN RESIDENTS TO A FULL REGISTRATION WAS ACCOMPLISHED.	ORDER VACATED 03/07/1979
0001380486-07-000006	fsrRegistrationDeniedOrSuspended	1	FIRST OMAHA SECURITIES CORPORATION	ORDER OF PROHIBITION	05-OCT-1978	STATE OF WISCONSIN	STATE OF WISCONSIN PROHIBITED FIRST OMAHA SECURITIES CORPORATION FROM TRANSACTIONS WITH WISCONSIN RESIDENTS TO A FULL REGISTRATION WAS ACCOMPLISHED.	ORDER VACATED 03/07/1979
0001380486-07-000006	fsrViolationOfInvestmentRelatedRegulation	1	FIRST OMAHA SECURITIES CORPORATION	FILE NO. 88-261	20-MAR-1979	State of Illinois	VIOLATION OF SECTION 12D OF THE ILLINOIS SECURITIES ACT	STATE OF ILLINOIS CENSURED AND FINED FIRST OMAHA SECURITIES CORPORATION $500.00IN SETTLEMENT, THE FIRM NEITHER ADMITTED NOR DENIED ALLEGATIONS.
0001380486-07-000006	registrationDeniedOrSuspended	1	FIRST OMAHA SECURITIES	FILE NO. 76-0-343	08-SEP-1976	U.S. Securities and Exchange Commission	IN SETTLEMENT OF SEC ACTION DATED 09/08/76, THROUGH US DISTRICT COURT OF NEBRASKA, FIRST OMAHA SECURITIES WAS PERMANENTLY ENJOINED FROM ENGAGING IN ANY ACT WHICH WOULD VIOLATE SEC RULES 15C3-1; 15C3-2; 17A-3; 17A-11; 17A-13.	THE ABOVE SANCTIONS WERE AGREED TO IN SETTLEMENT OF PROCEEDINGS WITHOUT ADMITTING OR DENYING THE ALLEGATIONS.
0001380486-07-000006	violationOfRegulations	2	THE TORONTO DOMINION BANK	FINAL CONSENT JUDGMENT	02-AUG-1989	U.S. Securities and Exchange Commission	VIOLATIONS OF SECTION 7(D) OF THE EXCHANGE ACT AND REGULATION U OF THE FEDERAL RESERVE BOARD AND, AGAINST THE TORONTO-DOMINION BANK TRUST COMPANY AGAINST AIDING AND ABETTING VIOLATIONS OF SECTION 7(F) OF THE EXCHANGE ACT AND REGULATION X OF THE FEDERAL RESERVE BOARD.	FINAL CONSENT JUDGMENT, ON SEPTEMBER 25, 1989, TO A PERMANENT INJUNCTION AGAINST THE TORONTO-DOMINION BANK, WITHOUT ADMISSION OF GUILT OR DENIAL OF THE ALLEGATIONS.
0001380486-07-000006	sraViolationOfRules	1	FIRST OMAHA SECURITIES CORPORATION	NASD DISTRICT 4 COMPLAINT AW-7 DATED 06/21/1976	21-JUN-1976	NATIONAL ASSOCIATION OF SECURITIES DEALERS	THIS ACTION WAS THE RESULT OF THE SAME METTER REFERRED TO IN PREVIOUS DRP FILED REGARDING THE STATE OF ILLINOIS (FILE NO. 76-0-343), DATED 09/08/1976	NASD CENSURED AND FINED FIRST OMAHA SECURITIES CORPORATION $1,000.00
0001380486-07-000006	sraViolationOfRules	2	AMERITRADE, INC.	FILE NO. 87-0049	22-DEC-1987	CHICAGO BOARD OPTIONS EXCHANGE	ALLEGED VIOLATION OF EXCHANGE RULES 9 7(B)	ALLEGED VIOLATION WAS DISMISSED UPON A SETTLEMENT AGREEMENT THAT NEITHER ADMITTED NOR DENIED THE ALLEGATION, AND PAYMENT OF A $1,500 FINE.
0001380486-07-000006	sraViolationOfRules	3	DATEK ONLINE FINANCIAL SERVICES, LLC, ICLEARING, LLC AND AMERITRADE, INC.	AWC no. C04040011	11-MAR-2004	NATIONAL ASSOCIATION OF SECURITIES DEALERS	ALLEGED VIOLATIONS OF REGULATION T AND NASD CONDUCT RULE 2110	WITHOUT ADMITTING OR DENYING THE ALLEGATIONS OR FINDING, THE THREE FIRMS CONSENTED TO A CENSURE AND A FINE OF $10,000,000
0001380486-07-000006	violationOfRegulations	1	FIRST OMAHA SECURITIES	FILE NO. 76-0-343	08-SEP-1976	U.S. Securities and Exchange Commission	IN SETTLEMENT OF SEC ACTION DATED 09/08/76, THROUGH US DISTRICT COURT OF NEBRASKA, FIRST OMAHA SECURITIES WAS PERMANENTLY ENJOINED FROM ENGAGING IN ANY ACT WHICH WOULD VIOLATE SEC RULES 15C3-1; 15C3-2; 17A-3; 17A-11; 17A-13.	THE ABOVE SANCTIONS WERE AGREED TO IN SETTLEMENT OF PROCEEDINGS WITHOUT ADMITTING OR DENYING THE ALLEGATIONS.
0001380486-07-000006	registrationDeniedOrSuspended	2	The TORONTO DOMINION BANK	FINAL CONSENT JUDGMENT	02-AUG-1989	U.S. Securities and Exchange Commission	VIOLATIONS OF SECTION 7(D) OF THE EXCHANGE ACT AND REGULATION U OF THE FEDERAL RESERVE BOARD AND, AGAINST THE TORONTO-DOMINION BANK TRUST COMPANY AGAINST AIDING AND ABETTING VIOLATIONS OF SECTION 7(F) OF THE EXCHANGE ACT AND REGULATION X OF THE FEDERAL RESERVE BOARD.	FINAL CONSENT JUDGMENT, ON SEPTEMBER 25, 1989, TO A PERMANENT INJUNCTION AGAINST THE TORONTO-DOMINION BANK, WITHOUT ADMISSION OF GUILT OR DENIAL OF THE ALLEGATIONS.
0000088525-07-000488	sraViolationOfRules	2	Brecek & Young Advisors, Inc.	In re: Brecek & Young Advisors, Inc. Case #E012004001703	22-AUG-2005	National Association of Securities Dealers	Violations of NASD Rules 2110 & 3011. AML compliance program found inadequate in that written procedures did not address all required elements of NASD Rule 3011; testing of member's program was not independent.	On 8-22-2005, entered into an acceptance, waiver and consent wherein Brecek, without admitting or denying the allegations, paid a fine of $5,000 and agreed to censure.
0000088525-07-000488	sraViolationOfRules	1	Brecek & Young Advisors, Inc.	In the Matter of Brecek & Young Advisors, Inc. #CAF040011	05-NOV-2003	National Association of Securities Dealers	Failure to provide appropriate sales charge discounts in some instances in the sale of mutual funds. Brecek & Young is a control affiliate of the Applicant	Entered into an acceptance, waiver and consent on 1/23/2004, wherein Brecek paid a fine of $31,244, and agreed to censure.
0000088525-07-000488	fsrViolationOfInvestmentRelatedRegulation	2	Brecek & Young Advisors, Inc.	In re: Brecek & Young Advisors, Inc. Case C-09-27-05-054	04-OCT-2005	Montana State Auditor	Failure to properly supervise a registered representative. Brecek & Young is a control affiliate of the Applicant.	Brecek entered into a consent order on 10/21/2005 and agreed to pay an administrative fine of $2,500.
0000088525-07-000488	fsrViolationOfInvestmentRelatedRegulation	1	Security Distributors, Inc.	In the Matter of Security Distributors	05-JUL-1974	Attorney General of the State of New York, Bureau of Securities	The Attorney General alleged the failure of Security Distributors, Inc., a control affiliate of the Applicant, to file renewals of its broker/dealer statements pursuant to the General Business Laws of the State of New York.	On 4/13/1978, Security Distributors entered into a Consent Order with the Attorney General, where in it agreed to pay a $4,000 fine and did so in 1978.
