ACCESSION_NUMBER	ADDRESS_ID	ADDRESS_TYPE	ADDRESS
0001477932-22-007335	1	principalOfficeAddress	41 Madison Suite 2539 New York NY 10010
0001557183-22-000002	1	otherBusinessLocation	920 Main Street Suite 900 Kansas City MO 64105
0001557183-22-000002	1	principalOfficeAddress	95 Wells Avenue Ste 160 Newton MA 02459
0001557183-22-000002	2	otherBusinessLocation	475 Kilvert Street Suite 300 Warwick RI 02886
0001557183-22-000002	3	otherBusinessLocation	9070 S Rita Road  Tucson AZ 85747
0001146230-22-000012	3	otherBusinessLocation	Newport Office Center VII 480 Washington Boulevard Jersey City NJ 07310
0001146230-22-000012	2	otherBusinessLocation	144 Fernwood Avenue  Edison NJ 08837
0001146230-22-000012	1	otherBusinessLocation	33 North LaSalle Street, Suite 1100  Chicago IL 60602
0001146230-22-000012	4	otherBusinessLocation	211 Quality Circle Suite 210 College Station TX 77845
0001146230-22-000012	1	principalOfficeAddress	150 Royall Street  Canton MA 02021-1011
0001146230-22-000012	5	otherBusinessLocation	462 South Fourth Street  Louisville KY 40202
0001424912-22-000009	1	principalOfficeAddress	One Security Benefit Place  Topeka KS 66636
0001945558-22-000002	1	principalOfficeAddress	1630 Greenfield Ave Apt 203 Los Angeles CA 90025
0001942713-22-000003	1	principalOfficeAddress	525 Green Place  Woodmere NY 11598
0001451217-22-000014	1	principalOfficeAddress	1 Freedom Valley Drive  Oaks PA 19456
0000024179-22-000002	1	principalOfficeAddress	One State Street 30th Floor New York NY 10004
0001654954-22-012376	1	otherBusinessLocation	One Grand Central Place 60 East 42nd Street, Suite 1201 New York NY 10165
0001654954-22-012376	1	principalOfficeAddress	38B Sheep Pasture Road  Port Jefferson NY 11777
0001451217-22-000011	1	principalOfficeAddress	1 Freedom Valley Drive  Oaks PA 19456
0001718015-22-000008	2	otherBusinessLocation	702-67 Yonge St  TORONTO A6 M5E 1J8
0001718015-22-000008	1	otherBusinessLocation	1230-300 5th Ave SW  CALGARY A0 T2P 3C4
0001718015-22-000008	1	principalOfficeAddress	350 - 409 Granville St  Vancouver A1 V6C 1T2
