ACCESSION_NUMBER	ENTITY_TYPE	ENT_ID	ENTITYNAME	AGREEMENTDESCRIPTION
0000798947-19-000008	otherControlManagement	1	Daniel W Jackson	Outside counsel / Director not a control person
0001018490-19-000015	otherControlFinance	1	Various - See below.	A Deutsche Bank AG holding company, Deutsche Bank Trust Corporation, provided the original, capital funding for the Registrant and for a time provided a line of credit for working capital. Working capital is now provided via service fees which originate from inter-company billings for the services rendered.
0001018490-19-000015	otherControlManagement	1	Various - See below.	DB Services Americas, Inc. (DBSA) was established as a servicing company to provide operational services to Deutsche Bank Trust Company Americas (DBTCA) and Deutsche Bank National Trust Company (DBNTC). DBSA does not have any third party client agreements. Rather, DBSA, as engaged by DBTCA and DBNTC provides technical and administrative support services including data processing, maintenance of appropriate records in accordance with existing standards, recordkeeping and accounting functions in connection with services provided to DBTCAs and DBNTCs clients. DBTCA and DBNTC have appointed DBSA as its agent to act on their behalf in connection with the transfer and servicing of securities. Accounts are maintained jointly by DBTCA, DBNTC and DBSA. DBSA in its transfer agent function provides services to DBTCA and DBNTC in a manner as if DBSA is an independent, dedicated contractor that works solely for DBTCA and DBNTC and no other transfer agent. There is a shared system of database for DBTCA, DBNTC and DBSA.
0001630490-19-000004	otherControlManagement	1	Fidelity National Information Services; FIS SG Holding Corp; FIS Data Systems; FIS investment Ventures LLC	Indirect parent company; indirect parent company; indirect parent company
0000783027-19-000005	otherControlManagement	3	David L Becker	Chief Compliance Officer
0000783027-19-000005	otherControlManagement	1	Todd J May	Chief Executive Officer
0000783027-19-000005	otherControlManagement	2	Kathryn Sevcik	Chief Operating Officer, Director
0000897101-19-001038	otherControlManagement	1	Guy Wakeley	Director
0000897101-19-001038	otherControlManagement	7	Dannette Smith	Chairperson of the Board
0000897101-19-001038	otherControlManagement	6	Michael O'Donnell	Director
0000897101-19-001038	otherControlManagement	5	Bruce Helsel	Director
0000897101-19-001038	otherControlManagement	4	Kathryn Sevcik	Chief Operating Officer, Director
0000897101-19-001038	otherControlManagement	3	Todd J. May	Chief Executive Officer, Director
0000897101-19-001038	otherControlManagement	8	David L. Becker	Chief Compliance Officer
0000897101-19-001038	otherControlManagement	2	John Stier	Director
0000002380-19-000003	otherControlManagement	1	The Independent Order of Foresters	Foresters Investor Services, Inc. is a wholly-owned subsidiary of Foresters Financial Holding Company, which in turn is owned by The Independent Order of Foresters.
0001794142-19-000001	otherControlManagement	1	TokenSoft Inc.	Sole owner of DTAC Holdings LLC
0001794142-19-000001	otherControlFinance	1	TokenSoft Inc.	Sole Owner of DTAC Holdings LLC
0001794508-19-000003	otherControlManagement	1	Shawn Owen	Principal Owner
0001794508-19-000003	otherControlFinance	1	Shawn Owen	Principal Owner
