ACCESSION_NUMBER	CORP_PARTNER_TYPE	CORP_PARTNER_ID	ENTITYNAME	RELATIONSHIPSTARTDATE	TITLEORSTATUS	OWNERSHIPCODE	CONTROLPERSON	AUTHORITYDESCRIPTION	RELATIONSHIPENDDATE
0001451217-18-000007	corporationPartnership	7	Jay Cipriano	30-MAY-2008	Vice President	NA			
0001451217-18-000007	corporationPartnership	6	Phillip Masterson	30-MAY-2008	Vice President	NA			
0001451217-18-000007	corporationPartnership	10	James Ndiaye	30-MAY-2008	Vice President and Assistant Secretary	NA			01-MAR-2012
0001451217-18-000007	corporationPartnership	11	Mark Nagle	30-MAY-2008	Director and Senior Vice President	NA			03-OCT-2012
0001451217-18-000007	corporationPartnership	12	James F. Volk	30-MAY-2008	Chief Compliance Officer	NA			03-OCT-2014
0001451217-18-000007	corporationPartnership	13	Al DelPizzo	30-MAY-2008	President	NA			23-FEB-2016
0001451217-18-000007	corporationPartnership	14	Bridget Jensen	04-MAR-2009	Vice President	NA			
0001451217-18-000007	corporationPartnership	15	Robert Muse	04-MAR-2009	President	NA			
0001451217-18-000007	corporationPartnership	16	David McCann	04-MAR-2009	Vice President and Assistant Secretary	NA			
0001451217-18-000007	corporationPartnership	17	Stephen Meyer	03-JUN-2010	Director and Senior Vice President	NA	true		
0001451217-18-000007	corporationPartnership	18	Mark F. McManus	20-DEC-2010	Vice President	NA			
0001451217-18-000007	corporationPartnership	19	Brent N. Vasher	20-DEC-2010	Vice President	NA			
0001451217-18-000007	corporationPartnership	20	Philip McCabe	03-OCT-2012	Director and Senior Vice President	NA	true		
0001451217-18-000007	corporationPartnership	21	Keith Dietel	03-OCT-2014	Chief Compliance Officer	NA			
0001451217-18-000007	corporationPartnership	22	Teresa Curley	24-MAY-2016	Vice President	NA			
0001451217-18-000007	corporationPartnership	23	Michael Peterson	30-MAY-2018	Director and Senior Vice President	NA	true		
0001451217-18-000007	corporationPartnership	1	Timothy Barto	30-MAY-2008	General Counsel and Secretary	NA			
0001451217-18-000007	corporationPartnership	2	Robert Silvestri	30-MAY-2008	Treasurer	NA			
0001451217-18-000007	corporationPartnership	3	Jeff Klauder	30-MAY-2008	Director and Senior Vice President	NA	true		14-MAY-2018
0001451217-18-000007	corporationPartnership	4	Dennis McGonigle	30-MAY-2008	Director and Senior Vice President	NA	true		
0001451217-18-000007	corporationPartnership	5	Aaron Buser	30-MAY-2008	Vice President and Assistant Secretary	NA			
0001451217-18-000007	corporationPartnership	9	SEI Investments Company	30-MAY-2008	Ultimate Parent Company	E	true		
0001451217-18-000007	corporationPartnership	8	SEI Investments Management Corporation	30-MAY-2008	Direct Parent Company	E	true		
0001144204-18-035388	soleProprietorship	4	Armor Holdco, Inc.	23-MAY-2008	Shareholder			N/A	
0001144204-18-035388	soleProprietorship	17	Martin Flanigan	22-MAY-2018	Chief Executive Officer			N/A	
0001144204-18-035388	soleProprietorship	2	Angela Desmond	12-DEC-2016	Interim Chief Risk and Compliance Office			N/A	28-MAR-2017
0001144204-18-035388	soleProprietorship	3	Armor Holding II LLC	23-MAY-2008	Shareholder			N/A	
0001144204-18-035388	soleProprietorship	5	Paul McCullagh	22-MAY-2009	Director			N/A	
0001144204-18-035388	soleProprietorship	6	Robert M. Carney, Sr.	27-FEB-2012	President, Issuer & Investor Services			N/A	
0001144204-18-035388	soleProprietorship	7	Sarah Kavanagh	18-NOV-2011	Director			N/A	
0001144204-18-035388	soleProprietorship	8	Stephen Fradkin	30-APR-2014	Director			N/A	
0001144204-18-035388	soleProprietorship	9	Armando Falcon	23-APR-2014	Director			N/A	
0001144204-18-035388	soleProprietorship	10	Simon Pillar	28-JAN-2015	Director			N/A	
0001144204-18-035388	soleProprietorship	11	Jacob Haines	24-MAR-2010	Director			N/A	
0001144204-18-035388	soleProprietorship	12	Martin Flanigan	05-SEP-2012	Chief Financial Officer and Director			N/A	
0001144204-18-035388	soleProprietorship	13	Thomas Cortese	19-OCT-2015	Chief Compliance Officer			N/A	
0001144204-18-035388	soleProprietorship	14	Asher Richelli	18-DEC-2014	Chief Legal Officer			N/A	
0001144204-18-035388	soleProprietorship	15	Brian Longe	04-JAN-2016	Chief Executive Officer, Chairman			N/A	23-MAY-2018
0001144204-18-035388	soleProprietorship	16	David Chitty	12-JUN-2017	Head of Compliance and Risk Management			N/A	
0001144204-18-035388	soleProprietorship	1	Ellen McCarthy	15-AUG-2014	Executive Vice President, Risk and Compl			N/A	25-NOV-2016
0000733598-18-000002	corporationPartnership	3	Raymond Carli	24-OCT-2010	Treasurer	NA	true		
0000733598-18-000002	corporationPartnership	4	Peter G Callahan	09-MAR-1987	Senior Vice President/TA CEO	NA	true		
0000733598-18-000002	corporationPartnership	2	Edward Farrell	25-AUG-2003	Controller	NA	true		
0000733598-18-000002	corporationPartnership	1	John Weisenseel	14-MAY-2012	SVP/CFO	NA	true		
0001062993-18-002700	corporationPartnership	3	Martin G. Flanigan	31-JUL-2015	Director	NA	true		29-JAN-2016
0001062993-18-002700	corporationPartnership	2	Mark Healy	26-JUL-2010	Director	NA	true		30-JUL-2015
0001062993-18-002700	corporationPartnership	1	Canadian Stock Transfer Holdings LLC	26-JUL-2010	Shareholder	E	true		
0001062993-18-002700	corporationPartnership	10	Martin Flanigan	06-JUN-2018	Directior	NA	true		
0001062993-18-002700	corporationPartnership	4	Rohan Wolfers	02-JAN-2015	Director	NA	true		30-JUN-2017
0001062993-18-002700	corporationPartnership	8	Margot Jordan	15-SEP-2015	Director	NA	true		
0001062993-18-002700	corporationPartnership	7	Brian Longe	29-JAN-2016	Director	NA	true		22-MAY-2018
0001062993-18-002700	corporationPartnership	6	Jacob Haines	26-JUL-2010	Director	NA	true		
0001062993-18-002700	corporationPartnership	5	Laurel Savoy	10-FEB-2010	EVP	NA	true		17-SEP-2015
0001062993-18-002700	corporationPartnership	9	Alex Ovchar	30-JUN-2017	Director	NA	true		
0001062993-18-002699	corporationPartnership	3	Sarah Kavanagh	04-APR-2013	Director	NA	true		
0001062993-18-002699	corporationPartnership	2	Mark Healy	04-APR-2013	Chair	NA			30-JUL-2015
0001062993-18-002699	corporationPartnership	4	Martin G. Flanigan	31-JUL-2015	Chair	NA	true		29-JAN-2016
0001062993-18-002699	corporationPartnership	13	Martin Flanigan	08-JUN-2018	Director	NA	true		
0001062993-18-002699	corporationPartnership	12	Margot Jordan	14-MAR-2016	Director	NA	true		
0001062993-18-002699	corporationPartnership	11	Brian Longe	29-JAN-2016	Chair	NA	true		22-MAY-2018
