ACCESSION_NUMBER	ENTITY_TYPE	ENT_ID	ENTITYNAME	AGREEMENTDESCRIPTION
0001144204-15-073443	otherControlManagement	1	RCS Capital Corporation	LLC agreement for RCS Capital Holdings, LLC
0001213900-15-009798	otherControlManagement	1	Scott Purcell	CEO of holding company, FundAmerica Technologies, LLC.
0001213900-15-009798	otherControlFinance	1	Jon Jiles and J. Max Jiles, as Trustee for the J. Max Jiles Trust (dated September 16, 2014).	Description of Agreement or other basis. Angel investors in the applicant's 100% holding company, FundAmerica Technologies, LLC. They are not involved in the day-to-day operation of the holding company or FundAmerica Stock Transfer, LLC.
0001354488-15-005661	otherControlManagement	1	Brian Balbirnie	Named person above is CEO of both Direct Transfer LLC and its parent company, Issuer Direct Corporation.
0001007444-15-000027	otherControlManagement	1	LPL Financial Holdings Inc.	Sole stockholder of LPL Holdings, Inc.
0000950123-15-012585	otherControlManagement	5	SunGard Holding Corp.	Indirect Parent Company
0000950123-15-012585	otherControlManagement	1	Fidelity National Information Services, Inc.	Indirect Parent Company
0000950123-15-012585	otherControlManagement	2	SunGard LLC	Indirect Parent Company
0000950123-15-012585	otherControlManagement	3	SunGard Data Systems Inc.	Indirect Parent Company
0000950123-15-012585	otherControlManagement	4	SunGard Holdco LLC	Indirect Parent Company
0001018490-15-000027	otherControlFinance	1	Various-see below.	A Deutsche Bank AG holding company, Deutsche Bank Trust Corporation, provided the original, capital funding for the Registrant and for a time provided a line of credit for working capital. Working capital is now provided via service fees which originate from inter-company billings for the services rendered.
