ACCESSION_NUMBER	ENTITY_TYPE	ENT_ID	ENTITYNAME	AGREEMENTDESCRIPTION
0001049169-18-000104	otherControlManagement	2	DST Systems, Inc.	ALPS Fund Services, Inc. is a wholly owned indirect subsidiary of DST Systems, Inc. company.
0001049169-18-000104	otherControlManagement	1	ALPS Holdings Inc., a DST Systems, Inc. company	ALPS Fund Services, Inc. is a wholly owned subsidiary of ALPS Holdings, Inc., a DST Systems, Inc. company.
0001049169-18-000104	otherControlManagement	3	SS&C Technologies Holdings, Inc.	ALPS Fund Services, Inc. is a wholly owned indirect subsidiary of SS&C Technologies Holdings, Inc. company.
0001448300-18-000008	otherControlManagement	1	Refer to attachment r9(a)(i)	"Putnam Investor Services, Inc. is a direct subsidiary of Putnam U.S. Holdings I, LLC, which in turn is a direct subsidiary of Putnam Acquisition Financing LLC. Putnam Acquisition Financing LLC. is a direct subsidiary of Putnam Acquisition Financing Inc. Putnam Acquisition Financing Inc. is a direct subsidiary of Putnam Investments, LLC. Putnam Investments, LLC is a direct subsidiary of Great-West Lifeco U.S. LLC. Great-West Lifeco U.S. LLC is a direct subsidiary of Great-West Financial (Nova Scotia) Co. Great-West Financial (Nova Scotia) Co. is a direct subsidiary of Great-West Financial (Canada) Inc. Great-West Financial (Canada) Inc. is a direct subsidiary of Great-West Lifeco Inc. Great-West Lifeco Inc. is a direct subsidiary of Power Financial Corporation. Power Financial Corporation is a direct subsidiary of 171263 Canada Inc. 171263 Canada Inc. is a direct subsidiary of Power Corporation of Canada. Power Corporation of Canada is a direct subsidiary of Pansolo Holdings Inc. Pansolo Holdings Inc. is owned by The Desmarais Family Residuary Trust (the ""Trust""), which is the ultimate parent of Putnam Investor Services, Inc. The Trustees of the Trust are Andre Desmarais, Sophie Desmarais, Paul Desmarais Jr., Guy Fortin, and Michel Plessis-Belair. Decisions with respect to voting the shares of Power Corporation of Canada held directly and indirectly by the Trust are determined by a majority of the Trustees of the Trust, excluding Sophie Desmarais. The Trustees of the Trust (other than Ms. Sophie Desmarais) are listed above in this capacity, without conceding that they ""control,"" or any individual trustee ""controls,"" Putnam Investor Services, Inc."
0001018490-18-000008	otherControlFinance	1	Various - See below.	A Deutsche Bank AG holding company, Deutsche Bank Trust Corporation, provided the original, capital funding for the Registrant and for a time provided a line of credit for working capital. Working capital is now provided via service fees which originate from inter-company billings for the services rendered.
0001018490-18-000008	otherControlManagement	1	Various - See below.	DB Services Americas, Inc. (DBSA) was established as a servicing company to provide operational services to Deutsche Bank Trust Company Americas (DBTCA) and Deutsche Bank National Trust Company (DBNTC). DBSA does not have any third party client agreements. Rather, DBSA, as engaged by DBTCA and DBNTC provides technical and administrative support services including data processing, maintenance of appropriate records in accordance with existing standards, recordkeeping and accounting functions in connection with services provided to DBTCAs and DBNTCs clients. DBTCA and DBNTC have appointed DBSA as its agent to act on their behalf in connection with the transfer and servicing of securities. Accounts are maintained jointly by DBTCA, DBNTC and DBSA. DBSA in its transfer agent function provides services to DBTCA and DBNTC in a manner as if DBSA is an independent, dedicated contractor that works solely for DBTCA and DBNTC and no other transfer agent. There is a shared system of database for DBTCA, DBNTC and DBSA.
0001007444-18-000010	otherControlManagement	1	LPL Financial Holdings Inc.	Sole stockholder of LPL Holdings, Inc.
0001667174-18-000004	otherControlManagement	1	David Eppert	President and Husband of Catherine Wang
0001419454-18-000004	otherControlFinance	1	FMR LLC	Directly and indirectly, through certain of its affiliated companies, FMR LLC wholly or partially may finance Fidelity Business Services India Private Limited
0001419454-18-000004	otherControlManagement	1	FMR LLC	Through certain of its direct or indirect subsidiaries, FMR LLC is the ultimate parent company of Fidelity Business Services India Private Limited
0001413398-18-000007	otherControlManagement	1	Morgan Stanley Investment Management Inc.	Morgan Stanley Services Company Inc., is a wholly owned subsidiary of Morgan Stanley Investment Management Inc.
0001413398-18-000007	otherControlManagement	2	Morgan Stanley	Morgan Stanley Investment Management Inc., the parent company of Morgan Stanley Services Company Inc., is a wholly owned subsidiary of Morgan Stanley.
0001007444-18-000008	otherControlManagement	1	LPL Financial Holdings Inc.	Sole stockholder of LPL Holdings, Inc.
0001413398-18-000004	otherControlManagement	1	Morgan Stanley Investment Management Inc.	Morgan Stanley Services Company Inc., is a wholly owned subsidiary of Morgan Stanley Investment Management Inc.
0001413398-18-000004	otherControlManagement	2	Morgan Stanley	Morgan Stanley Investment Management Inc., the parent company of Morgan Stanley Services Company Inc., is a wholly owned subsidiary of Morgan Stanley.
0001451316-18-000003	otherControlManagement	1	Templeton International, Inc.	100% Ownership of Franklin Templeton Luxembourg S.A.
0001451316-18-000003	otherControlManagement	3	Franklin Resources, Inc.	100% Owner of Templeton Worldwide, Inc.
0001451316-18-000003	otherControlManagement	2	Templeton Worldwide, Inc.	100% Ownership of Templeton International, Inc.
0001511164-18-000205	otherControlFinance	1	Connect X Capital Partners LLC	Share Purchase Agreement dated July 31, 2017
0001511164-18-000205	otherControlManagement	1	Connect X Capital Partners LLC	Transhare Corporation is a wholly owned subsidiary of Connect X
0001511164-18-000204	otherControlFinance	1	Connect X Capital Markets LLC	Holding Company - 100% owner of applicant
0001511164-18-000204	otherControlManagement	1	Micah Eldred, Christine Zitman, David Lopez	Officers of the applicant
0001448300-18-000006	otherControlManagement	1	Refer to attachment r9(a)(i)	"Putnam Investor Services, Inc. is a direct subsidiary of Putnam U.S. Holdings I, LLC, which in turn is a direct subsidiary of Putnam Acquisition Financing Inc. Putnam Acquisition Financing Inc. is a direct subsidiary of Putnam Acquisition Financing LLC. Putnam Acquisition Financing LLC is a direct subsidiary of Putnam Investments, LLC. Putnam Investments, LLC is a direct subsidiary of Great-West Lifeco U.S. LLC. Great-West Lifeco U.S. LLC is a direct subsidiary of Great-West Financial (Nova Scotia) Co. Great-West Financial (Nova Scotia) Co. is a direct subsidiary of Great-West Financial (Canada) Inc. Great-West Financial (Canada) Inc. is a direct subsidiary of Great-West Lifeco Inc. Great-West Lifeco Inc. is a direct subsidiary of Power Financial Corporation. Power Financial Corporation is a direct subsidiary of 171263 Canada Inc. 171263 Canada Inc. is a direct subsidiary of Power Corporation of Canada. Power Corporation of Canada is a direct subsidiary of Pansolo Holdings Inc. Pansolo Holdings Inc. is owned by The Desmarais Family Residuary Trust (the ""Trust""), which is the ultimate parent of Putnam Investor Services, Inc. The Trustees of the Trust are Andre Desmarais, Sophie Desmarais, Paul Desmarais Jr., Guy Fortin, and Michel Plessis-Belair. Decisions with respect to voting the shares of Power Corporation of Canada held directly and indirectly by the Trust are determined by a majority of the Trustees of the Trust, excluding Sophie Desmarais. The Trustees of the Trust (other than Ms. Sophie Desmarais) are listed above in this capacity, without conceding that they ""control,"" or any individual trustee ""controls,"" Putnam Investor Services, Inc."
