ACCESSION_NUMBER	ACTION_TYPE	ACTION_ID	ENTITYNAME	ACTIONTITLE	ACTIONDATE	COURTORBODYNAMEANDLOCATION	ACTIONDESCRIPTION	DISPOSITIONOFPROCEEDING
0000862124-07-000007	sraViolationOfRules	6	National Financial Services Corporation	In the Matter of National Financial Services Corporation	14-APR-1988	New York Stock Exchange	Applicant?s affiliate, National Financial Services Corporation, 161 Devonshire Street, Boston, MA 02110 was fined $1,000 by the New York Stock Exchange on April 14, 1988, for a violation of NYSE Rule 132.30 in that it failed to submit audit trail data for transactions effected on the floor of the Exchange.	Fine
0000862124-07-000007	sraViolationOfRules	20	National Financial Services LLC and three affiliated broker-dealers	In the Matter of National Financial Services LLC and three affiliated broker-dea	05-FEB-2007	NASD	National Financial Services LLC and three affiliated broker-dealers (Fidelity Brokerage Services LLC, Fidelity Investment Institutional Services Company, Inc., and Fidelity Distributors Corporation) consented to a censure, a $3.75 million fine for which they are jointly and severally liable, and to various undertakings in connection with the NASD's allegations that the firms (A) violated Exchange Act Rule 17A-4 and NASD Rule 3110 by failing to retain electronic communications in the format and for the length of time required by those rules; (B) violated NASD Rule 1031 by allowing employees who were neither required nor permitted to be registered to retain their registrations; (C) violated NASD Rule 3010 by failing to assign a registered supervisor to numerous registered persons; (D) failed to supervise the registration of employees and the process for retaining electronic communications; and (E) that with respect to affiliate Fidelity Distributors Corporation it failed to supervise its registered persons who accepted gifts and entertainment in violation of the firm's policies.	On February 5, 2007, the NASD entered an AWC in which National Financial Services LLC and three affiliated broker-dealers consented to a censure, a $3.75 million fine, for which they are jointly and severally liable and to various undertakings.
0000862124-07-000007	violationOfRegulations	4	National Financial Services Corporation	In the Matter of National Financial Services Corporation	17-JUN-1991	NYSE	National Financial Services Corporation, a member organization, violated SEC Regulation 240.15C3-3(B) and (D) in that it did not promptly obtain and thereafter maintain the physical possession or control of all fully paid securities and excess margin securities carried by it for the accounts of customer; SEC Regulation 240.15C3-3(E)(1) in that it failed on one or more occasions to maintain its reserve bank account at the level required by such regulation; SEC Regulation 240.15C3-3(E)(3) in that it inaccurately computed the amount required to be on deposit in its reserve bank account; SEC Regulation 240.17A-3(5) and Exchange Rule 440 in that it failed to make and keep current its books and records, and SEC Regulation 240.15C3-3(E)(1) in that it failed to ensure proper segregation of securities purchased for and intended to be deposited in its reserve bank account.	Consent to censure and fine of $25,000.
0000862124-07-000007	violationOfRegulations	3	Fidelity Brokerage Services LLC	In the Matter of Fidelity Brokerage Services LLC	31-JUL-2004	Securities and Exchange Commission	On July 7, 2004, the Firm (Fidelity Brokerage Services LLC) made an offer of settlement to the SEC and the Commission accepted the offer on July 31, 2004.  The Firm consented to the entry of an order finding that it had violated Section 17(A) of the Exchange Act and 17A-4(B)(4), thereunder, and had failed reasonably to supervise its employees.	The Firm agreed to a censure under Section 15(B)(4)(E), a cease and desist under Section 21C from violating Section 17(A) of the Exchange Act and 17A-4, thereunder, and a fine of $1,000.000.
0000862124-07-000007	fsrViolationOfInvestmentRelatedRegulation	7	Fidelity Brokerage Services, UK	In the Matter of Fidelity Brokerage Services, UK	01-MAY-1997	Securities and Futures Authority Limited, United Kingdom	As the result of the conversion to a new computer system, the control affiliate (Fidelity Brokerage Services, UK) encountered operational difficulties in the recordkeeping and reporting of customer accounts.  These difficulties prompted the affiliate to enter into undertakings with the Securities and Futures Authority Limited, United Kingdom ('SFA') to not take on new retail business for a period of six months.  The SFA concluded that as a result of the operational difficulties, the affiliate violated SIB Principles 2 and 9.	The affiliate was assessed 200,000 pounds (sterling) in fines and 162,500 pounds (sterling) in investigation costs.
0000862124-07-000007	fsrViolationOfInvestmentRelatedRegulation	1	Fidelity Brokerage Services, Inc.	In the Matter of Fidelity Brokerage Services, Inc.	01-JAN-1990	State of Vermont	In January, 1990, Applicant?s affiliate, Fidelity Brokerage Services, Inc., 161 Devonshire Street, Boston, MA 02110, entered into a Consent Order with the state of Vermont concerning agent registration deficiencies and paid $5,000.00 for costs of investigation.	Consent Order
0000862124-07-000007	fsrViolationOfInvestmentRelatedRegulation	2	Fidelity Distributors, Corporation	In the Matter of Fidelity Distributors, Corporation	25-FEB-1994	Arizona Corporation Commission	On February 25, 1994, Applicant?s affiliate, Fidelity Distributors, Corporation, 82 Devonshire Street, Boston, MA 02109, entered into a Consent Order with the Arizona Corporation Commission arising out of sales of unregistered shares of certain Fidelity funds to sixteen Arizona investors in violation of A.R.S. section 44-1841.  Under the terms of the Order, Fidelity Distributors, Corporation consented to cease and desist from further violations of A.R.S. sections 44-1841, to pay an administrative penalty of $25,000.00 and to offer rescission to those Arizona residents who had purchased unregistered shares.	Consent Order
0000862124-07-000007	fsrViolationOfInvestmentRelatedRegulation	3	FMR Corp.	In the Matter of FMR Corp.	02-MAY-1994	Securities Division of the Commonwealth of Massachusetts	On May 2, 1994, Applicant?s affiliate, FMR Corp., 82 Devonshire Street, Boston, MA 02109 entered into a Consent Order with the Securities Division of the Commonwealth of Massachusetts.  The Consent Order related to the failure by FMR Corp., on behalf of certain Fidelity Funds, to satisfy in a timely manner the annual reporting requirement set forth in the Division?s regulations under Massachusetts securities laws.  Under the terms of the Consent Order, FMR Corp. was assessed an administrative penalty of $10,000.00.	Consent Order
0000862124-07-000007	fsrViolationOfInvestmentRelatedRegulation	4	Fidelity Management & Research Company	In the Matter of Fidelity Management & Research Company	07-SEP-2000	NY State Insurance Dept.	On September 7, 2000, the NY State Insurance Dept. entered into a stipulation agreement with Fidelity Management & Research Company.   The stipulation related to the failure by Fidelity Management & Research Company to receive prior approval from the superintendent of insurance before acquiring beneficial ownership of securities representing 5% or more of the outstanding voting securities of a company that owned 100% of a NY domiciled life insurance company.  Under the terms of the stipulation the superintendent approved the applicant?s acquisition of beneficial ownership of the securities and Fidelity Management & Research Company consented to the imposition of a civil penalty totaling $400,000.00.	Stipulation Agreement
0000862124-07-000007	fsrViolationOfInvestmentRelatedRegulation	5	Fidelity Distributors Corporation	In the Matter of Fidelity Distributors Corporation	02-AUG-1990	Illinois Securities Department	Fidelity Distributors Corporation ('FIDELITY') entered into a consent order of prohibition with the Illinois Securities Department (The 'DEPARTMENT'), whereby, fidelity neither admitted nor denied certain findings of fact or conclusions of law made by the Department in that Fidelity failed to: 1) timely establish an account for a customer of one of its funds; 2) properly account for customer's funds for over a 90-day period; and 3) issue reasonable communication or notice to customer to minimize customer's losses.  All, in violation of Sections 8.E(1)(B) of the Illinois Securities Law of 1953, ILL.REV. STAT., as amended, Ch 121 1/2, SEC.137.1.ET.SEQ.  (The 'ACT').  The consent order prohibits Fidelity to engage in the offering and selling of any securities in Illinois unless in compliance with the Act and the Rules and Regulations then in effect	Consent Order
