ACCESSION_NUMBER	ENTITYNAME	ACTIVITIESCONDUCTEDENTITYNAME	WITHDRAWALDESCRIPTION	LASTACTIONDATE	FUTURETRANSFERAGENTFUNCTIONS	SUBJECTOFPROCEEDINGSINVOLVED	UNSATISFIEDJUDGEMENTSORLIENINV	SUCCESSORTRANSFERAGENTS
0001144204-07-033965	Citco Technology Management, Inc.		Registrant has been inactive as a transfer agent for some time and has no plans to become active as a transfer agent.	06-DEC-2001	N	N	N	N
0001129193-07-000011	Computershare Trust Company of New York		Merger with affiliate, Computershare Trust Company, N.A.	31-DEC-2006	N	N	N	Y
0001004432-07-000002	Retirement Financial Services Inc.		AS A RESULT OF CORPORATE RESTRUCTURING AND THE TRANSITION OF CERTAIN SERVICES PREVIOUSLY PROVIDED BY REGISTRANT IT IS NO LONGER NECESSARY FOR REGISTRANT TO MAINTAIN ITS REGISTRATION AS A REGISTERED TRANSFER AGENT.	25-MAY-2007	N	N	N	N
0000950135-07-003362	Historic Preservation Properties 1989 Limited Partnership		Liquidation of Partnership	31-DEC-2006	N	N	N	N
0000799182-07-000008	Sara Lee Corporation/TA		Effective May 21, 2007, Mellon Investor Services LLC has been appointed the transfer agent, registrar and disbursement agent for Sara Lee Corporation common stock.	18-MAY-2007	N	N	N	Y
0001315653-07-000008	DPM Mellon LLC		DPM Mellon is no longer performing services of a registered transfer agent of qualified securities.  This service was provided to a single affiliated entity who is no longer retaining our services.	31-DEC-2006	N	N	N	Y
0001144204-07-023599	Retirement Plan Services Company of America		No longer performs recordkeeping functions for retirement plans.	01-JAN-2006	N	N	N	N
0000943440-07-000218	AHM Business Solutions, Inc.		Change of Business Plan.  The Registrant has never performed any Transfer Agent functions.	01-SEP-2006	N	N	N	N
0001104659-07-028537	OfficeMax Incorporated		Registrant decided to engage a service company to provide transfer agent services for its common stock, $2.50 par value per share. On November 20, 2006, registrant engaged Wells Fargo Bank, National Association as its transfer agent.	20-NOV-2006	N	N	N	Y
0000950144-07-003088	Southeast Acquisitions II, LP		The Partnership sold all of it's remaining land on December 4, 2006.  As a result the Partnership has been dissolved.  The Delaware Certificate of Cancellation of Limited Partnership has been filed and the final tax return was filed as of 2006.	15-NOV-2006	N	N	N	N
