ACCESSION_NUMBER	REGULATORYAGENCY	ENTITYNAME	PREVIOUSENTITYNAME	FINSNUMBER	DIFFERENTMAILINGADDRESS	TELEPHONENUMBER	CONDUCTBUSINESSINOTHERLOCATION	SELFTRANSFERAGENT	ENGAGEDSERVICECOMPANY	ENGAGEDASSERVICECOMPANY	REGISTRANTTYPE	REGISTRANTTYPEDESCRIPTION	OTHERCONTROLMANAGEMENT	OTHERCONTROLFINANCE	FELONYORMISDEMEANOR	OTHERFELONY	ENJOINEDINVESTRELATEDACTIVITY	VIOLATIONINVRELATEDREGULATION	FALSESTATEMENTOROMISSION	VIOLATIONOFREGULATIONS	AUTHORIZATIONDENIEDORSUSPENDED	REGISTRATIONDENIEDORSUSPENDED	FSRFALSESTATEMENTOROMISSION	FSRVIOLATEINVRELATEDREGULATION	FSRAUTHORIZEDENIEDORSUSPENDED	FSRFOUNDORDERAGAINSTAPPLICANT	FSRREGISTRATIONDENIEDSUSPENDED	FSRREVOKEDSUSPENDEDLICENSE	SRAFALSESTATEMENTOROMISSION	SRAVIOLATIONOFRULES	SRAAUTHORIZEDENIEDORSUSPENDED	SRAREVOKEDSUSPENDEDLICENSE	FOREIGNAGENCY	SUBJECTOFPROCEEDINGS	REVOKEDBOND	UNSATISFIEDJUDGEMENTSORLIENS
0000862124-07-000007	SEC	Fidelity Investments Institutional Operations Company, Inc.		428219	Y	(508) 787-7000	Y	N	Y	Y	Corporation		N	N	N	N	N	N	N	Y	N	N	N	Y	N	N	N	N	N	Y	N	N	N	N	N	N
0000088525-07-000320	SEC	6th Avenue Investment Management Company, LLC	Security Management Company, LLC	746495	N	785-438-3000	N	Y	N	N	Other	Limited Liability Company	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	Y	N	N	N	N	N	N
0000823579-07-000026	SEC	Colonial Stock Transfer		410506	N	(801)355-5740	N	N	Y	N	Corporation		N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
0001144204-07-033754	SEC	LM Anderson Securities, LLC		837237	N		N	N	N	N	Other	Limited Liability Company	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
0000746972-07-000002	SEC	OTR, INC.		408286	N	503-225-0375	N	N	N	N	Corporation		Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
0000276398-07-000003	SEC	Shareholder Services, Inc.		423871	Y	303-768-3200	Y	N	N	N	Corporation		N	N	N	N	N	N	N	Y	N	N	N	Y	N	Y	N	N	N	N	N	N	N	N	N	N
0000857468-07-000004	SEC	Shareholder Financial Services, Inc.		425553	Y	303-768-3200	Y	N	Y	N	Corporation		N	N	N	N	N	N	N	Y	N	N	N	Y	N	Y	N	N	N	N	N	N	N	N	N	N
0000820031-07-000003	SEC	OppenheimerFunds, Inc.		410324	Y	303-768-3200	Y	N	N	N	Corporation		N	N	N	N	N	N	N	Y	N	N	N	Y	N	Y	N	N	N	N	N	N	N	N	N	N
0000724935-07-000002	SEC	Columbia Stock Transfer Co.		408336	N	2086643544	N	N	N	N	Corporation		N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
0001385752-07-000004	SEC	Manhattan Transfer Registrar Company		432708	N	631-928-7655	N	N	N	N	Partnership		N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
0000895467-07-000008	SEC	Accessor Capital Management LP		450437	N	206-224-7420	N	Y	N	N	Not Applicable																									
0000895467-07-000007	SEC	Accessor Capital Management LP		450437	N	206-224-7420	N	Y	N	N	Not Applicable																									
0001144204-07-032675	SEC	Citco Technology Management, Inc.		475442	N	954-351-9898	N	N	N	N	Corporation		N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
0001139576-07-000003	SEC	LEAF Financial Corporation		333849	N	215-717-3391	N	Y	N	N	Not Applicable				N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
0001007444-07-000006	SEC	Linsco/Private Ledger Corp.		008698	N	858-450-9606	N	N	N	N	Corporation		Y	N	N	N	N	N	N	Y	N	Y	N	Y	N	Y	N	N	N	Y	N	N	N	N	Y	N
0000872657-07-000011	SEC	T. Rowe Price Retirement Plan Services, Inc.	Price, Rowe T. Retirement Plan Services, Inc.	436873	Y	(410) 345-4882	Y	Y	N	N	Not Applicable																									
0000703220-07-000007	SEC	T. Rowe Price Services, Inc.	Price, Rowe T. Services, Inc.	408005	Y	(410) 345-4882	Y	Y	N	N	Not Applicable																									
0001090198-07-000016	SEC	Activa Asset Management LLC		508655	N	616-588-5380	N	N	Y	N	Other	LLC	N	N	Y	N	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	Y	N	N	N
0000927395-07-000003	SEC	WNC & Associates, Inc.		473645	N	(714)662-5565	N	N	N	N	Corporation		N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
0000751448-07-000017	SEC	Charles Schwab & Co., Inc.	N/A	411233	N	415-636-7000	N	N	N	N	Not Applicable		N	N	N	N	N	N	N	Y	N	Y	N	Y	N	N	Y	N	N	Y	N	N	N	N	Y	N
0000735407-07-000006	SEC	Madison Gas and Electric Company		407213	N	(608) 252-7222	N	Y	Y	N	Not Applicable		N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
0001104659-07-046137	SEC	Reserve Management Corporation		511543	N	1 800 637 1700	N	Y	N	N	Corporation		N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
0001104659-07-046136	SEC	Reserve Municipal Money Market Trust		029611	N	1 800 637 1700	N	Y	N	N	Other	Trust	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
0001104659-07-046135	SEC	Reserve New York Tax-Exempt Trust		408096	N	1 800 637 1700	N	Y	N	N	Other	Trust	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
0001104659-07-046134	SEC	Reserve Tax-Exempt Trust		408088	N	1 800 637 1700	N	Y	N	N	Other	Trust	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
0001104659-07-046133	SEC	Reserve Short-Term Investment Trust		305847	N	1 800 637 1700	N	Y	N	N	Other	Trust	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
0001104659-07-046132	SEC	Reserve Fund		053314	N	1 800 637 1700	N	Y	N	N	Other	Trust	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
0001104659-07-046131	SEC	Hallmark Equity Series Trust		466805	N	1 800 637 1700	N	Y	N	N	Other	Trust	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
0001104659-07-046130	SEC	Hallmark Investment Series Trust		296418	N	1 800 637 1700	N	Y	N	N	Other	Trust	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
0000909012-07-000889	SEC	Sentinel Administrative Services, Inc.		422469	N	802-229-7410	N	N	Y	N	Corporation		N	N	N	N	N	N	N	N	N	N	N	Y	N	N	Y	N	N	Y	N	N	N	N	Y	N
0001400416-07-000003	SEC	AGN ASSOCIATES & STOCK TRANSFER SERVICES, LLC		333724	Y	916-760-7712	N	N	N	N	Corporation		N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
0000950135-07-003518	SEC	Historic Preservation Properties 1989 Limited Partnership		531120	N	617 422-5815	N	Y	N	N	Not Applicable		Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
0000950135-07-003517	SEC	Historic Preservation Properties 1988 Limited Partnership		531120	N	617 422-5815	N	Y	N	N	Not Applicable		Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
0001144204-07-030048	SEC	Campbell & Company, Inc.		508697	N	410-296-3301	N	Y	N	N	Corporation		N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
0001139578-07-000007	SEC	Harbor Services Group, Inc.		082644	N	(419) 249-2900	N	Y	N	N	Corporation		Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	Y	N	N	N
0001105607-07-000156	SEC	Waddell & Reed Services Company	N/A	407916	N	913 236 2000	N	N	N	N	Corporation		N	N	N	N	N	N	N	Y	N	N	N	Y	N	Y	Y	N	N	Y	N	N	N	N	Y	N
0001077455-07-000006	SEC	Trautmann, Maher & Associates, Inc.		845797	N	425-742-0177	N	N	N	N	Corporation		N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
0001169232-07-002542	SEC	Graybar Electric Company Inc.		407783	N	314-573-9200	N	Y	Y	N	Not Applicable		N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
