ACCESSION_NUMBER	ENTITY_TYPE	ENT_ID	ENTITYNAME	AGREEMENTDESCRIPTION
0001202048-22-000009	otherControlManagement	1	The Variable Annuity Life Insurance Company, AGC Life Insurance Company, AIG Life Holdings, Inc., Corebridge Financial, Inc., and American Intl Group.	"VALIC Retirement Services Company (""VRSCO"") is a wholly owned subsidiary of The Variable Annuity Life Insurance Company (""VALIC""), doing business under the AIG Retirement Services brand name; VRSCO and VALIC are members of American International Group, Inc. (""AIG""). On November 2, 2021, Argon Holdco LLC, a wholly owned subsidiary of Blackstone, Inc. (together, ""Blackstone""), acquired 9.9% of the total voting shares of VRSCO's indirect parent company Corebridge Financial, Inc. (""Corebridge Financial""; formerly known as SAFG Retirement Services, Inc.). In September of 2022, AIG sold approximately 12.4% of Corebridge Financial's equity ownership in an initial public offering."
0000810417-22-000004	otherControlManagement	1	Penelope Pennington	Chief Executive Officer
0000810417-22-000004	otherControlManagement	2	Andrew Timothy Miedler	Chief Financial Officer
0000810417-22-000004	otherControlManagement	3	Timothy James Ney	Principal Operations Officer
0000810417-22-000004	otherControlManagement	4	Kenneth Ray Cella Jr	Principal of Branch Development
0000810417-22-000004	otherControlManagement	5	Lisa Marie Dolan	Chief Operating Officer
0000810417-22-000004	otherControlManagement	6	Tina Marie Hrevus	Chief of Staff to the Managing Partner
0000810417-22-000004	otherControlManagement	7	Kristin Michele Johnson	Chief Transformation Officer
0000810417-22-000004	otherControlManagement	8	Francis Thomas LaQuinta	Chief Information Officer
0000810417-22-000004	otherControlManagement	9	Christopher Norman Lewis	General Counsel
0000810417-22-000004	otherControlManagement	10	Richard David Link	Chief Compliance Officer
0000810417-22-000004	otherControlManagement	11	Timothy Andrew Rea	Chief Marketing Officer
0000810417-22-000004	otherControlManagement	12	Wayne Allen Roberts	Business Leader - New Market Opportunities
0000810417-22-000004	otherControlManagement	13	David Barry Chubak	Head of U.S. Business Unit
0000810417-22-000004	otherControlManagement	15	Lena Haas	Head of Wealth Management Advice and Solutions
0000810417-22-000004	otherControlManagement	16	Suzan Leigh McDaniel	Chief Human Resources Officer
0000810417-22-000004	otherControlManagement	17	Kevin Dwayne Bastien	Chief Strategy Officer
0000810417-22-000004	otherControlManagement	14	David Alexander Gunn	President of Edward Jones (an Ontario Limited Partnership)
0001018490-22-000037	otherControlManagement	1	Various - See below.	DB Services Americas, Inc. (DBSA) was established as a servicing company to provide operational services to Deutsche Bank Trust Company Americas (DBTCA) and Deutsche Bank National Trust Company (DBNTC). DBSA does not have any third party client agreements. Rather, DBSA, as engaged by DBTCA and DBNTC provides technical and administrative support services including data processing, maintenance of appropriate records in accordance with existing standards, recordkeeping and accounting functions in connection with services provided to DBTCAs and DBNTCs clients. DBTCA and DBNTC have appointed DBSA as its agent to act on their behalf in connection with the transfer and servicing of securities. Accounts are maintained jointly by DBTCA, DBNTC and DBSA. DBSA in its transfer agent function provides services to DBTCA and DBNTC in a manner as if DBSA is an independent, dedicated contractor that works solely for DBTCA and DBNTC and no other transfer agent. There is a shared system of database for DBTCA, DBNTC and DBSA.
0001018490-22-000037	otherControlFinance	1	Various - See below.	A Deutsche Bank AG holding company, Deutsche Bank Trust Corporation, provided the original, capital funding for the Registrant and for a time provided a line of credit for working capital. Working capital is now provided via service fees which originate from inter-company billings for the services rendered.
0000817712-22-000011	otherControlManagement	1	Thrivent Financial for Lutherans	TFL is the parent company of Thrivent Financial Holdings, Inc.
0001062993-22-023408	otherControlManagement	1	OLYMPIA FINANCIAL GROUP INC.	OLYMPIA TRUST COMPANY IS WHOLLY OWNED SUBSIDIARY OF OLYMPIA FINANCIAL GROUP INC. OLYMPIA FINANCIAL GROUP INC. IS A PUBLIC CORPORATION ON THE TSX EXCHANGE (SYMBOL: OLY)
0000733598-22-000007	otherControlManagement	1	AllianceBernstein Holding L.P. and Equitable Holdings, Inc.	AllianceBernstein Investor Services, Inc. is a wholly-owned subsidiary of AllianceBernstein L.P., which in turn is owned by AllianceBernstein Holding L.P. and Equitable Holdings, Inc.
0000353291-22-000013	otherControlManagement	1	Legg Mason, Inc.	100% Ownership of Templeton Worldwide, Inc.
0000353291-22-000013	otherControlManagement	2	Franklin Resources, Inc.	100% ownership of Legg Mason, Inc.
0001018490-22-000035	otherControlFinance	1	Various - See below.	A Deutsche Bank AG holding company, Deutsche Bank Trust Corporation, provided the original, capital funding for the Registrant and for a time provided a line of credit for working capital. Working capital is now provided via service fees which originate from inter-company billings for the services rendered.
0001018490-22-000035	otherControlManagement	1	Various - See below.	DB Services Americas, Inc. (DBSA) was established as a servicing company to provide operational services to Deutsche Bank Trust Company Americas (DBTCA) and Deutsche Bank National Trust Company (DBNTC). DBSA does not have any third party client agreements. Rather, DBSA, as engaged by DBTCA and DBNTC provides technical and administrative support services including data processing, maintenance of appropriate records in accordance with existing standards, recordkeeping and accounting functions in connection with services provided to DBTCAs and DBNTCs clients. DBTCA and DBNTC have appointed DBSA as its agent to act on their behalf in connection with the transfer and servicing of securities. Accounts are maintained jointly by DBTCA, DBNTC and DBSA. DBSA in its transfer agent function provides services to DBTCA and DBNTC in a manner as if DBSA is an independent, dedicated contractor that works solely for DBTCA and DBNTC and no other transfer agent. There is a shared system of database for DBTCA, DBNTC and DBSA.
0001432532-22-000010	otherControlManagement	3	Legg Mason, Inc.	100% Ownership of Templeton Worldwide, Inc.
0001432532-22-000010	otherControlManagement	4	Franklin Resources, Inc.	100% Ownership of Legg Mason, Inc.
0001432532-22-000010	otherControlManagement	2	Templeton Worldwide, Inc.	100% Ownership of Templeton International, Inc.
0001432532-22-000010	otherControlManagement	1	Templeton International, Inc.	100% Ownership of Franklin Templeton Luxembourg S.A.
0001709660-22-000010	otherControlFinance	1	Global Loan Agency Services Limited	100% indirect ownership of GLAS Trust Company LLC
0001709660-22-000010	otherControlFinance	2	Unicorn Bidco Limited	100% indirect ownership of GLAS Trust Company LLC
0001709660-22-000010	otherControlManagement	2	Brian Carne	effective controller
0001709660-22-000010	otherControlManagement	1	Mia Drennan	effective controller
0000913181-22-000004	otherControlManagement	3	George Hall	Chief Risk Officer of MUFG Investor Services (US) LLC
0000913181-22-000004	otherControlManagement	2	James Fisher	Chief Executive Officer of MUFG Investor Services (US) LLC
0000913181-22-000004	otherControlManagement	1	Nicholas Sgammato	Chief Compliance Officer of MUFG Investor Services (US) LLC
0000913181-22-000004	otherControlManagement	4	MUFG Americas Holding Corporation	100% ownership stake in MUFG Fund Services (USA) LLC
0000913181-22-000004	otherControlManagement	12	Akira Iwamoto	Board Manager of MUFG Investor Services (US) LLC
0000913181-22-000004	otherControlManagement	11	Michael Scalzi	President, MUFG Investor Services (US) LLC
0000913181-22-000004	otherControlManagement	10	Kosuke Nakayamada	Chairman of the Board, MUFG Investor Services (US) LLC
0000913181-22-000004	otherControlManagement	9	Young Kim	Chief Financial Officer, MUFG Investor Services (US) LLC
0000913181-22-000004	otherControlManagement	8	Gregory Cohen	Head of Transfer Agent, MUFG Investor Services (US) LLC
0000913181-22-000004	otherControlManagement	7	Mitsubishi UFJ Financial Group, Inc.	100% ownership stake in MUFG Bank, Ltd. and Mitsubishi UFJ Trust & Banking Corporation; 4.89% ownership stake in MUFG Americas Holding Corporation
0000913181-22-000004	otherControlManagement	6	Mitsubishi UFJ Trust & Banking Corporation	Provides strategic planning for the Global MUFG Investor Services Division, including MUFG Investor Services (US) LLC
0000913181-22-000004	otherControlManagement	5	MUFG Bank, Ltd.	95.11% ownership stake in MUFG Americas Holding Corporation
0001018490-22-000033	otherControlFinance	1	Various - See below.	A Deutsche Bank AG holding company, Deutsche Bank Trust Corporation, provided the original, capital funding for the Registrant and for a time provided a line of credit for working capital. Working capital is now provided via service fees which originate from inter-company billings for the services rendered.
0001018490-22-000033	otherControlManagement	1	Various - See below.	DB Services Americas, Inc. (DBSA) was established as a servicing company to provide operational services to Deutsche Bank Trust Company Americas (DBTCA) and Deutsche Bank National Trust Company (DBNTC). DBSA does not have any third party client agreements. Rather, DBSA, as engaged by DBTCA and DBNTC provides technical and administrative support services including data processing, maintenance of appropriate records in accordance with existing standards, recordkeeping and accounting functions in connection with services provided to DBTCAs and DBNTCs clients. DBTCA and DBNTC have appointed DBSA as its agent to act on their behalf in connection with the transfer and servicing of securities. Accounts are maintained jointly by DBTCA, DBNTC and DBSA. DBSA in its transfer agent function provides services to DBTCA and DBNTC in a manner as if DBSA is an independent, dedicated contractor that works solely for DBTCA and DBNTC and no other transfer agent. There is a shared system of database for DBTCA, DBNTC and DBSA.
0001557183-22-000003	otherControlManagement	3	MERCURY INTERMEDIATE II, INC.	100% Shareholder
0001557183-22-000003	otherControlManagement	5	MERCURY PARENT HOLDINGS, INC.	100% Shareholder
0001557183-22-000003	otherControlManagement	6	TRIDENT VIII, L.P.	Shareholder
0001557183-22-000003	otherControlManagement	2	MERCURY BORROWER, INC.	100% Shareholder
0001557183-22-000003	otherControlManagement	1	Ascensus Holdings, Inc.	100% Shareholder
0001557183-22-000003	otherControlManagement	4	MERCURY INTERMEDIATE I, INC.	100% Shareholder
0001202048-22-000007	otherControlManagement	1	The Variable Annuity Life Insurance Company, AGC Life Insurance Company, AIG Life Holdings, Inc., Corebridge Financial, Inc., and American Intl Group.	"VALIC Retirement Services Company (""VRSCO"") is a wholly owned subsidiary of The Variable Annuity Life Insurance Company (""VALIC""), doing business under the AIG Retirement Services brand name; VRSCO and VALIC are members of American International Group, Inc. (""AIG""). On November 2, 2021, Argon Holdco LLC, a wholly owned subsidiary of Blackstone, Inc. (together, ""Blackstone""), acquired 9.9% of the total voting shares of VRSCO's indirect parent company Corebridge Financial, Inc. (""Corebridge Financial""; formerly known as SAFG Retirement Services, Inc.). In September of 2022, AIG sold approximately 12.4% of Corebridge Financial's equity ownership in an initial public offering."
0001630490-22-000004	otherControlManagement	1	FIS Investment Ventures LLC	100% owner of FIS Investor Services LLC
0001630490-22-000004	otherControlManagement	2	FIS Data Systems Inc	100% Owner of FIS Investment Ventures LLC
0001630490-22-000004	otherControlManagement	3	FIS-SG Holding Corp	100% owner of FIS Data Systems Inc
0001630490-22-000004	otherControlManagement	4	Fidelity National Information Services, Inc	100% owner of FIS-SG Holding Corp
0001139578-22-000010	otherControlManagement	4	ORIX Corporation	Holding company of ORIX Corporation Europe N.V.; Indirect owner of applicant.
0001139578-22-000010	otherControlManagement	3	ORIX Corporation Europe N.V.	Holding company of Robeco US Holding B.V.; Indirect owner of applicant.
0001139578-22-000010	otherControlManagement	1	OCE US Holding Inc.	Holding company of Harbor Capital Advisors, Inc.
0001139578-22-000010	otherControlManagement	2	Robeco US Holding B.V.	Holding company of OCE US Holding Inc.; Indirect owner of applicant
0000810417-22-000003	otherControlManagement	5	Lisa Marie Dolan	Chief Operating Officer
0000810417-22-000003	otherControlManagement	4	Kenneth Ray Cella Jr	Principal of Branch Development
