ACCESSION_NUMBER	ENTITY_TYPE	ENT_ID	ENTITYNAME	AGREEMENTDESCRIPTION
0001557183-22-000002	otherControlManagement	1	Ascensus Holdings, Inc.	100% Shareholder
0001557183-22-000002	otherControlManagement	2	MERCURY BORROWER, INC.	100% Shareholder
0001557183-22-000002	otherControlManagement	3	MERCURY INTERMEDIATE II, INC.	100% Shareholder
0001557183-22-000002	otherControlManagement	4	MERCURY INTERMEDIATE I, INC.	100% Shareholder
0001557183-22-000002	otherControlManagement	5	MERCURY PARENT HOLDINGS, INC.	100% Shareholder
0001557183-22-000002	otherControlManagement	6	TRIDENT VIII, L.P.	Shareholder
0001945558-22-000002	otherControlManagement	1	OpenPool, Inc.	OpenPool, Inc. is an entity in which there is an informal expense-sharing agreement with OpenPool Technologies, the entity registering as a Transfer Agent.
0001945558-22-000002	otherControlFinance	1	OpenPool, Inc.	OpenPool, Inc. is an entity in which there is an informal expense-sharing agreement with OpenPool Technologies, the entity registering as a Transfer Agent.
0001018490-22-000027	otherControlFinance	1	Various - See below.	A Deutsche Bank AG holding company, Deutsche Bank Trust Corporation, provided the original, capital funding for the Registrant and for a time provided a line of credit for working capital. Working capital is now provided via service fees which originate from inter-company billings for the services rendered.
0001018490-22-000027	otherControlManagement	1	Various - See below.	DB Services Americas, Inc. (DBSA) was established as a servicing company to provide operational services to Deutsche Bank Trust Company Americas (DBTCA) and Deutsche Bank National Trust Company (DBNTC). DBSA does not have any third party client agreements. Rather, DBSA, as engaged by DBTCA and DBNTC provides technical and administrative support services including data processing, maintenance of appropriate records in accordance with existing standards, recordkeeping and accounting functions in connection with services provided to DBTCAs and DBNTCs clients. DBTCA and DBNTC have appointed DBSA as its agent to act on their behalf in connection with the transfer and servicing of securities. Accounts are maintained jointly by DBTCA, DBNTC and DBSA. DBSA in its transfer agent function provides services to DBTCA and DBNTC in a manner as if DBSA is an independent, dedicated contractor that works solely for DBTCA and DBNTC and no other transfer agent. There is a shared system of database for DBTCA, DBNTC and DBSA.
0001139578-22-000008	otherControlManagement	1	OCE US Holding Inc.	Holding company of Harbor Capital Advisors, Inc.
0001139578-22-000008	otherControlManagement	2	Robeco US Holding B.V.	Holding company of OCE US Holding Inc.; Indirect owner of applicant
0001139578-22-000008	otherControlManagement	3	ORIX Corporation Europe N.V.	Holding company of Robeco US Holding B.V.; Indirect owner of applicant.
0001139578-22-000008	otherControlManagement	4	ORIX Corporation	Holding company of ORIX Corporation Europe N.V.; Indirect owner of applicant.
0000897101-22-000809	otherControlManagement	4	Kathryn Sevcik	Director
0000897101-22-000809	otherControlManagement	3	Martin Flanigan	Chief Executive Officer, Director
0000897101-22-000809	otherControlManagement	2	Andrew Peeler	Director
0000897101-22-000809	otherControlManagement	5	Bruce Helsel	Director
0000897101-22-000809	otherControlManagement	1	Paul Lynam	President, Director
0000897101-22-000809	otherControlManagement	7	Dannette Smith	Chairperson of the Board
0000897101-22-000809	otherControlManagement	8	David L. Becker	Chief Compliance Officer
0000897101-22-000809	otherControlManagement	6	Michael O'Donnell	Director
0000314984-22-000027	otherControlManagement	1	Thrivent Financial for Lutherans	TFL is the parent company of Thrivent Financial Holdings, Inc.
0001939416-22-000002	otherControlFinance	1	Overstock.com, Inc.	29.19% ownership interest in tZERO Group, Inc. and together with Medici Venture, L.P., a majority owner of tZERO Group, Inc.
0001939416-22-000002	otherControlFinance	2	Medici Ventures, L.P.	25.79% ownership interest in tZERO Group, Inc. and together with Overstock.com, Inc., a majority owner of tZERO Group, Inc.
0001018490-22-000025	otherControlFinance	1	Various - See below.	A Deutsche Bank AG holding company, Deutsche Bank Trust Corporation, provided the original, capital funding for the Registrant and for a time provided a line of credit for working capital. Working capital is now provided via service fees which originate from inter-company billings for the services rendered.
0001018490-22-000025	otherControlManagement	1	Various - See below.	DB Services Americas, Inc. (DBSA) was established as a servicing company to provide operational services to Deutsche Bank Trust Company Americas (DBTCA) and Deutsche Bank National Trust Company (DBNTC). DBSA does not have any third party client agreements. Rather, DBSA, as engaged by DBTCA and DBNTC provides technical and administrative support services including data processing, maintenance of appropriate records in accordance with existing standards, recordkeeping and accounting functions in connection with services provided to DBTCAs and DBNTCs clients. DBTCA and DBNTC have appointed DBSA as its agent to act on their behalf in connection with the transfer and servicing of securities. Accounts are maintained jointly by DBTCA, DBNTC and DBSA. DBSA in its transfer agent function provides services to DBTCA and DBNTC in a manner as if DBSA is an independent, dedicated contractor that works solely for DBTCA and DBNTC and no other transfer agent. There is a shared system of database for DBTCA, DBNTC and DBSA.
0001709660-22-000009	otherControlManagement	1	Mia Drennan	effective controller
0001709660-22-000009	otherControlManagement	2	Brian Carne	effective controller
0001709660-22-000009	otherControlFinance	1	Global Loan Agency Services Limited	100% indirect ownership of GLAS Trust Company LLC
0001139578-22-000004	otherControlManagement	4	ORIX Corporation	Holding company of ORIX Corporation Europe N.V.; Indirect owner of applicant.
0001139578-22-000004	otherControlManagement	2	Robeco US Holding B.V.	Holding company of OCE US Holding Inc.; Indirect owner of applicant
0001139578-22-000004	otherControlManagement	1	OCE US Holding Inc.	Holding company of Harbor Capital Advisors, Inc.
0001139578-22-000004	otherControlManagement	3	ORIX Corporation Europe N.V.	Holding company of Robeco US Holding B.V.; Indirect owner of applicant.
