ACCESSION_NUMBER	ENTITY_TYPE	ENTITY_ID	ENTITYNAME	SUCCESSORREGISTERED	ADDRESS
0000878029-22-000002	tawCustodians	1	Millburn Ridgefield Corporation		2 International Drive Suite 140 Rye Brook NY 10573
0000878029-22-000002	tawSuccessors	1	Great Lakes Fund Solutions, Inc.	Y	500 Park Avenue Suite 114 Lake Villa IL 60046
0000878029-22-000002	tawRegistrant	1	MILLBURN RIDGEFIELD CORP /CT/                           /TA		55 West 46th Street 31st Floor New York NY 10036
0001825597-22-000006	tawRegistrant	1	BRITE Records, LLC		8766 Wittenwood Cv  Orlando FL 32836
0000826074-22-000006	tawCustodians	1	JENNIFER ZIEGLER - UNICO AMERICAN CORPORATION		5230 LAS VIRGENES RD STE 100 CALABASAS CA 91302
0000826074-22-000006	tawRegistrant	1	UNICO AMERICAN CORP /TA		5230 LAS VIRGENES RD STE 100 CALABASAS CA 91302
0000826074-22-000006	tawSuccessors	1	BROADRIDGE CORPORATE ISSUER SOLUTIONS, INC.	Y	51 MERCEDIES WAY  EDGEWOOD NY 11717
0000950123-22-007199	tawCustodians	1	Delaware Investments Fund Services Co		610 Market Street  Philadelphia PA 19106
0000950123-22-007199	tawSuccessors	1	Delaware Investments Fund Services Co	Y	610 Market Street  Philadelphia PA 19106
0000950123-22-007199	tawRegistrant	1	WADDELL & REED SERVICES Co (dba WI Services Company)/TA		6301 Glenwood  Overland Park KS 66202
0001493152-22-019166	tawRegistrant	1	Masterworks Transfer Services, LLC		225 Liberty Street 29th Floor New York NY 10281
0001859513-22-000003	tawRegistrant	1	ClearList TRAX LLC		40 Wall Street 38th Floor New York NY 10005
0001839501-22-000008	tawCustodians	1	Madison Stock Transfer Inc.		2500 Coney Island Avenue Sub Level Brooklyn NY 11223
0001839501-22-000008	tawRegistrant	1	IPG STOCK TRANSFER SERVICES, INC.		75 N Main Street Store # 4 Spring Valley NY 10977
