ACCESSION_NUMBER	CORP_PARTNER_TYPE	CORP_PARTNER_ID	ENTITYNAME	RELATIONSHIPSTARTDATE	TITLEORSTATUS	OWNERSHIPCODE	CONTROLPERSON	AUTHORITYDESCRIPTION	RELATIONSHIPENDDATE
0001477932-22-007335	soleProprietorship	1	Michael J. Czarnik	31-DEC-2021	President and CEO			Manager	
0001557183-22-000002	soleProprietorship	3	Ascensus Group, LLC	26-JUL-2012	Sole Member			Control Person	
0001557183-22-000002	soleProprietorship	2	Michael Folmer	15-JUL-2015	Treasurer/VP, Tax and Finance			Control Person	
0001557183-22-000002	soleProprietorship	1	Margaret Brennan Creonte	29-MAY-2020	President			Control Person	
0001557183-22-000002	soleProprietorship	6	Joseph Drew Dansky	01-MAY-2020	Secretary			Control Person	
0001557183-22-000002	soleProprietorship	5	Jay Christopher Candelmo	17-MAR-2020	Senior Vice President			Control Person	
0001557183-22-000002	soleProprietorship	4	Robert Barry Kaplan	20-JUL-2018	Chief Compliance Officer			Control Person	
0001146230-22-000012	corporationPartnership	12	Nicholas S. R. Oldfield	01-JUL-2014	CFO, Treasurer, and Director	NA	true		
0001146230-22-000012	corporationPartnership	11	Kevin M. Brennan	01-JUL-2013	Head of Equity Sales + Strategic Clients	NA	true		
0001146230-22-000012	corporationPartnership	10	William D. Zeller	17-JUL-2012	Chief Legal Officer - Computershare US	NA	true		
0001146230-22-000012	corporationPartnership	9	Computershare Holdings Inc.	01-JAN-2012	Indirect Owner	E	true		
0001146230-22-000012	corporationPartnership	8	Computershare Investments (UK)(No. 8) Limited	01-JAN-2012	Direct Owner	E	true		
0001146230-22-000012	corporationPartnership	7	ACN 081 035 752 Pty Ltd	19-MAY-2010	Indirect Owner	E	true		
0001146230-22-000012	corporationPartnership	6	Steven R. Rothbloom	04-OCT-2007	Chief Executive Officer and Director	NA	true		
0001146230-22-000012	corporationPartnership	1	Stephen Cesso	09-NOV-2001	U.S. General Counsel and Asst. Secretary	NA	true		
0001146230-22-000012	corporationPartnership	2	Computershare US Inc.	27-JUN-2005	Indirect Owner	E	true		
0001146230-22-000012	corporationPartnership	3	Computershare Limited	27-JUN-2005	Indirect Owner	E	true		
