ACCESSION_NUMBER	ENTITY_TYPE	ENTITY_ID	ENTITYNAME	SUCCESSORREGISTERED	ADDRESS
0000735190-15-000005	tawRegistrant	1	THE MONARCH CEMENT COMPANY		449 1200 Street  Humboldt  66748
0000735190-15-000005	tawCustodians	1	THE MONARCH CEMENT COMPANY		449 1200 Street  Humboldt  66748
0001410578-15-000499	tawRegistrant	1	Fantex Inc.		330 Townsend St Suite 234 San Francisco  94107
0001410578-15-000499	tawSuccessors	1	American Stock Transfer & Trust LLC	Y	6201 15th Avenue  Brooklyn  11219
0001410578-15-000499	tawCustodians	1	Ted Monohon		330 Townsend Street Suite 234 San Francisco  94107
0001398344-15-005112	tawRegistrant	1	Altegris Portfolio Management, Inc. dba Altegris Funds		1200 Prospect St. Ste. 400  La Jolla  92037
0001398344-15-005112	tawCustodians	1	Natalie Maniaci, Advisory Chief Compliance Officer		Altegris Advisors, LLC 1200 Prospect St Ste 400 La Jolla  92037
0001398344-15-005112	tawSuccessors	1	Altegris Advisors, LLC	Y	1200 Prospect St Ste 400  La Jolla  92037
0000889231-15-000015	tawRegistrant	1	REICH & TANG SERVICES, INC.		1411 BROADWAY, 28TH FLOOR  NEW YORK  10018
0000889231-15-000015	tawLocations	1	IRON MOUNTAIN		100 HARBOR DRIVE  JERSEY CITY  07305
0000889231-15-000015	tawCustodians	1	REICH & TANG		1411 BROADWAY, 28TH FLOOR  NEW YORK  10018
