ACCESSION_NUMBER	PERIODOFREPORT	ENTITYNAME	SERVICECOMPANY	REGISTRANTENGAGEDSERVICE	REGULATORYAGENCY	AMENDMENTFILED	ADDITIONALINFORMATION	NUMBERITEMSRECEIVEDFORTRANSFER	NUMMASTERSECURITYHOLDERFILINGS	NUMBERINDIVIDUALACCOUNTS	NUMDIVREINVDIRPURPLANACCOUNTS	NUMDIRECTREGISTSYSTEMACCOUNTS	NUMBERFILED	FILEALL	SECHOLDERADDITIONALINFO	ALWAYSCOMPLIANT	NUMBERMONTHSNOTCOMPLIANT	NUMBERNOTICENONCOMPLIANCEFILED	TOTAL	TOTALOTHERTHANRECEIPTORDERDATE	NUMLOSTACCTSREMITTEDTOSTATES
0000734700-24-000006	31-DEC-2023	GOLDMAN SACHS & CO. LLC /TA	Some	N	SEC	Yes, filed amendment(s)		439	128688	128688	115039	0	0			Yes			1627556	24	48
0001492746-24-000008	31-DEC-2022	NAV Consulting, Inc.	None	N	SEC	Not applicable		1889	77280	77280	1596	0	0			Not Applicable			0	0	0
0001492746-24-000007	31-DEC-2023	NAV Consulting, Inc.	None	N	SEC	Not applicable		1624	95190	95190	2345	0	0			Not Applicable			0	0	0
0001794937-24-000006	31-DEC-2023	RIALTO TRANSFER SERVICES LLC /TA/	Some	N	SEC	Not applicable		0	0	0	0	0	0			Not Applicable			0	0	0
0001018490-24-000025	31-DEC-2023	DB SERVICES AMERICAS INC /TA	None	Y	SEC	Yes, filed amendment(s)		250	30444	30444	0	0	0			Yes			0	0	0
0001866046-24-000003	31-DEC-2023	DealMaker Transfer Agent LLC	None	N	SEC	Not applicable		13	67287	0	0	0	0			Yes			0	0	0
0000838135-24-000006	31-DEC-2022	TRUIST BANK	None	N	FDIC	Not applicable		0	1987	1987	0	0	0			Not Applicable			0	0	0
0000838135-24-000005	31-DEC-2021	TRUIST BANK	None	N	FDIC	Not applicable		0	2033	2033	0	0	0			Not Applicable			0	0	0
0001557183-24-000004	31-DEC-2023	ASCENSUS COLLEGE SAVINGS RECORDKEEPING SERVICES LLC	Some	Y	SEC	Yes, filed amendment(s)		0	7368127	7368127	0	0	0			Not Applicable			0	0	180
0001630490-24-000003	31-DEC-2018	FIS Investor Services LLC /TA	None	Y	SEC	Not applicable		113610	408233	408233	371536	0	0			Yes			3825833	6332	58
0000950123-24-006947	31-DEC-2023	Strategic Transfer Agent Services, LLC	None	N	SEC	Yes, filed amendment(s)		2725	21076	21076	7923	0	0			Not Applicable			0	0	0
0001963417-24-000002	31-DEC-2023	Musiqaa Rayiys Bey PLT	None	N	SEC	Not applicable		0	0	0	0	0	0			Yes			0	0	0
