ACCESSION_NUMBER	COMPANY_TYPE	SVCCOMPANY_ID	ENTITYNAME	FILENUMBER	ADDRESS
0000838685-08-000004	serviceCompanyTransferAgent	1	REGISTRAR & TRANSFER CO	084-00436	    
0001288763-08-000010	asServiceCompany	1	Computershare Trust Company of Canada	084-06112	100 University Avenue 9th Floor Toronto  M5J 2Y1
0001288763-08-000010	asServiceCompany	2	Computershare Inc.	084-05925	250 Royall Street  Canton  02021
0001288763-08-000010	asServiceCompany	3	Computershare Trust Company, N.A.	085-11340	250 Royall Street  Canton  02021
0001288763-08-000010	asServiceCompany	4	Pacific Corporate Trust Company (Delete - TA Withdrawal)	084-06091	510 Burrard Street 2nd Floor Vancouver  V6C 3B9
0001288763-08-000010	serviceCompany	1	Computershare Trust Company of Canada	084-06112	100 University Avenue 9th Floor Toronto  M5J 2Y1
0001288763-08-000010	serviceCompany	2	Computershare Inc.	084-05925	250 Royall Street  Canton  02021
0001288763-08-000010	serviceCompany	3	Computershare Trust Company, N.A.	085-11340	250 Royall Street  Canton  02021
0001288777-08-000013	asServiceCompany	1	Computershare Investor Services Inc.	084-06111	100 University Avenue 9th Floor Toronto  M5J 2Y1
0001288777-08-000013	asServiceCompany	2	Computershare Inc.	084-05925	250 Royall Street  Canton  02021
0001288777-08-000013	asServiceCompany	3	Computershare Trust Company, N.A.	085-11340	250 Royall Street  Canton  02021
0001288777-08-000013	asServiceCompany	4	Pacific Corporate Trust Company (Delete - TA Withdrawal)	084-06091	510 Burrard Street 2nd Floor Vancouver  V6C 3B9
0001288777-08-000013	serviceCompany	1	Computershare Investor Services Inc.	084-06111	100 University Avenue 9th Floor Toronto  M5J 2Y1
0001288777-08-000013	serviceCompany	2	Computershare Inc.	084-05925	250 Royall Street  Canton  02021
0001288777-08-000013	serviceCompany	3	Computershare Trust Company, N.A.	085-11340	250 Royall Street  Canton  02021
0001077223-08-000019	serviceCompanyTransferAgent	1	State Street Bank	085-05003	    
0001352392-08-000191	serviceCompany	1	Continental Stock Transfer	084-00034	17 Battery Place 8th Floor New York  10004
0001421877-08-000305	asServiceCompany	1	Franklin Templeton Investor Services, LLC	084-01036	3344 Quality Drive  Rancho Cordova  95670
0001077223-08-000013	serviceCompanyTransferAgent	1	State Street Bank	085-05003	    
0001277690-08-000024	serviceCompany	1	Mellon Investor Services LLC	084-05579	Newport Office Centre VII 480 Washington Boulevard Jersey City  07310
0001450848-08-000004	serviceCompanyTransferAgent	1	U.S. Bank National Association	085-11347	    
0000855870-08-000003	serviceCompanyTransferAgent	1	U.S. Bank National Association	085-11347	    
0000772037-08-000010	serviceCompany	1	Boston Financial Data Services, Inc.	084-00896	Two Heritage Drive  North Quincy  02190
0001141917-08-000007	serviceCompany	1	Wilmington Trust Company	085-00059	1110 North Market Street  Wilmington  19890-0001
0000857468-08-000001	serviceCompany	1	Bank of Nova Scotia Trust Company of New York	085-05253	One Liberty Plaza  New York  10006
0001146230-08-000009	asServiceCompany	1	Citibank, N.A.	085-10232	111 Wall Street  New York  10043
0001146230-08-000009	asServiceCompany	2	Computershare Trust Company, N.A.	085-11340	250 Royall Street  Canton  02021-1011
0001146230-08-000009	asServiceCompany	3	State Street Bank and Trust Company	085-05003	Two Avenue de Lafayette 6th Floor Boston  02110
0001146230-08-000009	asServiceCompany	4	Computershare Investor Services, LLC	084-05849	2 North LaSalle Street  Chicago  60602
0001146230-08-000009	asServiceCompany	5	PFPC Inc. (Delete old name - name change)	084-01761	4400 Computer Drive  Westborough  01581
0001146230-08-000009	asServiceCompany	6	Computershare Trust Company of Canada	084-06112	100 University Avenue, 11th Floor  Toronto  M5J 2Y1
0001146230-08-000009	asServiceCompany	7	Computershare Investor Services Inc.	084-06111	100 University Avenue, 11th Floor  Toronto  M5J 2Y1
0001146230-08-000009	asServiceCompany	8	Pacific Corporate Trust Company (Delete - TA Withdrawal)	084-06091	510 Burrard Street, 2nd Floor  Vancouver  V6C 3B9
0001146230-08-000009	asServiceCompany	9	PNC Global Investment Servicing (U.S.) Inc. (Add new name - name change)	084-01761	4400 Computer Drive  Westborough  01581
0001146230-08-000009	serviceCompany	1	The Colbent Corporation	084-05927	161 Bay State Drive  Braintree  02184
0000944496-08-000011	asServiceCompany	1	CIBC Mellon Trust Company	084-06096	320 Bay Street  Toronto  M5H 4A6
0000944496-08-000011	asServiceCompany	2	The Bank of New York Mellon	085-05006	101 Barclay Street  New York  10286
0000909567-08-001112	asServiceCompany	1	Invesco Aim Investment Services, Inc. (former name, AIM Investment Services, Inc.)	084-05432	11 Greenway Plaza Ste 100 Houston  77046
0001285911-08-000006	serviceCompany	1	DST Systems, Inc.	084-00448	1055 Broadway  Kansas City  64105
0000842657-08-000013	serviceCompany	1	DST Systems	084-00448	333 West 11th St.  Kansas City  64105
0001018490-08-000019	asServiceCompany	1	Deutsche Bank Trust Company Americas	085-05212	60 Wall Street, Mail Stop NYC60-3012  New York  10005-2836
0000842657-08-000012	serviceCompany	1	DST Systems	084-00448	333 West 11th St.  Kansas City  64105
0001277690-08-000023	serviceCompany	1	Mellon Investor Services LLC	084-05579	Newport Office Centre VII 480 Washington Boulevard Jersey City  07310
0001419454-08-000011	asServiceCompany	1	Fidelity Investments Institutional Operations Company, Inc.	084-01839	300 Puritan Way  Marlborough  01752
0001104659-08-064566	serviceCompany	1	PNC Global Investment Servicing (U.S.) Inc.	084-01761	4400 Computer Drive  Westborough  01851
0000810417-08-000004	asServiceCompany	1	Federated Shareholder Services Company	084-01496	5800 Corporate Drive  Pittsburgh  15237
0000810417-08-000003	asServiceCompany	1	Federated Shareholder Services Company	084-01496	5800 Corporate Drive  Pittsburgh  15237
