ACCESSION_NUMBER	PERIODOFREPORT	ENTITYNAME	SERVICECOMPANY	REGISTRANTENGAGEDSERVICE	REGULATORYAGENCY	AMENDMENTFILED	ADDITIONALINFORMATION	NUMBERITEMSRECEIVEDFORTRANSFER	NUMMASTERSECURITYHOLDERFILINGS	NUMBERINDIVIDUALACCOUNTS	NUMDIVREINVDIRPURPLANACCOUNTS	NUMDIRECTREGISTSYSTEMACCOUNTS	NUMBERFILED	FILEALL	SECHOLDERADDITIONALINFO	ALWAYSCOMPLIANT	NUMBERMONTHSNOTCOMPLIANT	NUMBERNOTICENONCOMPLIANCEFILED	TOTAL	TOTALOTHERTHANRECEIPTORDERDATE	NUMLOSTACCTSREMITTEDTOSTATES
0000838468-09-000003	31-DEC-2008	Bank of Commerce & Trust Co.	NONE	N	FDIC	Not applicable		21	699	0	0	0									0
0000049824-09-000004	31-DEC-2007	Illinois Stock Transfer Company	NONE	N	SEC	Not applicable		8353	71598	87399	15801	11	0			Yes			0	0	869
0000092416-09-000046	31-DEC-2008	Southwest Gas Corporation	NONE	N	SEC	Not applicable		2024	22085	22085	19729	13	0			Yes			0	0	52
0001431194-09-000004	31-DEC-2008	Bank Services of Virginia, Inc.	NONE	N	FDIC	Not applicable		498	3772	3772	0	0	0			Yes			0	0	0
0001254834-09-000002	31-DEC-2008	EnDevCo, Inc.	ALL	N	SEC	Not applicable															
0001297564-09-000002	31-DEC-2008	Superior Stock Transfer, Inc.	NONE	Y	SEC	Not applicable		83	1155	0	0	0	0			Yes			0	0	0
0001312813-09-000006	31-DEC-2008	American Heritage Stock Transfer Inc.	NONE	N	SEC	Not applicable		485	2956	607	0	607	0			Yes			0	0	0
0001312813-09-000005	31-DEC-2007	American Heritage Stock Transfer Inc.	NONE	N	SEC	Not applicable		612	3163	526	0	526	0			Yes			0	0	0
0000950123-09-036496	31-DEC-2008	Greif, Inc. / TA	NONE	N	SEC	Not applicable		49	122	122	0	122									0
0001162044-09-000424	31-DEC-2008	Mutual Shareholder Services, LLC	NONE	N	SEC	Not applicable		0	25742	25742	23721	0	0			Yes			75742	93	20
0001169232-09-003662	31-DEC-2008	State Farm Investment Management Corp.	SOME	N	SEC	Not applicable		0	36	36	36	0									0
0000067590-09-000365	31-DEC-2008	Prudential Mutual Fund Services LLC	SOME	N	SEC	Yes, filed amendment(s)		3	0	0	0	0									485
0001146032-09-000008	31-DEC-2008	Banco Popular de PR	SOME	N	BGFRS	Not applicable		3810	20120	20120	9683	30	0			Yes			2455	0	0
0000724935-09-000010	31-DEC-2008	Columbia Stock Transfer Company	NONE	N	SEC	Not applicable		1192	32760	0	0	0	0			Not Applicable			0	0	0
0000724935-09-000009	31-DEC-2007	Columbia Stock Transfer Company	NONE	N	SEC	Not applicable		1631	27925	0	0	0	0			Not Applicable			0	0	551
0001468119-09-000004	31-DEC-2008	Community Bank	ALL	N	OTS	Not applicable															
0000950123-09-021882	31-DEC-2008	Wells Fargo Bank, N.A.	NONE	Y	OCC	Not applicable		322951	4558584	4558584	1176587	1177290	0			Yes			0	0	13660
0000950123-09-021878	31-DEC-2007	Wells Fargo Bank, N.A.	NONE	Y	OCC	Yes, filed amendment(s)		404389	4142587	4142587	895391	1970123	0			Yes			0	0	12772
0001170078-09-000003	31-DEC-2008	Janus Services LLC	SOME	N	SEC	No, failed to file amendment(s)	An Amendment to report the appointment of an officer was filed after 60 days elapsed.	83068	3049812	3049812	3004882	0	0			Yes			6304885	10631	478
0000950123-09-021410	31-DEC-2008	LAPEER COUNTY BANK & TRUST CO.	NONE	N	BGFRS	Not applicable		48	254	0	0	0									0
0000950123-09-021408	31-DEC-2007	LAPEER COUNTY BANK & TRUST CO.	NONE	N	BGFRS	Not applicable		43	253	0	0	0									0
0000950123-09-021401	31-DEC-2006	LAPEER COUNTY BANK & TRUST CO.	NONE	N	BGFRS	Not applicable		158	243	0	0	0									0
0000823579-09-000045	31-DEC-2008	Colonial Stock Transfer Co., Inc.	SOME	N	SEC	Not applicable		2021	50868	0	0	0	0			Yes			0	0	0
0001323210-09-000002	31-DEC-2008	GTI Corporate Transfer Agents, LLC	NONE	N	SEC	No, failed to file amendment(s)	GTI Corporate Transfer Agents LLC was in negotiations to sell the transfer agency; however, the buyer declined. We learned about their decision on 06/30/09. We were waiting for the completion to inform the SEC the new owner's data when amending the TA-1.	248	1	1209	0	0									0
0000735236-09-000009	31-DEC-2008	Seneca Foods Corporation	NONE	N	SEC	No, failed to file amendment(s)	We had identified our transfer agent as a service provider in error.	0	18	18	0	0									0
0000735236-09-000008	31-DEC-2007	Seneca Foods Corporation	NONE	N	SEC	No, failed to file amendment(s)	We didn't realize that we shouldn't have named our Transfer Agent as a service provider.	55	255	255	0	0									0
0001181839-09-000016	31-DEC-2008	BMC GROUP, INC.	NONE	N	SEC	Not applicable		0	0	0	0	0									0
