ACCESSION_NUMBER	ACTION_TYPE	ACTION_ID	ENTITYNAME	ACTIONTITLE	ACTIONDATE	COURTORBODYNAMEANDLOCATION	ACTIONDESCRIPTION	DISPOSITIONOFPROCEEDING
0001451217-10-000011	violationOfRegulations	1	SEI Investments Distribution Co. and SEI Investments Company	In the Matter of SEI Investments Distribution Co. and SEI Investments Company	14-JUL-2004	Securities and Exchange Comission	Order Instituting administrative and cease-and-desist proceedings, making findings and imposing remedial sanctions and a cease-and-desist order.	Pursuant to a settlement, SIDCO was censored, ordered to cease-and-desist from committing or causing violations, and paid a civil monetary penalty. Also, SEI Investments Company agreed to cease-and-desist from causing SIDCO's violations.
0000944496-10-000014	violationOfRegulations	1	See attached file for Question 10 Data	See attached file for Question 10 Data	18-DEC-2007	See attached file for Question 10 Data	See attached file for Question 10 Data	See attached file for Question 10 Data
0000944496-10-000014	falseStatementOrOmission	1	See attached file for Question 10 Data	See attached file for Question 10 Data	18-DEC-2007	See attached file for Question 10 Data	See attached file for Question 10 Data	See attached file for Question 10 Data
0000944496-10-000014	authorizationDeniedOrSuspended	1	One or more control affiliates - see attached file for Question 10 Data	See attached file for Question 10 Data	18-DEC-2007	See attached file for Question 10 Data	See attached file for Question 10 Data	See attached file for Question 10 Data
0000944496-10-000014	fsrFoundOrderAgainstApplicant	2	Dreyfus Service Organization, Inc.	Proceeding by the Commissioner of Banking and Ins. State of NJ Ref. No. 8059711	08-SEP-2008	State of New Jersey Department of Banking and Insurance, Trenton, New Jersey	It was alleged that Dreyfus Service Organization ('DSO') between June 2002 and November 2002 'caused, permitted or was otherwise responsible for allowing the employee to solicit and write eight New Jersey annuity contracts without the benefit of a current license.' DSO had an employee with a non-resident NJ insurance license which had expired and was later reinstated. The sales were made during the period when the employee's license was inactive, although DSO had reason to believe the license was, in fact, active. Without admitting or denying any violation of the insurance statutes or regulations or any wrongdoing, DSO consented to an administrative sanction in the amount of $4,000.00 to fully and completely resolve the matter.	See 10(d)(4)(v) above.
0000944496-10-000014	enjoinedInvestmentRelatedActivity	1	CIBC Mellon Trust Company	U.S. Securities and Exchange Commission v. CIBC Mellon Trust Company	14-JAN-2005	U.S. Securities and Exchange Commission ('SEC')	CIBC Mellon Trust Company ('CMTC'), a transfer agent that is an affiliate of Registrant by virtue of Mellon Canada Holding Company's 50 percent interest in the joint venture, submitted a Consent to Entry of Judgment (the 'Consent') which was presented by the SEC in the United States District Court for the District of Columbia (the 'Court) on February 16, 2005. In the Consent, and solely for the purpose of the injunctive action and any other proceedings arising out of the SEC's investigation brought by or on behalf of the SEC or to which the SEC is a party, CMTC consented to the entry of Final Judgment as to Defendant CMTC )the 'Final Judgment') without admitting or denying the matters set forth therein (other than those relating to the jurisdiction of the Court and the subject matter of the action). The Final Judgment, entered on February 24, 2005, resolved the allegations that CMTC had failed to register as a transfer agent with the SEC, that it had issued 'legend free' stock certificates of a company whose shares were not registered with the SEC, that one of its managers had accepted payments of stock from that company's officers to issue the certificates, and that it had acted as an unregistered broker or dealer in connection with its stock plan administration business. CMTC was permanently enjoined from prescribed violations of Securities Act Section 5, Exchange Act Section 10(b) and Rule 10b-5, Exchange Act Section 15(a), Exchange Act Section 17A(c)(1), and from aiding and abetting future violations of Exchange Act Section 10(b) or Rule 10b-5. CMTC also agreed to pay a civil monetary penalty of $5 million and disgorgement of $889,773 and prejudgment interest of $140,270. Payment was made on March 4, 2005. CMTC also consented, without admitting or denying the SEC complaint allegations, to the entry of an SEC administrative order based on the Final Judgment on March 2, 2005 (the 'Order'). Pursuant to the Order, CMTC was censured and agreed to an undertaking to engage an independent consultant to review its relevant businesses and procedures. This matter responds to items 10(b)(1) and 10(c)(2).	Entry of Judgment on consent. See item (v) above for detail.
0000944496-10-000014	sraViolationOfRules	1	One or more control affiliates - see attached file for Question 10 Data	See attached file for Question 10 Data	18-DEC-2007	See attached file for Question 10 Data	See attached file for Question 10 Data	See attached file for Question 10 Data
0000944496-10-000014	violationOfRegulations	4	The Bank of New York Mellon	SEC Admin. Proceeding File no. 3-12269	24-APR-2006	U.S. Securities and Exchange Commission	The SEC alleged that The Bank of New York Mellon (formerly, The Bank of New York, 'BNY') failed as a transfer agent to exercise reasonable care to ascertain the correct addresses of lost security holders and escheated assets belonging to those security holders to various states. As a result BNY entered into agreement to offer payment to certain security holders for property escheated erroneously (while reserving the right to pursue their claim for repayment with the State to which the property was escheated). In addition BNY paid a penalty of $250,000 and agreed to the retention of an independent consultant to review and evaluate certain of the Bank's policies and procedures.	See 10 (c) (2) (v) above
0000944496-10-000014	violationOfRegulations	3	CIBC Mellon Trust Company	U.S. Securities and Exchange Commission v. CIBC Mellon Trust Company	14-JAN-2005	see item 10(b)(1) above	see item 10(b)(1) above	see item 10(b)(1) above
0000944496-10-000014	fsrViolationOfInvestmentRelatedRegulation	1	One or more control affiliates - see attached file for Question 10 Data	See attached file for Question 10 Data	18-DEC-2007	See attached file for Question 10 Data	See attached file for Question 10 Data	See attached file for Question 10 Data
0000944496-10-000014	fsrRegistrationDeniedOrSuspended	1	One or more control affiliates - see attached file for Question 10 Data	See attached file for Question 10 Data	18-DEC-2007	See attached file for Question 10 Data	See attached file for Question 10 Data	See attached file for Question 10 Data
0000944496-10-000014	fsrViolationOfInvestmentRelatedRegulation	2	The Bank of New York Mellon	None-never reached the courts	08-NOV-2005	U.S. Attorney offices for the EDNY and SDNY	The Bank Of New York Mellon (formerly, The Bank of New York, the 'Bank'), an affiliate of the registrant, entered into a non-prosecution agreement with the U.S. Attorneys offices for the Eastern and Southern Districts of New York ('EDNY' and 'SDNY'). The respective EDNY and SDNY investigations related to actions by Bank employees that facilitated a fraudulent scheme conducted by RW Professional Leasing Services Corp., a former customer of one of the Bank's Long Island branch offices, and certain funds transfer activities to and from Russia from 1996 to1999. Among other things, the non-prosecution agreement outlines a series of measures, many of which already are completed and others that are well underway, to enhance the Bank's procedures for monitoring and reporting suspicious activity. The Bank has agreed to pay restitution and forfeiture totaling $38 million, all of which has been previously reserved. The agreement, which has a term of three years, provides for the Bank to retain an independent examiner to review the enhanced procedures and report to the government on a periodic basis.	See 10 (d) (2) (v) above
0000944496-10-000014	registrationDeniedOrSuspended	1	One or more control affiliates - see attached file for Question 10 Data	See attached file for Question 10 Data	18-DEC-2007	See attached file for Question 10 Data	See attached file for Question 10 Data	See attached file for Question 10 Data
0000944496-10-000014	registrationDeniedOrSuspended	2	The Bank of New York Mellon	SEC Admin. Proceeding File No.  3-12526	09-JAN-2007	U.S. Securities and Exchange Commission	See item 10(c)(2) above	See item 10(c)(2) above
0000944496-10-000014	registrationDeniedOrSuspended	3	The Bank of New York Mellon	SEC Admin. Proceeding File No. 3-12269	24-APR-2006	U.S. Securities and Exchange Commission	See item 10(c)(2) above	See item 10(c)(2) above
0000944496-10-000014	sraFalseStatementOrOmission	1	One or more control affiliates - see attached file for Question 10 Data	See attached file for Question 10 Data	14-APR-2009	See attached file for Question 10 Data	See attached file for Question 10 Data	See attached file for Question 10 Data
0000944496-10-000014	fsrFoundOrderAgainstApplicant	1	One or more control affiliates - see attached file for Question 10 Data	See attached file for Question 10 Data	18-DEC-2007	See attached file for Question 10 Data	See attached file for Question 10 Data	See attached file for Question 10 Data
