ACCESSION_NUMBER	ADDRESS_ID	ADDRESS_TYPE	ADDRESS
0000950123-10-117676	1	principalOfficeAddress	One Financial Center 3rd floor Boston MA 02111
0000950123-10-117676	1	otherBusinessLocation	734 Ameriprise Financial Center  Minneapolis MN 55474
0000950123-10-117676	2	otherBusinessLocation	10 Memorial Boulevard 10th floor Providence RI 02903
0001451217-10-000011	1	principalOfficeAddress	1 Freedom Valley Drive  Oaks PA 19456
0001452780-10-000007	1	principalOfficeAddress	2/3/4 Floors, Roxanna Building Greenlands Road, Begumpet Hyderabad K7 500016
0000944496-10-000014	1	principalOfficeAddress	Newport Office Center VII 480 Washington Boulevard Jersey City NJ 07310
0000944496-10-000014	1	otherBusinessLocation	Mellon Client Service Center 500 Ross Street Pittsburgh PA 15262
0000088525-10-000772	1	principalOfficeAddress	9601 Blackwell Road Suite 500 Rockville MD 20850
0000088525-10-000770	1	principalOfficeAddress	One Security Benefit Place  Topeka KS 66636
0000806620-10-000133	1	principalOfficeAddress	1411 Broadway, 28th Floor  New York NY 10018
0000950123-10-113116	1	otherBusinessLocation	734 Ameriprise Financial Center  Minneapolis MN 55474
0000950123-10-113116	1	principalOfficeAddress	One Financial Center 3rd Floor Boston MA 02111
0001455353-10-000008	1	principalOfficeAddress	2010 Hancock Street Ste. A San Diego CA 92110
0001506725-10-000002	1	principalOfficeAddress	25 Laurel Place  West Caldwell NJ 07006-7717
0000842657-10-000023	1	principalOfficeAddress	222 S. Riverside Plaza  Chicago IL 60606
0000842657-10-000023	2	mailingAddress	280 Park Avenue 6th Floor , West Building New York NY 10017
0001418054-10-000007	1	principalOfficeAddress	1301 Second Avenue, 18th Floor  Seattle WA 98101
0000870156-10-000085	1	principalOfficeAddress	1415 28th Street Suite 200 West Des Moines IA 50266
0001140361-10-047644	3	otherBusinessLocation	StockTrans, a Broadridge Company 1981 Marcus Avenue Lake Success NY 11042
0001140361-10-047644	2	otherBusinessLocation	StockTrans, a Broadridge Company 2 Journal Square Plaza Jersey City NJ 07306-0817
0001140361-10-047644	1	principalOfficeAddress	44 West Lancaster Avenue  Ardmore PA 19003
0001140361-10-047644	1	otherBusinessLocation	StockTrans, a Broadridge Company 1155 Long Island Avenue Edgewood NY 11717
0001144204-10-064276	1	principalOfficeAddress	2672 Bayshore Parkway, Suite 1055  Mountain View CA 94043
0001506388-10-000002	1	principalOfficeAddress	1932 Wynnton Road  Columbus GA 31999
0001020337-10-000003	1	otherBusinessLocation	650 8th St  Des Moines IA 50392
0001020337-10-000003	1	principalOfficeAddress	1100 Investment Blvd Ste 200 El Dorado Hills CA 95762
0001018490-10-000038	1	principalOfficeAddress	5022 Gate Parkway, Suite 200  Jacksonville FL 32256-7088
0000849542-10-000007	3	otherBusinessLocation	400 Bellevue Parkway  Wilmington DE 19809
0000849542-10-000007	2	otherBusinessLocation	100 Freight Street  Pawtucket RI 02860
0000849542-10-000007	1	principalOfficeAddress	4400 Computer Drive  Westborough MA 01581
0000849542-10-000007	1	otherBusinessLocation	760 Moore Road  King of Prussia PA 19406
0000810417-10-000017	1	principalOfficeAddress	700 Maryville Center  St. Louis MO 63141
0000810417-10-000017	2	mailingAddress	12555 Manchester Road  St. Louis MO 63131
0000735383-10-000004	1	principalOfficeAddress	500 Bielenberg Drive  Woodbury MN 55125
0000735383-10-000004	2	mailingAddress	PO Box 64387  Saint Paul MN 55164-0387
0000005732-10-000004	2	mailingAddress	PO BOX 1798  SALT LAKE CITY UT 84110
0000005732-10-000004	1	principalOfficeAddress	342 EAST 900 SOUTH  SALT LAKE CITY UT 84111
0000944496-10-000013	1	principalOfficeAddress	Newport Office Center VII 480 Washington Boulevard Jersey City NJ 07310
0000944496-10-000013	1	otherBusinessLocation	Mellon Client Service Center 500 Ross Street Pittsburgh PA 15262
0001104659-10-057974	1	principalOfficeAddress	1250 Broadway 32nd Floor  New York NY 10001
0000862124-10-000017	1	principalOfficeAddress	300 Puritan Way  Marlborough MA 01752
0000862124-10-000017	2	mailingAddress	82 Devonshire Street N3A - Attn: Transfer Agent Compliance Boston MA 02109-3614
0000862124-10-000017	2	otherBusinessLocation	100 Magellan Drive  Covington KY 41015-4399
0000862124-10-000017	3	otherBusinessLocation	200 Magellan Drive  Covington KY 41015-4399
0000862124-10-000017	4	otherBusinessLocation	200 Seaport Boulevard  Boston MA 02210
0000862124-10-000017	5	otherBusinessLocation	400 Puritan Way  Marlborough MA 01752
0000862124-10-000017	1	otherBusinessLocation	100 Crosby Parkway  Covington KY 41015
0000862124-10-000017	18	otherBusinessLocation	Two Destiny Way  Westlake TX 76262
0000862124-10-000017	17	otherBusinessLocation	617 Davis Drive  Morrisville NC 27560
0000862124-10-000017	16	otherBusinessLocation	4008 E. Chapel Hill  Durham NC 27707
0000862124-10-000017	15	otherBusinessLocation	49 North 400 West  Salt Lake City UT 84101
0000862124-10-000017	14	otherBusinessLocation	2250 William D. Tate  Grapevine TX 76051-3978
0000862124-10-000017	13	otherBusinessLocation	5411 Page Road  Durham NC 27703
0000862124-10-000017	7	otherBusinessLocation	Two Contra Way  Merrimack NH 03054
0000862124-10-000017	11	otherBusinessLocation	100 Howe Drive  Covington KY 41015
0000862124-10-000017	12	otherBusinessLocation	397 Williams Street  Marlborough MA 01752
0000862124-10-000017	8	otherBusinessLocation	100 Salem Street  Smithfield RI 02917
0000862124-10-000017	9	otherBusinessLocation	One Destiny Way  Westlake TX 76262
0000862124-10-000017	10	otherBusinessLocation	11000 Weston Parkway  Cary NC 27513
0000862124-10-000017	6	otherBusinessLocation	One Spartan Way  Merrimack NH 03054
0000810704-10-000015	1	principalOfficeAddress	3100 Breckinridge Boulevard  Duluth GA 30099
0000810704-10-000015	1	otherBusinessLocation	100 Citibank Drive  San Antonio TX 78245
0001018490-10-000036	1	principalOfficeAddress	5022 Gate Parkway, Suite 200  Jacksonville FL 32256-7088
0001146230-10-000007	2	otherBusinessLocation	2 North LaSalle Street  Chicago IL 60602
0001146230-10-000007	3	otherBusinessLocation	350 Indiana Street Suite 800 Golden CO 80401
0001146230-10-000007	1	principalOfficeAddress	250 Royall Street  Canton MA 02021-1011
0001146230-10-000007	1	otherBusinessLocation	525 Washington Boulevard  Jersey City NJ 07310
0001146230-10-000007	4	otherBusinessLocation	144 Fernwood Avenue  Edison NJ 08837
0001504913-10-000002	1	principalOfficeAddress	300 Delaware Avenue Suite 714 Wilmington DE 19801
0000823579-10-000294	1	principalOfficeAddress	66 Exchange Place  Salt Lake City UT 84111
0001380486-10-000005	1	otherBusinessLocation	4600 Alliance Gateway Freeway  Fort Worth TX 76177
0001380486-10-000005	1	principalOfficeAddress	1005 N ameritrade Place  Bellevue NE 68005
0001380486-10-000005	2	mailingAddress	PO Box 2226  Omaha NE 68103-2226
0001419454-10-000012	1	otherBusinessLocation	Manyata Embassy Bus. Park: Outer Ring Rd Hebbal - Krishnarajpuram Section Bangalore K7 560 045
0001419454-10-000012	1	principalOfficeAddress	Embassy Golf Links Business Park Off Intermediate Ring Road Bangalore K7 560 071
0001419454-10-000012	2	mailingAddress	82 Devonshire Street N3A - Attn: Transfer Agent Compliance Boston MA 02109
0001419454-10-000012	2	otherBusinessLocation	No 45, North Phase, Thiru Vi-Ka Industrial Estate Chennai K7 600 097
0001419454-10-000012	3	otherBusinessLocation	GKS TECHNOLOGIES PARK, SEZ 1/124, SIVAJI GARDENS, MANAPAKKAM Chennai K7 600 089
0001133702-10-000010	4	otherBusinessLocation	155 Seaport Blvd  Boston MA 02210
0001133702-10-000010	5	otherBusinessLocation	200 Liberty Street  New York NY 10281
0001133702-10-000010	3	otherBusinessLocation	500 Salem Street  Smithfield RI 02917
0001133702-10-000010	2	otherBusinessLocation	One Destiny Way  Westlake TX 76262
0001133702-10-000010	2	mailingAddress	82 Devonshire Street Attention: FI Compliance Boston MA 02109
