ACCESSION_NUMBER	ENTITY_TYPE	ENTITY_ID	ENTITYNAME	SUCCESSORREGISTERED	ADDRESS
0000857731-11-000005	tawCustodians	1	K. Breinig, Shareholder Records Dept.		South Jersey Industries Inc. 1  South Jersey Plaza Folsom  08037
0000857731-11-000005	tawSuccessors	1	BNY Mellon Shareowner Services	Y	500 Ross Street  Pittsburgh  15262
0000857731-11-000005	tawRegistrant	1	South Jersey Industries Inc.		1 South Jersey Plaza  Folsom  08037
0000950123-11-031285	tawRegistrant	1	Greif, Inc.		425 Winter Road  Delaware  43015
0000950123-11-031285	tawSuccessors	1	Computer Share Services	Y	7530 Lucerne Drive, Suite 305  Cleveland  44130
0000950123-11-031285	tawCustodians	1	Greif, Inc.		425 Winter Road  Delaware  43015
0001078782-11-000595	tawRegistrant	1	TRITON STOCK TRANSFER INC		10300 W CHARLESTON BLVD # 13-213  LAS VEGAS  89135
0001078782-11-000595	tawCustodians	1	CARLOS ESPINOSA		10300 W CHARLESTON BLVD # 13-213  LAS VEGAS  89135
0001397380-11-000006	tawRegistrant	1	X-Pedited Transfer Corporation		535 16th Street Suite 820 Denver  80202
0001397380-11-000006	tawCustodians	1	Jodi K. Stevens		535 16th Street Suite 820 Denver  80202
0001139296-11-000006	tawCustodians	1	Jodi K. Stevens		535 16th Street Suite 820 Denver  80202
0001139296-11-000006	tawRegistrant	1	X-Clearing Corporation		535 16th Street Suite 820 Denver  80202
0001467636-11-000010	tawSuccessors	1	Putnam Investor Services Inc	Y	7 Shattuck Road  Andover  01810
0001467636-11-000010	tawRegistrant	1	Putnam Fiduciary Trust Company		7 Shattuck Rd  Andover  01810
0001467636-11-000010	tawCustodians	1	Putnam Investor Services Inc.		7 Shattuck Rd  Andover  01810
