ACCESSION_NUMBER	CORP_PARTNER_TYPE	CORP_PARTNER_ID	ENTITYNAME	RELATIONSHIPSTARTDATE	TITLEORSTATUS	OWNERSHIPCODE	CONTROLPERSON	AUTHORITYDESCRIPTION	RELATIONSHIPENDDATE
0001144204-15-073443	soleProprietorship	3	Maureen Maloney	11-FEB-2013	Executive Vice President			NA - 0 to 5%	
0001144204-15-073443	soleProprietorship	2	RCS Capital Holdings, LLC	11-FEB-2014	Managing Member			75% up to 100%	
0001144204-15-073443	soleProprietorship	1	Ken Jaffe	01-SEP-2014	President and Chief Executive Officer			NA - 0 to 5%	
0001144204-15-073443	soleProprietorship	4	Amy Spiegel	11-FEB-2012	Vice President			NA - 0 to 5%	
0001213900-15-009798	soleProprietorship	4	FundAmerica Technologies, LLC	08-APR-2015	Holding Company of Applicant			100%	
0001213900-15-009798	soleProprietorship	3	Robert Kiff	25-SEP-2015	Chief Compliance Officer			0	
0001213900-15-009798	soleProprietorship	2	George Georgiades	30-DEC-2015	General Counsel			0	
0001213900-15-009798	soleProprietorship	1	Nicoleta Purcell	08-APR-2015	President			0	
0001035449-15-000010	corporationPartnership	10	Paula G. Jurcenko	01-JUN-2014	Director	NA	true		13-FEB-2015
0001035449-15-000010	corporationPartnership	11	Daniel P. Brewer	01-JUN-2014	Sr. Vice President and Director	NA	true		
0001035449-15-000010	corporationPartnership	12	Mark S. Redman	13-FEB-2015	Director	NA	true		08-MAY-2015
0001035449-15-000010	corporationPartnership	9	John E. Kalb	01-JUN-2014	Director	NA	true		
0001035449-15-000010	corporationPartnership	8	Robert Jeffrey Young	01-JUN-2014	President and Director	NA	true		
0001035449-15-000010	corporationPartnership	7	Martin R. Dean	16-JUN-2014	Sr. Vice President and Director	NA	true		
0001035449-15-000010	corporationPartnership	6	Joseph Louis Rezabek	05-MAR-2012	President and Director	NA	true		10-APR-2015
0001035449-15-000010	corporationPartnership	5	Joseph Charles Flannery	05-SEP-2011	Senior Vice President	NA	true		
0001035449-15-000010	corporationPartnership	4	Brian Lee Blomquist	09-FEB-2010	President	NA	true		01-MAR-2012
0001035449-15-000010	corporationPartnership	3	John Carl Swhear	23-APR-2007	VP - Legal, Compl & Risk, CCO, Director	NA	true		
0001035449-15-000010	corporationPartnership	1	Huntington Bancshares, Inc.	01-JAN-2007	Owner	E	true		
0001035449-15-000010	corporationPartnership	2	Daniel Brian Benhase	01-JAN-2007	Director	NA	true		04-FEB-2014
0001169743-15-000026	corporationPartnership	3	Michael Hagedorn	07-MAY-2009	Director	NA	true		
0001169743-15-000026	corporationPartnership	1	Connie Shannon	07-MAY-2009	Secretary	NA	false		
0001169743-15-000026	corporationPartnership	2	Peter deSilva	07-MAY-2009	Director	NA	true		02-NOV-2015
0001169743-15-000026	corporationPartnership	7	Jill Calton	07-AUG-2015	Senior VP	NA	true		
0001169743-15-000026	corporationPartnership	4	UMB Fund Services, Inc.	07-MAY-2009	Shareholder	E	true		
0001169743-15-000026	corporationPartnership	5	Tony Fischer	30-JUN-2014	Director, Executive VP and Treasurer	NA	true		
0001169743-15-000026	corporationPartnership	6	Troy Joosten	07-AUG-2015	Senior VP	NA	true		
0001354488-15-005661	corporationPartnership	1	Issuer Direct Corporation	01-OCT-2008	Direct Owner	E	true		
0001354488-15-005657	corporationPartnership	1	JODI GODFREY	11-NOV-2014	PRESIDENT	NA	false		
0000842657-15-000028	corporationPartnership	13	Leah Mizer	10-OCT-2006	Director	NA	true		08-AUG-2014
0000842657-15-000028	corporationPartnership	12	Barbara Wizer	05-JAN-2005	Director and President	NA	true		01-MAY-2014
0000842657-15-000028	corporationPartnership	11	Deutsche Bank Americas Holding Corporation (DBAHC)	01-APR-2001	100% owner of DIMA	E	true		
0000842657-15-000028	corporationPartnership	10	DB USA Corporation	01-APR-2002	100% owner of DB Americas Holding Corp.	E	true		
0000842657-15-000028	corporationPartnership	9	Deutsche Bank AG	01-APR-2002	100% owner of DB USA Corporation	E	true		
0000842657-15-000028	corporationPartnership	8	Deutsche Investment Management Americas Inc. (DIMA)	06-FEB-1998	100% owner of Registrant	E	true		
0000842657-15-000028	corporationPartnership	14	Michael Sharkey	13-MAR-2007	Vice President	NA	true		07-AUG-2014
0000842657-15-000028	corporationPartnership	6	Caroline Pearson	22-JUN-2010	Secretary	NA	true		
0000842657-15-000028	corporationPartnership	5	Fred Ill	13-MAR-2007	Vice President	NA	true		28-FEB-2015
0000842657-15-000028	corporationPartnership	4	Nancy Tanzil	13-MAY-2014	Chief Financial Officer and Treasurer	NA	true		
0000842657-15-000028	corporationPartnership	3	Michael Sharkey	08-AUG-2014	Director	NA	true		
0000842657-15-000028	corporationPartnership	2	Kristine Lyons	22-SEP-2005	Director	NA	true		
0000842657-15-000028	corporationPartnership	1	John Dorogoff	01-MAY-2014	Director and President	NA	true		
0000842657-15-000028	corporationPartnership	7	Anjie Larocca	11-JUL-2006	Assistant Secretary	NA	true		
0001007444-15-000027	soleProprietorship	16	Stephanie Leigh Brown	01-MAR-2004	Managing Director			General Counsel	19-AUG-2013
0001007444-15-000027	soleProprietorship	17	Esther Marion Stearns	01-MAR-2007	Chief Operating Officer			President	01-MAY-2012
0001007444-15-000027	soleProprietorship	18	William Edward Dwyer III	01-JAN-2004	Managing Director			National Sales	01-MAR-2013
0001007444-15-000027	soleProprietorship	19	Denise Abood	01-JAN-2008	Managing Director			Human Capital	30-JUN-2012
0001007444-15-000027	soleProprietorship	20	Jonathan Eaton	01-JAN-2008	Managing Director			Retirement Planning	30-JUN-2012
0001007444-15-000027	soleProprietorship	21	Christopher F. Feeney	28-JAN-2008	Managing Director			Chief Information Officer	31-DEC-2012
0001007444-15-000027	soleProprietorship	22	Kathy VanNoy-Pineda	21-MAY-2009	EVP			Chief Compliance Officer, Brokerage	01-JAN-2014
0001007444-15-000027	soleProprietorship	23	John J. McDermott Jr.	27-JUL-2009	Managing Director			Chief Risk Officer	13-SEP-2013
0001007444-15-000027	soleProprietorship	24	Abdiel Alan Valenzuela	21-MAY-2009	VP - Advisory			Chief Compliance Officer, Advisory	01-MAY-2011
0001007444-15-000027	soleProprietorship	25	Derek Bruton	01-MAR-2010	Managing Director			National Sales	04-APR-2014
0001007444-15-000027	soleProprietorship	26	Becky Shulman	06-JUN-2011	Managing Director			Deputy CFO	21-NOV-2011
0001007444-15-000027	soleProprietorship	27	Mary Frances Schott	01-JUN-2014	Managing Director			Client Experience and Training	
0001007444-15-000027	soleProprietorship	28	Ryan Christopher Parker	01-JUN-2014	Managing Director			Investment and Planning Solutions	
0001007444-15-000027	soleProprietorship	29	Thomas Dominic Lux	16-MAR-2015	Executive Vice President			Chief Financial Officer	28-SEP-2015
0001007444-15-000027	soleProprietorship	30	Thomas Andrew Gooley	10-JUL-2015	Managing Director			Service, Trading and Operations	
0001007444-15-000027	soleProprietorship	31	Matthew Jon Audette	28-SEP-2015	Chief Financial Officer			Chief Financial Officer	
0001007444-15-000027	soleProprietorship	32	Suzanne Elizabeth Auletta	18-SEP-2015	Executive Vice President			Chief Compliance Officer, Brokerage	
0001007444-15-000027	soleProprietorship	15	William P. Morrissey, Jr.	01-APR-2014	Managing Director and President			Independent Advisor Services	
0001007444-15-000027	soleProprietorship	14	Mark Stephen Casady	01-DEC-2005	Chairman of the Board and CEO			Chief Executive Officer	
0001007444-15-000027	soleProprietorship	13	Victor Peter Fetter, III	01-DEC-2012	Managing Director			Chief Information Officer	
0001007444-15-000027	soleProprietorship	12	Sallie Rebecca Larsen	01-MAY-2012	Managing Director			Chief Human Capital Officer	
0001007444-15-000027	soleProprietorship	11	Joan Dominy Khoury	01-MAY-2012	Managing Director			Chief Marketing Officer	01-JUN-2014
0001007444-15-000027	soleProprietorship	10	John Andrew Kalbaugh	01-MAR-2010	Managing Director and President			Financial Institution Services	
0001007444-15-000027	soleProprietorship	9	Paul Middlemiss	01-MAY-2011	Executive Vice President			Chief Compliance Officer, Advisory	
0001007444-15-000027	soleProprietorship	8	Michelle Oroschakoff	01-SEP-2013	Managing Director			Chief Risk Officer	
0001007444-15-000027	soleProprietorship	7	David Paul Bergers	01-AUG-2013	Managing Director and Director			Legal and Government Relations	
0001007444-15-000027	soleProprietorship	6	Dan Hogan Arnold, Jr.	01-MAY-2012	President			President	
0001007444-15-000027	soleProprietorship	5	George Burton White	01-NOV-2007	Managing Director			Chief Investment Officer	
0001007444-15-000027	soleProprietorship	4	Sharyn J. Handelsman	01-JAN-2014	Managing Director			Chief Compliance Officer, Brokerage	12-JUN-2015
0001007444-15-000027	soleProprietorship	3	Robert Joseph Moore	01-MAY-2012	President and Director			Advisor & Institution Solutions	16-MAR-2015
0001007444-15-000027	soleProprietorship	1	LPL Holdings, Inc.	01-APR-1989	Managing Member			Parent Company	
0001007444-15-000027	soleProprietorship	2	Mark Robert Helliker	01-AUG-2008	Managing Director			Client Support Services	01-AUG-2015
0001073944-15-000010	corporationPartnership	1	UMB Financial Corporation	17-APR-2011	Shareholder	E	false		
0001073944-15-000010	corporationPartnership	14	Kevin Macke	21-DEC-2015	Director	NA	false		
0001073944-15-000010	corporationPartnership	2	J. Mariner Kemper	12-JUL-2012	Director	NA	false		
0001073944-15-000010	corporationPartnership	3	Peter James DeSilva	16-JAN-2007	Chairman of the Board	NA	false		02-NOV-2015
0001073944-15-000010	corporationPartnership	4	Michael D. Hagedorn	08-NOV-2005	Director	NA	false		
0001073944-15-000010	corporationPartnership	5	Brian J. Walker	07-OCT-2014	Director	NA	false		
0001073944-15-000010	corporationPartnership	6	Anthony Fischer	11-MAR-1996	President	NA	false		
0001073944-15-000010	corporationPartnership	7	Maureen Quill	11-MAR-1996	COO	NA	false		
0001073944-15-000010	corporationPartnership	8	Jig Patel	20-JUL-2015	Director	NA	false		15-DEC-2015
0001073944-15-000010	corporationPartnership	9	Constance Dye Shannon	06-FEB-1995	EVP and General Counsel	NA	false		
0001073944-15-000010	corporationPartnership	10	Terrance P. Gallagher	12-MAR-2007	EVP	NA	false		
0001073944-15-000010	corporationPartnership	11	Christine L. Mortensen	03-APR-1995	Vice President	NA	false		
0001073944-15-000010	corporationPartnership	12	Sharon L. Rose	30-OCT-2000	SVP	NA	false		
0001073944-15-000010	corporationPartnership	13	Shannon Johnson	21-DEC-2015	Director	NA	false		
0000950123-15-012585	soleProprietorship	1	SunGard Investment Ventures LLC	23-DEC-2014	Sole stockholder			Sole stockholder	
0001018490-15-000027	corporationPartnership	1	Foy Benton Hester	01-JUL-1999	Director	NA	true		31-MAR-2015
0001018490-15-000027	corporationPartnership	8	Alec Gurdeep Singh	05-AUG-2008	Director and President	NA	true		
0001018490-15-000027	corporationPartnership	7	Deutsche Bank AG	04-JUN-1999	Owner of 100% of DB USA Corporation	E	false		
0001018490-15-000027	corporationPartnership	6	DB USA Corporation	04-JUN-1999	Owner of 100% of DBTC	E	false		01-FEB-2012
0001018490-15-000027	corporationPartnership	5	Deutsche Bank Trust Corporation ('DBTC')	31-MAR-1990	Owner of 100% of DBHold	E	false		
0001018490-15-000027	corporationPartnership	4	Deutsche Bank Holdings, Inc. ('DBHold')	12-DEC-1991	Owner of 100% of Registrant	E	false		
0001018490-15-000027	corporationPartnership	3	Scott Allan Muirhead	05-FEB-2003	Director and President	NA	true		25-JUL-2008
0001018490-15-000027	corporationPartnership	9	Deutsche Bank AG	01-FEB-2012	Owner of 100% of DBTC	E	false		
0001018490-15-000027	corporationPartnership	2	Michael Seamus Moran	31-AUG-2004	Director	NA	true		31-JUL-2009
0001073944-15-000008	corporationPartnership	7	Jill Calton	07-AUG-2015	Senior VP	NA	true		
0001073944-15-000008	corporationPartnership	6	Troy Joosten	07-AUG-2015	Senior VP	NA	true		
0001073944-15-000008	corporationPartnership	5	Tony Fischer	30-JUN-2014	Director, Executive VP and Treasurer	NA	true		
0001073944-15-000008	corporationPartnership	4	UMB Fund Services, Inc.	07-MAY-2009	Shareholder	E	true		
0001073944-15-000008	corporationPartnership	3	Michael Hagedorn	07-MAY-2009	Director	NA	true		
0001073944-15-000008	corporationPartnership	2	Peter deSilva	07-MAY-2009	Director	NA	true		02-NOV-2015
0001073944-15-000008	corporationPartnership	1	Connie Shannon	07-MAY-2009	Secretary	NA	false		
0000849542-15-000015	corporationPartnership	7	The Bank of New York Mellon	01-JUL-2010	Owner of indirect owner of parent entity	E	true		
0000849542-15-000015	corporationPartnership	8	The Bank of New York Mellon Corporation	01-JUL-2010	Ultimate parent entity	E	true		
0000849542-15-000015	corporationPartnership	9	Joseph G. Bawiec	31-MAR-2009	Managing Director & CFO	NA	true		
0000849542-15-000015	corporationPartnership	10	Stephen P. Farlese	11-OCT-2013	Board Director	NA	true		
0000849542-15-000015	corporationPartnership	11	Robert F. Mathisen, Jr.	16-JUN-2011	Board Director	NA	true		
0000849542-15-000015	corporationPartnership	12	Calvin G. Holmquist	01-JUN-2014	President & Board Chairman	NA	true		
0000849542-15-000015	corporationPartnership	13	Daniel G. Kramer	21-APR-2015	Board Director	NA	true		
0000849542-15-000015	corporationPartnership	14	Ann Fogarty	21-APR-2015	Board Director	NA	true		
0000849542-15-000015	corporationPartnership	1	Michael DeNofrio	01-DEC-1999	Board Director, Managing Director	NA	true		
0000849542-15-000015	corporationPartnership	2	Stephen F. Conlin	01-DEC-1999	Managing Director	NA	true		
0000849542-15-000015	corporationPartnership	3	Bradley Alan Stearns	01-DEC-1999	Compliance Officer	NA	false		
0000849542-15-000015	corporationPartnership	4	BNYM GIS Funding III LLC	01-JUL-2010	Direct parent entity	E	true		
0000849542-15-000015	corporationPartnership	5	BNYM GIS (UK) Funding II LLC	01-JUL-2010	Owner of parent entity	E	true		
0000849542-15-000015	corporationPartnership	6	BNYM GIS Funding I LLC	01-JUL-2010	Indirect owner of parent entity	E	true		
0001458682-15-000005	soleProprietorship	1	Juan Carlos Osorio	06-MAR-2009	Financial Controller			Certificate Signer	
0001458682-15-000005	soleProprietorship	2	Kara A. Kennedy	01-JUN-2009	Managing Member, Executive Director			Majority Owner, Certificate Signer	
0001458682-15-000005	soleProprietorship	6	Mediha Kolar	01-JUN-2009	Operations Associate			Certificate Signer	01-SEP-2010
0001458682-15-000005	soleProprietorship	4	Matthew Luginbuehl	01-AUG-2009	Operations Specialist			Certificate Signer	
0001458682-15-000005	soleProprietorship	5	Piero Falcone	09-FEB-2015	Managing Director			Certificate Signer	
0001458682-15-000005	soleProprietorship	3	Kyla D. Kennedy	01-JUN-2009	Corporate Governance Specialist			Certificate Signer	
0000276398-15-000005	corporationPartnership	6	OppenheimerFunds, Inc.	16-SEP-1987	Parent Company	E	true		
0000276398-15-000005	corporationPartnership	5	Janette Aprilante	01-NOV-2001	Secretary	NA	true		
0000276398-15-000005	corporationPartnership	4	Arthur S. Gabinet	01-JAN-2011	Chief Legal Officer	NA	true		
0000276398-15-000005	corporationPartnership	3	Kristie M. Feinberg	02-JUN-2008	Treasurer	NA	true		
0000276398-15-000005	corporationPartnership	2	Stacy Roode	13-JAN-2007	President	NA	true		
0000276398-15-000005	corporationPartnership	1	David Pfeffer	23-FEB-2004	Chief financial Officer & Director	NA	true		
0000276398-15-000005	corporationPartnership	7	Mary Ann Picciotto	18-AUG-2015	Chief Compliance Officer	NA	true		
0001285911-15-000028	corporationPartnership	9	Stephen J. Storen	20-OCT-2008	Chief Compliance Officer	NA	false		01-DEC-2014
0001285911-15-000028	corporationPartnership	13	Jeffrey M. Soltes	12-NOV-2015	Chief Financial Officer and Treasurer	NA	false		
0001285911-15-000028	corporationPartnership	10	Matthew Perrone	01-JUN-2009	Director and Vice President	NA	false		
0001285911-15-000028	corporationPartnership	11	Bradley J. Skapyak	20-MAY-2010	Director and Chairman of the Board	NA	false		
0001285911-15-000028	corporationPartnership	12	Irene Pappas	10-DEC-2012	Director and President	NA	false		
0001285911-15-000028	corporationPartnership	8	The Bank of New York Mellon Corporation	01-JUL-2007	Ultimate Parent Company	E	true		
0001285911-15-000028	corporationPartnership	7	William H. Maresca	15-OCT-2007	Director and Vice Chairman	NA	false		
0001285911-15-000028	corporationPartnership	6	Gary Pierce	01-JUL-2005	Chief Financial Officer and Treasurer	NA	false		02-NOV-2015
0001285911-15-000028	corporationPartnership	5	Joni L. Charatan	01-AUG-2005	Chief Legal Officer, VP and Secretary	NA	false		
0001285911-15-000028	corporationPartnership	4	Patrick Synan	21-MAY-1998	Director, President	NA	false		16-NOV-2012
0001285911-15-000028	corporationPartnership	3	Prasanna Dhore	28-FEB-2003	Director, Chairman	NA	false		11-JUL-2007
0001285911-15-000028	corporationPartnership	1	The Dreyfus Corporation	23-JUN-1995	Parent Company	E	true		
0001285911-15-000028	corporationPartnership	2	J. David Officer	01-FEB-2002	Director	NA	false		29-MAY-2009
0001007444-15-000025	soleProprietorship	9	Paul Middlemiss	01-MAY-2011	Executive Vice President			Chief Compliance Officer, Advisory	
0001007444-15-000025	soleProprietorship	8	Michelle Oroschakoff	01-SEP-2013	Managing Director			Chief Risk Officer	
0001007444-15-000025	soleProprietorship	11	Joan Dominy Khoury	01-MAY-2012	Managing Director			Chief Marketing Officer	01-JUN-2014
0001007444-15-000025	soleProprietorship	12	Sallie Rebecca Larsen	01-MAY-2012	Managing Director			Chief Human Capital Officer	
0001007444-15-000025	soleProprietorship	13	Victor Peter Fetter, III	01-DEC-2012	Managing Director			Chief Information Officer	
0001007444-15-000025	soleProprietorship	14	Mark Stephen Casady	01-DEC-2005	Chairman of the Board and CEO			Chief Executive Officer	
0001007444-15-000025	soleProprietorship	15	William P. Morrissey, Jr.	01-APR-2014	Managing Director and President			Independent Advisor Services	
0001007444-15-000025	soleProprietorship	16	Stephanie Leigh Brown	01-MAR-2004	Managing Director			General Counsel	19-AUG-2013
0001007444-15-000025	soleProprietorship	17	Esther Marion Stearns	01-MAR-2007	Chief Operating Officer			President	01-MAY-2012
0001007444-15-000025	soleProprietorship	18	William Edward Dwyer III	01-JAN-2004	Managing Director			National Sales	01-MAR-2013
0001007444-15-000025	soleProprietorship	19	Denise Abood	01-JAN-2008	Managing Director			Human Capital	30-JUN-2012
0001007444-15-000025	soleProprietorship	20	Jonathan Eaton	01-JAN-2008	Managing Director			Retirement Planning	30-JUN-2012
0001007444-15-000025	soleProprietorship	21	Christopher F. Feeney	28-JAN-2008	Managing Director			Chief Information Officer	31-DEC-2012
0001007444-15-000025	soleProprietorship	22	Kathy VanNoy-Pineda	21-MAY-2009	EVP			Chief Compliance Officer, Brokerage	01-JAN-2014
0001007444-15-000025	soleProprietorship	23	John J. McDermott Jr.	27-JUL-2009	Managing Director			Chief Risk Officer	13-SEP-2013
0001007444-15-000025	soleProprietorship	24	Abdiel Alan Valenzuela	21-MAY-2009	VP - Advisory			Chief Compliance Officer, Advisory	01-MAY-2011
0001007444-15-000025	soleProprietorship	25	Derek Bruton	01-MAR-2010	Managing Director			National Sales	04-APR-2014
0001007444-15-000025	soleProprietorship	26	Becky Shulman	06-JUN-2011	Managing Director			Deputy CFO	21-NOV-2011
0001007444-15-000025	soleProprietorship	27	Mary Frances Schott	01-JUN-2014	Managing Director			Client Experience and Training	
0001007444-15-000025	soleProprietorship	28	Ryan Christopher Parker	01-JUN-2014	Managing Director			Investment and Planning Solutions	
