ACCESSION_NUMBER	CORP_PARTNER_TYPE	CORP_PARTNER_ID	ENTITYNAME	RELATIONSHIPSTARTDATE	TITLEORSTATUS	OWNERSHIPCODE	CONTROLPERSON	AUTHORITYDESCRIPTION	RELATIONSHIPENDDATE
0001465533-22-000006	corporationPartnership	1	John Hebert	26-JUL-2018	President and CEO	NA	true		
0001465533-22-000006	corporationPartnership	2	Alan Halpern	01-MAR-2003	Vice President	NA	true		
0001465533-22-000006	corporationPartnership	3	Thomas Musarra	19-DEC-2016	Vice President	NA	true		28-APR-2022
0001465533-22-000006	corporationPartnership	4	Terri Premeaux	01-NOV-2012	Compliance Manager	NA			
0001465533-22-000006	corporationPartnership	5	Daniel Fisher	17-AUG-2020	Executive Vice President	NA	true		
0001465533-22-000006	corporationPartnership	6	Adam Berman	20-APR-2020	Vice President	NA	true		
0001465533-22-000006	corporationPartnership	7	Anne Lyons	19-APR-2021	Operations Manager	NA			
0001465533-22-000006	corporationPartnership	8	Christina Van Ryzin	28-APR-2022	Vice President	NA			
0001931822-22-000002	soleProprietorship	1	Lindokuhle Mnyandu	02-JUN-2022	Treasurer			Administration, Management, inter alia	
0001018490-22-000020	corporationPartnership	7	Stephen Hessler	22-APR-2021	Director and President	NA	true		
0001018490-22-000020	corporationPartnership	1	Deutsche Bank Holdings, Inc. (DBHold)	12-DEC-1991	Owner of 100% Registrant	E			
0001018490-22-000020	corporationPartnership	2	Deutsche Bank Trust Corporation (DBTC)	12-DEC-1991	Owner of 100% DBHold	E			
0001018490-22-000020	corporationPartnership	3	DB USA Corporation	01-JUL-2016	Owner of 100% of DBTC	E			
0001018490-22-000020	corporationPartnership	4	Deutsche Bank AG	04-JUN-1999	Owner of 100% DB USA Corporation	E			
0001018490-22-000020	corporationPartnership	5	Heiko Roessle	27-MAR-2019	Director	NA	true		
0001018490-22-000020	corporationPartnership	6	Edward McMahon	02-MAY-2019	Director	NA	true		
0000769188-22-000006	corporationPartnership	1	Massachusetts Financial Services Company	03-MAY-1985	Corporate Parent	E	true		
