ACCESSION_NUMBER	PERIODOFREPORT	ENTITYNAME	SERVICECOMPANY	REGISTRANTENGAGEDSERVICE	REGULATORYAGENCY	AMENDMENTFILED	ADDITIONALINFORMATION	NUMBERITEMSRECEIVEDFORTRANSFER	NUMMASTERSECURITYHOLDERFILINGS	NUMBERINDIVIDUALACCOUNTS	NUMDIVREINVDIRPURPLANACCOUNTS	NUMDIRECTREGISTSYSTEMACCOUNTS	NUMBERFILED	FILEALL	SECHOLDERADDITIONALINFO	ALWAYSCOMPLIANT	NUMBERMONTHSNOTCOMPLIANT	NUMBERNOTICENONCOMPLIANCEFILED	TOTAL	TOTALOTHERTHANRECEIPTORDERDATE	NUMLOSTACCTSREMITTEDTOSTATES
0001062993-22-015013	31-DEC-2021	TSX Trust Co	Some	Y	SEC	Yes, filed amendment(s)		122188	166062	166062	975	47809	0			Yes			0	0	0
0001465533-22-000004	31-DEC-2021	Delaware Trust Co	None	N	SEC	Yes, filed amendment(s)		164	116	116	0	0	0			Not Applicable			0	0	0
0001465533-22-000002	31-DEC-2021	Delaware Trust Co	None	N	SEC	Yes, filed amendment(s)		164	116	116	0	0	0			Not Applicable			0	0	0
0001667731-22-000234	31-DEC-2021	Integral Transfer Agency USA, Inc.	Some	N	SEC	Not applicable		45	2742	2709	0	924	0			Yes			0	0	0
0001830271-22-000001	31-DEC-2021	BlockQuake Transfer Agent, LLC	None	N	SEC	Not applicable		0	0	0	0	0	0			Not Applicable			0	0	0
0001492746-22-000007	31-DEC-2020	NAV Consulting, Inc.	None	N	SEC	No, failed to file amendment(s)	On May 12, 2020, Ambuj Garg was promoted to Chief Operating Officer. The Amended Form TA-1 reflecting the change was filed on 03/17/2022.	1286	42216	36164	653	0	0			Not Applicable			0	0	0
0000733598-22-000002	31-DEC-2021	ALLIANCEBERNSTEIN INVESTOR SERVICES INC /TA	None	N	SEC	No, failed to file amendment(s)	Failed to add end dates for John C. Weisenseel, 9/30/2021 and for Laurence E. Cranch, 12/31/2021	22092	445856	445856	419178	320240	0			Yes			3192458	45623	54
0001099910-22-000079	31-DEC-2021	Silicon Prairie Registrar & Transfer LLC	None	N	SEC	Not applicable		0	0	0	0	0	0			Not Applicable			0	0	0
0001323210-22-000001	31-DEC-2021	GTI Corporate Transfer Agents LLC	None	N	SEC	Yes, filed amendment(s)		0	1	0	0	0	0			Yes			0	0	0
0001718015-22-000005	31-DEC-2021	Odyssey Trust Co	Some	Y	SEC	No, failed to file amendment(s)	We filed an addition to our Board of Directors late. It should have been filed no later than 12/27/2021 because the Director was appointed on 10/28/2021. We reported the change on 1/10/2022.	46344	135444	135686	242	88031	0			Yes			0	0	0
0000025728-22-000004	31-DEC-2021	WELLS FARGO BANK NA /TA	Some	Y	OCC	Not applicable		478	0	0	0	0	0			Yes			0	0	6
0000950123-22-004018	31-DEC-2021	Conduent HR Services, LLC	None	Y	SEC	Yes, filed amendment(s)		0	0	0	0	0	0			Not Applicable			0	0	0
0001352675-22-000003	31-DEC-2021	Bangor Savings Bank /TA	None	N	FDIC	Not applicable		20	1	1	0	1									0
0000920888-22-000004	31-DEC-2020	ANDESA SERVICES, INC. /TA	None	N	SEC	Yes, filed amendment(s)		0	0	144473	0	144473	0			Not Applicable			3851334	5	0
0000920888-22-000003	31-DEC-2019	ANDESA SERVICES, INC. /TA	None	N	SEC	Yes, filed amendment(s)		0	0	143233	0	143233	0			Not Applicable			2781978	11	0
0001771881-22-000001	31-DEC-2021	Hickory Point Bank & Trust /FDIC	None	N	FDIC	Not applicable		1461	10893	10893	2914	1765	0			Yes			0	0	20
0001716848-22-000003	31-DEC-2018	MV INVESTOR SERVICES LLC	None	N	SEC	Not applicable		2	0	0	0	0									0
0001716848-22-000005	31-DEC-2020	MV INVESTOR SERVICES LLC	None	N	SEC	Not applicable		6	0	0	0	0									0
0001716848-22-000006	31-DEC-2021	MV INVESTOR SERVICES LLC	None	N	SEC	Not applicable		7	0	0	0	0									0
0001881971-22-000002	31-DEC-2021	Secure Stock Transfer	Some	N	SEC	Yes, filed amendment(s)		3	75	75	0	0	0			Yes			0	0	0
0001853914-22-000003	31-DEC-2021	Brassica Services LLC (T-A)	None	N	SEC	Not applicable		0	1403	1403	0	0	0			Yes			0	0	0
0001822070-22-000001	31-DEC-2021	Parker Transfer Agency, Inc	None	N	SEC	Not applicable		0	0	0	0	0	0			Not Applicable			0	0	0
0001903596-22-000132	31-DEC-2021	PACIFIC STOCK TRANSFER CO /TA	None	N	SEC	Not applicable		8365	770895	770895	0	11055	0			Yes			0	0	0
0001090027-22-000002	31-DEC-2021	PLANMEMBER SERVICES CORP /TA	None	Y	SEC	Not applicable		226651	71116	71116	71116	0	0			Yes			226651	4079	37
0000950123-22-003718	31-DEC-2021	FREEDOM FUNDS MANAGEMENT CO                             /TA	None	N	SEC	Not applicable		424	15020	12412	11122	0	0			Yes			13458	48	0
