ACCESSION_NUMBER	ENTITY_TYPE	ENT_ID	ENTITYNAME	AGREEMENTDESCRIPTION
0000897101-21-000779	otherControlManagement	7	David L. Becker	Legal Officer
0000897101-21-000779	otherControlManagement	2	Anand Ramakrishnan	Managing Director
0000897101-21-000779	otherControlManagement	1	Thera Prins	Chairperson of the Board
0000897101-21-000779	otherControlManagement	4	Karthikeyan Shankaran	Director of Finance Shared Services
0000897101-21-000779	otherControlManagement	5	Umashankar Muniswamy	Deputy Director of Operations
0000897101-21-000779	otherControlManagement	6	Andrew Peeler	Chief Financial Officer
0000897101-21-000779	otherControlManagement	3	Sreekech Cheriyathu	Director of Operations
0001794142-21-000007	otherControlFinance	1	TokenSoft Inc.	Sole Owner of DTAC Holdings LLC
0001794142-21-000007	otherControlManagement	1	TokenSoft Inc.	Sole owner of DTAC Holdings LLC
0001419454-21-000004	otherControlFinance	1	FMR LLC	Directly and indirectly, through certain of its affiliated companies, FMR LLC wholly or partially may finance Fidelity Business Services India Private Limited
0001419454-21-000004	otherControlManagement	1	FMR LLC	Through certain of its direct or indirect subsidiaries, FMR LLC is the ultimate parent company of Fidelity Business Services India Private Limited
0001878534-21-000001	otherControlManagement	1	Earn RE, Inc.	Owner and sole member of Earn Transfer, LLC
0001557183-21-000003	otherControlManagement	3	MERCURY INTERMEDIATE II, INC.	100% Shareholder
0001557183-21-000003	otherControlManagement	4	MERCURY INTERMEDIATE I, INC.	100% Shareholder
0001557183-21-000003	otherControlManagement	2	MERCURY BORROWER, INC.	100% Shareholder
0001557183-21-000003	otherControlManagement	6	TRIDENT VIII, L.P.	Shareholder
0001557183-21-000003	otherControlManagement	5	MERCURY PARENT HOLDINGS, INC.	100% Shareholder
0001557183-21-000003	otherControlManagement	1	Ascensus Holdings, Inc.	100% Shareholder
0001721868-21-000529	otherControlManagement	1	Pacific Services Group Voting Trust	The PSG Voting Trust owns a controlling interest in the equity of Pacific Services Group, Ltd. Its Trustee, Jacqueline Ann Bogle Meuse serves as a member of the Board of Managers of Pacific Services Group, Ltd. Pacific Services Group, Ltd owns 100% of the equity of Capital Transfer Agency.
0001018490-21-000023	otherControlFinance	1	Various - See below.	A Deutsche Bank AG holding company, Deutsche Bank Trust Corporation, provided the original, capital funding for the Registrant and for a time provided a line of credit for working capital. Working capital is now provided via service fees which originate from inter-company billings for the services rendered.
0001018490-21-000023	otherControlManagement	1	Various - See below.	DB Services Americas, Inc. (DBSA) was established as a servicing company to provide operational services to Deutsche Bank Trust Company Americas (DBTCA) and Deutsche Bank National Trust Company (DBNTC). DBSA does not have any third party client agreements. Rather, DBSA, as engaged by DBTCA and DBNTC provides technical and administrative support services including data processing, maintenance of appropriate records in accordance with existing standards, recordkeeping and accounting functions in connection with services provided to DBTCAs and DBNTCs clients. DBTCA and DBNTC have appointed DBSA as its agent to act on their behalf in connection with the transfer and servicing of securities. Accounts are maintained jointly by DBTCA, DBNTC and DBSA. DBSA in its transfer agent function provides services to DBTCA and DBNTC in a manner as if DBSA is an independent, dedicated contractor that works solely for DBTCA and DBNTC and no other transfer agent. There is a shared system of database for DBTCA, DBNTC and DBSA.
0001018490-21-000021	otherControlFinance	1	Various - See below.	A Deutsche Bank AG holding company, Deutsche Bank Trust Corporation, provided the original, capital funding for the Registrant and for a time provided a line of credit for working capital. Working capital is now provided via service fees which originate from inter-company billings for the services rendered.
0001018490-21-000021	otherControlManagement	1	Various - See below.	DB Services Americas, Inc. (DBSA) was established as a servicing company to provide operational services to Deutsche Bank Trust Company Americas (DBTCA) and Deutsche Bank National Trust Company (DBNTC). DBSA does not have any third party client agreements. Rather, DBSA, as engaged by DBTCA and DBNTC provides technical and administrative support services including data processing, maintenance of appropriate records in accordance with existing standards, recordkeeping and accounting functions in connection with services provided to DBTCAs and DBNTCs clients. DBTCA and DBNTC have appointed DBSA as its agent to act on their behalf in connection with the transfer and servicing of securities. Accounts are maintained jointly by DBTCA, DBNTC and DBSA. DBSA in its transfer agent function provides services to DBTCA and DBNTC in a manner as if DBSA is an independent, dedicated contractor that works solely for DBTCA and DBNTC and no other transfer agent. There is a shared system of database for DBTCA, DBNTC and DBSA.
0001432532-21-000007	otherControlManagement	4	Franklin Resources, Inc.	100% Ownership of Legg Mason, Inc.
0001432532-21-000007	otherControlManagement	3	Legg Mason, Inc.	100% Ownership of Templeton Worldwide, Inc.
0001432532-21-000007	otherControlManagement	2	Templeton Worldwide, Inc.	100% Ownership of Templeton International, Inc.
0001432532-21-000007	otherControlManagement	1	Templeton International, Inc.	100% Ownership of Franklin Templeton Luxembourg S.A.
0000353291-21-000012	otherControlManagement	1	Legg Mason, Inc.	100% Ownership of Templeton Worldwide, Inc.
0000353291-21-000012	otherControlManagement	2	Franklin Resources, Inc.	100% ownership of Legg Mason, Inc.
0001432531-21-000012	otherControlManagement	1	Franklin Templeton Captial Holdings Private Limited	100% Ownership of Franklin Templeton Holding Limited, a Mauritian company
0001432531-21-000012	otherControlManagement	5	Franklin Resources, Inc.	100% Ownership of Legg Mason, Inc.
0001432531-21-000012	otherControlManagement	4	Legg Mason, Inc.	100% Ownership of Templeton Worldwide, Inc.
0001432531-21-000012	otherControlManagement	3	Templeton Worldwide, Inc.	100% Ownership of Templeton International, Inc.
0001432531-21-000012	otherControlManagement	2	Templeton International, Inc.	100% Ownership of Franklin Templeton Capital Holdings Private Limited
0001049169-21-000005	otherControlManagement	2	DST Systems, Inc.	ALPS Fund Services, Inc. is a wholly owned indirect subsidiary of DST Systems, Inc.
0001049169-21-000005	otherControlManagement	3	SS&C Technologies Holdings, Inc.	ALPS Fund Services, Inc. is a wholly owned indirect subsidiary of SS&C Technologies Holdings, Inc.
0001049169-21-000005	otherControlManagement	1	ALPS Holdings Inc., a DST Systems, Inc. company	ALPS Fund Services, Inc. is a wholly owned subsidiary of ALPS Holdings, Inc., which is a subsidiary of DST Systems, Inc.
0001199835-21-000431	otherControlFinance	1	GENETHERA, INC.	IN-HOUSE TA
0001062993-21-006209	otherControlManagement	1	OLYMPIA FINANCIAL GROUP INC.	OLYMPIA TRUST COMPANY IS WHOLLY OWNED SUBSIDIARY OF OLYMPIA FINANCIAL GROUP INC. OLYMPIA FINANCIAL GROUP INC. IS A PUBLIC CORPORATION ON THE TSX EXCHANGE (SYMBOL: OLY)
0001432531-21-000010	otherControlManagement	1	Franklin Templeton Capital Holdings Private Limited	100% Ownership of Franklin Templeton Holding Limited
0001432531-21-000010	otherControlManagement	2	Templeton International, Inc.	100% Ownership of Franklin Templeton Capital Holdings Private Limited
0001432531-21-000010	otherControlManagement	3	Templeton Worldwide, Inc.	100% Ownership of Templeton International, Inc.
0001432531-21-000010	otherControlManagement	4	Franklin Resources, Inc.	100% Ownership of Templeton Worldwide, Inc.
0001448300-21-000009	otherControlManagement	1	Refer to response A in the supplemental correspondence.	"Putnam Investor Services, Inc. is a direct subsidiary of Putnam U.S. Holdings I, LLC, which in turn is a direct subsidiary of Putnam Acquisition Financing LLC. Putnam Acquisition Financing LLC. is a direct subsidiary of Putnam Acquisition Financing Inc. Putnam Acquisition Financing Inc. is a direct subsidiary of Putnam Investments, LLC. Putnam Investments, LLC is a direct subsidiary of Great-West Lifeco U.S. LLC. Great-West Lifeco U.S. LLC is a direct subsidiary of Great-West Financial (Nova Scotia) Co. Great-West Financial (Nova Scotia) Co. is a direct subsidiary of Great-West Lifeco Inc. Great-West Lifeco Inc. is a direct subsidiary of Power Financial Corporation. Power Financial Corporation is a direct subsidiary of Power Corporation of Canada. Power Corporation of Canada is a direct subsidiary of Pansolo Holding Inc. Pansolo Holding Inc. is owned by The Desmarais Family Residuary Trust (the ""Trust""), which is the ultimate parent of Putnam Investor Services, Inc. The Trustees of the Trust are Andre Desmarais, Sophie Desmarais, Paul Desmarais Jr., Guy Fortin, and Michel Plessis-Belair. Decisions with respect to voting the shares of Power Corporation of Canada held directly and indirectly by the Trust are determined by a majority of the Trustees of the Trust, excluding Sophie Desmarais. The Trustees of the Trust (other than Ms. Sophie Desmarais) are listed above in this capacity, without conceding that they ""control,"" or any individual trustee ""controls,"" Putnam Investor Services, Inc."
