ACCESSION_NUMBER	ENTITY_TYPE	ENTITY_ID	ENTITYNAME	SUCCESSORREGISTERED	ADDRESS
0000897101-21-000492	tawSuccessors	1	Equiniti Trust Co	Y	275 Madison Avenue 34th Floor New York NY 10016
0000897101-21-000492	tawCustodians	1	Equiniti Trust Company		1110 Centre Pointe Curve Suite 101 Mendota Heights MN 55120
0000897101-21-000492	tawRegistrant	1	CORPORATE STOCK TRANSFER INC                            /TA		3200 Cherry Creek South Drive, Suite 430  Denver CO 80209
0000897101-21-000492	tawLocations	1	Equiniti Trust Company		3200 Cherry Creek South Drive, Suite 430  Denver CO 80209
0000724935-21-000001	tawSuccessors	2	Nevada Agency and Transfer	Y	50 West Liberty Street Suite 880  Reno ID 89501
0000724935-21-000001	tawCustodians	1	Michelle White		12439 N Nine Bark  Hauser ID 83854
0000724935-21-000001	tawRegistrant	1	COLUMBIA STOCK TRANSFER CO /TA		12439 N Nine Bark  Hauser ID 83854
0000724935-21-000001	tawSuccessors	1	V Stock Transfer	Y	18 Lafayette Place  Woodmere NY 11598
0000892712-21-000185	tawSuccessors	1	Ultimus Fund Solutions, LLC	Y	225 Pictoria Drive Suite 450 Cincinnati OH 45246
0000892712-21-000185	tawRegistrant	1	PARNASSUS INVESTMENTS /TA		1 Market Street Suite 1600 San Francisco CA 94105
0000892712-21-000185	tawCustodians	1	John V. Skidmore II		1 Market Street Suite 1600 San Francisco CA 94105
0001821268-21-000122	tawLocations	1	FIS Investor Services LLC		4249 Easton Way Suite 400 Columbus OH 43219
0001821268-21-000122	tawCustodians	1	FIS Investor Services LLC		4249 Easton Way Suite 400 Columbus OH 43219
0001821268-21-000122	tawSuccessors	1	FIS Investor Services LLC	Y	4249 Easton Way Suite 400 Columbus OH 43219
0001821268-21-000122	tawRegistrant	1	WEITZ INVESTMENT MANAGEMENT, INC. /TA		1125 S. 103rd Street Suite 200 Omaha NE 68124
0001080210-21-000003	tawRegistrant	1	My Transfer Agent, LLC		770 Broadway Suite 207 New York NY 10003
0001493152-21-008434	tawSuccessors	1	Securities Transfer Corporation	Y	2901 Dallas Parkway Suite 380 Plano, TX 75093
0001493152-21-008434	tawRegistrant	1	ISLAND CAPITAL MANAGEMENT LLC		15500 Roosevelt Blvd Suite 104 Clearwater FL 33760
0001493152-21-008434	tawLocations	1	Island Capital Management, LLC.		15500 Roosevelt Boulevard Suite 104 Clearwater, FL 33760
0001493152-21-008434	tawCustodians	1	Island Capital Management, LLC.		15500 Roosevelt Boulevard Suite 104 Clearwater, FL 33760
