ACCESSION_NUMBER	CORP_PARTNER_TYPE	CORP_PARTNER_ID	ENTITYNAME	RELATIONSHIPSTARTDATE	TITLEORSTATUS	OWNERSHIPCODE	CONTROLPERSON	AUTHORITYDESCRIPTION	RELATIONSHIPENDDATE
0001432532-21-000005	soleProprietorship	11	Katarzyna Majchrzak	13-JUL-2018	Director			Member of Board of Directors	
0001432532-21-000005	soleProprietorship	1	Templeton Asset Management Ltd.	25-JUL-1997	100% Ownership			100% Sole ownership and control	01-FEB-2017
0001432532-21-000005	soleProprietorship	2	Basil K. Fox, Jr.	28-SEP-2007	Director			Member of Board of Directors	
0001432532-21-000005	soleProprietorship	3	Jennifer M. Johnson (formerly Jenny J. Bolt)	28-SEP-2007	Director			Member of Board of Directors	27-OCT-2015
0001432532-21-000005	soleProprietorship	4	Alok Sethi	28-SEP-2007	Director			Member of Board of Directors	
0001432532-21-000005	soleProprietorship	12	Krzysztof Wierzchowski	15-MAR-2021	Director			Member of Board of Directors	
0001432532-21-000005	soleProprietorship	5	Dr. J. B. Mark Mobius	04-JUL-1997	Director			Member of Board of Directors	28-SEP-2017
0001432532-21-000005	soleProprietorship	10	William Jackson	21-MAY-2018	Director			Member of Board of Directors	
0001432532-21-000005	soleProprietorship	9	Franklin Templeton Luxembourg S.A.	01-FEB-2017	100% Owner			100% Ownership and Control	
0001432532-21-000005	soleProprietorship	8	Michael Mee	27-OCT-2015	Director			Member of Board of Directors	02-MAY-2018
0001432532-21-000005	soleProprietorship	7	Tiffany Hong	13-JUL-2015	Director			Member of Board of Directors	
0001432532-21-000005	soleProprietorship	6	Gregory E. McGowan	04-JUL-1997	Director			Board of Directors	05-OCT-2016
0000353291-21-000010	soleProprietorship	1	Templeton Worldwide, Inc.	01-JAN-2001	Sole Member			Mgmt of business & affairs of registrant	
0001202048-21-000004	corporationPartnership	6	Cheryl Tibbits	17-JUN-2021	Executive Vice President & CFO	NA			
0001202048-21-000004	corporationPartnership	5	Todd McGrath	17-JUN-2021	President	NA	true		
0001202048-21-000004	corporationPartnership	4	Freda Lee	17-JUN-2021	Executive Vice President	NA	true		
0001202048-21-000004	corporationPartnership	3	Eric S. Levy	29-JUN-2016	Director and Senior Vice President	NA	true		17-JUN-2021
0001202048-21-000004	corporationPartnership	1	The Variable Annuity Life Insurance Company (VALIC)	18-NOV-1996	Owner	E	true		
0001202048-21-000004	corporationPartnership	2	Glenn R. Harris	15-JAN-2015	Director	NA	true		30-APR-2021
0000842657-21-000016	corporationPartnership	11	Hepsen Uzcan	25-JUN-2018	Director and Vice President	NA	true		
0000842657-21-000016	corporationPartnership	10	DWS USA Corporation	01-MAY-2018	100% owner of DIMA	E	true		
0000842657-21-000016	corporationPartnership	9	DB Beteiligungs - Holding GmbH	02-APR-2018	77,5% owner of DWS Group GmbH & Co KGaA	E	true		
0000842657-21-000016	corporationPartnership	8	DWS Group GmbH & Co KGaA	02-APR-2018	100% owner of DeAM US Holding Corp.	E	true		
0000842657-21-000016	corporationPartnership	7	Deutsche Bank AG	02-APR-2018	owner of DB Beteiligungs - Holding GmbH	E	true		
0000842657-21-000016	corporationPartnership	12	Nicole Grogan	26-JUL-2019	Director and Vice President	NA	true		
0000842657-21-000016	corporationPartnership	5	Michael Sharkey	01-NOV-2017	Director and President	NA	true		
0000842657-21-000016	corporationPartnership	4	Deutsche Asset Management US Holding Corporation (DeAM US Holding Corp.)	01-AUG-2017	100% owner of DIMA	E	true		01-MAY-2018
0000842657-21-000016	corporationPartnership	3	DWS Investment Management Americas Inc.	06-FEB-1998	100% owner of Registrant	E	true		
0000842657-21-000016	corporationPartnership	2	Nancy Tanzil	13-MAY-2014	Chief Financial Officer and Treasurer	NA			
0000842657-21-000016	corporationPartnership	1	Kristine Lyons	22-SEP-2005	Director and Vice President	NA	true		
0000842657-21-000016	corporationPartnership	6	Anjie Larocca	14-JUN-2017	Secretary	NA	true		
0001451217-21-000004	corporationPartnership	1	Timothy Barto	12-AUG-2020	Vice President and Assistant Secretary	NA			
0001451217-21-000004	corporationPartnership	2	Robert Silvestri	08-MAY-2008	Treasurer	NA			
0001451217-21-000004	corporationPartnership	3	Jeff Klauder	30-MAY-2008	Director and Senior Vice President	NA			14-MAY-2018
0001451217-21-000004	corporationPartnership	4	Dennis McGonigle	30-MAY-2008	Director and Senior Vice President	NA			
0001451217-21-000004	corporationPartnership	5	Aaron Buser	30-MAY-2008	Vice President and Assistant Secretary	NA			
0001451217-21-000004	corporationPartnership	6	Phillip Masterson	30-MAY-2008	Vice President	NA			12-MAY-2021
0001451217-21-000004	corporationPartnership	7	Jay Cipriano	30-MAY-2008	Vice President	NA			
0001451217-21-000004	corporationPartnership	8	SEI Investments Management Corporation	30-MAY-2008	Direct Parent Company	E	true		
0001451217-21-000004	corporationPartnership	9	SEI Investments Company	30-MAY-2008	Ultimate Parent Company	E	true		
0001451217-21-000004	corporationPartnership	10	James Ndiaye	30-MAY-2008	Vice President and Assistant Secretary	NA			01-MAR-2012
0001451217-21-000004	corporationPartnership	11	Mark Nagle	30-MAY-2008	Director and Senior Vice President	NA			03-OCT-2012
0001451217-21-000004	corporationPartnership	12	James F. Volk	30-MAY-2008	Chief Compliance Officer	NA			03-OCT-2014
0001451217-21-000004	corporationPartnership	13	Al DelPizzo	30-MAY-2008	President	NA			23-FEB-2016
0001451217-21-000004	corporationPartnership	14	Bridget Jensen	04-MAR-2009	Vice President	NA			
0001451217-21-000004	corporationPartnership	15	Robert Muse	04-MAR-2009	President	NA			
0001451217-21-000004	corporationPartnership	16	David McCann	12-AUG-2020	General Counsel and Secretary	NA			
0001451217-21-000004	corporationPartnership	17	Stephen Meyer	03-JUN-2010	Director and Senior Vice President	NA			
0001451217-21-000004	corporationPartnership	20	Philip McCabe	03-OCT-2012	Director and Senior Vice President	NA			
0001451217-21-000004	corporationPartnership	21	Keith Dietel	03-OCT-2014	Chief Compliance Officer	NA			
0001451217-21-000004	corporationPartnership	22	Teresa Curley	24-MAY-2016	Vice President	NA			
0001451217-21-000004	corporationPartnership	23	Michael Peterson	30-MAY-2018	Director and Senior Vice President	NA			
0001451217-21-000004	corporationPartnership	18	Mark F. McManus	20-DEC-2010	Vice President	NA			
0001451217-21-000004	corporationPartnership	19	Brent N. Vasher	20-DEC-2010	Vice President	NA			
0000071138-21-000004	corporationPartnership	2	Alexander H Walker III	21-JUL-2003	Owner	D	true		21-JUL-2003
0000071138-21-000004	corporationPartnership	1	Amanda Cardinalli	21-JUL-2003	President	D	true		21-JUL-2003
0001787835-21-000006	soleProprietorship	2	Michael Adornetto (CRD# 1794652)	01-JAN-2017	Member of Registrant's Board of Managers			Control Person; no ownership interest	28-FEB-2020
0001787835-21-000006	soleProprietorship	12	John Joseph Towey, Jr. (CRD# 2301860)	26-MAR-2020	Member of Registrant's Board of Managers			Control Person; no ownership interest	
0001787835-21-000006	soleProprietorship	5	John Joseph Quinn, Jr. (CRD# 2853532)	22-MAY-2019	Member of Registrant's Board of Managers			Control Person; no ownership interest	
0001787835-21-000006	soleProprietorship	6	Karen Mayer Woods (Associated Person - fingerprints on file)	12-APR-2019	Chief Financial Officer			Not control person-no ownership interest	
0001787835-21-000006	soleProprietorship	7	BAC North America Holding Company (BACNAH)	30-APR-2001	100% owner of MLPF&S			100% Indirect Parent; Control Person	
0001787835-21-000006	soleProprietorship	8	NB Holdings Corporation (NBH)	17-OCT-2008	100% Owner of BACNAH			100% Indirect Parent; Control Person	
0001787835-21-000006	soleProprietorship	15	Howard David Sloan	26-APR-2021	Member of Registrant's Board of Managers			Control Person; no ownership interest	
0001787835-21-000006	soleProprietorship	9	Bank of America Corporation	01-OCT-1998	100% Owner of NBH			Ultimate Control Person; 100% Indirect	
