ACCESSION_NUMBER	PERIODOFREPORT	ENTITYNAME	SERVICECOMPANY	REGISTRANTENGAGEDSERVICE	REGULATORYAGENCY	AMENDMENTFILED	ADDITIONALINFORMATION	NUMBERITEMSRECEIVEDFORTRANSFER	NUMMASTERSECURITYHOLDERFILINGS	NUMBERINDIVIDUALACCOUNTS	NUMDIVREINVDIRPURPLANACCOUNTS	NUMDIRECTREGISTSYSTEMACCOUNTS	NUMBERFILED	FILEALL	SECHOLDERADDITIONALINFO	ALWAYSCOMPLIANT	NUMBERMONTHSNOTCOMPLIANT	NUMBERNOTICENONCOMPLIANCEFILED	TOTAL	TOTALOTHERTHANRECEIPTORDERDATE	NUMLOSTACCTSREMITTEDTOSTATES
0001520138-21-000183	31-DEC-2020	West Coast Stock Transfer Inc.	None	Y	SEC	Yes, filed amendment(s)		1706	31559	31559	0	1685	0			Yes			0	0	0
0001721868-21-000188	31-DEC-2020	PACIFIC STOCK TRANSFER CO /TA	Some	Y	SEC	Not applicable		4974	764449	764449	0	8581	0			Yes			0	0	0
0001798677-21-000001	31-DEC-2020	Flux Registry LLC	None	N	SEC	Not applicable		0	0	0	0	0	0			Yes			0	0	0
0001146032-21-000002	31-DEC-2020	BANCO POPULAR DE PUERTO RICO/TA	Some	N	BGFRS	Not applicable		890	8105	10932	4879	211	0			Yes			1336	0	148
0000735286-21-000008	31-DEC-2020	VANGUARD GROUP INC	None	Y	SEC	No, failed to file amendment(s)	The Vanguard Group, Inc. filed Form TA-1 amendments in 2020 within 60 days of identifying the need to make minor clerical updates to the information for certain senior personnel.	3969717	22478412	22478412	20064449	0	0			Not Applicable			74209509	392321	2644
0001090027-21-000002	31-DEC-2020	PLANMEMBER SERVICES CORP /TA	None	Y	SEC	Not applicable		263548	82106	82106	82106	0	0			Yes			263548	4265	104
0000810704-21-000001	31-DEC-2020	PRIMERICA SHAREHOLDER SERVICES, INC.	Some	Y	SEC	No, failed to file amendment(s)	Due to an oversight, a TA-1 amendment was not filed in a timely manner following a change in the officers of the entity.	0	0	0	0	0	0			Not Applicable			0	0	0
0001654954-21-003616	31-DEC-2020	MANHATTAN TRANSFER REGISTRAR CO /TA	Some	Y	SEC	Yes, filed amendment(s)		491	11475	11475	0	20	0			Not Applicable			0	0	0
0000854729-21-000002	31-DEC-2020	UMB BANK NA	Some	Y	OCC	No, failed to file amendment(s)	The servicing company arrangement with Commerce Bank is no longer in effect. An amended TA-1 was sent 3/31/21.	124	64972	64972	0	0	0			No	1	1	0	0	1
0001654954-21-003614	31-DEC-2019	MANHATTAN TRANSFER REGISTRAR CO /TA	Some	N	SEC	Yes, filed amendment(s)		397	10798	10798	0	16	0			Yes			0	0	0
0001654954-21-003612	31-DEC-2018	MANHATTAN TRANSFER REGISTRAR CO /TA	Some	N	SEC	Yes, filed amendment(s)		710	12559	12559	0	9	0			Yes			0	0	0
0001771339-21-000006	31-DEC-2020	360 Sports, Inc.	None	N	SEC	Not applicable		0	86	86	0	0	0			Not Applicable			0	0	0
0000818238-21-000003	31-DEC-2020	COMMONWEALTH FUND SERVICES INC /TA	None	N	SEC	Not applicable		7228	11493	11493	10645	11493	0			Yes			0	0	0
0000920888-21-000002	31-DEC-2020	ANDESA SERVICES, INC. /TA	None	N	SEC	Not applicable		0	0	144518	0	144518	0			Not Applicable			3918323	72	0
0001771339-21-000004	31-DEC-2019	360 Sports, Inc.	None	N	SEC	Not applicable		0	86	86	0	0				Not Applicable					0
0000831495-21-000002	31-DEC-2020	Delaware Investments Fund Services Co	All	N	SEC	Not applicable															
0000831495-21-000001	31-DEC-2020	DELAWARE SERVICE CO INC /PA/ /TA	All	N	SEC	Not applicable															
0001145697-21-000002	31-DEC-2020	FULTON BANK, NATIONAL ASSOCIATION	None	N	OCC	Not applicable		802	16506	16506	5778	796	0			Yes			0	0	9
0001393905-21-000171	31-DEC-2020	Empire Stock Transfer Inc.	None	N	SEC	Not applicable		2594	357	48319	0	500	0			Yes			0	0	0
0000838927-21-000001	31-DEC-2020	BANK OF AMERICA N.A.	Some	N	OCC	Not applicable		3	90	90	0	0	0			Yes			0	0	0
0001010549-21-000050	31-DEC-2020	SECURITIES TRANSFER CORP /TA	None	N	SEC	No, failed to file amendment(s)	A TA-1 triggering event occured on 10/31/20. STC amended its TA-1 information in a filing on February 11, 2021.	2205	473430	474404	340	634	0			Yes			0	0	0
0001062993-21-003191	31-DEC-2020	AST Trust Co (Canada)	Some	Y	SEC	Not applicable		64560	0	0	0	0	0			Not Applicable			0	0	0
0001062993-21-003189	31-DEC-2020	AST Investor Services Inc. (Canada)	Some	Y	SEC	Not applicable		64560	1359433	593963	233461	360502	0			Yes			0	0	1131
0000839196-21-000001	31-DEC-2020	ZIONS BANCORPORATION, N.A./TA	None	N	OCC	Not applicable		798	59157	59157	1761	6968	0			Yes			0	0	202
0001030030-21-000002	31-DEC-2020	NOTTINGHAM SHAREHOLDER SERVICES LLC /TA	Some	N	SEC	Yes, filed amendment(s)		3020	41177	41118	38668	41118	0			Yes			249072	3968	0
