ACCESSION_NUMBER	PERIODOFREPORT	ENTITYNAME	SERVICECOMPANY	REGISTRANTENGAGEDSERVICE	REGULATORYAGENCY	AMENDMENTFILED	ADDITIONALINFORMATION	NUMBERITEMSRECEIVEDFORTRANSFER	NUMMASTERSECURITYHOLDERFILINGS	NUMBERINDIVIDUALACCOUNTS	NUMDIVREINVDIRPURPLANACCOUNTS	NUMDIRECTREGISTSYSTEMACCOUNTS	NUMBERFILED	FILEALL	SECHOLDERADDITIONALINFO	ALWAYSCOMPLIANT	NUMBERMONTHSNOTCOMPLIANT	NUMBERNOTICENONCOMPLIANCEFILED	TOTAL	TOTALOTHERTHANRECEIPTORDERDATE	NUMLOSTACCTSREMITTEDTOSTATES
0001090027-09-000005	31-DEC-2008	PlanMember Services Corporation	NONE	Y	SEC	Not applicable		0	0	0	0	0									0
0001242588-09-000008	31-DEC-2008	Wells Capital. Inc.	SOME	N	SEC	Yes, filed amendment(s)		2601	13325	13325	0	0	0			Not Applicable			0	0	0
0001242588-09-000006	31-DEC-2007	Wells Capital Inc.	SOME	N	SEC	No, failed to file amendment(s)	Registrant previously acted as a transfer agent solely for securities of affiliates.  During the reporting period, one of its issuers ceased to be an affiliate. This change in status has now been identified and reported in the current Form TA-1.	1056	16921	16921	0	0	0			Not Applicable			0	0	0
0001447135-09-000010	31-DEC-2008	PLATINUM Stock Transfer Inc	NONE	N	SEC	Not applicable		0	0	0	0	0									0
0000735236-09-000002	31-DEC-2008	Seneca Foods Corporation	SOME	N	SEC	Not applicable		0	17	17	0	0									0
0001064418-09-000003	31-DEC-2008	Milliman, Inc.	NONE	Y	SEC	Not applicable		0	0	0	0	0									0
0000088948-09-000007	31-DEC-2007	Seneca Foods Corporation	SOME	N	SEC	Yes, filed amendment(s)		55	255	255	0	0									0
0000943440-09-000355	31-DEC-2008	holladay stock transfer,inc	NONE	N	SEC	Not applicable		6447	0	0	0	0	0			Yes			0	0	0
0001400380-09-000004	31-DEC-2008	CNB Bank	NONE	N	FDIC	Not applicable		183	60	60	0	0									0
0001178677-09-000009	31-DEC-2007	BNY Mellon Trust Company of Illinois	ALL	N	BGFRS	Not applicable															
0000938152-09-000006	31-DEC-2008	INTERSTATE TRANSFER CO	NONE	N	SEC	Not applicable		944	25667	25667	0	0	0			Not Applicable			0	0	0
0000746972-09-000001	31-DEC-2008	OTR, Inc.	NONE	N	SEC	Not applicable		1459	45374	45374	0	0	0			Yes			0	0	0
