ACCESSION_NUMBER	ENTITY_TYPE	ENT_ID	ENTITYNAME	AGREEMENTDESCRIPTION
0001511164-19-000040	otherControlManagement	1	Christine NMN Zitman	CFO of the holding company.
0001511164-19-000040	otherControlFinance	1	Connect X Capital Markets LLC	Holding Company - 100% owner of applicant
0001448300-19-000004	otherControlManagement	1	Refer to response A in the supplemental correspondence.	"Putnam Investor Services, Inc. is a direct subsidiary of Putnam U.S. Holdings I, LLC, which in turn is a direct subsidiary of Putnam Acquisition Financing LLC. Putnam Acquisition Financing LLC. is a direct subsidiary of Putnam Acquisition Financing Inc. Putnam Acquisition Financing Inc. is a direct subsidiary of Putnam Investments, LLC. Putnam Investments, LLC is a direct subsidiary of Great-West Lifeco U.S. LLC. Great-West Lifeco U.S. LLC is a direct subsidiary of Great-West Financial (Nova Scotia) Co. Great-West Financial (Nova Scotia) Co. is a direct subsidiary of Great-West Financial (Canada) Inc. Great-West Financial (Canada) Inc. is a direct subsidiary of Great-West Lifeco Inc. Great-West Lifeco Inc. is a direct subsidiary of Power Financial Corporation. Power Financial Corporation is a direct subsidiary of 171263 Canada Inc. 171263 Canada Inc. is a direct subsidiary of Power Corporation of Canada. Power Corporation of Canada is a direct subsidiary of Pansolo Holdings Inc. Pansolo Holdings Inc. is owned by The Desmarais Family Residuary Trust (the ""Trust""), which is the ultimate parent of Putnam Investor Services, Inc. The Trustees of the Trust are Andre Desmarais, Sophie Desmarais, Paul Desmarais Jr., Guy Fortin, and Michel Plessis-Belair. Decisions with respect to voting the shares of Power Corporation of Canada held directly and indirectly by the Trust are determined by a majority of the Trustees of the Trust, excluding Sophie Desmarais. The Trustees of the Trust (other than Ms. Sophie Desmarais) are listed above in this capacity, without conceding that they ""control,"" or any individual trustee ""controls,"" Putnam Investor Services, Inc."
0001451316-19-000002	otherControlManagement	2	Templeton Worldwide, Inc.	100% Ownership of Templeton International, Inc.
0001451316-19-000002	otherControlManagement	1	Templeton International, Inc.	100% Ownership of Franklin Templeton Luxembourg S.A.
0001451316-19-000002	otherControlManagement	3	Franklin Resources, Inc.	100% Owner of Templeton Worldwide, Inc.
0001432532-19-000002	otherControlManagement	3	Franklin Resources, Inc.	100% Ownership of Templeton Worldwide, Inc.
0001432532-19-000002	otherControlManagement	1	Templeton International, Inc.	100% Ownership of Franklin Templeton Luxembourg S.A.
0001432532-19-000002	otherControlManagement	2	Templeton Worldwide, Inc.	100% Ownership of Templeton International, Inc.
0001432531-19-000007	otherControlManagement	4	Franklin Resources, Inc.	100% Ownership of Templeton Worldwide, Inc.
0001432531-19-000007	otherControlManagement	3	Templeton Worldwide, Inc.	100% Ownership of Templeton International, Inc.
0001432531-19-000007	otherControlManagement	2	Templeton International, Inc.	100% Ownership of Franklin Templeton Capital Holdings Private Limited
0001432531-19-000007	otherControlManagement	1	Franklin Templeton Capital Holdings Private Limited	100% Ownership of Franklin Templeton Holding Limited
0000353291-19-000003	otherControlManagement	1	Franklin Resources, Inc.	100% ownership of Templeton Worldwide, Inc.
0001511164-19-000034	otherControlManagement	1	J&C Issuer Services, LLC - a FL Lmtd Liability Co.	Share Purchase Agreement dated 3/13/2019 with Connect X Capital  Markets, LLC.
0001432531-19-000004	otherControlManagement	1	Franklin Templeton Capital Holdings Private Limited	100% Ownership of Franklin Templeton Holding Limited
0001432531-19-000004	otherControlManagement	2	Templeton International, Inc.	100% Ownership of Franklin Templeton Capital Holdings Private Limited
0001432531-19-000004	otherControlManagement	3	Templeton Worldwide, Inc.	100% Ownership of Templeton International, Inc.
0001432531-19-000004	otherControlManagement	4	Franklin Resources, Inc.	100% Ownership of Templeton Worldwide, Inc.
0001199835-19-000007	otherControlFinance	1	Robert James Kowalski	Start-up Capital only
0001465533-19-000001	otherControlManagement	1	Corporation Service Company	Sole Shareholder of Delaware Trust Company
0001007444-19-000004	otherControlManagement	1	LPL Financial Holdings Inc.	Sole stockholder of LPL Holdings, Inc.
0000817712-19-000007	otherControlManagement	1	Thrivent Financial for Lutherans	TFL is the parent company of Thrivent Financial Holdings, Inc.
0000897101-19-000129	otherControlManagement	3	Todd J. May	Chief Executive Officer, Director
0000897101-19-000129	otherControlManagement	4	Kathryn Sevcik	Chief Operating Officer, Director
0000897101-19-000129	otherControlManagement	6	Michael O'Donnell	Director
0000897101-19-000129	otherControlManagement	7	Dannette Smith	Director
0000897101-19-000129	otherControlManagement	8	David L. Becker	Chief Compliance Officer
0000897101-19-000129	otherControlManagement	2	John Stier	Director
0000897101-19-000129	otherControlManagement	1	Guy Wakeley	Chairman of the Board
0000897101-19-000129	otherControlManagement	5	Bruce Helsel	Director
0000897101-19-000064	otherControlManagement	6	KARTHIKEYAN SHANKARAN	HEAD OF FINANCE SHARED SERVICES
0000897101-19-000064	otherControlManagement	3	SAMUEL JOHN HALFORD	MANAGING DIRECTOR
0000897101-19-000064	otherControlManagement	2	JOHN STIER	CHIEF FINANCIAL OFFICER
0000897101-19-000064	otherControlManagement	1	GUY WAKELEY	CHAIRMAN OF THE BOARD
0000897101-19-000064	otherControlManagement	7	DAVID LEIGH BECKER	LEGAL OFFICER
0000897101-19-000064	otherControlManagement	4	ASHOK SHUNMUGAVEL	GENERAL MANAGER
0000897101-19-000064	otherControlManagement	5	SREEKECH CHERIYATHU	HEAD OF OPERATIONS
0001721868-19-000028	otherControlManagement	1	Pacific Services Group Voting Trust	The PSG Voting Trust owns a controlling interest of the equity of Pacific Services Group Ltd. Its Trustee, Jacqueline Meuse, serves as a member of the Board of Managers of Pacific Services Group, Ltd. Pacific Services Group, Ltd. owns 100% of the equity of Pacific Stock Transfer.
0001721868-19-000024	otherControlManagement	1	Pacific Services Group Voting Trust	The PSG Voting Trust owns a controlling interest in the equity of Pacific Services Group, Ltd. Its Trustee, Jacqueline Ann Bogle Meuse serves as a member of the Board of Managers of Pacific Services Group, Ltd. Pacific Services Group, Ltd owns 100% of the equity of Capital Transfer Agency.
