ACCESSION_NUMBER	ENTITY_TYPE	ENTITY_ID	ENTITYNAME	SUCCESSORREGISTERED	ADDRESS
0000005732-19-000002	tawCustodians	1	Pacific Stock Transfer		3725 Via Austi Parkway Ste 300 Las Vegas NV 89119
0000005732-19-000002	tawSuccessors	1	Pacific Stock Transfer	Y	6725 Via Austi Pkwy Ste 300 Las Vegas NV 89119
0000005732-19-000002	tawRegistrant	1	AMERICAN REGISTRAR & TRANSFER CO		1234 W South Jordan Pkwy Unit BB South Jordan UT 84095
0001387131-19-002097	tawCustodians	1	American Stock Transfer & Trust Company, LLC		6201 15th Avenue  Brooklyn NY 11219
0001387131-19-002097	tawSuccessors	1	American Stock Transfer & Trust Company, LLC	Y	6201 15th Avenue  Brooklyn NY 11219
0001387131-19-002097	tawRegistrant	1	FIRST AMERICAN STOCK TRANSFER INC /AZ/ /TA		6201 15th Ave  Brooklyn NY 11219
0001548847-19-000006	tawRegistrant	1	SS&C (USA) Inc.		4 Times Square 6th Floor New York NY 10036
0001548847-19-000006	tawCustodians	1	Alicia Neville c/o SS&C Technologies, Inc.		80 Lamberton Road  Windsor CT 06095
0001548847-19-000006	tawSuccessors	1	SS&C (Canada) Limited	Y	1 Robert Speck Parkway Suite 1400 Mississauga A6 L4Z3M3
0001548847-19-000006	tawLocations	1	Joanna Kourakos c/o SS&C (Canada) Limited		1 Robert Speck Parkway Suite 1400 Mississauga A6 L4Z3M3
0001380486-19-000001	tawRegistrant	1	TD AMERITRADE Clearing, Inc.		200 South 108th Avenue  Omaha NE 68154
0001380486-19-000001	tawCustodians	1	CJ Paul		200 South 108th Avenue  Omaha NE 68154
