ACCESSION_NUMBER	ENTITY_TYPE	ENTITY_ID	ENTITYNAME	SUCCESSORREGISTERED	ADDRESS
0000950123-14-012904	tawRegistrant	1	Northeast Investors Growth Fund		100 High Street Suite 1000 Boston  02110
0000950123-14-012904	tawCustodians	1	Northeast Investors Growth Fund		100 High Street Suite 1000 Boston  02110
0000950123-14-012904	tawSuccessors	1	ALPS Fund Services, Inc.	Y	1290 Broadway, Suite 1100  Denver  80203
0000734611-14-000007	tawRegistrant	1	Cincinnati Financial Corporation		6200 South Gilmore Rd  Faifield  45014
0000734611-14-000007	tawSuccessors	1	Amercian Stock Transfer and Trust Company, LLC	Y	6201 15th Avenue  Brooklyn  11219
0000734611-14-000007	tawCustodians	1	American Stock Transfer and Trust Company, LLC		6201 15th Avenue  Brooklyn  11219
0000948718-14-000004	tawRegistrant	1	Westar Energy, Inc.		818 S. Kansas Ave  Topeka  66612
0000948718-14-000004	tawCustodians	1	Continental Stock Transfer & Trust Company		17 Battery Place, 8th Floor  New York  10004
0000948718-14-000004	tawSuccessors	1	Continental Stock Transfer & Trust Company	Y	17 Battery Place, 8th Floor  New York  10004
0001591705-14-000005	tawRegistrant	1	Sharewave, LLC.		25 Broadway Fl 9 New York  10004-1058
