ACCESSION_NUMBER	ADDRESS_ID	ADDRESS_TYPE	ADDRESS
0001144204-14-076528	1	principalOfficeAddress	2850 Quarry Lake Drive 3rd Floor Baltimore MD 21209
0001007444-14-000021	1	principalOfficeAddress	4828 Parkway Plaza Blvd.  Charlotte NC 28217
0000740583-14-000259	1	principalOfficeAddress	One Security Benefit Place  Topeka KS 66636-0001
0001557249-14-000008	1	principalOfficeAddress	520 W. Roosevelt Suite 201 Wheaton IL 60187
0001451316-14-000006	2	mailingAddress	c/o Franklin Templeton Investor Services 3344 Quality Drive, attn: GRC-US Rancho Cordova CA 95670
0001451316-14-000006	1	principalOfficeAddress	Mainzer Landstrasse 16  Frankfurt am Main 2M D-60325
0000950123-14-012674	1	principalOfficeAddress	4600 S. Syracuse St.  Denver CO 80237
0000817712-14-000010	2	mailingAddress	625 Fourth Avenue South  Minneapolis MN 55415
0000817712-14-000010	1	principalOfficeAddress	4321 N. Ballard Road  Appleton WI 54919
0001432531-14-000006	1	principalOfficeAddress	Franklin Templeton Park Plot #18-23 Financial Dist. Nanakramguda Hyderabad K7 500019
0001432531-14-000006	2	mailingAddress	c/o Franklin Templeton Investor Services 3344 Quality Drive, attn: GRC-US Rancho Cordova CA 95670
0001139578-14-000006	1	principalOfficeAddress	111 South Wacker Drive 34th Floor Chicago IL 60606
0001139578-14-000006	2	mailingAddress	PO Box 804660  Chicago IL 60680-4108
0001283467-14-000007	2	otherBusinessLocation	Suite 710-130 King St West PO Box 34 Toronto A6 M5X 1A9
0001283467-14-000007	1	principalOfficeAddress	Suite 310 - 606 4th Street S.W.  Calgary A0 T2P 1T1
0001283467-14-000007	1	otherBusinessLocation	600-750 Cambie St  Vancouver A1 V6B 0A2
0001626849-14-000001	1	principalOfficeAddress	340 E WARM SPRINGS RD SUITE 11B  LAS VEGAS NV 89119
0000950123-14-012605	1	principalOfficeAddress	100 Mulberry Street Gateway Center Three - 10th Floor Newark NJ 07102
0000950123-14-012605	1	otherBusinessLocation	Letterkenny Office Park, Windyhall Letterkenny Donnegal L2 00000
0001451217-14-000012	1	principalOfficeAddress	1 Freedom Valley Drive  Oaks PA 19456
0001214659-14-008038	1	principalOfficeAddress	2258 Green Mountain Court  Las Vegas NV 89135
0001451217-14-000011	1	principalOfficeAddress	1 Freedom Valley Drive  Oaks PA 19456
0001451217-14-000010	1	principalOfficeAddress	1 Freedom Valley Drive  Oaks PA 19456
0001144204-14-070619	2	mailingAddress	P.O. Box 290-145  Brooklyn NY 11229
0001144204-14-070619	1	principalOfficeAddress	2715 Coney Island Avenue 2nd Floor Brooklyn NY 11235
0001288777-14-000006	3	otherBusinessLocation	530-8th Avenue S.W. Suite 600 Calgary A0 T2P 3S8
0001288777-14-000006	4	otherBusinessLocation	510 Burrard Street 2nd Floor Vancouver A1 V6C 3B9
0001288777-14-000006	1	otherBusinessLocation	1969 Upper Water Street Purdy's Wharf, Tower II Suite 2008 Halifax A5 B3J 3R7
0001288777-14-000006	1	principalOfficeAddress	100 University Ave 8th floor Toronto A6 M5J 2Y1
0001288777-14-000006	2	otherBusinessLocation	1500 University Street 7th Floor Montreal A8 H3A 3S8
0001288763-14-000006	1	otherBusinessLocation	1969 Upper Water Street Purdy's Wharf, Tower II Suite 2008 Halifax A5 B3J 3R7
0001288763-14-000006	1	principalOfficeAddress	100 University Avenue 8th floor Toronto A6 M5J 2Y1
0001288763-14-000006	2	otherBusinessLocation	1500 University Street 7th Floor Montreal A8 H3A 3S8
0001288763-14-000006	3	otherBusinessLocation	530-8th Avenue S.W. Suite 600 Calgary A0 T2P 3S8
0001288763-14-000006	4	otherBusinessLocation	510 Burrard Street 2nd Floor Vancouver A1 V6C 3B9
0001146230-14-000023	5	otherBusinessLocation	211 Quality Circle Suite 210 College Station TX 77845
0001146230-14-000023	3	otherBusinessLocation	144 Fernwood Avenue  Edison NJ 08837
0001146230-14-000023	4	otherBusinessLocation	Newport Office Center VII 480 Washington Boulevard Jersey City NJ 07310
0001146230-14-000023	1	principalOfficeAddress	250 Royall Street  Canton MA 02021-1011
0001146230-14-000023	1	otherBusinessLocation	2 North LaSalle Street  Chicago IL 60602
0001146230-14-000023	2	otherBusinessLocation	8742 Lucent Boulevard Suite 225 Highlands Ranch CO 80129
0001174947-14-000506	1	principalOfficeAddress	10 Commerce Drive  Cranford NJ 07016
0001174947-14-000505	1	principalOfficeAddress	10 Commerce Drive  Cranford NJ 07016
0001018490-14-000043	1	principalOfficeAddress	5022 Gate Parkway, Suite 200  Jacksonville FL 32256-7088
0000883757-14-000012	3	otherBusinessLocation	Tour de la Bourse, Box 61 800 Victoria Square Montreal A8 H4Z 1A9
