ACCESSION_NUMBER	ENTITY_TYPE	ENT_ID	ENTITYNAME	AGREEMENTDESCRIPTION
0000911282-24-000010	otherControlManagement	1	EQT AB	Phoenix Transfer, Inc. is a wholly-owned subsidiary of Vistra USA, LLC; Vistra USA, LLC is a wholly-owned subsidiary of Vistra USA, Inc.; Vistra USA, Inc. is a wholly-owned subsidiary of Vistra Holdings (UK) Limited; Vistra Holdings (UK) Limited is a wholly-owned subsidiary of Vistra Holdings S.a.r.l.; Vistra Holdings S.a.r.l. is a wholly-owned subsidiary of Vistra Group Holdings S.A.; Vistra Group Holdings S.A. is a wholly-owned subsidiary of Vistra Group Holdings (BVI) Limited; Vistra Group Holdings (BVI) Limited is a wholly-owned subsidiary of Vistra Group Holdings (BVI) I Limited; Vistra Group Holdings (BVI) I Limited is a wholly-owned subsidiary of Vistra Group Holdings (BVI) II Limited; Vistra Group Holdings (BVI) II Limited is a wholly-owned subsidiary of Vistra Group Holdings (BVI) III Limited; Vistra Group Holdings (BVI) III Limited is a wholly-owned subsidiary of Vistra Group Holdings Limited; Vistra Group Holdings Limited is a wholly-owned subsidiary of Vistra Holdings Limited; Vistra Holdings Limited is a wholly-owned subsidiary of Vistra Midco Limited; Vistra Midco Limited is a wholly-owned subsidiary of Vistra Parent Limited; Vistra Parent Limited is a majority-owned subsidiary of Thevelia Aggregator, L.P.; Thevelia Aggregator, L.P. is a wholly-owned subsidiary of BPEA EQT Holdings AB; BPEA EQT Holdings AB is a wholly-owned subsidiary of EQT AB
0000911282-24-000010	otherControlFinance	1	Phoenix Transfer Inc. is a member of the Vistra Group	Phoenix Transfer, Inc. is a wholly-owned subsidiary of Vistra USA, LLC; Vistra USA, LLC is a wholly-owned subsidiary of Vistra USA, Inc.; Vistra USA, Inc. is a wholly-owned subsidiary of Vistra Holdings (UK) Limited; Vistra Holdings (UK) Limited is a wholly-owned subsidiary of Vistra Holdings S.a.r.l.; Vistra Holdings S.a.r.l. is a wholly-owned subsidiary of Vistra Group Holdings S.A.; Vistra Group Holdings S.A. is a wholly-owned subsidiary of Vistra Group Holdings (BVI) Limited; Vistra Group Holdings (BVI) Limited is a wholly-owned subsidiary of Vistra Group Holdings (BVI) I Limited; Vistra Group Holdings (BVI) I Limited is a wholly-owned subsidiary of Vistra Group Holdings (BVI) II Limited; Vistra Group Holdings (BVI) II Limited is a wholly-owned subsidiary of Vistra Group Holdings (BVI) III Limited; Vistra Group Holdings (BVI) III Limited is a wholly-owned subsidiary of Vistra Group Holdings Limited; Vistra Group Holdings Limited is a wholly-owned subsidiary of Vistra Holdings Limited; Vistra Holdings Limited is a wholly-owned subsidiary of Vistra Midco Limited; Vistra Midco Limited is a wholly-owned subsidiary of Vistra Parent Limited; Vistra Parent Limited is a majority-owned subsidiary of Thevelia Aggregator, L.P.; Thevelia Aggregator, L.P. is a wholly-owned subsidiary of BPEA EQT Holdings AB; BPEA EQT Holdings AB is a wholly-owned subsidiary of EQT AB
0001731122-24-001935	otherControlFinance	1	Concreit Inc.	Concreit Transfer Services LLC is a wholly-owned subsidiary of Concreit Inc.
0001731122-24-001935	otherControlManagement	1	Concreit Inc.	Concreit Transfer Services LLC is a wholly-owned subsidiary of Concreit Inc.
0001202048-24-000009	otherControlManagement	1	The Variable Annuity Life Insurance Company, AGC Life Insurance Company, AIG Life Holdings, Inc., Corebridge Financial, Inc., and American Intl Group.	"American International Group, Inc.'s (""AIG"") share ownership of Corebridge Financial, Inc. (""Corebridge Financial""), the publicly-traded parent company of VALIC Retirement Services Company, and the rights granted to AIG by Corebridge Financial as part of a separation agreement between AIG and Corebridge Financial, provide AIG with control over Corebridge Financial's corporate and business activities."
0001372934-24-000003	otherControlManagement	4	Grant Hughes	President - Exercises control over the management and operations of Kingsdale Partners LP Relationship Start Date: 02/14/2014. Relationship End Date 09/06/2024
0001372934-24-000003	otherControlManagement	3	Amy Freedman	Chief Executive Officer - Exercised control over the management and operations of Kingsdale Partners LP Relationship Start Date: 02/14/2014 Relationship End date : 12/31/2021
0001372934-24-000003	otherControlManagement	1	MDC Kingsdale GP Inc	General Partner of Kingsdale Partners LP
0001372934-24-000003	otherControlManagement	2	Wesley Hall	Executive Chairman and Founder of Kingsdale Partners - Exercises control over the management and operations of Kingsdale Partners LP Relationship Start Date: 02/14/2014
0001372934-24-000003	otherControlManagement	5	Niall Cotter	Chief Financial Officer - Exercised control over the management and operations of Kingsdale Partners LP Relationship Start Date: 06/16/2014 Relationship End Date:12/31/2022
