ACCESSION_NUMBER	ACTION_TYPE	ACTION_ID	ENTITYNAME	ACTIONTITLE	ACTIONDATE	COURTORBODYNAMEANDLOCATION	ACTIONDESCRIPTION	DISPOSITIONOFPROCEEDING
0001039876-07-000030	violationOfInvestmentRelatedRegulation	1	Morgan Stanley & Co., Inc.	Civ. No. 06-0882	10-MAY-2006	United States Court for the District of Columbia	SEC alleged that the Firm violated Section 17(B) and Rule 17A-4(J) of the Securities Exchange Act of 1934 by failing to timely produce email to the commission staff pursuant to commission's investigation re: share allocation practices involving IPOs.	Without admitting or denying the allegations, the Firm consented to an entry of a final judgment in which it was permanently restrained and enjoined from violating above referenced rules. Firm fined $15MM.
0001039876-07-000030	subjectOfProceedings	1	Morgan Stanley & Co. Inc.	CAse No. 01-6-1	18-FEB-2005	Delaware Division of Securities	MSCO allegedly engaged in dishonest and unethical business practice by failing to exercise proper supervision in connection with the purchase and sale of securities and failed to establish and enforce proper supervisory procedures.	Without admitting or denying the allegations, the Firm was censured and fined $5,000.
0001039876-07-000030	sraViolationOfRules	1	Van Kampen Funds Inc.	Docket/Case #: E1020040470-01	25-AUG-2005	NASD	For the period of March 1, 2004 - May 31, 2004, the Firm failed to timely and accurately report 50+ transactions that were eligible for Trace reporting.	Without admitting or denying the allegations, the Firm consented to the described sanctions and to the entry of findings and fined $5,000.
0001039876-07-000030	sraRevokedSuspendedLicense	1	Morgan Stanley and Co. Inc.	Docket/Case Number MS-580	27-JUL-1987	NASD	The Firm and several of its employees were alleged to have failed to comply with SOES trading and execution guidelines and the Firm allegedly did not establish, maintain and enforce written supervisory procedures to detect such activity.	The Firm was censured and fined $50,000 and suspended as a SOES order entry firm and a SOES market maker for a period of 30 days.
0001039876-07-000030	registrationDeniedOrSuspended	1	Morgan Stanley & Co. Inc.	Docket/Case number 3 - 9803	11-JAN-1999	Securities and Exchange Commission	SEC brought action against 28 NASDAQ market makers, including MSCO, and 51 individuals alleging improper or undisclosed coordination of price quotes with other broker-dealers and related reporting, recordkeeping and supervisory deficiencies.	Without admitting or denying the allegations, the Firm consented to the entry of a cease and desist order and paid a civil monetary penalty of $350K and disgorgement of $4K.
0001039876-07-000030	violationOfRegulations	1	American General Capital Management, Inc. (Van Kampen Asset Management Inc.)	Docket/Case number 3.5837	01-FEB-1978	Securities and Exchange Commission	The above referenced affiliate was alleged to have aided and abetted violations of section (D) and 13(A)(3), 17(D), 20(A), 34(B) and Rules 17D-1 and 20A-3 of the Investment Company Act of 1940.	The affiliate consented to an order containing a censure and a requirement that the entity comply with certain undertakings concerning compliance procedures.
0001039876-07-000030	fsrFoundOrderAgainstApplicant	1	Morgan Stanley & Co. Inc.	N/A	28-APR-2003	Attorney General of the State of New York	THE ACTION ALLEGED THAT THE FIRM ENGAGED IN ACTS AND PRACTICES THAT CREATED CONFLICTS OF INTEREST FOR ITS RESEARCH ANALYSTS WITH RESPECT TO INVESTMENT BANKING ACTIVITY.	WITHOUT ADMITTING OR DENYING THE ALLEGATIONS, MS&CO CONSENTED TO PAY A TOTAL OF $50MM FOR PAST CONDUCT AND $75MM TO FUND INDEPENDENT RESEARCH.
0001039876-07-000030	falseStatementOrOmission	1	American General Capital Management, Inc. (Van Kampen Asset Management Inc.)	Docket/Case number 3.5837	01-FEB-1978	Securities and Exchange Commission	The above referenced affiliate was alleged to have aided and abetted violations of section (D) and 13(A)(3), 17(D), 20(A), 34(B) and Rules 17D-1 and 20A-3 of the Investment Company Act of 1940.	The affiliate consented to an order containing a censure and a requirement that the entity comply with certain undertakings concerning compliance procedures.
0001039876-07-000030	enjoinedInvestmentRelatedActivity	1	Morgan Stanley & Co., Inc.	Civ. No. 06-0882	10-MAY-2006	United States Court for the District of Columbia	SEC alleged that the Firm violated Section 17(B) and Rule 17A-4(J) of the Securities Exchange Act of 1934 by failing to timely produce email to the commission staff pursuant to commission's investigation re: share allocation practices involving IPOs.	Without admitting or denying the allegations, the Firm consented to an entry of a final judgment in which it was permanently restrained and enjoined from violating above referenced rules. Firm fined $15MM
0001039876-07-000030	authorizationDeniedOrSuspended	1	American General Capital Management, Inc. (Van Kampen Asset Management Inc.)	Docket/Case number 3.5837	01-FEB-1978	Securities and Exchange Commission	The above referenced affiliate was alleged to have aided and abetted violations of section (D) and 13(A)(3), 17(D), 20(A), 34(B) and Rules 17D-1 and 20A-3 of the Investment Company Act of 1940.	The affiliate consented to an order containing a censure and a requirement that the entity comply with certain undertakings concerning compliance procedures.
