ACCESSION_NUMBER	ENTITY_TYPE	ENTITY_ID	ENTITYNAME	SUCCESSORREGISTERED	ADDRESS
0000950152-07-009853	tawSuccessors	1	Registrar and Transfer Company	Y	10 Commerce Drive  Cranford  07016
0000950152-07-009853	tawRegistrant	1	Corning Natural Gas Corporation		330 West William Street P.O. Box 58 Corning  14830
0000950152-07-009853	tawCustodians	1	Stanley G. Sleve		330 West William St. P.O. Box 58 Corning  14830
0000837456-07-000008	tawCustodians	1	Standard Registrar & Transfer Company, Inc.		12528 South 1840 East  Draper  84020
0000837456-07-000008	tawRegistrant	1	COTTONWOOD STOCK TRANSFER		4455 S 700 E, Suite 200  Salt Lake City  84107-3076
0000837456-07-000008	tawSuccessors	1	Standard Registrar & Transfer Company, Inc.	Y	12528 South 1840 East  Draper  84020
0000008345-07-000007	tawRegistrant	1	Atlas Stock Transfer Corporation		4455 S 700 E, Suite 200  Salt Lake City  84107-3076
0000008345-07-000007	tawSuccessors	1	Standard Registrar & Transfer Company, Inc.	Y	12528 South 1840 East  Draper  84020
0000008345-07-000007	tawCustodians	1	Standard Registrar & Transfer Company, Inc.		12528 South 1840 East  Draper  84020
0001096107-07-000008	tawCustodians	1	Hickory Point Bank & Trust, fsb		1009 W Wood St., Suite G  Decatur  62522-2970
0001096107-07-000008	tawRegistrant	1	Hickory Point Bank & Trust, fsb		1099 W Wood St., Suite G  Decatur  62522-2970
0001169232-07-004652	tawCustodians	1	Kristen L. Koerner		751 Broad Street  Newark  07102
0001169232-07-004652	tawRegistrant	1	Prudential-Bache Transfer Agent Services, Inc.		751 Broad Street  Newark  07102
0000950123-07-016586	tawRegistrant	1	Diversified Investment Advisors, Inc.		4 Manhattanville Road  Purchase  10577
0000950123-07-016586	tawCustodians	1	Transamerica Fund Services, Inc.		570 Carillon Parkway  St. Petersburg  33716-1202
0000950123-07-016586	tawSuccessors	1	Transamerica Fund Services, Inc.	Y	570 Carillon Parkway  St. Petersburg  33716-1202
0000950135-07-007163	tawCustodians	1	Terrence P. Sullivan		21 Custom House Street Ste 440 Boston  02110
0000950135-07-007163	tawRegistrant	1	Historic Preservation Properties 1988 Limited Partnership		21 Custom House Street Ste 440 Boston  02110
0001146318-07-000012	tawCustodians	2	bank of new york		101 barclay street corporate trust administration new york  10286
0001146318-07-000012	tawRegistrant	1	united states steel corporation		600 grant street room 611 pittsburgh  15219
0001146318-07-000012	tawCustodians	1	wells fargo bank n.a.		161 n. concord exchange  south st paul  55075
0001146318-07-000012	tawSuccessors	1	wells fargo bank n.a.	Y	161 n. concord exchange  south st paul  55075
0001002721-07-000017	tawRegistrant	1	Citi Fund Services, Inc. (formerly known as BISYS Fund Services, Inc.)		3435 Stelzer Road  Columbus  43219
0001002721-07-000017	tawCustodians	1	Citi Fund Services, Inc.		3435 Stelzer Road  Columbus  
0000842653-07-000011	tawRegistrant	1	Citi Fund Services Ohio, Inc. (formerly known as BISYS Fund Services Ohio, Inc.)		3435 Stelzer Road  Columbus  43219
0000842653-07-000011	tawCustodians	1	Citi Fund Services Ohio, Inc.		3435 Stelzer Road  Columbus  
0000734620-07-000011	tawCustodians	1	Brunswick Corporation		1 N Field Court  Lake Forest  60045
0000734620-07-000011	tawSuccessors	1	Computershare Trust Company N. A.	Y	250 Royall St  Canton  02021
0000734620-07-000011	tawRegistrant	1	Brunswick Corp		1 N Field Court  Lake Forest  60045
0001061723-07-000009	tawCustodians	1	Boyd Minnix		3800 Wilke Road Suite 250 Arlington Heights  60004
0001061723-07-000009	tawRegistrant	1	AMG Service Corp.		3800 Wilke Rd. Suite 250 Arlington Heights  60004
0001061723-07-000009	tawSuccessors	1	Lincoln Retirement Services Company, LLC	Y	3800 Wilke Rd Suite 250 Arlington Heights  60004
0001104659-07-074728	tawRegistrant	1	Hallmark Investment Series Trust		1250 Broadway  New York  10001
0001104659-07-074727	tawRegistrant	1	Hallmark Equity Series Trust		1250 Broadway 32nd Floor  New York  10001
0000795371-07-000006	tawSuccessors	1	StockTrans, Inc.	Y	44 W. Lancaster Ave.  Ardmore  19003
0000795371-07-000006	tawCustodians	1	Paulson Capital Corp.		811 SW Naito Pkwy. Ste. 300 Portland  97204
0000795371-07-000006	tawRegistrant	1	Paulson Capital Corp.		811 SW Naito Pkwy. Ste. 300 Portland  97204
0000948729-07-000003	tawRegistrant	1	Abar Pension Services Inc.		25b Vreeland Road Suite 209 Florham Park  07932
0000948729-07-000003	tawCustodians	1	N/A		    
