ACCESSION_NUMBER	ACTION_TYPE	ACTION_ID	ENTITYNAME	ACTIONTITLE	ACTIONDATE	COURTORBODYNAMEANDLOCATION	ACTIONDESCRIPTION	DISPOSITIONOFPROCEEDING
0000849542-19-000009	fsrViolationOfInvestmentRelatedRegulation	1	One or more control affiliates- see attached file for Question 10 Data	See attached file for Question 10 Data	17-DEC-2007	See attached file for Question 10 Data	See attached file for Question 10 Data	See attached file for Question 10 Data
0000849542-19-000009	violationOfRegulations	8	The Bank of New York Mellon (BNY Mellon)	SEC Release No. 33-10856; Administrative Proceeding File No. 3-18933	17-DEC-2018	"Securities and Exchange Commission (""SEC"")"	"This action arises out of the SEC's assertion that BNY Mellon, as depositary bank, engaged in improper practices in connection with the pre-release of American Depositary Receipts (""ADRs""). Specifically, the SEC staff alleged violations of Section 17(a)(3) of the Securities Act of 1933, which prohibits, in the offer or sale of securities, engaging in any transaction, practice, or course of business which operates or would operate as a fraud or deceit upon the purchaser. As the SEC Order relates, (1) ADRs are negotiable instruments that trade on a U.S. market that represent an interest in a specified number foreign securities that have been deposited with a depositary bank or with the depositary bank's foreign custodian; (2) ADRs allow U.S. investors to invest in foreign companies without having to purchase shares in the foreign market; (3) in some situations, a person may seek to obtain ADRs through a ""pre-release"" transaction whereby a market participant obtains newly-issued ADRs from the depositary bank (as opposed to purchasing an existing ADR from the market) without having already delivered the corresponding ordinary shares to the custodian; (4) the traditional rationale for pre-release transactions was to address settlement timing disparities that could delay delivery to the foreign custodian of recently purchased ordinary shares; and (5) several instruments (the ""Pre-Release Agreements""), including the agreements with the depositary bank, the ADR itself and pre-release agreements with the involved broker-dealers (""Pre-Release Brokers""), either included or required BNY Mellon to obtain representations from the Pre-Release Brokers stating that for the duration of each pre-release transaction, the Pre-Release Broker or its customer (I) beneficially owned corresponding ordinary shares, (ii) assigned all beneficial right, title, and interest in the shares to the depositary, (iii) would not take any action with respect to such shares that was inconsistent with the transfer of beneficial ownership, and (iv) would pay foreign withholding taxes at the rate required for ADR holders and pass through to the depositary any dividends and dividend-related tax credits or refunds. The SEC found that BNY Mellon (1) did not take reasonable steps to determine that the Pre-Release Brokers or their counterparties complied with the obligations set forth in the Pre-Release Agreements and (2) at times, negligently facilitated short selling and enabled the settlement of trades with some ADRs that were not actually backed by the ordinary shares held for the benefit of the depositary in accordance with the requirements of the ADR facility."	on 12/17/18 the SEC entered into an administrative settlement on a neither-admit-nor-deny basis with BNY Mellon in which BNY Mellon agreed to pay $29.3 million in disgorgement, prejudgment interest of $4.2 million and a civil penalty of $20.5 million.
0000849542-19-000009	violationOfRegulations	7	The Bank of New York Mellon Corporation (BNY Mellon)	SEC Release no. 34-79777; Administrative file no. 3-17768	12-JAN-2017	"The Securities and Exchange Commission (the ""SEC"")"	The SEC staff alleged violations of Sections 13(b)(2)(A) & (B) of the Securities Exchange Act of 1934 for books and records and internal regulatory accounting control deficiencies in connection with the calculation of risk-based regulatory capital ratio presented in annual and quarterly reports filed with the SEC.	A civil monetary penalty in the amount of $6,600,000 was ordered to be paid by BNY Mellon. BNY Mellon will effect payment on a date TBD.
0000849542-19-000009	violationOfRegulations	6	The Bank of New York Mellon (The Bank)	SEC Administrative Predeeding File No. 3-17268	13-JUN-2016	"The Securities and Exchange Commission (the ""SEC"")"	See 10(c)(1)(v) above	See 10(c)(1)(vi) above
0000849542-19-000009	fsrFoundOrderAgainstApplicant	3	The Bank of New York Mellon (BNYM)	Docket No. 12-018-CMP-SMB	01-DEC-2010	"Board of Governors of the Federal Reserve System (""BGFRS"")"	"On 9/22/08, BNYM borrowed from the Boston Federal Reserve Bank under the Asset-Backed Commercial Paper Money Market Mutual Fund Liquidity Facility (""AMLF"") program. It was alleged that due to a failure in its internal processes at the time, a portion of the Asset-Backed Commercial Paper (""ABCP"") collateral was pledged by BNYM was ineligible under the terms of the AMLF. As a result, BNYM received more in the AMLF loans proceeds than it otherwise would have been advanced, based upon the eligible ABCP collateral pledged."	The BGFRS and BNYM have mutually agreed to enter into a combined Order to Cease & Desist and Order of Assessment of a Civil Monetary Penalty of $6,000,000.
0000849542-19-000009	authorizationDeniedOrSuspended	1	One or more control affiliates- see attached file for Question 10 Data	See attached file for Question 10 Data	17-DEC-2007	See attached file for Question 10 Data	See attached file for Question 10 Data	See attached file for Question 10 Data
0000849542-19-000009	fsrFoundOrderAgainstApplicant	1	One or more control affiliates- see attached file for Question 10 Data	See attached file for Question 10 Data	17-DEC-2007	See attached file for Question 10 Data	See attached file for Question 10 Data	See attached file for Question 10 Data
0000849542-19-000009	fsrFoundOrderAgainstApplicant	2	Dreyfus Service Organization, Inc.	Proceeding by the Commissioner of Banking and Ins. State of NJ Ref. No 8059711	08-SEP-2008	State of New Jersey Department of Banking and Insurance, Trenton, New Jersey	"It was alleged that Dreyfus Service Organization (""DSO"") between June 2002 and November 2002 ""caused, permitted or was otherwise responsible for allowing an employee to solicit and write eight New Jersey annuity contracts without the benefit of a current license."" DSO had an employee with an non-resident NJ insurance license which had expired and was later reinstated. The sales were made during the period when the employee's license was inactive, although DSO had reason to believe the license was, in fact, active. Without admitting or denying any violation on the insurance statutes or regulations or any wrongdoing, DSO consented to an administrative sanction in the amount of $4000.00 to fully and completely resolve the matter"	See 10(d)(4)(v) above
0000849542-19-000009	enjoinedInvestmentRelatedActivity	1	CIBC Mellon Trust Company	U.S. Securities and Exchange Commission v. CIBC Mellon Trust Company	14-JAN-2005	"U.S. Securities and Exchange Commission (""SEC"")"	"CIBC Mellon Trust Company (""CMTC""), a transfer agent that is an affiliate of Registrant by virtue of Mellon Canada Holding Company's 50 percent interest in the joint venture, submitted a Consent to Entry of Judgment (the ""Consent""), which was presented by the SEC in the U.S. District Court for the District of Columbia (the ""Court"") on February 16, 2005. In the Consent, and solely for the purpose of the injunctive action and any other proceedings arising out of the SEC's investigation brought by or on behalf of the SEC or to which the SEC is a party, CMTC consented to the entry of Final Judgment as to Defendant CMTC (the ""Final Judgment"") without admitting or denying the matters set forth therein (other than those relating to the jurisdiction of the Court and the subject matter of the action). The Final Judgment, entered on Feb. 24, 2005, resolved the allegations that CMTC had failed to register as a transfer agent with the SEC, that it had issued ""legend free"" stock certificates of a company whose shares were not registered with the SEC, that one of its managers had accepted payments of stock from that company's officers to issue the certificates, and that it had acted an unregistered broker or dealer in connection with its stock plan administration business. CMTC was permanently enjoined from prescribed violations of Securities Act Section 5, Exchange Act Section 10(b) and Rule 10b-5, Exchange Act Section 15(a), Exchange Act Section 17A(c)(1), and from aiding and abetting future violations of Exchange Act Section 10(b) or Rule 10b-5. CMTC also agreed to pay a civil monetary penalty of %5 million and disgorgement of $889,773 and prejudgment interest of $140,270. Payment was made on March 4, 2005. CMTC also consented, without admitting or denying the SEC complaint's allegations, to the entry of an SEC administrative order based on the Final Judgment on March 2, 2005 (the ""Order""). Pursuant to the Order, CMTC was censured and agreed to an undertaking to engage an independent consultant to review its relevant businesses and procedures. This matter responds to items 10B(1) and 10C(2)."	Entry of Judgment on consent. See item (v) above for detail.
0000849542-19-000009	falseStatementOrOmission	1	One or more controlled affiliates - See attached file for Question 10 Data	See attached file for Question 10 data	17-DEC-2007	See attached file for Question 10 Data	See attached file for Question 10 Data	See attached file for Question 10 Data
