ACCESSION_NUMBER	PERIODOFREPORT	ENTITYNAME	SERVICECOMPANY	REGISTRANTENGAGEDSERVICE	REGULATORYAGENCY	AMENDMENTFILED	ADDITIONALINFORMATION	NUMBERITEMSRECEIVEDFORTRANSFER	NUMMASTERSECURITYHOLDERFILINGS	NUMBERINDIVIDUALACCOUNTS	NUMDIVREINVDIRPURPLANACCOUNTS	NUMDIRECTREGISTSYSTEMACCOUNTS	NUMBERFILED	FILEALL	SECHOLDERADDITIONALINFO	ALWAYSCOMPLIANT	NUMBERMONTHSNOTCOMPLIANT	NUMBERNOTICENONCOMPLIANCEFILED	TOTAL	TOTALOTHERTHANRECEIPTORDERDATE	NUMLOSTACCTSREMITTEDTOSTATES
0001144204-13-018788	31-DEC-2012	American National Stock Transfer, LLC	ALL	N	SEC	Not applicable															
0000950123-13-001939	31-DEC-2012	Freedom Funds Management Company	NONE	N	SEC	Not applicable		306	10909	9401	8212	0	0			Yes			10145	10	0
0001085284-13-000001	31-DEC-2012	Wichita National Life Insurance Company	NONE	N	SEC	Not applicable		28	514	514	0	0									0
0000049824-13-000001	31-DEC-2012	Illinois Stock Transfer Company	NONE	N	SEC	Yes, filed amendment(s)		3843	57293	63720	6149	278	0			Yes			0	0	843
0000734713-13-000013	31-DEC-2012	Graybar Electric Company, Inc.	ALL	N	SEC	Not applicable															
0000950123-13-001935	31-DEC-2012	Cardinal Bankshares Corporation	NONE	N	BGFRS	Not applicable		21	522	0	0	0									1
0000950123-13-001934	31-DEC-2012	Wells Fargo Bank, N.A.	SOME	Y	OCC	Not applicable		437694	8484280	8484280	1411653	2160733	1	Yes		Yes			0	0	111119
0001362479-13-000003	31-DEC-2012	GUARDIAN REGISTRAR & TRANSFER, INC.,	NONE	N	SEC	Not applicable		786	15213	15213	0	0	0			Yes			0	0	0
0000838141-13-000002	31-DEC-2012	Hancock Bank	SOME	Y	FDIC	No, failed to file amendment(s)	As registrant, we did not initially recognize Hancock was the Trustee and 'Named Transfer Agent' for commercial paper which was outsourced to Huntington National Bank as Issuing Agent. In 2012, there was only one issuance of the comm. paper, no transfers.	3393	40358	40358	26729	960	0			Not Applicable			54130	0	40
0000721748-13-000045	31-DEC-2012	Pacific Stock Transfer Company, Inc.	SOME	N	SEC	No, failed to file amendment(s)	We had uncertainties on the instructions for question #8, and therefore, out of an abundance of caution, filed an amendment to reflect termination dates for all past associated persons and relisted all of the current associated persons.	8010	283448	283448	0	0	0			Yes			0	0	0
