ACCESSION_NUMBER	PERIODOFREPORT	ENTITYNAME	SERVICECOMPANY	REGISTRANTENGAGEDSERVICE	REGULATORYAGENCY	AMENDMENTFILED	ADDITIONALINFORMATION	NUMBERITEMSRECEIVEDFORTRANSFER	NUMMASTERSECURITYHOLDERFILINGS	NUMBERINDIVIDUALACCOUNTS	NUMDIVREINVDIRPURPLANACCOUNTS	NUMDIRECTREGISTSYSTEMACCOUNTS	NUMBERFILED	FILEALL	SECHOLDERADDITIONALINFO	ALWAYSCOMPLIANT	NUMBERMONTHSNOTCOMPLIANT	NUMBERNOTICENONCOMPLIANCEFILED	TOTAL	TOTALOTHERTHANRECEIPTORDERDATE	NUMLOSTACCTSREMITTEDTOSTATES
0000352083-08-000002	31-DEC-2007	JERSEY TRANSFER AND TRUST CO	NONE	Y	SEC	Not applicable		1710	67064	67064	0	0	0			Yes			0	0	276
0000950144-08-002480	31-DEC-2007	The First National Bank of McMinnville	NONE	N	OCC	Not applicable		102	568	0	0	0									0
0001380486-08-000005	31-DEC-2007	TD AMERITRADE CLEARING, INC	NONE	N	SEC	Yes, filed amendment(s)		0	0	12	0	0									0
0001254834-08-000003	31-DEC-2007	ENDEVCO, INC.	ALL	N	SEC	Not applicable															
0001179706-08-000032	31-DEC-2007	EDS Administrative Services LLC	NONE	N	SEC	Not applicable		0	0	0	0	0									0
0000838927-08-000001	31-DEC-2007	LaSalle Bank N A	SOME	Y	OCC	Yes, filed amendment(s)		2430	30340	0	0	0	0			Yes			0	0	273
0000823579-08-000022	31-DEC-2007	Pacific Stock Transfer Company	SOME	N	SEC	Not applicable		13841	92666	0	0	0	0			Yes			0	0	0
0000823579-08-000021	31-DEC-2007	Colonial Stock Transfer Co., Inc.	SOME	N	SEC	Yes, filed amendment(s)		4665	50278	0	0	0	0			Yes			0	0	0
0001352392-08-000066	31-DEC-2007	PacWest Transfer, LLC	NONE	N	SEC	No, failed to file amendment(s)	Tried to file Amended TA-1 but could not do it electronically, could not download form.	3555	87593	0	0	0	0			No	3	0	11	11	0
0001103598-08-000004	31-DEC-2007	NYLIM Service Company LLC	SOME	N	SEC	Not applicable		20855	0	0	0	0	0			Yes			4746186	9118	0
0001269002-08-000005	31-DEC-2007	Pacific Corporate Trust Company	SOME	Y	SEC	Yes, filed amendment(s)		8549	19443	19443	0	0	0			Yes			0	0	0
