ACCESSION_NUMBER	ENTITY_TYPE	ENTITY_ID	ENTITYNAME	SUCCESSORREGISTERED	ADDRESS
0001104659-08-019534	tawRegistrant	1	LM Fund Services, Inc.		100 Light Street  Baltimore  21202
0001104659-08-019534	tawCustodians	1	BFDS		P.O. Box 953  Boston  02103
0001104659-08-019534	tawSuccessors	1	BFDS	Y	P.O. Box 953  Boston  02103
0000734787-08-000003	tawLocations	1	Hawaiian Electric Industries, Inc.		American Savings Bank Tower 1001 Bishop Street, Suite 829 Honolulu  96813
0000734787-08-000003	tawCustodians	1	Hawaiian Electric Industries, Inc.		P O Box 730  Honolulu  96808-0730
0000734787-08-000003	tawRegistrant	1	Hawaiian Electric Industries, Inc.		900 Richards Street  Honolulu  96813
0000734787-08-000003	tawSuccessors	1	Hawaiian Electric Industries, Inc.	Y	900 Richards Street  Honolulu  96813
0001357659-08-000004	tawSuccessors	1	Boston Financial Data Services	Y	330 West 9th Street  Kansas City  64105
0001357659-08-000004	tawRegistrant	1	CNL Investor Services Company		450 South Orange Ave.  Orlando  32801
0001357659-08-000004	tawCustodians	1	Boston Financial Data Services		330 West 9th Street  Kansas City  64105
0001169232-08-001049	tawCustodians	1	First American Trust, FSB		5 First American Way  Santa Ana  92707
0001169232-08-001049	tawSuccessors	1	Wells Fargo Shareowner Services	Y	161 North Concord Exchange  South St. Paul  55075
0001169232-08-001049	tawRegistrant	1	First American Trust, FSB		5 First American Way  Santa Ana  92707
0000844339-08-000002	tawRegistrant	1	Geodyne Resources Inc.		Two West 2nd Street  Tulsa  74103
0000844339-08-000002	tawCustodians	1	Dennis R. Neill		Geodyne Resources Inc. Two West Second Street Tulsa  74103
0000939057-08-000060	tawCustodians	1	Beverly S. Bradham		238 Richland Avenue, NW  Aiken  29801
0000939057-08-000060	tawSuccessors	1	Security Federal Corp.	N	238 Richland Avenue, NW  Aiken  29801
0000939057-08-000060	tawRegistrant	1	Security Federal Corp.		238 Richland Avenue, NW  Aiken  29801
0001104659-08-011509	tawSuccessors	1	Boston Financial Data Services	Y	2 Heritage Drive  Quincy  02171
0001104659-08-011509	tawRegistrant	1	Alger Shareholder Services, Inc.		111 Fifth Avenue  New York  10003
0001104659-08-011509	tawCustodians	1	Boston Financial Data Services		2 Heritage Drive  Quincy  02171
0001144204-08-010354	tawRegistrant	1	Gateway Investment Advisers, L.P.		Rookwood Tower, Suite 600 3805 Edwards Road Cincinnati  45209
0001144204-08-010354	tawCustodians	1	Gateway Investment Advisers, LLC		Rookwood Tower, Suite 600 3805 Edwards Road Cincinnati  45209
0000008177-08-000008	tawRegistrant	1	Atlantic American Corporation		4370 Peachtree Road, N.E.  Atlanta  30319
0000008177-08-000008	tawCustodians	1	Continental Stock Transfer & Trust Company		1 Battery Place, 8th Floor  New York  10004
0000008177-08-000008	tawSuccessors	1	Continental Stock Transfer & Trust Company	Y	1 Battery Place, 8th Floor  New York  10004
0001027886-08-000001	tawSuccessors	1	Fidelity Investments Institutional Operations Company, Inc.	Y	300 Puritan Way  Marlborough  07152
0001027886-08-000001	tawCustodians	3	National Financial Services LLC		1000 Plaza 5  Jersey City  07311
0001027886-08-000001	tawCustodians	2	Fidelity Investments Institutional Operations Company, Inc.		100 Crosby Parkway  Covington  41015
0001027886-08-000001	tawCustodians	1	Fidelity Investments Institutional Operations Company, Inc.		200 Seaport Boulevard  Boston  02210
0001027886-08-000001	tawRegistrant	1	Fidelity Service Company, Inc.		200 Seaport Boulevard  Boston  02210
0000950133-08-000332	tawLocations	1	Jay Pignatello		8654 Gateshead Road  Alexandria  22309
0000950133-08-000332	tawRegistrant	1	Capital Stock Transfer, Inc.		1431 Powhatan Street  Alexandria  22309
0000829205-08-000002	tawSuccessors	1	Russell Fund Services Company	Y	909 A Street  Tacoma  98402
0000829205-08-000002	tawCustodians	1	Boston Financial Data Services		2 Heritage Drive  Boston  02171
0000829205-08-000002	tawRegistrant	1	Russell Investment Management Company		909 A Street  Tacoma  98402
0000950134-08-000398	tawCustodians	1	Archstone-Smith Unitholder Services LLC		9200 E Panorama Cr  Englewood  80112
0000950134-08-000398	tawRegistrant	1	Archstone-Smith Unitholder Services LLC		9200 E Panorama Cr  Englewood  80112
