ACCESSION_NUMBER	ENTITY_TYPE	ENTITY_ID	ENTITYNAME	SUCCESSORREGISTERED	ADDRESS
0000735086-09-000001	tawCustodians	1	Kathleen A. Nicosia; Taylor Devices, Inc.		90 Taylor Drive PO Box 748 North Tonawanda  14120-0748
0000735086-09-000001	tawSuccessors	1	Registrar and Transfer Company	Y	10 Commerce Drive  Cranford  07016-3572
0000735086-09-000001	tawRegistrant	1	Taylor Devices, Inc.		90 Taylor Drive PO Box 748 North Tonawanda  14120-0748
0000735086-09-000001	tawLocations	1	N/A		    
0001258897-09-000078	tawRegistrant	1	Seligman New Technologies Fund II, Inc.		100 Park Ave.  New York  10017
0001258897-09-000077	tawRegistrant	1	Seligman New Technologies Fund, Inc.		100 Park Ave.  New York  10017
0000895467-09-000004	tawLocations	1	Forward Management LLC		433 California Street 11th Floor San Francisco  98104
0000895467-09-000004	tawCustodians	1	J. Anthony Whatley III		Accessor Capital Management LP 1420 Fifth Avenue, Suite 2200 Seattle  98101
0000895467-09-000004	tawRegistrant	1	Accessor Capital Management LP		1420 Fifth Avenue Suite 3600 Seattle  98101
0000895467-09-000004	tawSuccessors	1	Forward Management LLC	Y	433 California Street 11th Floor San Francisco  94104
0001162044-09-000021	tawCustodians	1	Potkul Capital Management LLC		3633 Hill Rd 3rd Flr  Parsippany  07054
0001162044-09-000021	tawSuccessors	1	Mutual Shareholder Services LLC	Y	8000 Town Centre Dr. Suite 400  Broadview Hts  44141
0001162044-09-000021	tawRegistrant	1	Potkul Capital Management LLC		3633 Hill Rd 3rd Flr  Parsippany  07054
0001450610-09-000006	tawRegistrant	1	GW Investor Services, LLC		8515 E. Orchard Rd  Greenwood Village  80111
