ACCESSION_NUMBER	PERIODOFREPORT	ENTITYNAME	SERVICECOMPANY	REGISTRANTENGAGEDSERVICE	REGULATORYAGENCY	AMENDMENTFILED	ADDITIONALINFORMATION	NUMBERITEMSRECEIVEDFORTRANSFER	NUMMASTERSECURITYHOLDERFILINGS	NUMBERINDIVIDUALACCOUNTS	NUMDIVREINVDIRPURPLANACCOUNTS	NUMDIRECTREGISTSYSTEMACCOUNTS	NUMBERFILED	FILEALL	SECHOLDERADDITIONALINFO	ALWAYSCOMPLIANT	NUMBERMONTHSNOTCOMPLIANT	NUMBERNOTICENONCOMPLIANCEFILED	TOTAL	TOTALOTHERTHANRECEIPTORDERDATE	NUMLOSTACCTSREMITTEDTOSTATES
0000882734-16-000006	31-DEC-2015	Olde Monmouth Stock Transfer Co., Inc.	NONE	N	SEC	Not applicable		0	119902	119902	0	0	0			Yes			0	0	0
0001060257-16-000021	31-DEC-2015	Banco Santander Puerto Rico	SOME	N	FDIC	Yes, filed amendment(s)		664	647	340	8	0									0
0001398344-16-011591	31-DEC-2015	M3Sixty Administration, LLC	NONE	N	SEC	Not applicable		1097	4717	4717	4391	4717	0			Yes			7248	62	2
0000950123-16-015594	31-DEC-2015	Apache Corporation	SOME	N	SEC	Not applicable		19	897	897	0	0									0
0001202048-16-000028	31-DEC-2015	VALIC Retirement Services Company	NONE	N	SEC	Yes, filed amendment(s)		1676	12505	12505	0	0	0			Yes			13063383	223770	691
0001573302-16-000015	31-DEC-2015	TMX Equity Transfer Services Inc.	NONE	Y	SEC	Yes, filed amendment(s)		9978	149204	149204	374	3375	0			Yes			0	0	0
0000740583-16-000442	31-DEC-2015	se2, LLC	NONE	Y	SEC	Yes, filed amendment(s)		112155	774934	0	0	0	0			Not Applicable			0	0	81
0000721748-16-001141	31-DEC-2015	Capital Transfer Agency Inc	SOME	N	SEC	Not applicable		1876	15325	15325	0	0	0			Yes			0	0	0
0001146028-16-000003	31-DEC-2015	BNP Paribas, NEW YORK BRANCH	NONE	N	BGFRS	Not applicable		435	2	2	0	0									0
0001145893-16-000006	31-DEC-2015	U.S. Bank Trust National Association	ALL	N	OCC	Not applicable															
0001145893-16-000004	31-DEC-2015	U.S. Bank National Association	NONE	Y	OCC	Not applicable		4369	249187	249187	0	0	0			Yes			0	0	611
0000710386-16-000007	31-DEC-2015	WESTERN STATES TRANSFER AND REGISTRAR INC	NONE	N	SEC	Not applicable		42	12395	0	0	0	0			Yes			0	0	0
0001410578-16-000765	31-DEC-2015	Hewitt Associates LLC	NONE	Y	SEC	Not applicable		0	0	14328380	0	0									0
0000874230-16-000004	31-DEC-2015	Publix Super Markets, Inc.	NONE	N	SEC	Not applicable		21062	117276	117276	0	0	0			Yes			0	0	1623
0001078782-16-002556	31-DEC-2015	ACTION STOCK TRANSFER CORPORATION	NONE	N	SEC	Not applicable		11927	90187	90187	0	6	0			Yes			0	0	0
0000883757-16-000020	31-DEC-2015	Equity Financial Trust Company	SOME	Y	SEC	Yes, filed amendment(s)		0	0	0	0	0									0
0001144204-16-091848	31-DEC-2015	HERITAGE U.S. TRANSFER CORP.	NONE	N	SEC	Not applicable		164	8279	8279	0	0	0			Not Applicable			0	0	0
0001288763-16-000010	31-DEC-2015	Computershare Investor Services Inc.	SOME	Y	SEC	Yes, filed amendment(s)		99534	544706	545843	1833	24649	0			Yes			0	0	0
0001288777-16-000012	31-DEC-2015	Computershare Trust Company of Canada	SOME	Y	SEC	Yes, filed amendment(s)		0	759795	836007	79895	80050	0			Not Applicable			0	0	0
0001227021-16-000015	31-DEC-2015	Brown Brothers Harriman & Co.	NONE	N	SEC	Yes, filed amendment(s)		290	9801	9801	661	164	0			Yes			9317	135	0
0001133796-16-000223	31-DEC-2015	American Stock Transfer & Trust, LLC	NONE	Y	SEC	Yes, filed amendment(s)		376177	3846314	3846314	642847	659012	0			Yes			0	0	42131
0001144204-16-091798	31-DEC-2015	VStock Transfer, LLC	NONE	Y	SEC	Not applicable		9651	75796	75796	0	247	0			Yes			0	0	0
0001431194-16-000004	31-DEC-2015	Bank Services of Virginia, Inc.	NONE	N	FDIC	Not applicable		260	3229	3229	0	0	0			Yes			0	0	0
0001380486-16-000019	31-DEC-2015	TD Ameritrade Clearing, Inc.	NONE	N	SEC	Yes, filed amendment(s)		0	0	12	0	0									0
0000870156-16-000076	31-DEC-2015	Miles Capital, Inc.	NONE	N	SEC	No, failed to file amendment(s)	Registrant conducted a review of Form TA-1 and found that it had inadvertently failed to provide an end date for an officer that left the company at the end of November, 2015.	0	808	808	0	0									0
0000838135-16-000006	31-DEC-2015	Branch banking and Trust Company	NONE	N	FDIC	Not applicable		0	503	376	0	0									0
0000838981-16-000009	31-DEC-2015	The Northern Trust Company	NONE	N	BGFRS	Not applicable		98186	499852	499852	206458	0	0			Not Applicable	0	0	2117620	1912	52
0001139576-16-000003	31-DEC-2015	LEAF Financial Corporation	SOME	N	SEC	Not applicable		146	9748	9823	0	0	0			Yes			0	0	1
0000005076-16-000006	31-DEC-2015	American Funds Service Company/TA	NONE	N	SEC	Yes, filed amendment(s)		365592	24309919	24309917	24196267	0	0			Not Applicable			202035406	533290	686
0001644526-16-000002	31-DEC-2015	Serpent Corp	NONE	N	SEC	Not applicable		0	0	0	0	0									0
0000002380-16-000004	31-DEC-2015	Foresters Investor Services, Inc.	NONE	N	SEC	Yes, filed amendment(s)		15118	590421	590421	578699	0	0			Yes			2754432	10591	169
0001434234-16-000003	31-DEC-2015	Globex Transfer, LLC	SOME	N	SEC	Not applicable		1470	31401	31401	0	0	0			Yes			0	0	0
0000920493-16-000005	31-DEC-2015	Lee Financial Recordkeeping, Inc.	SOME	N	SEC	Yes, filed amendment(s)		0	1875	0	0	0	0			Yes			0	0	0
0001062993-16-008630	31-DEC-2015	CST Trust Company	SOME	Y	SEC	No, failed to file amendment(s)	Failed to file amended TA-1 for name change within 60 days, filed amended TA-1 on Jan 27, 2015 for director change and included the name change.	92321	0	0	0	0	0			Not Applicable			0	0	0
