ACCESSION_NUMBER	CORP_PARTNER_TYPE	CORP_PARTNER_ID	ENTITYNAME	RELATIONSHIPSTARTDATE	TITLEORSTATUS	OWNERSHIPCODE	CONTROLPERSON	AUTHORITYDESCRIPTION	RELATIONSHIPENDDATE
0000862124-07-000007	corporationPartnership	11	John J. Hitt	28-JUN-2006	Assistant Secretary	NA	false		
0000862124-07-000007	corporationPartnership	10	J. Gregory Wass	28-JUN-2006	Assistant Treasurer	NA	false		
0000862124-07-000007	corporationPartnership	9	Stephen E. Tibbetts	01-AUG-1994	Treasurer	NA	false		
0000862124-07-000007	corporationPartnership	8	Joseph P. LoRusso	03-JUL-2003	Director	NA	true		
0000862124-07-000007	corporationPartnership	7	Robert A. Dwight	03-JUL-2003	Senior Vice President	NA	true		
0000862124-07-000007	corporationPartnership	12	Richard Siegelman	14-JUN-2007	Chief Compliance Officer	NA	false		
0000862124-07-000007	corporationPartnership	5	Laura B. Cronin	28-JUN-2006	Executive Vice President	NA	true		
0000862124-07-000007	corporationPartnership	4	Jeffrey Carney	28-JUN-2006	Executive Vice President	NA	true		
0000862124-07-000007	corporationPartnership	3	Timothy F. Hayes	28-JUN-2006	President & Director	NA	true		
0000862124-07-000007	corporationPartnership	2	Susan Sturdy	28-JUN-2006	Secretary	NA	false		
0000862124-07-000007	corporationPartnership	1	FMR Corp	01-JUL-1978	Shareholder	E	true		
0000862124-07-000007	corporationPartnership	6	Joseph T. Castro	28-JUN-2006	Chief Compliance Officer	NA	false		14-JUN-2007
0000088525-07-000320	soleProprietorship	30	Frank Memmo	02-DEC-2002	Vice President			Officer	
0000088525-07-000320	soleProprietorship	31	Amy J. Lee	30-APR-1996	Secretary			Officer	
0000088525-07-000320	soleProprietorship	32	Christopher D. Swickard	01-FEB-1996	Assistant Secretary			Officer	
0000088525-07-000320	soleProprietorship	33	Thomas R. Kaehr	14-MAR-2007	Treasurer			Officer	
0000088525-07-000320	soleProprietorship	34	Security Benefit Group, Inc.	01-APR-1996	Managing Member			10% ea Capital & Profits Class Membershp	01-JAN-2005
0000088525-07-000320	soleProprietorship	35	Security Benefit Life Insurance Company	01-JUL-1998	Managing Member			90% ea Capital & Profits Class Membershp	
0000088525-07-000320	soleProprietorship	36	Security Benefit Mutual Holding Company	01-JUL-1998	Shareholder of Security Benefit Corp			Owns 100% outstanding stock of SBC	
0000088525-07-000320	soleProprietorship	37	Security Benefit Corporation	01-JAN-2005	Managing Member			10% ea Capital & Profits Class Membershp	
0000088525-07-000320	soleProprietorship	1	Michael Gregory Odlum	31-MAR-2004	President			Officer	
0000088525-07-000320	soleProprietorship	2	Richard J. King	09-MAY-2005	VP & Head of Fixed Income Asset Mngmt			Officer	01-MAY-2007
0000088525-07-000320	soleProprietorship	3	Thomas A. Swank	18-NOV-2005	Treasurer			Officer	14-MAR-2007
0000088525-07-000320	soleProprietorship	4	Brenda M. Harwood	05-DEC-2005	VP & Chief Compliance Officer			Officer	
0000088525-07-000320	soleProprietorship	5	Jessica W. Jennings	22-SEP-2006	VP & Head of Institutional Sales			Officer	
0000088525-07-000320	soleProprietorship	6	Christina L. Fletcher	22-SEP-2006	Vice President & Portfolio Manager			Officer	
0000088525-07-000320	soleProprietorship	7	Suchitra Ram	22-SEP-2006	VP & Head of Fixed Income Research			Officer	
0000088525-07-000320	soleProprietorship	8	Amy L. Damman	22-SEP-2006	Vice President			Officer	
0000088525-07-000320	soleProprietorship	9	Huiyu Diao	22-SEP-2006	Vice President			Officer	
0000088525-07-000320	soleProprietorship	10	Douglas P. Gaumer	22-SEP-2006	Vice President			Officer	
0000088525-07-000320	soleProprietorship	11	Charles E. Haff	22-SEP-2006	Vice President			Officer	
0000088525-07-000320	soleProprietorship	12	Greg D. Kratz	22-SEP-2006	Vice President			Officer	
0000088525-07-000320	soleProprietorship	13	David A. Logeman	22-SEP-2006	Vice President			Officer	
0000088525-07-000320	soleProprietorship	14	Jason T. Neff	22-SEP-2006	Vice President			Officer	
0000088525-07-000320	soleProprietorship	15	Dawn R. Pearson	22-SEP-2006	Vice President			Officer	
0000088525-07-000320	soleProprietorship	16	Troy L. Showalter	22-SEP-2006	Vice President			Officer	
0000088525-07-000320	soleProprietorship	29	Mark E. Lamb	07-JUL-2003	Vice President			Officer	
0000088525-07-000320	soleProprietorship	28	Gregory J. Garvin	07-JUL-2003	Vice President			Officer	
0000088525-07-000320	soleProprietorship	27	David G. Toussaint	06-MAR-2001	VP & Portfolio Manager			Officer	
0000088525-07-000320	soleProprietorship	26	Christopher L. Phalen	06-MAR-2002	VP & Portfolio Manager			Officer	
0000088525-07-000320	soleProprietorship	25	James P. Schier	07-MAR-2000	VP & Senior Portfolio Manager			Officer	
0000088525-07-000320	soleProprietorship	24	Mark A. Mitchell	03-SEP-2002	VP & Portfolio Manager			Officer	
0000088525-07-000320	soleProprietorship	23	Steven M. Bowser	01-MAY-2002	VP & Senior Portfolio Manager			Officer	
0000088525-07-000320	soleProprietorship	22	Cindy L. Shields	16-OCT-2002	VP & Head of Equity Asset Management			Officer	
0000088525-07-000320	soleProprietorship	21	Daniel B. Woestendick	22-SEP-2006	Vice President			Officer	
0000088525-07-000320	soleProprietorship	20	Frank I. Whitsell, Jr.	22-SEP-2006	Vice President			Officer	
