ACCESSION_NUMBER	ACTION_TYPE	ACTION_ID	ENTITYNAME	ACTIONTITLE	ACTIONDATE	COURTORBODYNAMEANDLOCATION	ACTIONDESCRIPTION	DISPOSITIONOFPROCEEDING
0000088525-09-000299	fsrViolationOfInvestmentRelatedRegulation	1	Security Distributors, Inc.	In the Matter of Security Distributors	05-JUL-1974	Attorney General of the State of New York, Bureau of Securities	The Attorney General alleged the failure of Security Distributors, Inc., a control affiliate of the Applicant, to file renewals of its broker/dealer statements pursuant to the General Business Laws of the State of New York.	On 4/13/1978, Security Distributors entered into a Consent Order with the Attorney General, where in it agreed to pay a $4,000 fine and did so in 1978.
0000889231-09-000013	foreignAgency	5	Caisse National des Caisses d'Epargne (CNCE)	Civil and administrative penalties/fines; undertaking	29-JUL-2005	French Supervisory Authority (Commission Bancaire)	Deficiencies in the processes by which retail and commercial banking risk exposures were insufficiently reported or reported in either a non-comprehensive format or in a way in which did not facilitate their use for risk consolidation purposes at the global group level.	On April 25, 2006, Commission Bancaire pronounced against CNCE a reprimand and a penalty of 1,000,000 euros for insufficient monitoring of risks on a consolidated basis.
0000889231-09-000013	foreignAgency	8	Natixis (formerly Natexis Banques Populaires) (NBP)	Civil and Administrative Penalt(ies)/Fine(s); Reprimand	29-JAN-2001	Autorite des Marches Financiers (AMF)	Inquiries by the Conseil des Marches Financiers and the Commission des Operations de Bourse regarding the custodian function of NBP, the organization of the NBP safekeeping and administration of securities activity, and weaknesses in internal controls of a subsidiary.	The AMF pronounced a penalty of 1,100,000 euros against NBP and certain subsidiaries. NBP reorganized its custodian control department and dissolved the subsidiary with respect to which internal controls were investigated.
0000889231-09-000013	foreignAgency	9	Banque des Antilles Francaises (BDAF)	Civil and Administrative Penalt(ies)/Fine(s); Reprimand	29-OCT-2002	French Supervisory Authority (Commission Bancaire)	Grievances against BDAF mainly concerned insufficiency on anti money laundering procedures and the training of staff on anti money laundering rules.	Commission Bancaire pronounced a reprimand and a penalty of 50,000 euros against BDAF. BDAF has since implemented corrective measures, including updates to the anti money laundering procedures and increasing staff training on these matters.
0000889231-09-000013	fsrViolationOfInvestmentRelatedRegulation	1	NATIXIS Securities North America, Inc. (Formerly CDC Securities, Inc.), an affiliate of the Applicant	Administrative Action No. 0940359	24-MAR-1994	Iowa Securities Bureau ('ISB')	The ISB alleged that CSI was late in filing certain audited financial statements.	On June 26, 1994, the ISB dismissed the action against CSI subject to payment by CSI of a $500 fine.
0000889231-09-000013	fsrViolationOfInvestmentRelatedRegulation	2	NATIXIS Securities North America, Inc. (Formerly CDC Securities, Inc.), an affiliate of the applicant	Order of Withdrawal No. BD-5473	18-MAY-2000	Minnesota Department of Commerce ('MDC')	CSI had submitted to the MDC an application for broker-dealer licensure, which had been pending for 120 days.  As a result, the MDC ordered, pursuant to Minnesota Stat. Sec. 80A.05, SUBD.1 that the application be withdrawn.	The application was withdrawn.
0000889231-09-000013	fsrViolationOfInvestmentRelatedRegulation	3	Harris Associates L.P. and/or Harris Associates Securities L.P., an affiliate of the applicant	Consent Agreements with securities regulators in RI, WI and DC	05-MAY-1992	Securities Regulators in RI, WI and DC	Between 5/5/92 and 4/12/94, the individuals named in the action without admitting or denying any activity, entered into consent agreements with and paid assessments to securities regulators in RI, WI and DC in connection with IA and/or BD registration.	No denial, suspension or revocation of license was entered and no restrictions or limitations were placed on either entity as a result of consent orders issued by such securities regulators.
0000889231-09-000013	violationOfInvestmentRelatedRegulation	1	Loomis, Sayles & Company, L.P. and Loomis, Sayles & Company, Incorporated, both affiliates of the Applicant	California Ironworkers Field Pension Trust, et. al. vs. Loomis, Sayles & Company	26-MAR-1999	US District Court for the Central District of California, Western Division	Three investment advisory clients sought recovery for losses from investment due to internal breach of investment guidelines.	Pursuant to a settlement agreement dated 3/25/02, the parties settled the damage claim for a payment by Loomis Sayles of $500,000.
0000889231-09-000013	foreignAgency	6	Caisse National des Caisses d'Epargne (CNCE)	Inquiry in relation to the issue of redeemable subordinate securities	10-SEP-2004	Autorite Des Marches Financiers (AMF)	The AMF initiated an inquiry on 9/10/04 in relation to the issue of redeemable subordinated securities ('TSRs') by CNCE and the marketing of such TSRs by ten Caisses d'Epargne, A grievance letter sent to CNCE by the AMF on 9/11/06, related to two categories of breaches: (1) accuracy of information provided to the public by Caisses d'Epargne in connection with the structure, offer, listing and issue of the TSRs and (2) breaches of CNCE's monitoring function of the Caisses d'Epargne.	CNCE and the ten Caisses d'Epargne responded to the sanctions committee of the AMF on 12/1/06. The designated reporter of the sanctions committee is reviewing the submissions and will prepare a report.
0000889231-09-000013	foreignAgency	7	Banque Privee Saint Dominique (BPSD)	Civil and Administrative Penalt(ies)/Fine(s); Warning	09-AUG-2004	French Supervisory Authority (Commission Bancaire)	he grievances against BPSD mainly concerned inadequate knowledge of its customers and operations which should have either been operated or documented.	On 3/4/05, Commission Bancaire pronounced a warning and a financial sanction of 150,000 euros. The corrective compliance actions were implemented by BPSD.
0000889231-09-000013	foreignAgency	4	Caisse National des Caisses d'Epargne ('CNCE'), an affiliate of the applicant	AMF regulatory action	26-JAN-2005	AMF	AMF allegations concerning entry into agreements among custodians or administrators, the activities of a custody account-keeper, implementation of internal procedures and failure by CNCE to comply with French law concerning licensing of two subsidiaries	On December 8, 2005, the AMF levied a fine of 150,000 euros for violations.
0000889231-09-000013	foreignAgency	1	Vega Finance ('Vega'), an affiliate of the applicant	Administrative Action (N 2001-04)	18-APR-2001	Conseil des marches Financiers, a French regulatory authority ('CMF')	CMF alleged that Vega violated CMF regulations related to the opening of private client securities accounts.	On July 11, 2001, CMF decided that Vega failed to comply with a rule that requires investment service providers to confirm receipt by registered mail of client requests in order to verify clients' identities.  The CMF's decision resulted in a warning.
0000889231-09-000013	foreignAgency	2	Palatine Asset Management ('Palatine'), an affilate of the applicant	AMF regulatory action	12-APR-2005	AMF	AMF alleged that Palatine failed to comply with AMF regulations concerning OPCVM shares; the equal treatment of shareholders, processing of purchase and sale orders, liquidation of such shares due to insuff. assets and lack of internal control procedures	On November 3, 2005, the AMF levied a fine of 20,000 euros ($24,144), in light of the fact that Palatine implemented remedial measures before the date of the decision.
0000889231-09-000013	foreignAgency	3	Banque Palatine ('Banque'), an affiliate of the applicant	AMF regulatory action	12-APR-2005	AMF	AMF alleged that Banque failed to comply with AMF regulations concerning internal control  procedures in connection with process. purchase and sales orders for OPCVM shares, failure to monitor assets and to liquidate if necessary and for lack of controls.	On November 3, 2005, the AMF levied a fine of 50,000 euros ($60,360), in light of the fact that Banque implemented remedial internal control measures before the date of the decision.
0000088525-09-000293	fsrViolationOfInvestmentRelatedRegulation	1	Security Distributors, Inc. (SDI)	Consent Order	13-APR-1978	New York Securities Commission	The applicant is under common control with Security Distributors, Inc. (SDI) a registered broker/dealer. The NY Securities Commission alleged that SDI failed to file renewals of its broker/dealer statements pursuant to the general business laws of NY.	SDI consented to a $4,000 monetary fine and was ordered to cease and desist from further violations.
0000088525-09-000292	fsrViolationOfInvestmentRelatedRegulation	1	Security Distributors, Inc.	Consent Order	13-APR-1978	New York Securities Commission	The applicant is under common control with Security Distributors, Inc. (SDI) a registered broker/dealer. The NY Securities Commission alleged that SDI failed to file renewals of its broker/dealer statements pursuant to the general business laws of NY.	SDI consented to a $4,000 monetary fine and was ordered to cease and desist from further violations.
0000842657-09-000010	sraViolationOfRules	54	Deutsche Bank Securities Inc.	Docket Case Number NYSE HBD no: 08 27	09-JUN-2008	New York Stock Exchange Division of Enforcement	The Registrant has not been the subject of this matter: Initiation date 5     15     2008. The New York Stock Exchange (     NYSE     ) alleged that Deutsche Bank Securities Inc. (     DBSI     ) violated Rules 80A and 476(A) (10). Without admitting or denying any allegations or findings, and for the sole purpose of settling this proceeding, DBSI and the NYSE entered a stipulation of facts and consent to penalty that during the period of June and July 2006, 10 DBSI violated NYSE Rule 80A by introducing for execution on the NYSE ninety     three baskets if index arbitrage orders without the appropriate trick restrictions when an NYSE Rule 80A collar was in place and; 2) violated NYSE Rule 476(A)(10), on six trade dates, by failing to submit to the NYSE accurate daily program trade reports relating to aforementioned index arbitrage orders. On May 15, 2008, the NYSE hearing officer accepted the stipulation. Without admitting or denying the allegations, DBSI agree to a stipulation and censure consenting to a fine of $35,000.00.	Without admitting or denying the allegations, DBSI agree to a stipulation and censure, consenting to a fine of $35,000.00.
0000842657-09-000010	sraViolationOfRules	55	Deutsche Bank Securities Inc.	Docket Case Number:Enforcement Decision No. 08 AE 02	28-AUG-2008	NYSE ACRA EQUITIES, INC.	NYSE ARCA EQUITIES, INC. ALLEGED THAT BETWEEN JANUARY 2005 THROUGH APPROXIMATELY OCTOBER 2006 (THE RELEVANT PERIOD), DEUTSCHE BANK SECURITIES INC. (DBSI), WITH RESPECT TO AT LEAST FIVE OF ITS 19 PROPRIETARY TRADING DESKS (THE FIVE DESKS), FAILED TO COMPLY WITH CERTAIN NYSEARCA EQUITIES RULES AND REGULATION SHO (REG SHO) REQUIREMENTS WITH RESPECT TO ITS EXECUTION AND SUPERVISION OF THE SHORT SALE ORDERS DESCRIBED BELOW. SPECIFICALLY, NYSE ARCA EQUITIES, INC. ALLEGED THE FIRM EFFECTED AN UNQUANTIFIED BUT SIGNIFICANT NUMBER OF SHORT SALES ON AT LEAST THE FIVE DESKS IN SECURITIES THAT WERE NOT ON THE FIRM EASYTO BORROW LIST WITHOUT HAVING BORROWED THE SECURITIES OR ENTERED INTO BONA     FIDE ARRANGEMENTS TO BORROW THE SECURITIES, OR HAVING REASONABLE GROUNDS TO BELIEVE THAT THE SECURITIES COULD BE BORROWED FOR DELIVERY WHEN DUE, AND WITHOUT THE PROPER DOCUMENTATION OF SUCH. FURTHER, NYSE ARCA EQUITIES, INC. ALLEGED AT LEAST TWO OF SUCH DESKS DID NOT PROPERLY ADHERE TO THE INDEPENDENT TRADING UNIT AGGREGATION REQUIREMENTS AND ONE TRADER ON EACH OF THE TWO DESKS DID NOT CORRECTLY MARK AN UNQUANTIFIED BUT SIGNIFICANT NUMBER OF PROPRIETARY SELL ORDERS. AS A RESULT, CERTAIN SHORT SALES ALLEGEDLY WERE INCORRECTLY MARKED LONG, AND SOME OF THOSE ORDERS ALLEGEDLY WERE IMPROPERLY EXECUTED. NYSE ARCA EQUITIES, INC. ALSO ALLEGED THE FIRM FAILED TO ADEQUATELY SUPERVISE CERTAIN TRADERS ON AT LEAST THE FIVE DESKS AND FAILED TO MAINTAIN AND ENFORCE WRITTEN SUPERVISORY PROCEDURES CONCERNING PROPRIETARY SHORT SALES IN A MANNER REASONABLY DESIGNED TO ACHIEVE COMPLIANCE WITH THE RELEVANT PROVISIONS OF REG SHO AND NYSE ARCA EQUITIES RULES.	WITHOUT ADMITTING OR DENYING THE ALLEGATIONS, DBSI CONSENTED TO A DECISION AND ORDER OF OFFER OF SETTLEMENT, A CENSURE AND A FINE OF $575,000.00.
0000842657-09-000010	sraViolationOfRules	56	Deutsche Bank Securities Inc. (DBSI) a Control Affiliate fo the Registrant	FINRA 2006005064401	05-FEB-2009	Financial Industry Regulatory Authority (FINRA)	The Registrant has not been the subject of this matter: Initiation date February 5th, 2009. FINRA alleged that Deutsche Bank Securities Inc. (DBSI). (1) submitted certain inaccurate OATS reports in December 2005 violation of NASD Rule 6995 (A); (2) failed to timely report certain transactions to trace during the period from January 1, 2007 through March 31, 2007 in violation of NASD Rules 6230 (A) and 2110; (3) failed to timely report certain information concerning certain municipal securities transactions to RTRS during the period of July 1, 2007 through September 30, 2007 in violation of MSRB Rule G-14; (4) failed to timely report certain transactions to the NNTRF during the period from January 1, 2007 through April 30, 2007 in violation of NASD Rule 6130 (G); (5) failed to provide written notification to certain customers of information relating to certain transactions during the period from January 4-7, 2008 in violation of SEC Rule 10B-10; (6) failed to timely report certain transactions to the NNTRF during the period from January 1, 2008 through April 30, 2008 in violation of NASD Rule 6130(G).Without admitting or denying the allegations, DBSI agreed to a letter of acceptance, waiver and consent (AWC), consenting to a censure and fine of $43,000.00. The fine was comprised of a $10,000 fine for OATS violation, a $10,000 fine for Trace violations, a $10,000 fine for MSRB violations, a $10,000 fine Censure and a fine for violations of NASD Rule 6130, and $3,000 fine for SEC Rule 10-B violations). The fine was paid on February 19th, 2009.	DBSI Consented to a censure and a fine of $43,000.00.  The fine as paid on February 19th, 2009.
0000842657-09-000010	subjectOfProceedings	1	Control Affiliates of the Registrant	Varies by jurisdiction	12-MAY-1999	Varies by jurisdiction	In the ordinary course of business, certain Control Affiliates of the Registrant are named as defendants in lawsuits or other proceedings in which allegations of violations of federal and/or state securities laws and regulations or in which allegations of violation of self-regulatory organization or commodity exchange rules are made.	Allegations are dismissed or are settled and separately reported.
0000842657-09-000010	violationOfInvestmentRelatedRegulation	1	Deutsche Bank Securities Inc. (DBSI), a Control Affiliate of the Registrant	US District Court SDNY Civ. Action No. 04 Civ. 06909 (WHP)	24-SEP-2004	United States Securities and Exchange Commission	In reference to the Title of Action noted above, please see response to question 10(b)(1)(v)	In reference to the Title of Action noted above, please see response to question 10(b)(1)(vi)
0000842657-09-000010	violationOfRegulations	1	Deutsche Bank Securities Inc. (DBSI), a Control Affiliate of the Registrant	Occurrence 374988	25-FEB-1999	NASD	The Registrant has not been the subject of this matter. The NASD alleged failure to DBSI to establish written supervisory procedures reasonably designed to achieve compliance with the SEC Quote Rule (violation of NASD Conduct Rule 2110) and failure to enforce its (DBSI) written supervisory procedures relating to books and records (violation of NASD Conduct Rule 3010). The current status is: closed on February 25, 1999. A fine of $7,500.00 has been paid.	The current status is: closed on February 25, 1999.  A fine of $7,500.00 has been paid.
0000842657-09-000010	violationOfRegulations	2	Deutsche Morgan Grenfell Inc. (DMGI), a Control Affiliate of the Registrant	SEC Unknown	16-JAN-1992	United States Securities and Exchange Commission	The Registrant has not been the subject of this matter: The SEC alleged violation of Rule 15c of the Securities and Exchange Act of 1934 and 17 C.F.R. Part 404 with respect to certain records relating to its distribution of certain unsecured debt securities of one or more Government Sponsored Enterprises by DMGI. The current status is: closed on January 16, 1992. Without admitting to or denying the allegations or findings, DMGI consented to the entry of an Order Making Findings and imposing Sanctions with respect to certain records relating to its distribution of certain unsecured debt securities of one or more Government Sponsored Enterprises.	Without admitting to or denying the allegations or findings, DMGI consented to the entry of an Order Making Findings and imposing Sanctions with respect to certain records relating to its distribution of certain unsecured debt securities.
0000842657-09-000010	violationOfRegulations	9	Deutsche Bank Securities Inc. (DBSI), a Control Affiliate of the Registrant	Docket Case Number File No. 3 10957	03-DEC-2002	United States Securities and Exchange Commission	The Registrant has not been the subject of this matter: The SEC alleged that DBSI failed to comply with certain aspects of the record-keeping requirements of Section 17(a) of the Exchange Act and Rule 17a(4) during the period from 1999 to (at least) 2001, in that it failed to preserve for three years, and or to preserve in an accessible place for two years, all electronic mail communications (including interoffice memoranda) received and sent by its agents and employees that related to its business as a member of an exchange or as a broker or dealer. Resolution date, December 3, 2002. Within 90 days of the issuance of the order, unless otherwise extended by the staff of the Commission for good cause shown, DBSI undertook and agreed to inform the Commission in writing that it had completed its review and that it had established systems and procedures reasonably designed to achieve compliance with those laws, regulations, and rules concerning the preservation of electronic mail communications. DBSI pursuant to Section 21c of the Exchange Act was ordered to cease and desist from committing or causing any violations and any future violations of Section 17(a) and Rule 17a(4). In addition, DBSI paid a civil monetary penalty of $1,650,000.00 on December 11, 2002, in the manner and to the parties described in the final order. Without admitting or denying the findings of the SEC administrative proceeding, DBSI consented to pay the fine and comply with the final order.	DBSI was ordered to cease from committing or causing certain violations. Without admitting or denying the findings of the SEC proceeding, DBSI paid a monetary penalty and agreed to inform the Commission in writing regarding certain actions.
0000842657-09-000010	violationOfRegulations	10	Deutsche Bank Securities Inc. (DBSI), a Control Affiliate of the Registrant	CAF020064	22-NOV-2002	National Association of Securities Dealer, Inc.	The Registrant has not been the subject of this matter. The NASD alleged that DBSI (A) failed to keep electronic communications for three years and or failed to preserve electronic mail communications for the first two years, in an accessible place in violation of section 17(a) of the Exchange Act, Rule 17a(4) thereunder, and NASD Rule 3110, and (B) had inadequate supervisory systems and procedures that were not reasonably designed to achieve compliance with section 17 (a), Rule 17a(4) thereunder and NASD Rule 3110 in violation of NASD Rule 3010. Resolution date IS November 22, 2002. DBSI undertook to review its procedures regarding the preservation of electronic mail communications for compliance with the federal securities laws and the rules of the NASD and the Exchange. Within 90 days of the issuance of the order, unless otherwise extended by the staff of the NASD for good cause shown, DBSI undertook and agreed to inform the NASD in writing that it had completed its review and that it had established systems and procedures reasonably designed to achieve compliance with those laws, regulations, and rules concerning the preservation of electronic mail communications. DBSI paid a civil monetary penalty of $1,650,000.00 on December 11, 2002, in the manner and to the parties described in the final order. Without admitting or denying to the allegations of the NASD AWC, DBSI consented to the sanctions.	DBSI paid a civil monetary penalty of $1,650,000.00 in the manner and to the parties described in the final order. Without admitting or denying to the allegations of the NASD AWC, DBSI consented to the sanctions, and undertook certain actions.
0000842657-09-000010	violationOfRegulations	11	Deutsche Bank Securities Inc. (DBSI), a Control Affiliate of the Registrant	02 223	15-NOV-2002	New York Stock Exchange	The Registrant has not been the subject of this matter. The NYSE alleged that DBSI violated Rule 440 and SEA section 17(a) and SEC Reg. 17a(4) by failing to preserve for a period of three years, and or preserve in an accessible place for two years, electronic communications relating to the business of the firm and violated exchange Rule 342 by failing to reasonably supervise and control the activities of its employees to assure compliance with Exchange rules and Federal securities laws relating to retention of electronic communications. Resolution date: November 15, 2002. Within 90 days of the execution of the stipulation and consent, DBSI undertook and agreed to inform the Exchange in writing that it had completed its review and that it had systems and procedures in place reasonably designed to achieve compliance with those laws and rules concerning the preservation of electronic mail communications. The NYSE Division of Enforcement maintained discretion, upon showing good cause, to extend the deadline for compliance with the undertaking. DBSI paid a fine of $1,650,000.00 on December 11, 2002, in the manner and to the parties described in the final order. Without admitting or denying the findings of the NYSE Hearing Panel, DBSI consented to the penalty.	DBSI paid a fine of $1,650,000.00 in the manner and to the parties described in the final order. Without admitting or denying the findings of the NYSE Hearing Panel, DBSI consented to the penalty and undertook certain actions.
