ACCESSION_NUMBER	ENTITY_TYPE	ENTITY_ID	ENTITYNAME	SUCCESSORREGISTERED	ADDRESS
0000735046-11-000005	tawRegistrant	1	Southwest Gas Corporation		5241 Spring Mountain Road  Las Vegas  89150
0000735046-11-000005	tawSuccessors	1	Wells Fargo Shareowner Services	Y	161 N. Concord Exchange  South St. Paul  55075
0000735046-11-000005	tawCustodians	1	Southwest Gas Corporation		5241 Spring Mountain Road  Las Vegas  89150
0000819850-11-000002	tawRegistrant	1	Bridges Investor Services, Inc.		8401 West Dodge Road Suite #256 Omaha  68114
0000819850-11-000002	tawCustodians	1	Bridges Investor Services, Inc.		8401 West Dodge Road Suite #256 Omaha  68114
0001504913-11-000002	tawRegistrant	1	Christiana Bank & Trust Company		1314 King Street  Wilmington  19801
0001438957-11-000003	tawCustodians	2	ALPS Fund Services, Inc.		P.O. Box 328  Denver  80201
0001438957-11-000003	tawCustodians	1	Forward Management, LLC		101 California Street Suite 1600 San Francisco  94111
0001438957-11-000003	tawSuccessors	1	ALPS Fund Services, Inc.	Y	P.O. Box 328  Denver  80201
0001438957-11-000003	tawRegistrant	1	Forward Management, LLC		101 California Street Suite 1600 San Francisco  94111
0001062993-11-002315	tawSuccessors	1	Kurt John Borris Registration not required	N	27505 Tampa Ave #18 P.O. Box 455 Hayward  94543
0001062993-11-002315	tawRegistrant	1	Kurt John Borris		27505 Tampa Ave 18 P.O. Box 455 Hayward  94543
0001062993-11-002315	tawCustodians	1	Kurt John Borris		27505 Tampa Ave #18 P.O. Box 455 Hayward  94543
0000088525-11-000376	tawCustodians	1	RYDEX FUND SERVICES, LLC		805 KING FARM BLVD. SUITE 600  ROCKVILLE  20850
0000088525-11-000376	tawSuccessors	1	RYDEX FUND SERVICES, LLC	Y	805 KING FARM BLVD. SUITE 600  ROCKVILLE  20850
0000088525-11-000376	tawCustodians	2	SECURITY BENEFIT CORPORATION		ONE SECURITY BENEFIT PLACE  TOPEKA  66636
0000088525-11-000376	tawRegistrant	1	SECURITY INVESTORS, LLC		ONE SECURITY BENEFIT PLACE  TOPEKA  66636-0001
0001273515-11-000048	tawRegistrant	1	Pennsylvania Avenue Advisers LLC		260 Water Street  Brooklyn  11201
0001273515-11-000048	tawSuccessors	1	U.S. Bancorp Fund Services, LLC	Y	615 E. Michigan St., FL 3  Milwaukee  53202
0001273515-11-000048	tawCustodians	1	U.S. Bancorp Fund Services, LLC		615 E. Michigan St., FL 3  Milwaukee  53202
