ACCESSION_NUMBER	CORP_PARTNER_TYPE	CORP_PARTNER_ID	ENTITYNAME	RELATIONSHIPSTARTDATE	TITLEORSTATUS	OWNERSHIPCODE	CONTROLPERSON	AUTHORITYDESCRIPTION	RELATIONSHIPENDDATE
0001486544-11-000004	soleProprietorship	1	Gratio Capital, Inc.	09-FEB-2010	Owner			100% Controlling Owner	
0001261763-11-000004	corporationPartnership	5	Tischler, Warren L	12-MAY-2005	Director	NA	true		
0001261763-11-000004	corporationPartnership	1	Portera, Kenneth Vincent	06-MAY-2008	Chief Executive Officer	NA	true		
0001261763-11-000004	corporationPartnership	2	Smith, Christopher	01-JUN-2010	Director	NA	true		
0001261763-11-000004	corporationPartnership	3	Banszky, Caroline Janet	23-SEP-2002	Director	NA	true		
0001261763-11-000004	corporationPartnership	4	Cole, John William	23-JUL-2002	Director	NA	true		
0000817712-11-000016	corporationPartnership	8	John L. Sullivan	30-JUN-2008	General Counsel and Secretary	NA	true		
0000817712-11-000016	corporationPartnership	9	Rhonda R. Fenner	02-JUN-2010	Vice President, Field Interactions	NA	true		
0000817712-11-000016	corporationPartnership	10	Rebecca A. Paulzine	21-JUN-2010	Assistant Secretary	NA	true		
0000817712-11-000016	corporationPartnership	11	Thrivent Financial Holdings, Inc.	01-JAN-2002	Parent company	E	true		
0000817712-11-000016	corporationPartnership	12	Karen L. Larson	08-DEC-2010	Director and President	NA	true		
0000817712-11-000016	corporationPartnership	13	Katie Koelling	27-JUN-2011	Privacy & Anti-Money Laundering Officer	NA	true		
0000817712-11-000016	corporationPartnership	6	Michael Barth	01-SEP-2004	Director and Privacy Officer	NA	true		13-MAY-2011
0000817712-11-000016	corporationPartnership	5	Cynthia J. Nigbur	01-OCT-2002	Assistant Secretary	NA	true		
0000817712-11-000016	corporationPartnership	4	Kurt S. Tureson	01-JUN-2004	Treasurer	NA	true		
0000817712-11-000016	corporationPartnership	3	Jody L. Bancroft	31-MAR-2009	Director, Investment Field Operations	NA	true		
0000817712-11-000016	corporationPartnership	2	Randall L. Boushek	05-DEC-2008	Director	NA	true		
0000817712-11-000016	corporationPartnership	1	Russell W. Swansen	05-DEC-2008	Director	NA	true		
0000817712-11-000016	corporationPartnership	7	Brian Picard	01-OCT-2002	Director, Business Control Services	NA	true		27-JUN-2011
0000769188-11-000006	corporationPartnership	4	Mark N. Polebaum	01-FEB-2006	Secretary	NA	true		
0000769188-11-000006	corporationPartnership	3	Elizabeth Petipas	05-JAN-2009	Treasurer	NA	true		
0000769188-11-000006	corporationPartnership	2	Maureen A. Leary-Jago	01-JAN-2005	Director and President	NA	true		
0000769188-11-000006	corporationPartnership	1	Robert J. Manning	06-FEB-2004	Director and Chairman of the Board	NA	true		
0000769188-11-000006	corporationPartnership	5	Massachusetts Financial Services Company	03-MAY-1985	Corporate Parent	E	true		
0001466955-11-000012	corporationPartnership	10	Chris Kelly	05-AUG-2010	Director, Parent Company	B	true		
0001466955-11-000012	corporationPartnership	11	Susan Smith Ellis	28-APR-2011	Director, Parent Company	NA	true		
0001466955-11-000012	corporationPartnership	12	Jeffrey A. Modisett	15-APR-2011	Chief Legal Officer, Parent Company	NA	true		
0001466955-11-000012	corporationPartnership	1	LOYAL3 Holdings, Inc.	12-JUN-2009	Parent Company, Owner	E	true		
0001466955-11-000012	corporationPartnership	2	Stephen Bruce Klein	02-DEC-2009	CEO & Pres; Dir, Registrant and Parent	NA	true		
0001466955-11-000012	corporationPartnership	3	Barry Lee Schneider	12-JUN-2009	Director, Registrant and Parent Company	E	true		
0001466955-11-000012	corporationPartnership	4	Carl Hollis Landauer	02-DEC-2009	Corp Secty & General Counsel	NA	true		
0001466955-11-000012	corporationPartnership	5	Blake Curtis Schneider	12-JUN-2009	CFO	NA	true		
0001466955-11-000012	corporationPartnership	6	Alan Joseph Price	02-DEC-2009	COO	NA	true		
0001466955-11-000012	corporationPartnership	7	Chris Brahm	29-JUN-2009	Director, Parent Company	NA	true		
0001466955-11-000012	corporationPartnership	8	Jim Hale	24-JUN-2010	Director, Parent Company	NA	true		
