ACCESSION_NUMBER	ACTION_TYPE	ACTION_ID	ENTITYNAME	ACTIONTITLE	ACTIONDATE	COURTORBODYNAMEANDLOCATION	ACTIONDESCRIPTION	DISPOSITIONOFPROCEEDING
0001380486-08-000003	sraViolationOfRules	7	TD Ameritrade Clearing, Inc	20060048452-01TD Ameritrade Clearing, Inc	16-JAN-2008	FINRA	FINRA alleged TD Ameritrade Clearing, Inc violated rule 6955(a).	Without admitting or denying the findings, TD Ameritrade Clearing, Inc. consented to the sanctions and was censured and fined $10,000.00.
0001380486-08-000003	sraViolationOfRules	8	The Toronto-Dominion Bank, London Branch	The Finanical Services Authority	12-NOV-2007	The Finanical Services Authority	FSA alleged that TD Bank breached the requirements of principle 3 of the FSA's principles of business.	FSA fine TD Bank $490,000 GBP.
0001380486-08-000003	violationOfRegulations	1	First Omaha Securities	File no. 76-0-343	08-SEP-1976	U.S. Securities and Exchange Commission	In settlement of SEC action dated 09/08/76, through us district court of Nebraska, first Omaha securities was permanently enjoined from engaging.	The above sanctions were agreed to in settlement of proceedings without admitting or denying the allegations.
0001380486-08-000003	sraViolationOfRules	6	TD Ameritrade Clearing, Inc	2005002093-01	03-MAY-2007	NASD	NASD alleged TD Ameritrade Clearing, Inc violated Rules 2110 and 3010 and 6955(A).	Without admitting or denying the findings, TD Ameritrade Clearing, Inc. consented to the sanctions and was censured and fined $12,500.00.
0001380486-08-000003	sraViolationOfRules	5	AMERITRADE, INC	20050016221-01	27-FEB-2007	NASD	NASD alleged Ameritrade, Inc violated rule 6955(a).	Without admitting or denying the findings, Ameritrade, Inc. consented to the sanctions and was censured and fined $10,000.00.
0001380486-08-000003	sraViolationOfRules	4	Ameritrade, Inc	E0420040450-01	29-DEC-2006	NASD	NASD alleged Ameritrade violated Rules 2110 and 3010.	Without admitting or denying the findings, Ameritrade, Inc. consented to the sanctions and was censured and fined $150,000.00.
0001380486-08-000003	sraViolationOfRules	3	DATEK ONLINE FINANCIAL SERVICES, LLC, ICLEARING, LLC AND AMERITRADE, INC.	AWC no. C04040011	11-MAR-2004	NATIONAL ASSOCIATION OF SECURITIES DEALERS	ALLEGED VIOLATIONS OF REGULATION T AND NASD CONDUCT RULE 2110	WITHOUT ADMITTING OR DENYING THE ALLEGATIONS OR FINDING, THE THREE FIRMS CONSENTED TO A CENSURE AND A FINE OF $10,000,000
0001380486-08-000003	sraViolationOfRules	2	AMERITRADE, INC.	FILE NO. 87-0049	22-DEC-1987	CHICAGO BOARD OPTIONS EXCHANGE	ALLEGED VIOLATION OF EXCHANGE RULES 9 7(B)	ALLEGED VIOLATION WAS DISMISSED UPON A SETTLEMENT AGREEMENT THAT NEITHER ADMITTED NOR DENIED THE ALLEGATION, AND PAYMENT OF A $1,500 FINE.
0001380486-08-000003	sraViolationOfRules	1	FIRST OMAHA SECURITIES CORPORATION	NASD DISTRICT 4 COMPLAINT AW-7 DATED 06/21/1976	21-JUN-1976	NATIONAL ASSOCIATION OF SECURITIES DEALERS	THIS ACTION WAS THE RESULT OF THE SAME METTER REFERRED TO IN PREVIOUS DRP FILED REGARDING THE STATE OF ILLINOIS (FILE NO. 76-0-343), DATED 09/08/1976	NASD CENSURED AND FINED FIRST OMAHA SECURITIES CORPORATION $1,000.00
0001380486-08-000003	registrationDeniedOrSuspended	2	THE TORONTO DOMINION BANK	FINAL CONSENT JUDGMENT	02-AUG-1989	U.S. SECURITIES AND EXCHANGE COMMISSION	VIOLATIONS OF SECTION 7(D) OF THE EXCHANGE ACT AND REGULATION U OF THE FEDERAL RESERVE BOARD AND, AGAINST THE TORONTO-DOMINION BANK TRUST COMPANY AGAINST AIDING AND ABETTING VIOLATIONS OF SECTION 7(F) OF THE EXCHANGE ACT AND REGULATION X OF THE FEDERAL RESERVE BOARD.	FINAL CONSENT JUDGMENT, ON SEPTEMBER 25, 1989, TO A PERMANENT INJUNCTION AGAINST THE TORONTO-DOMINION BANK, WITHOUT ADMISSION OF GUILT OR DENIAL OF THE ALLEGATIONS.
