ACCESSION_NUMBER	ADDRESS_ID	ADDRESS_TYPE	ADDRESS
0000849542-18-000007	1	otherBusinessLocation	760 Moore Road  King of Prussia PA 19406
0000849542-18-000007	1	principalOfficeAddress	4400 Computer Drive  Westborough MA 01581
0000849542-18-000007	2	otherBusinessLocation	400 Bellevue Parkway  Wilmington DE 19809
0001667731-18-000294	2	otherBusinessLocation	IFC 19th Floor 8 Finance Street, Central Hong Kong F4 F4
0001667731-18-000294	1	principalOfficeAddress	635 16TH STREET FRONT OFFICE NIAGARA FALLS NY 14301
0001667731-18-000294	1	otherBusinessLocation	100 Queen Street East Suite 203 Toronto A6 M5C 1S6
0000027048-18-000007	5	otherBusinessLocation	430 W 7th St  Kansas City MO 64105
0000027048-18-000007	4	otherBusinessLocation	333 W 11th St  Kansas City MO 64105
0000027048-18-000007	3	otherBusinessLocation	816 Broadway  Kansas City MO 64105
0000027048-18-000007	2	otherBusinessLocation	330 W 9th St  Kansas City MO 64105
0000027048-18-000007	2	mailingAddress	333 WEST 11TH STREET 5TH FLOOR ATTN LEGAL DEPT KANSAS CITY MO 64105
0000027048-18-000007	1	principalOfficeAddress	210 W 10th St  Kansas City MO 64105
0000027048-18-000007	1	otherBusinessLocation	7201 E 64th Ct  Kansas City MO 64133
0001654954-18-013836	1	principalOfficeAddress	38B Sheep Pasture Road  Port Jefferson NY 11777
0000735286-18-000009	2	mailingAddress	400 DEVON PARK DR  WAYNE PA 19087
0000735286-18-000009	1	otherBusinessLocation	2525 Water Ridge Parkway 1 North Falls Plaza Charlotte NC 28217
0000735286-18-000009	1	principalOfficeAddress	100 Vanguard Boulevard M39 Malvern PA 19355-2900
0000735286-18-000009	2	otherBusinessLocation	14321 North Northsight Blvd.  Scottsdale AZ 85260
0001759759-18-000001	1	principalOfficeAddress	12492 Venice Blvd.  Los Angeles CA 90066
0001018490-18-000017	1	principalOfficeAddress	5022 Gate Parkway Suite 200 Jacksonville FL 32256-7088
0000842657-18-000025	1	principalOfficeAddress	222 S. Riverside Plaza  Chicago IL 60606
0001573302-18-000005	1	otherBusinessLocation	650 West Georgia St. Suite 2700 Vancouver A1 V6B 4N9
0001573302-18-000005	3	otherBusinessLocation	Tour De La Bourse, Box 61 800 Victoria Square Montreal A8 H4Z 1A9
0001573302-18-000005	2	otherBusinessLocation	300-5th Avenue Sw 10th Floor Calgary A0 T2P 3C4
0001573302-18-000005	1	principalOfficeAddress	100 Adelaide St. West Suite 301 Toronto A6 M5H 5S3
0000913181-18-000004	1	principalOfficeAddress	805 King Farm Blvd. Suite 600 Rockville MD 20850
0000818238-18-000006	1	principalOfficeAddress	8730 Stony Point Parkway Suite 205 Richmond VA 23235
0001007444-18-000019	2	mailingAddress	75 STATE STREET, 22ND FLOOR  BOSTON MA 02109
0001007444-18-000019	1	principalOfficeAddress	4707 Executive Drive  San Diego CA 92121-3091
0001557183-18-000007	1	otherBusinessLocation	920 Main Street Suite 900 Kansas City MO 64105
0001557183-18-000007	1	principalOfficeAddress	95 Wells Avenue Ste 160 Newton MA 02459
0001557183-18-000007	2	otherBusinessLocation	475 Kilvert Street Suite 300 Warwick RI 02886
0001557183-18-000007	3	otherBusinessLocation	9070 S Rita Road  Tucson AZ 85747
0001448300-18-000013	1	principalOfficeAddress	7 Shattuck Road  Andover MA 01810
0001448300-18-000013	2	mailingAddress	100 Federal Street  BOSTON MA 02110
0001170078-18-000005	1	principalOfficeAddress	151 Detroit Street  Denver CO 80206
0001170078-18-000005	1	otherBusinessLocation	720 S. Colorado Blvd.  Denver CO 80246
0000276398-18-000016	2	mailingAddress	P.O.Box 5143  Denver CO 80217-8143
0000276398-18-000016	1	principalOfficeAddress	6803 South Tucson Way  Centennial CO 80112
0000868275-18-000008	1	principalOfficeAddress	1300 N. STATE ST.  BELLINGHAM WA 98225
0001018490-18-000015	1	principalOfficeAddress	5022 Gate Parkway Suite 200 Jacksonville FL 32256-7088
0001511164-18-000610	1	principalOfficeAddress	15500 Roosevelt Blvd., Suite 301 Clearwater FL 33760
0000842657-18-000023	1	principalOfficeAddress	222 S. Riverside Plaza  Chicago IL 60606
0000275143-18-000014	2	otherBusinessLocation	2000 Bluffs Drive  Lawrence KS 66044
0000275143-18-000014	8	otherBusinessLocation	333 W 11th Street  Kansas City MO 64105
0000275143-18-000014	7	otherBusinessLocation	816 Broadway  Kansas City MO 64105
0000275143-18-000014	1	otherBusinessLocation	30 Dan Road  Canton MA 02021
0000275143-18-000014	1	principalOfficeAddress	2000 Crown Colony Drive  Quincy MA 02169
0000275143-18-000014	9	otherBusinessLocation	430 W 7th St  Kansas City MO 64105
0000275143-18-000014	3	otherBusinessLocation	12 Water Street  Rockland ME 04841
0000275143-18-000014	4	otherBusinessLocation	210 W 10th Street  Kansas City MO 64105
0000275143-18-000014	5	otherBusinessLocation	7201 E 64th Court  Kansas City MO 64133
0000275143-18-000014	6	otherBusinessLocation	330 W 9th Street  Kansas City MO 64105
0001452780-18-000004	2	otherBusinessLocation	Suite 201, Building 7, Commerzone Samrat Ashok Path Road, Yerawada Pune K7 411006
