ACCESSION_NUMBER	PERIODOFREPORT	ENTITYNAME	SERVICECOMPANY	REGISTRANTENGAGEDSERVICE	REGULATORYAGENCY	AMENDMENTFILED	ADDITIONALINFORMATION	NUMBERITEMSRECEIVEDFORTRANSFER	NUMMASTERSECURITYHOLDERFILINGS	NUMBERINDIVIDUALACCOUNTS	NUMDIVREINVDIRPURPLANACCOUNTS	NUMDIRECTREGISTSYSTEMACCOUNTS	NUMBERFILED	FILEALL	SECHOLDERADDITIONALINFO	ALWAYSCOMPLIANT	NUMBERMONTHSNOTCOMPLIANT	NUMBERNOTICENONCOMPLIANCEFILED	TOTAL	TOTALOTHERTHANRECEIPTORDERDATE	NUMLOSTACCTSREMITTEDTOSTATES
0000019617-16-001021	31-DEC-2013	JP Morgan Chase Bank, National Association	SOME	Y	OCC	Yes, filed amendment(s)		580	8096	8096	0	0	0			Yes			7466	0	0
0000740583-16-000458	31-DEC-2015	se2, LLC	NONE	Y	SEC	Yes, filed amendment(s)		112155	774934	0	0	0	0			Not Applicable			0	0	81
0000838041-16-000003	31-DEC-2014	HOMETOWN BANK, N.A.	NONE	N	OCC	Not applicable		64	515	515	0	0									1
0001227021-16-000019	31-DEC-2015	Brown Brothers Harriman & Co.	NONE	N	SEC	Yes, filed amendment(s)		290	9801	9801	661	164	0			Yes			9317	135	0
0001372934-16-000004	31-DEC-2015	Kingsdale Partners LP	NONE	N	SEC	Not applicable		0	0	0	0	0									0
0000878605-16-000008	31-DEC-2015	Wilson Bank & Trust Company	NONE	N	FDIC	Not applicable		440	3734	2516	1	0	0			Yes			0	0	0
0001347211-16-000016	31-DEC-2015	Bay City Transfer Agency & Registrar Inc.	NONE	N	SEC	Not applicable		101	4009	4009	0	0	0			Yes			101	0	0
0001548233-16-000006	31-DEC-2015	Gulf Registrar and Transfer Corporation	NONE	N	SEC	Not applicable		1	617	0	0	0									0
0001144204-16-095262	31-DEC-2015	Johnson Financial, Inc.	NONE	N	SEC	Not applicable		2300	3548	10332	10310	10332	0			Yes			27478	0	0
0000882734-16-000008	31-DEC-2015	Olde Monmouth Stock Transfer Co., Inc.	NONE	N	SEC	Not applicable		4199	119902	119902	0	0	0			Yes			0	0	0
0001548847-16-000015	31-DEC-2015	CACEIS (USA) Inc.	SOME	N	SEC	Yes, filed amendment(s)		364	1626	1626	0	0	0			Yes			0	0	0
0001455353-16-000005	31-DEC-2015	West Coast Stock Transfer Inc.	SOME	N	SEC	Yes, filed amendment(s)		740	6308	6308	0	0	0			Yes			0	0	0
0001359797-16-000004	31-DEC-2015	MKPI Services	NONE	N	SEC	Not applicable		0	1	1	0	1									0
0000842517-16-000243	31-DEC-2015	Isabella Bank Corporation	NONE	N	BGFRS	Not applicable		12950	3044	3044	2417	0	0			Yes			0	0	0
0001550840-16-000006	31-DEC-2015	CACEIS (Canada) Limited	NONE	Y	SEC	Yes, filed amendment(s)		364	1626	1626	0	0	0			Yes			0	0	0
0000818238-16-000003	31-DEC-2015	Commonwealth Fund Services, Inc.	NONE	N	SEC	Not applicable		16716	13423	13423	11815	13406	0			Yes			47821	318	15
0001410578-16-000767	31-DEC-2015	ESHARES INC	NONE	N	SEC	Not applicable		471	27189	27189	0	0	0			Not Applicable			0	0	0
0001114874-16-000002	31-DEC-2015	DSI Properties, Inc.	NONE	N	SEC	Not applicable		114	0	586	0	0									13
0000839097-16-000004	31-DEC-2015	Deutsche Bank Trust Company Americas	SOME	Y	BGFRS	Not applicable		0	37024	37024	0	0	0			Yes			0	0	125
0001018490-16-000035	31-DEC-2015	DB Services Americas, Inc.	NONE	Y	SEC	Yes, filed amendment(s)		1649	37023	37023	0	0	0			Yes			0	0	0
0001133796-16-000226	31-DEC-2015	First American Stock Transfer, Inc.	SOME	Y	SEC	Not applicable		1504	19529	19529	0	723	0			Yes			0	0	17
0000839287-16-000008	31-DEC-2015	State Street Bank and Trust Company	SOME	Y	BGFRS	Yes, filed amendment(s)		198	227063	223417	1498	0	0			Yes			1397218	3151	0
