ACCESSION_NUMBER	REGULATORYAGENCY	ENTITYNAME	PREVIOUSENTITYNAME	FINSNUMBER	DIFFERENTMAILINGADDRESS	TELEPHONENUMBER	CONDUCTBUSINESSINOTHERLOCATION	SELFTRANSFERAGENT	ENGAGEDSERVICECOMPANY	ENGAGEDASSERVICECOMPANY	REGISTRANTTYPE	REGISTRANTTYPEDESCRIPTION	OTHERCONTROLMANAGEMENT	OTHERCONTROLFINANCE	FELONYORMISDEMEANOR	OTHERFELONY	ENJOINEDINVESTRELATEDACTIVITY	VIOLATIONINVRELATEDREGULATION	FALSESTATEMENTOROMISSION	VIOLATIONOFREGULATIONS	AUTHORIZATIONDENIEDORSUSPENDED	REGISTRATIONDENIEDORSUSPENDED	FSRFALSESTATEMENTOROMISSION	FSRVIOLATEINVRELATEDREGULATION	FSRAUTHORIZEDENIEDORSUSPENDED	FSRFOUNDORDERAGAINSTAPPLICANT	FSRREGISTRATIONDENIEDSUSPENDED	FSRREVOKEDSUSPENDEDLICENSE	SRAFALSESTATEMENTOROMISSION	SRAVIOLATIONOFRULES	SRAAUTHORIZEDENIEDORSUSPENDED	SRAREVOKEDSUSPENDEDLICENSE	FOREIGNAGENCY	SUBJECTOFPROCEEDINGS	REVOKEDBOND	UNSATISFIEDJUDGEMENTSORLIENS
0001133702-09-000009	SEC	National Financial Services LLC		061671	Y	(617) 563-6986	Y	Y	N	Y	Corporation		N	N	N	N	N	N	Y	Y	N	N	N	Y	N	N	N	N	N	Y	N	N	N	N	N	N
0000862124-09-000006	SEC	Fidelity Investments Institutional Operations Company, Inc.		428219	Y	(508) 787-7000	Y	Y	Y	Y	Corporation		N	N	N	N	N	N	Y	Y	N	N	N	Y	N	N	N	N	N	Y	N	N	N	Y	N	N
0001181839-09-000014	SEC	BMC GROUP INC.		261610	N	206-499-2169	Y	Y	N	N	Corporation		N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
0001277690-09-000005	SEC	CIBC Mellon Trust Company		283580	N	416-643-5000	Y	N	Y	N	Corporation		N	N	N	N	Y	Y	Y	Y	Y	Y	N	Y	N	Y	Y	N	Y	Y	N	N	Y	N	N	N
0001181839-09-000012	SEC	BMC GROUP INC.		261610	N	206-499-2169	Y	Y	N	N	Corporation		N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
0000949738-09-000008	SEC	Quantitative Investment Advisors, Inc./TA		820381	N	781-259-1144	N	Y	N	N	Corporation		N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
0000889231-09-000014	SEC	Reich & Tang Services, Inc.		032847	N	212-830-5200	N	N	N	N	Corporation		N	N	N	N	N	Y	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	Y	N	N	N
0000772037-09-000007	SEC	Columbia Management Services, Inc.		027748	Y	(617) 772-3348	Y	N	Y	N	Corporation		N	N	N	N	Y	Y	Y	Y	N	Y	Y	Y	N	Y	Y	N	Y	Y	N	N	Y	Y	N	N
0001079974-09-000444	SEC	X-Clearing Corporation		099952	N	303-573-1000	N	N	Y	N	Corporation		N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
0001285911-09-000003	SEC	Dreyfus Transfer, Inc.		482448	Y	212-922-6840	Y	N	Y	N	Corporation		N	N	N	N	Y	N	Y	Y	Y	Y	N	Y	N	Y	Y	N	Y	Y	N	N	N	N	N	N
0000818238-09-000006	SEC	Commonwealth Fund Services, Inc.	Fund Services, Inc	410068	N	804-323-3642	N	N	N	N	Corporation		N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
0000818238-09-000005	SEC	Commonwealth Fund Services, Inc.	Fund Services, Inc	410068	N	804-323-3642	N	N	N	N	Corporation		N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
0000773568-09-000007	SEC	EQUITRUST INVESTMENT MANAGEMENT SERVICES, INC		028480	N	515-225-5400	N	Y	N	N	Corporation		Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
0000842657-09-000013	SEC	DWS Investments Service Company		417949	Y	212-454-8758	N	Y	Y	N	Corporation		N	N	Y	N	Y	Y	Y	Y	N	Y	Y	Y	N	Y	N	N	Y	Y	N	Y	Y	Y	N	N
0000818238-09-000004	SEC	Commonwealth Fund Services, Inc.	Fund Services, Inc	410068	N	804-323-3642	N	N	N	N	Corporation		N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
0000067590-09-000274	SEC	Prudential Mutual Fund Services LLC		410019	N	973-367-2396	Y	Y	Y	N	Not Applicable		N	N	N	N	Y	N	Y	Y	N	N	Y	Y	N	Y	N	N	N	N	N	N	N	N	N	N
0001018490-09-000008	SEC	DB Services Tennessee, Inc.		955203	N	(615) 835-3100	N	N	N	Y	Corporation		Y	Y	Y	N	Y	Y	Y	Y	N	Y	Y	Y	N	Y	N	N	Y	Y	N	N	Y	Y	N	N
0001465533-09-000001	SEC	CSC Trust Company of Delaware		340349	N	800-927-9801	N	N	N	N	Corporation		Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
0001285911-09-000002	SEC	Dreyfus Transfer, Inc.		482448	Y	212-922-6840	Y	N	Y	N	Corporation		N	N	N	N	Y	N	Y	Y	Y	Y	N	Y	N	Y	Y	N	N	Y	N	N	N	N	N	N
0001352392-09-000106	SEC	PacWest Transfer, LLC		267518	N	702-270-9646	N	N	Y	N	Other	Limited Liability Company	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
0001007444-09-000012	SEC	LPL Financial Corporation		008698	N	858-450-9606	N	N	N	N	Corporation		Y	N	N	N	N	N	Y	Y	N	Y	N	Y	N	Y	N	N	N	Y	N	N	N	Y	Y	N
0001073944-09-000003	SEC	UMB Fund Services, Inc.		852947	N	414-299-2000	N	N	N	Y	Corporation		N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
0001419454-09-000005	SEC	Fidelity Business Services India Private Limited		334318	Y	(617) 563-7949	Y	Y	N	Y	Corporation		Y	Y	N	N	N	N	Y	Y	N	N	N	Y	N	N	N	N	N	Y	N	N	Y	N	N	N
0001413398-09-000011	SEC	Morgan Stanley Services Co. Inc.		334474	Y	201-830-6135	Y	N	Y	N	Corporation		Y	N	N	N	Y	Y	Y	Y	Y	Y	N	Y	N	Y	N	N	N	Y	N	Y	N	Y	N	N
0000828403-09-000014	SEC	Van Kampen Investor Services Inc/TA		410936	Y	201-830-6135	Y	N	Y	Y	Corporation		Y	N	N	N	Y	Y	Y	Y	Y	Y	N	Y	N	Y	N	N	N	Y	N	Y	N	Y	N	N
0000772037-09-000006	SEC	Columbia Management Services, Inc.		027748	Y	(617) 772-3348	Y	N	Y	N	Corporation		N	N	N	N	Y	Y	Y	Y	N	Y	Y	Y	N	Y	Y	N	Y	Y	N	N	Y	Y	N	N
0001007189-09-000007	SEC	Kenmar Preferred Investments Corp.	Preferred Investment Solutions Corp.	489674	N	914.307.7000	N	Y	N	N	Corporation		N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
0000715856-09-000003	SEC	National Stock Transfer, Inc.		406405	N	801-485-7978	N	N	N	N	Corporation		N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
0001462985-09-000001	SEC	The Business Advocate, Inc.		340315	Y	7404553266	N	N	N	N	Corporation		N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
0001408996-09-000003	SEC	Quicksilver Stock Transfer		334193	N	702-629-1883	N	N	N	N	Not Applicable		N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
0000948010-09-000008	SEC	ISTC CORPORATION		275958	Y	864-239-1029	N	N	Y	N	Corporation		N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
0000948010-09-000007	SEC	ISTC CORPORATION		275958	Y	864-239-1029	N	N	Y	N	Corporation		N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
0001140361-09-010546	SEC	Signal Stock Transfer, Inc.		340117	N	702-818-1028	N	N	N	N	Corporation		N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
0000905148-09-001792	SEC	Altegris Portfolio Management, Inc. (d/b/a APM Funds)		340216	N	303-674-1328	Y	Y	N	N	Not Applicable		Y	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	Y	N	Y	N	N	N	N
0000810417-09-000044	SEC	Edward D. Jones & Co., L.P., dba Edward Jones		000570	Y	314-515-1855	N	Y	N	Y	Other	Limited Partnership	N	N	N	N	N	Y	Y	Y	N	Y	Y	Y	N	Y	Y	N	Y	Y	N	N	N	Y	N	N
0000821007-09-000010	SEC	Evergreen Service Company, LLC		410399	N	617 210-3200	N	Y	Y	N	Other	Limited Liability Company	N	N	N	N	Y	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N
0001104659-09-025387	SEC	Double Rock Corporation	Reserve Management Corporation	511543	N	1 800 637 1700	N	Y	N	N	Corporation		N	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N
