ACCESSION_NUMBER	ACTION_TYPE	ACTION_ID	ENTITYNAME	ACTIONTITLE	ACTIONDATE	COURTORBODYNAMEANDLOCATION	ACTIONDESCRIPTION	DISPOSITIONOFPROCEEDING
0001559963-17-000013	violationOfRegulations	6	The Bank of New York Mellon (the Bank)	SEC Administrative Preceding File No. 3-17268	13-JUN-2016	"The Securities and Exchange Commission (the ""SEC"")"	See 10(c)(1)(v) above.	See 10(c)(1)(vi) above.
0001559963-17-000013	violationOfRegulations	7	The Bank of New York Mellon Corporation (BNY Mellon)	SEC Release No. 34-79777;Administrative file no.3-17768	12-JAN-2017	"The Securities and Exchange Commission (the ""SEC"")"	The SEC Staff alleged violations of Sections 13(b)(2)(A) & (B) of the Securities Exchange Act of 1934 for books and records and internal regulatory accounting control deficiencies in connection with the calculation of risk-based regulatory capital ratios presented	A civil money penalty in the amount of $6,600,000 was ordered to be paid by BNY Mellon. BNY Mellon will effect payment on a date TBD.
0001559963-17-000013	violationOfRegulations	4	CIBC Mellon Trust Company	U.S. Securities and Exchange Commission v. CIBC Mellon Trust Company	14-JAN-2005	See 10(b)(1) above	See 10(b)(1) above	See 10(b)(1) above
0001559963-17-000013	violationOfRegulations	3	The Bank of New York Mellon	SEC Admin. Proceeding File No. 3-12526	09-JAN-2007	U.S. Securities and Exchange Commission	"The SEC alleged that from at least January 1, 2003 through June 30, 2004, in connection with certain auctions, The Bank of New York Mellon (formerly, The Bank of New York) (""BNY"") accepted initial or revised bids after submission deadlines and allowed broker-dealers to intervene in auctions. In certain instances, this conduct also affected the rate paid on the auction rate securities. As a result, BNY caused violations of section 17(a)(2) of the Securities Act. BNY was required to make certain disclosures regarding its material auction practices and procedures; and not later than 6 months after the date of this order, unless otherwise extended by the Staff of the Commission for good cause shown, have its CEO or General Counsel certify in writing to the Staff of the Commission that BNY has implemented procedures. In addition, BNY paid a monetary settlement in the amount of $750,000."	See 10(c)(2)(v) above
0001559963-17-000013	violationOfRegulations	2	The Bank of New York Mellon	SEC Admin. Proceeding File No. 3-12269	24-APR-2006	U.S. Securities and Exchange Commission	"The SEC alleged that The Bank of New York Mellon (formerly, The Bank of New York) (""BNY"") failed as a transfer agent to exercise reasonable care to ascertain the correct addresses of lost security holders and escheated assets belonging to those security holders to various"	See 10(c)(2)(v) above
0001559963-17-000013	violationOfRegulations	1	One or more controlled affiliates - See attached file for Question 10 Data	See attached file for Question 10 Data	17-DEC-2007	See attached file for Question 10 Data	See attached file for Question 10 Data	See attached file for Question 10 Data
0001559963-17-000013	sraViolationOfRules	1	One or more control affiliates - see attached file for Question 10 Data	See attached file for Question 10 Data	17-DEC-2007	See attached file for Question 10 Data	See attached file for Question 10 Data	See attached file for Question 10 Data
0001559963-17-000013	sraRevokedSuspendedLicense	1	One or more control affiliates - see attached file for Question 10 Data	See attached file for Question 10 Data	29-JAN-2004	See attached file for Question 10 Data	See attached file for Question 10 Data	See attached file for Question 10 Data
0001559963-17-000013	sraFalseStatementOrOmission	1	One or more control affiliates - see attached file for Question 10 Data	See attached file for Question 10 Data	14-APR-2009	See attached file for Question 10 Data	See attached file for Question 10 Data	See attached file for Question 10 Data
0001559963-17-000013	registrationDeniedOrSuspended	4	The Bank of New York Mellon (the Bank)	SEC Administrative Preceding File No. 3-17268	13-JUN-2016	"The Securities and Exchange Commission (the ""SEC"")"	See 10(c)(1)(v) above.	See 10(c)(1)(vi) above.
0001559963-17-000013	registrationDeniedOrSuspended	3	The Bank of New York Mellon	SEC Admin. Proceeding File No. 3-12269	24-APR-2006	U.S. Securities and Exchange Commission	See 10(c)(2) above	See 10(c)(2) above
0001559963-17-000013	registrationDeniedOrSuspended	2	The Bank of New York Mellon	Sec Admin. Proceeding File No. 3-12526	09-JAN-2007	U.S. Securities and Exchange Commission	See 10(c)(2) above	See 10(c)(2) above
0001559963-17-000013	registrationDeniedOrSuspended	1	One or more control affiliates - see attached file for Question 10 Data	See attached file for Question 10 Data	17-DEC-2007	See attached file for Question 10 Data	See attached file for Question 10 Data	See attached file for Question 10 Data
