ACCESSION_NUMBER	ACTION_TYPE	ACTION_ID	ENTITYNAME	ACTIONTITLE	ACTIONDATE	COURTORBODYNAMEANDLOCATION	ACTIONDESCRIPTION	DISPOSITIONOFPROCEEDING
0001520138-19-000205	sraRevokedSuspendedLicense	1	Erik Sterling Nelson	Please see exhibit A	02-JUN-1995	National Association of Securities Dealers	Please see exhibit A	Letter of Acceptance, Waiver & Consent
0001520138-19-000205	violationOfRegulations	1	Mountain Share Transfer, LLC. and Erik Sterling Nelson	In the Matter of Mountain Share Transfer, LLC and Erik Sterling ..	06-FEB-2015	Securities and Exchange Commission	Administrative Proceeding (file no. 3-16378, 34 Act Rel. no. 74226) alleging a failure to comply with various transfer agent registration, record-keeping and related provisions of the Securities Exchange Act of 1934 (in section 17 of the Exchange Act) and certain Rules promulgated thereunder (in Rules 17A and 17f-2). Please refer to the order instituting the administrative proceeding for a detailed description at https://www.sec.gov/litigation/admin/2015/34-74226.pdf).	Without admitting or denying the allegations, Mountain Share and Erik Nelson settled the Administrative Proceeding (34 Act Rel. 74226), complied timely and fully with all undertakings set forth in the Order, and paid a $10,000 civil penalty
0001520138-19-000205	sraViolationOfRules	1	Erik Sterling Nelson	Please see exhibit A	02-JUN-1995	National Association of Securities Dealers	Please see exhibit A	Letter of Acceptance, Waiver & Consent
0000842657-19-000006	sraViolationOfRules	144	Deutsche Bank Securities Inc. (DBSI), a Control Affiliate of the Registrant	PHLX Enforcement No. 2017-08; FINRA No. 20130393135-07 [Incl. 20140417491 AND 20	27-JUL-2017	NASDAQ PHLX LLC	The Registrant has not been the subject of this matter: Date Initiated: 7/27/2017. A. 20140417491: The findings stated that the Firm failed to establish, document, and maintain a system of risk management controls and supervisory procedures reasonably designed to manage the regulatory risks in connection with its Direct Market Access (DMA) business because the Firm failed to include a customer's DMA trading activity in its post-trade market abuse surveillance between March 1, 2014 and April 30, 2014, and, in doing so, failed to detect potential layering activity by this customer. B. 20140435497: The findings state that the Firm discovered and self-reported to FINRA that due to an error during a change in the Firm's internal systems, certain post-trade market abuse surveillance was not run on the firm's customer equity DMA business when utilizing two separate systems. The findings indicated that in transitioning to one system (a customer DMA platform with smart order routing), the firm failed to feed its DMA order data into the surveillance models. With only executed trades considered by the Firm's post-trade surveillance, potential manipulative order activity was not captured as part of the Firm's obligation to monitor for manipulation, fraud, and other illegal activity. The findings stated that the gap in post-trade market abuse surveillance occurred from July 1, 2012 through November 30, 2014 on one system, and from July 1, 2013, through December 31, 2014 on another. Without admitting or denying the allegations, Deutsche Bank Securities Inc. consented to the imposition of a censure and a fine in the amount of $225,000.00. Monetary fine of $225,000.00. The fine will be paid.	Without admitting or denying the allegations, Deutsche Bank Securities Inc. consented to the imposition of a censure and a fine in the amount of $225,000.00.
0000842657-19-000006	sraViolationOfRules	145	Deutsche Bank Securities Inc. (DBSI), a Control Affiliate of the Registrant	20130393135-05 [Incl. 20130393135, 20140417491, and 20140435497]	27-JUL-2017	NASDAQ Stock Market LLC	The Registrant has not been the subject of this matter: Date Initiated: 7/27/2017. A. 20130393135: The findings stated that the Firm failed to establish, document, and maintain a system of risk management controls and supervisory procedures reasonably designed to manage the regulatory risks in connection with market access on December 23, 2014. The findings indicated that the Firm failed to have adequate controls in place to prevent the transmission of erroneous orders, because (i) its limit order controls did not take into consideration wide spreads that are quoted at the market open and are not an accurate representation of the trading price of a security; (ii) its controls failed to prevent the entry of a large pre-open market order that resulted in the execution of orders far away from the normal trading price of the security; and (iii) the Firm used an incorrect process to adjudicate a transaction. Specifically, the findings stated that on December 3, 2013, the Firm sent a clearly erroneous filing to NASDAQ in PTC, Inc. When it entered an order at 9:30:00, which resulted in a 100-share execution at $2.21 when the previous close on that stock was $32.58 and the NASDAQ official opening print at that time, but after the Firm's trade, was $32.43. The findings state further that on December 23, 2014, trades occurred between 9:33:00 and 9:34:00, in which the Firm received an electronic buy order for 50,000 shares at market price, and the Firm's Smart Order Router sent high-priced limit orders to various exchanges. Finally, the findings stated that on December 3, 2014, the Firm sent a CE Filing to NASDAQ in market vectors gold miners ETF when trades occurred between 15:59:00 and 16:00:00 in which a 250,000-share sell market order fully executed at $17.72, but NASDAQ declined to act, advising that the CE Filing did not meet the parameters to justify breaking the trade. B. 20140417491: The findings stated that the Firm failed to establish, document, and maintain a system of risk management controls and supervisory procedures reasonably designed to manage the regulatory risks in connection with its Direct Market Access (DMA) business because the firm failed to include a customer's DMA trading activity in its post-trade market abuse surveillance between March 1, 2014 and April 30, 2014, and, in doing so, failed to detect potential layering activity by this customer. C. 20140435497: the findings state that the Firm discovered and self-reported to FINRA that due to an error during a change in the Firm's internal systems, certain post-trade market abuse surveillance was not run on the firm's customer equity DMA business when utilizing two separate systems. The findings indicated that in transitioning to one system (a customer DMA platform with Smart Order Routing), the Firm failed to feed its DMA order data into the surveillance models. With only executed trades considered by the Firm's post-trade surveillance, potential manipulative order activity was not captured as part of the Firm's obligation to monitor for manipulation, fraud, and other illegal activity. The findings stated that the gap in post-trade market abuse surveillance occurred from July 1, 2012 through November 30, 2014 on one system, and from July 1, 2013, through December 31, 2014 on another. Without admitting or denying the allegations, Deutsche Bank Securities Inc. consented to the imposition of a censure and a fine in the amount of $225,000.00. Monetary fine of $225,000.00. The fine will be paid.	Without admitting or denying the allegations, Deutsche Bank Securities Inc. consented to the imposition of a censure and a fine in the amount of $225,000.00.
0000842657-19-000006	sraViolationOfRules	146	Deutsche Bank Securities Inc. (DBSI), a Control Affiliate of the Registrant	20130393135-09 (Incl. 20130393135 and 20140435497)	19-MAY-2017	BATS BYX Exchange, Inc.	The Registrant has not been the subject of this matter: Date Initiated: 5/19/2017. A. 20130393135: The findings stated that the Firm failed to establish, document, and maintain a system of risk management controls and supervisory procedures reasonably designed to manage the regulatory risks in connection with market access on December 23, 2014. The findings indicated that the Firm failed to have adequate controls in place to prevent the transmission of erroneous orders, as its controls failed to prevent the entry of a large pre-open market order that resulted in the execution of orders far away from the normal trading price of the security, specifically, the findings stated that the Firm sent a clearly erroneous filing to NASDAQ in TARGA Resources Partners LP when trades occurred between 9:30:00 and 9:34:00, in which the Firm received an electronic buy order for 50,000 shares at market price, and the Firm's Smart Order Routers sent high-priced orders to various exchanges. B. 20140435497: The findings state that the Firm discovered and self-reported to FINRA that due to an error during a change in the Firm's internal systems, certain post-trade market abuse surveillance was not run on the firm's customer equity DMA business when utilizing two separate systems. The findings indicated that in transitioning to one system (a customer DMA platform with Smart Order Routing), the Firm failed to feed its DMA order data into the surveillance models. With only executed trades considered by the Firm's post-trade surveillance, potential manipulative order activity was not captured as part of the Firm's obligation to monitor for manipulation, fraud, and other illegal activity. The findings stated that the gap in post-trade market abuse surveillance occurred from July 1, 2012 through November 30, 2014 on one system, and from July 1, 2013, through December 31, 2014 on another. Without admitting or denying the allegations, Deutsche Bank Securities Inc. consented to the imposition of a censure and a fine in the amount of $168,750.00. Monetary fine of $168,750.00. The fine was paid on August 7, 2017.	Without admitting or denying the allegations, Deutsche Bank Securities Inc. consented to the imposition of a censure and a fine in the amount of $168,750.00.
0000842657-19-000006	sraViolationOfRules	147	Deutsche Bank Securities Inc. (DBSI), a Control Affiliate of the Registrant	2014040946501	21-AUG-2017	FINRA	The Registrant has not been the subject of this matter: Date Initiated: 8/21/2017. A. 2014040946501: A. 2014040946501: FINRA alleged that DBSI during the review period, from January 1, 2014 through March 31, 2014, which was later expanded to include the period of January 1, 2011 through June 30, 2014 failed to timely report to the FINRA/NASDQ trade reporting facility (TRF) by 8:00 p.m. Eastern Time transactions that required an .rx modifier. The findings stated that the firm's supervisory system did not provide for supervision reasonably designed to achieve compliance with respect to applicable securities laws and regulations, and FINRA rules, concerning the reporting of physically settled OTC options exercises to the TRF. Without admitting or denying the allegations, Deutsche Bank Securities Inc. agreed to a letter of Acceptance, Waiver and Consent (AWC) consenting to a censure and a fine in the amount of $32,500.00. The fine was paid on September 1, 2017.	Without admitting or denying the allegations, Deutsche Bank Securities Inc. agreed to a letter of Acceptance, Waiver and Consent (AWC) consenting to a censure and a fine in the amount of $32,500.00. The fine was paid on September 1, 2017.
0000842657-19-000006	sraViolationOfRules	148	Deutsche Bank Securities Inc. (DBSI), a Control Affiliate of the Registrant	File no. CFE 17-0005	07-SEP-2017	"CBOE Futures Exchange, LLC (""CFE"")"	"The Registrant has not been the subject of this matter: Date Initiated: 9/7/2017. File no. CFE 17-0005 CBOE Futures Exchange, LLC (""CFE"") alleges that from September 2012 through December 2012, DBSI violated CFE Rule 403(c) and 502, in that DBSI failed to maintain front-end audit trail information for all electronic orders into the CBOE system and to keep all books and records required by rules of the exchange. DBSI neither admitted nor denied the rule violation upon which the penalty is based. The fine of $20,000.00 was paid on September 15, 2017. DBSI consented to a fine of $20,000.00. The fine was paid on September 15, 2017."	DBSI neither admitted nor denied the rule violation upon which the penalty is based. The fine of $20,000.00 was paid on September 15, 2017.
0000842657-19-000006	sraViolationOfRules	149	Deutsche Bank Securities Inc. (DBSI), a Control Affiliate of the Registrant	Docket/Case number: 2015044324901	13-DEC-2017	FINRA	The Registrant has not been the subject of this matter: Date Initiated: 12/13/2017. Docket/Case number: 2015044324901. The FINRA AWC alleges that, during the period from October 1, 2014 through December 31, 2016, DBSI inadequately supervised its compliance with trace reporting requirements, and that in nineteen separate matters during the same period DBSI had failed to comply with trace reporting requirements by failing to timely or accurately report, or by failing to report, certain transactions in eligible securities. Without admitting or denying the allegations, DBSI agreed to an AWC accepting and consenting to a censure and fine of $1,100,000.00. The fine was paid on December 15, 2017.	Without admitting or denying the allegations, DBSI agreed to an AWC accepting and consenting to a censure and fine of $1,100,000.00. The fine was paid on December 15, 2017.
0000842657-19-000006	sraViolationOfRules	151	Deutsche Bank Securities Inc. (DBSI), a Control Affiliate of the Registrant	File No. 18-0002 (Star No. 20150443242)	13-FEB-2018	"CHICAGO BOARD OF OPTIONS EXCHANGE (""CBOE"")"	The Registrant has not been the subject of this matter: Date Initiated: 02/13/2018. Docket/Case number: File No. 18-0002 (Star No. 20150443242). On February 13, 2018, CBOE found that Deutsche Bank Securities Inc. violated: (i) exchange act rule 17a-3 and CBOE Exchange rules 4.2 and 15.1 by failing to show the time of order transmission on 51,000 memoranda of its brokerage orders; and (ii) CBOE Exchange rule 4.24 by failing to implement a supervisory system reasonably designed to ensure compliance with applicable federal securities laws and regulations, and the rules of the exchange, relating to creating and maintaining accurate and complete books and records. This settlement was one of a set of four related settlements in which, without admitting or denying the allegations, Deutsche Bank Securities Inc. agreed to pay a total fine of $315,000, of which $142,000 was paid to Chicago Board Options Exchange, and the remaining amounts were paid to NYSE ARCA, NASDAQ PHLX LLC, and NYSE AMERICAN LLC.	See above
0000842657-19-000006	sraViolationOfRules	152	Deutsche Bank Securities Inc. (DBSI), a Control Affiliate of the Registrant	No. 20150443242-03	13-FEB-2018	NASDAQ PHLX LLC	The Registrant has not been the subject of this matter: Date Initiated: 02/13/2018. Docket/Case number: 20150443242-03. On February 13, 2018, NASDAQ PHLX found that Deutsche Bank Securities Inc. violated: (i) Exchange Act Rule 17a-3 and PHLX Rule 760 by failing to show the time of order transmission on certain memoranda of its brokerage orders; and (ii) PHLX Rule 748 by failing to implement a supervisory system reasonably designed to ensure compliance with applicable federal securities laws and regulations, and the rules of the exchange, relating to creating and maintaining accurate and complete books and records. This settlement was one of a set of four related settlements in which, without admitting or denying the allegations, Deutsche Bank Securities Inc. agreed to pay a total fine of $315,000, of which $74,000 was paid to NASDAQ PHLX LLC, and the remaining amounts were paid to, NYSE AMERICAN LLC, NYSE ARCA, Inc. and Chicago Board Options Exchange. The firm was fined $74,000.00. The fine was paid to NASDAQ PHLX LLC via Deutsche Bank Securities Inc. February invoice.	See above
0000842657-19-000006	sraViolationOfRules	156	Deutsche Bank Securities Inc. (DBSI), a Control Affiliate of the Registrant	Docket/Case number: 20130379938-05	01-MAY-2018	"CBOE EDGX EXCHANGE, INC. (""EDGX"")"	The Registrant has not been the subject of this matter: Date Initiated: 05/01/2018. Docket/Case number: 20130379938-05. EDGX alleged that as the result of various proprietary system flaws and deficiencies, the firm on numerous occasions routed ISOS through protected quotations. On May 1, 2018, DBSI, without admitting or denying the findings or conclusions therein, entered into a settlement with EDGX, FINRA and four other exchanges. EDGX, FINRA and the four other exchanges all approved the settlement as of May 1, 2018. under the terms of the settlement, DBSI agreed to pay a total fine of $475,000, which is in the process of being paid, to accept a censure, and to comply with undertakings regarding improving its written supervisory procedures and correcting a system issue.	See above
0000842657-19-000006	sraViolationOfRules	153	Deutsche Bank Securities Inc. (DBSI), a Control Affiliate of the Registrant	No. 20150443242-02	12-FEB-2018	NYSE AMERICAN LLC	The Registrant has not been the subject of this matter: Date Initiated: 02/12/2018. Docket/Case number: 20150443242-02. On February 12, 2018, NYSE AMERICAN found that Deutsche Bank Securities Inc. violated: (i) exchange act rule 17a-3 and NYSE AMERICAN Rule 956.ny by failing to show the time of order transmission on an estimated 7,650 memoranda of its brokerage orders; and (ii) NYSE AMERICAN Rule 320 by failing to implement a supervisory system reasonably designed to ensure compliance with applicable federal securities laws and regulations, and the rules of the exchange, relating to creating and maintaining accurate and complete books and records. This settlement was one of a set of four related settlements in which Deutsche Bank Securities Inc. agreed to pay a total fine of $315,000, of which $65,500 was paid to NYSE AMERICAN LLC, and the remaining amounts were paid to NASDAQ PHLX LLC, NYSE ARCA, Inc., and Chicago Board Options Exchange. The firm was fined $65,500.00. The fine was paid to NYSE AMERICAN LLC on February 20, 2018.	See above
0000842657-19-000006	sraViolationOfRules	154	Deutsche Bank Securities Inc. (DBSI), a Control Affiliate of the Registrant	Docket/Case number: 20130379938-01	01-MAY-2018	"FINANCIAL INDUSTRY REGULATORY AUTHORITY (""FINRA"")"	The registrant has not been the subject of this matter: Date initiated: 05/01/2018. Docket/Case number: 20130379938-01. FINRA alleged that as the result of various proprietary system flaws and deficiencies, the firm on numerous occasions routed ISOS through protected quotations. Limitations in the firm's systems also led to time stamps on orders being improperly recorded. Lastly, on several occasions the firm failed to report transactions as trade-through exempt, and the firm failed to comply with sec rule 602 and had deficient procedures with respect to that rule. On May 1, 2018, DBSI, without admitting or denying the findings or conclusions therein, entered into a settlement with FINRA and five exchanges. FINRA and the five exchanges all approved the settlement as of May 1, 2018. Under the terms of the settlement, DBSI agreed to pay a total fine of $475,000, of which $100,000 is payable to FINRA, which is in the process of being paid, to accept a censure, and to comply with undertakings regarding improving its written supervisory procedures and correcting a system issue.	See above
0000842657-19-000006	sraViolationOfRules	155	Deutsche Bank Securities Inc. (DBSI), a Control Affiliate of the Registrant	Docket/Case number: 20130379938-06	01-MAY-2018	"NYSE ARCA, INC. (""ARCA"")"	The registrant has not been the subject of this matter: Date Initiated: 04/27/2018. Docket/Case number: 20130379938-06. ARCA alleged that as the result of various proprietary system flaws and deficiencies, the firm on numerous occasions routed ISOS through protected quotations. On May 1, 2018, DBSI, without admitting or denying the findings or conclusions therein, entered into a settlement with ARCA, FINRA and four other exchanges. ARCA, FINRA and the four other exchanges all approved the settlement as of May 1, 2018. Under the terms of the settlement, DBSI agreed to pay a total fine of $475,000, of which $75,000 is payable to ARCA, which is in the process of being paid, to accept a censure, and to comply with undertakings regarding improving its written supervisory procedures and correcting a system issue.	See above
0000842657-19-000006	sraViolationOfRules	157	Deutsche Bank Securities Inc. (DBSI), a Control Affiliate of the Registrant	Docket/Case number: 20130379938-02	01-MAY-2018	"CBOE BZX EXCHANGE, INC. (""BZX"")"	The Registrant has not been the subject of this matter: Date Initiated: 05/01/2018. Docket/Case number: 20130379938-02. BZX alleged that as the result of various proprietary system flaws and deficiencies, the firm on numerous occasions routed ISOS through protected quotations. On May 1, 2018, DBSI, without admitting or denying the findings or conclusions therein, entered into a settlement with BZX, FINRA and four other exchanges. BZX, FINRA and the four other exchanges all approved the settlement as of May 1, 2018. Under the terms of the settlement, DBSI agreed to pay a total fine of $475,000, of which $75,000 is payable to BZX, which is in the process of being paid, to accept a censure, and to comply with undertakings regarding improving its written supervisory procedures and correcting a system issue.	See above
0000842657-19-000006	sraViolationOfRules	158	Deutsche Bank Securities Inc. (DBSI), a Control Affiliate of the Registrant	Docket/Case number: 20130379938-03	01-MAY-2018	"CBOE BYX EXCHANGE, INC. (""BYX"")"	The Registrant has not been the subject of this matter: Date Initiated: 05/01/2018. Docket/Case number: 20130379938-03. BYX alleged that as the result of various proprietary system flaws and deficiencies, the firm on numerous occasions routed ISOS through protected quotations. On May 1, 2018, DBSI, without admitting or denying the findings or conclusions therein, entered into a settlement with BYX, FINRA and four other exchanges. BYX, FINRA and the four other exchanges all approved the settlement as of May 1, 2018. Under the terms of the settlement, DBSI agreed to pay a total fine of $475,000, of which $75,000 is payable to BYX, which is in the process of being paid, to accept a censure, and to comply with undertakings regarding improving its written supervisory procedures and correcting a system issue.	See above
0000842657-19-000006	sraViolationOfRules	159	Deutsche Bank Securities Inc. (DBSI), a Control Affiliate of the Registrant	Docket/Case number: 20130379938-04	01-MAY-2018	"CBOE EDGA EXCHANGE, INC. (""EDGA"")"	The Registrant has not been the subject of this matter: Date Initiated: 05/01/2018. Docket/Case number: 20130379938-04. EDGA alleged that as the result of various proprietary system flaws and deficiencies, the firm on numerous occasions routed ISOS through protected quotations. On May 1, 2018, DBSI, without admitting or denying the findings or conclusions therein, entered into a settlement with EDGA, FINRA and four other exchanges. EDGA, FINRA and the four other exchanges all approved the settlement as of May 1, 2018. Under the terms of the settlement, DBSI agreed to pay a total fine of $475,000, of which $75,000 is payable to EDGA, which is in the process of being paid, to accept a censure, and to comply with undertakings regarding improving its written supervisory procedures and correcting a system issue.	See above
0000842657-19-000006	sraViolationOfRules	160	Deutsche Bank Securities Inc. (DBSI), a Control Affiliate of the Registrant	20140418941-01	27-JUN-2018	FINRA	FINRA alleged that, from the time period June 2006 to April 2017, the firm, due to systemic deficiencies, failed to have reasonable supervisory procedures in place that resulted numerous oats and equity trade reporting violations. FINRA also alleged that the firm violated municipal bond trading and other supervision requirements. The AWC included an undertaking to revise relevant firm SWPS by September 25, 2018, and an undertaking to provide additional corrective action report to FINRA by December 24, 2018. Without admitting or denying the allegations, DBSI agreed to an AWC accepting and consenting to a censure, undertaking and fine of $1,400,000.00. The fine was paid on July 9, 2018.	See above
0000842657-19-000006	sraViolationOfRules	161	Deutsche Bank Securities Inc. (DBSI), a Control Affiliate of the Registrant	2017-058-00037	17-SEP-2018	New York Stock Exchange LLC	"From October 1, 2015 to March 31, 2017, NYSE alleges that Deutsche Bank Securities Inc.(""DBSI"") violated NYSE Rule 3110(b)(4) by failing to establish and maintain reasonably designed procedures for the review of electronic communications because the lexicons used by DBSI as part of its review process were not reasonably designed."	"Pursuant to a letter of acceptance, waiver, and consent with the New York Stock Exchange LLC (""NYSE"") that became final on September 18, 2018, DBSI, without admitting or denying the findings, consented to a censure and $65,000 fine to resolve allegations"
0000842657-19-000006	sraViolationOfRules	162	Deutsche Bank AG (DBAG)	CME 17-0729	26-OCT-2018	Chicago Mercantile Exchange	The action was resolved by decision of CME business conduct committee dated October 24, 2018, which became effective on October 26, 2018. The decision accepted an offer of settlement from Deutsche Bank AG and directed Deutsche Bank AG to pay a fine of $75,000 on or before November 9, 2018. Without admitting or denying the allegations, Deutsche Bank AG paid the fine in full on November 6, 2018.	See above.
0000842657-19-000006	sraViolationOfRules	163	Deutsche Bank Securities Inc. (DBSI), a Control Affiliate of the Registrant	2016051138301	06-NOV-2018	NASDAQ Stock Exchange	Without admitting or denying the allegations, Deutsche Bank Securities Inc. (DBSI) consented to the sanctions and to the entry of findings that DBSI failed to maintain a continuous two-sided trading interest, during regular market hours, at prices within certain percentages away from the national best bid or offer (NBBO). The findings stated that these violations occurred from DBSI failing to properly submit a market maker peg order due to a manual process, and from internal system errors. The findings also stated that DBSI's supervisory system was not reasonably designed to achieve compliance with NASDAQ quoting obligations. Specifically, DBSI's written supervisory procedures (WSPS) failed to establish a procedure for review of the manual process that DBSI used to determine its daily quoting obligation.	"Without admitting or denying the allegations, Deutsche Bank Securities Inc. (""DBSI"") consented to the AWC and to pay a fine in the amount of $22,500.00"
0000842657-19-000006	subjectOfProceedings	1	Control Affiliates of the Registrant	Varies by jurisdiction	12-MAY-1999	Varies by jurisdiction	In the ordinary course of business, certain Control Affiliates of the Registrant are named as defendants in lawsuits or other proceedings in which allegations of violations of federal and/or state securities laws and regulations or in which allegations of violation of self-regulatory organization or commodity exchange rules are made.	Allegations are dismissed or are settled and separately reported.
0000842657-19-000006	subjectOfProceedings	2	Deutsche Bank Securities, Inc.'s (DBSI) , a Control Affiliate of the Registrant	Bourse Action	25-JAN-2019	"BOURSE DE MONTREAL INC. (""BOURSE"")"	"DURING THE PERIOD FROM OCTOBER 15, 2014 TO OCTOBER 15, 2017, DBSI WAS ALLEGED TO HAVE CONTRAVENED ARTICLES 6366 A, ""ACCESS TO ELECTRONIC TRADING,"" AND 7403, ""APPLICATION FOR APPROVAL,"" OF THE RULES OF THE BOURSE (THE ""RULES""), BY PROVIDING ACCESS TO FIFTEEN (15) OF ITS EMPLOYEES TO THE ELECTRONIC TRADING SYSTEM WITHOUT HAVING OBTAINED THE PRIOR APPROVAL OF THE BOURSE THEREOF. DBSI WAS ALSO ALLEGED TO HAVE CONTRAVENED ARTICLE 3011 OF THE RULES BY FAILING TO ESTABLISH AND MAINTAIN A SUPERVISORY SYSTEM REASONABLY DESIGNED TO ACHIEVE COMPLIANCE WITH THE RULES REQUIRING THAT ONLY DESIGNATED PERSONNEL APPROVED BY THE BOURSE RECEIVE ACCESS TO TRADE ELECTRONICALLY ON THE EXCHANGE. THESE ALLEGED VIOLATIONS HAVE RENDERED DBSI SUBJECT TO A DISCIPLINARY COMPLAINT."	Pending -- DBSI IS REVIEWING THE ALLEGATIONS AND IS IN DISCUSSIONS WITH THE BOURSE REGARDING THE COMPLAINT.
0000842657-19-000006	violationOfInvestmentRelatedRegulation	1	Deutsche Bank AG (DBAG), a Control Affiliate of the Registrant	Interest-Rate Swaps	22-MAR-2011	Civil Division of the Federal Court of Justice of Germany Karlsruhe, Germany	"The Registrant has not been the subject of this matter: Initiation date: 2/5/2010. The Civil Division of the Federal Court of Justice of Germany found that Deutsche Bank AG (""DBAG"") violated certain advisory duties in providing advice on entering into an interest rate swap agreement (CMS spread ladder swap contract) structured by the Bank but not disclosing a conflict of interest."	Monetary Fine: 541,000 euros plus interest (after deducting interest payments received).
0000842657-19-000006	violationOfRegulations	1	Deutsche Bank Securities Inc. (DBSI), a Control Affiliate of the Registrant	Occurrence 374988	25-FEB-1999	NASD	The Registrant has not been the subject of this matter: The NASD alleged failure to DBSI to establish written supervisory procedures reasonably designed to achieve compliance with the SEC Quote Rule (violation of NASD Conduct Rule 2110) and failure to enforce its (DBSI) written supervisory procedures relating to books and records (violation of NASD Conduct Rule 3010). The current status is: closed on February 25, 1999. A fine of $7,500.00 has been paid.	The current status is: closed on February 25, 1999. A fine of $7,500.00 has been paid.
0000842657-19-000006	violationOfRegulations	2	Deutsche Morgan Grenfell Inc. (DMGI), a Control Affiliate of the Registrant	SEC Unknown	16-JAN-1992	United States Securities and Exchange Commission	The Registrant has not been the subject of this matter: The SEC alleged violation of Rule 15c of the Securities and Exchange Act of 1934 and 17 C.F.R. Part 404 with respect to certain records relating to its distribution of certain unsecured debt securities of one or more Government Sponsored Enterprises by DMGI. The current status is: closed on January 16, 1992. Without admitting to or denying the allegations or findings, DMGI consented to the entry of an Order Making Findings and imposing Sanctions with respect to certain records relating to its distribution of certain unsecured debt securities of one or more Government Sponsored Enterprises.	Without admitting to or denying the allegations or findings, DMGI consented to the entry of an Order Making Findings and imposing Sanctions with respect to certain records relating to its distribution of certain unsecured debt securities.
0000842657-19-000006	violationOfRegulations	8	Deutsche Bank Trust Company Americas (DBTCA), a Control Affiliate of the Registrant	Docket/Case Number: 3-12526	09-JAN-2007	United States Securities and Exchange Commission	"The Registrant has not been the subject of this matter: Amended Filing Date: 01/09/2007. On January 9, 2007, Deutsche Bank Trust Company Americas (""DBTCA"") settled an administrative action with the SEC. The action alleged that between January 2003 and June 2004, DBTCA and two other firms each failed to conduct auctions for auction rate securities according to procedures set forth in issuers' and broker-dealers' disclosure documents. Specifically, all three firms allegedly accepted new or revised bids after the submission deadline and allowed broker-dealers to submit bids to prevent failed auctions. DBTCA and another firm also allegedly allowed bids to prevent all-hold auctions. The SEC alleged that by engaging in these practices, the firms caused violations of Section 17(A)(2) of the Securities Act of 1933. Without admitting or denying the SEC's allegations, DBTCA and the other firms consented to the entry of an order which (1) requires each firm to cease and desist from committing or causing any violations and future violations of section 17(A)(2) of the Securities Act; (2) requires each firm to provide certain disclosures of its material and current auction practices and procedures; and (3) requires each firm, not later than six months after the date of order, to have its CEO or General Counsel certify that it has implemented procedures in accordance with the auction procedures disclosed in the disclosure documents and any supplemental disclosures related to auction rate securities area. In addition, the firms have undertaken to make payments which are based upon their relative market share and their conduct. DBTCA's payment will be $750,000."	Without admitting or denying the SEC's allegations, DBTCA and the other firms consented to an order. In addition, the firms have undertaken to make payments which are based upon their relative market share and their conduct. DBTCA will pay $750,000.
0000842657-19-000006	violationOfRegulations	3	Deutsche Asset Management Inc. (DeAM Inc.), a Control Affiliate of the Registrant	Admin. Proceeding File No. 3-11226	19-AUG-2003	United States Securities and Exchange Commission.	"The Registrant has not been the subject of this matter: On August 19, 2003, the Securities and Exchange Commission (""SEC"") entered an administrative cease-and-desist order against Deutsche Asset Management Inc. (""DeAM Inc.""), an investment adviser under common control with Registrant. The administrative proceeding was titled In the Matter of Deutsche Asset Management, Inc., Admin. Proceeding File No. 3-11226. Under the terms of the Order, the SEC made findings, without admission or denial by DeAM Inc., that DeAM Inc. violated Section 206(2) of the Investment Advisers Act of 1940 (the ""Advisers Act"") for voting client proxies in connection with a contested merger without first disclosing the circumstances of its investment banking affiliate's work on the proposed merger and the fact that this affiliate had intervened in the voting process. Based on these findings, the Order censured DeAM Inc., required that DeAM Inc. cease and desist from committing violations of Section 206(2) of the Advisers Act, and required that DeAM Inc. pay a civil money penalty in the amount of $750,000. The civil money penalty was paid on August 22, 2003."	The SEC made findings, without admission or denial by DeAM Inc., censured DeAM Inc., required that DeAM Inc. cease and desist from committing certain violations and pay a civil money penalty in the amount of $750,000.
