ACCESSION_NUMBER	PERIODOFREPORT	ENTITYNAME	SERVICECOMPANY	REGISTRANTENGAGEDSERVICE	REGULATORYAGENCY	AMENDMENTFILED	ADDITIONALINFORMATION	NUMBERITEMSRECEIVEDFORTRANSFER	NUMMASTERSECURITYHOLDERFILINGS	NUMBERINDIVIDUALACCOUNTS	NUMDIVREINVDIRPURPLANACCOUNTS	NUMDIRECTREGISTSYSTEMACCOUNTS	NUMBERFILED	FILEALL	SECHOLDERADDITIONALINFO	ALWAYSCOMPLIANT	NUMBERMONTHSNOTCOMPLIANT	NUMBERNOTICENONCOMPLIANCEFILED	TOTAL	TOTALOTHERTHANRECEIPTORDERDATE	NUMLOSTACCTSREMITTEDTOSTATES
0001387131-12-000999	31-DEC-2011	Preferred Partnership Services, Inc. dba Investor Services	NONE	N	SEC	Yes, filed amendment(s)		1421	0	0	0	0	0			Not Applicable			0	0	0
0000950123-12-005524	31-DEC-2011	Pendleton Community Bank	NONE	N	FDIC	Not applicable		114	821	0	0	0									0
0000721748-12-000006	31-DEC-2011	Pacific Stock Transfer Company, Inc.	SOME	N	SEC	Yes, filed amendment(s)		8921	282542	282542	0	0	0			Yes			0	0	0
0001085284-12-000001	31-DEC-2011	Wichita National Life Insurance Company	NONE	N	SEC	Not applicable		26	532	532	0	0									0
0000773568-12-000004	31-DEC-2011	FBL INVESTMENT MANAGEMENT SERVICES, INC.	NONE	N	SEC	Yes, filed amendment(s)		12	18685	0	0	0	0			Yes			64005	1310	0
0000950123-12-005523	31-DEC-2011	Huntington Asset Services Inc.	SOME	N	SEC	Not applicable		31008	94033	94033	84264	84264	0			Yes			388566	7899	73
0000950123-12-005521	31-DEC-2011	Broadridge Corporate Issuer Solutions, Inc.	SOME	N	SEC	Yes, filed amendment(s)		11997	349079	349079	147379	79843	0			Yes			0	0	343
0001253179-12-000002	31-DEC-2011	Gemini Fund Services, LLC	SOME	N	SEC	Not applicable		64522	365514	365514	323934	365514	0			Yes			904731	9185	1
0001462774-12-000001	31-DEC-2011	Altegris Portfolio Management, Inc. (d/b/a Altegris Funds)	NONE	N	SEC	Not applicable		4831	10437	9369	0	0	0			Not Applicable			0	0	0
0001327356-12-000003	31-DEC-2011	Homeland Community Bank	NONE	N	FDIC	Not applicable		28	978	978	0	0									0
0001354488-12-001578	31-DEC-2011	Manhattan Transfer Registrar Company	NONE	N	SEC	Not applicable		1719	23735	23735	0	6	0			Yes			0	0	0
0001171520-12-000286	31-DEC-2011	BANK OF LOUISIANA	NONE	N	FDIC	Not applicable		40	1112	1112	0	0	0			Yes			8	0	0
0000950123-12-005516	31-DEC-2011	TNP TRANSFER AGENT, LLC	NONE	N	SEC	Not applicable		82	1904	1904	799	0	0			Yes			0	0	0
0000002380-12-000003	31-DEC-2011	Administrative Data Management Corp.	NONE	N	SEC	Not applicable		11436	497605	497605	484565	0	0			Yes			2296648	11797	286
0001434234-12-000002	31-DEC-2011	Globex Transfer, LLC	NONE	N	SEC	Not applicable		6227	22478	22478	0	0	0			Yes			0	0	0
0000088525-12-000176	31-DEC-2011	se2, Inc.	NONE	Y	SEC	Yes, filed amendment(s)		74503	703938	0	0	0	0			Not Applicable			0	0	964
0000005732-12-000001	31-DEC-2011	AMERICAN REGISTRAR & TRANSFER CO	NONE	N	SEC	Yes, filed amendment(s)		2067	126076	126076	0	0	0			Yes			0	0	0
0000882734-12-000003	31-DEC-2011	Olde Monmouth Stock Transfer Co., Inc.	NONE	Y	SEC	Not applicable		7344	101134	101134	0	0	0			Yes			0	0	0
0001214659-12-001434	31-DEC-2011	Ridgewood Companies TA, LLC	NONE	N	SEC	Not applicable		1243	0	0	0	0	0			Not Applicable			0	0	0
0000839287-12-000002	31-DEC-2011	State Street Bank and Trust Company	SOME	Y	BGFRS	Yes, filed amendment(s)		174	58146	58146	113	0	0			Yes			1427407	3867	10
0000950123-12-005510	31-DEC-2011	FREEDOM FUNDS MANAGEMENT COMPANY	NONE	N	SEC	Not applicable		339	10410	8384	7280	0	0			Yes			9231	15	0
0000927395-12-000004	31-DEC-2011	WNC & ASSOCIATES INC / TA	NONE	N	SEC	No, failed to file amendment(s)	Melanie Wenk was named CFO and Michael Gaber was named COO during a transition period for the employee responsible for TA-1 amendments.	192	17151	17151	0	0	0			Yes			0	0	0
0000950123-12-005507	31-DEC-2011	Apache Corporation	SOME	N	SEC	Not applicable		14	874	0	0	0									4
0001140361-12-018265	31-DEC-2011	Heritage Transfer Agency Inc.	NONE	N	SEC	Not applicable		900	35961	35961	0	0	0			Not Applicable			0	0	0
0001140361-12-018263	31-DEC-2010	Heritage Transfer Agency Inc.	NONE	N	SEC	Not applicable		796	33141	33141	0	0	0			Yes			0	0	0
0001295361-12-000001	31-DEC-2011	Capital Transfer Agency Inc	SOME	N	SEC	Not applicable		1953	12513	12513	0	1	0			Yes			0	0	0
0000710386-12-000002	31-DEC-2011	Western States Transfer & Registrar, Inc	NONE	N	SEC	Not applicable		298	12086	0	0	0	0			Yes			0	0	0
0001261763-12-000001	31-DEC-2011	Law Debenture Trust Company of New York	NONE	N	SEC	Yes, filed amendment(s)		68	135	135	0	0									0
0000769188-12-000002	31-DEC-2011	MFS Service Center, Inc.	SOME	N	SEC	Yes, filed amendment(s)		833887	2545982	2545982	2294718	0	0			Not Applicable			8215038	417600	360
0000911282-12-000004	31-DEC-2011	Phoenix Transfer, Inc	NONE	N	SEC	Not applicable		12668	195969	210389	62364	0	0			Not Applicable			0	0	235
0000857128-12-000012	31-DEC-2011	First Guaranty Bank/TA	NONE	N	FDIC	Not applicable		82	1407	1407	0	0	0			Yes			0	0	23
0000857128-12-000011	31-DEC-2010	First Guaranty Bank/TA	NONE	N	FDIC	Not applicable		60	1357	1357	0	0	0			Yes			0	0	5
0000838135-12-000004	31-DEC-2011	Branch Banking and Trust Company	NONE	N	FDIC	Not applicable		5762	144246	560	0	0	0			Yes			0	0	39
0001041134-12-000001	31-DEC-2011	EPIC Advisors, Inc	NONE	N	SEC	Not applicable		0	0	0	0	0									0
0000950123-12-005469	31-DEC-2011	Federal Deposit Insurance Corporation	NONE	N	FDIC	Not applicable		158	418	418	142	0									0
0001218371-12-000005	31-DEC-2011	Harford Bank	ALL	N	FDIC	Not applicable															
0001492746-12-000009	31-DEC-2011	NAV Consulting, Inc.	NONE	N	SEC	Yes, filed amendment(s)		3175	4462	3622	0	0	0			Not Applicable			0	0	0
0001104659-12-022657	31-DEC-2011	McCormick & Co., Inc	ALL	N	SEC	Not applicable															
0000913801-12-000002	31-DEC-2011	Advance Capital Grroup, Inc.	NONE	N	SEC	Not applicable		438	9928	9928	9880	9928	0			Yes			50870	28	0
0000839142-12-000002	31-DEC-2011	First Citizens Bank & Trust Company	NONE	N	FDIC	Not applicable		6598	44928	44952	514	202	0			Yes			0	0	117
0001352156-12-000002	31-DEC-2011	Sentinel Administrative Services, Inc.	SOME	Y	SEC	Yes, filed amendment(s)		988	233625	0	215648	0	0			Yes			159800	1594	71
0001145896-12-000002	31-DEC-2011	MVB Bank, Inc.	ALL	N	FDIC	Not applicable															
0001064418-12-000002	31-DEC-2011	Milliman, Inc.	NONE	Y	SEC	Yes, filed amendment(s)		0	0	0	0	0									0
0000733598-12-000002	31-DEC-2011	AllianceBernstein Investor Services, Inc.	NONE	N	SEC	Not applicable		76382	1104317	1104317	1071815	510590	0			Yes			8179433	150711	205
0000107034-12-000002	31-DEC-2011	Malkin Holdings LLC	NONE	N	SEC	Not applicable		731	0	13199	0	0									0
0001359599-12-000001	31-DEC-2011	European Fund Services S.A.	NONE	N	SEC	Not applicable		0	0	0	0	0									0
0001283467-12-000001	31-DEC-2011	Valiant Trust Company	SOME	N	SEC	Yes, filed amendment(s)		958	4229	4548	616	12	0			Yes			0	0	0
0000854729-12-000002	31-DEC-2011	UMB Bank, National Association	NONE	Y	OCC	Not applicable		282	28712	28712	0	0	0			Yes			0	0	14
0001455353-12-000001	31-DEC-2011	West Coast Stock Transfer Inc.	SOME	N	SEC	Not applicable		778	2404	2404	0	0	0			Yes			0	0	0
0000230234-12-000003	31-DEC-2011	First Tennessee Bank National Association	ALL	N	OCC	Not applicable															
0001146230-12-000004	31-DEC-2011	Computershare Inc.	SOME	Y	SEC	Not applicable		923457	13309445	13309633	4760456	6635975	0			Yes			0	0	126902
0001458661-12-000003	31-DEC-2011	Wilmington Trust Company	NONE	N	BGFRS	Not applicable		1665	17347	17347	0	0	0			Not Applicable			0	0	0
0000950123-12-005423	31-DEC-2011	Board of Governors of the Federal Reserve	NONE	N	BGFRS	Not applicable		219	26706	0	0	0	0			Yes			0	0	23
0001103598-12-000003	31-DEC-2011	NYLIM Service Company LLC	SOME	N	SEC	Not applicable		13218	0	0	0	0	0			Yes			203931	928	0
0000950123-12-005419	31-DEC-2011	Cardinal Bankshares Corporation	NONE	N	BGFRS	Not applicable		29	521	0	0	0									0
0000735286-12-000002	31-DEC-2011	The Vanguard Group, Inc.	NONE	N	SEC	Not applicable		1261060	16243242	16243242	15247093	0	0			Not Applicable			59423150	407031	2398
0001146277-12-000002	31-DEC-2011	The Colbent Corporation	NONE	Y	SEC	Not applicable		3755	0	115133	0	0	0			Not Applicable			0	0	0
0001204459-12-000651	31-DEC-2011	Canadian Stock Transfer Company Inc.	NONE	Y	SEC	Not applicable		102545	1312449	1511596	199147	396	0			Yes			0	0	0
0001004224-12-000001	31-DEC-2011	The Walt Disney Company	NONE	N	SEC	Not applicable		14366	997339	997339	169298	22090	0			Yes			0	0	9857
0001398344-12-001163	31-DEC-2011	Matrix 360 Administration LLC	NONE	N	SEC	Not applicable		18746	46946	46946	41276	46946	0			Yes			83696	15	2
0000734846-12-000001	31-DEC-2011	Ameren Services Company	NONE	N	SEC	Not applicable		7291	66359	66359	43669	7263	0			Yes			0	0	131
0001054377-12-000005	31-DEC-2011	Sansima Consulting Group, Inc.	NONE	N	SEC	Not applicable		0	0	0	0	0									0
0000838141-12-000002	31-DEC-2011	Hancock Bank	NONE	Y	FDIC	Yes, filed amendment(s)		2648	33449	33449	18854	698	0			Yes			53427	0	79
0001144204-12-017954	31-DEC-2011	American Stock Transfer & Trust Company, LLC	NONE	Y	SEC	Yes, filed amendment(s)		224732	3034896	3304896	775819	652773	0			Yes			0	0	43218
0001145959-12-000004	31-DEC-2011	UMB Bank & Trust, National Association	ALL	N	OCC	Not applicable															
0000784554-12-000019	31-DEC-2011	Omega Ventures, Inc. under the name OTC COrporate Transfer Service	SOME	N	SEC	Not applicable		273	6570	1	0	3	0			Yes			0	0	0
0000784554-12-000018	31-DEC-2011	Omega Ventures, Inc. under the name OTC COrporate Transfer Service	SOME	N	SEC	Not applicable		273	6570	1	0	3	0			Yes			0	0	0
0000878605-12-000008	31-DEC-2011	Wilson Bank & Trust Company	NONE	N	FDIC	Not applicable		436	3302	2305	1	0	0			Yes			0	0	0
0000027048-12-000003	31-DEC-2011	DST Systems, Inc.	SOME	Y	SEC	Yes, filed amendment(s)		193075	5587908	5587908	4615878	11224	0			Yes			26132435	105002	1091
0000752336-12-000005	31-DEC-2011	United Shareholder Services, Inc.	NONE	N	SEC	Yes, filed amendment(s)		1879	78151	0	72044	0	0			Not Applicable			337020	605	117
0001178677-12-000001	31-DEC-2011	BNY Mellon Trust Company of Illinois	ALL	N	BGFRS	Yes, filed amendment(s)															
0000950123-12-005400	31-DEC-2011	Tri-Continental Corporation	ALL	N	SEC	Yes, filed amendment(s)															
0000854890-12-000003	31-DEC-2011	Boston Trust & Investment Management Company	SOME	N	FDIC	Not applicable		0	73	73	0	0									0
0000019617-12-000177	31-DEC-2011	JP Morgan AG	ALL	N	OCC	Not applicable															
0000019617-12-000174	31-DEC-2011	JP Morgan Chase Bank, National Association	SOME	Y	OCC	Yes, filed amendment(s)		24470	236200	236194	224937	1	0			Yes			2477115	65578	54
0000737074-12-000002	31-DEC-2011	USAA Transfer Agency Company, dba USAA Shareholder Account Services	SOME	N	SEC	Yes, filed amendment(s)		5	3127038	3127038	3077735	0	0			Yes			11289172	15797	80
0000899635-12-000002	31-DEC-2011	Integrity Fund Services, LLC	NONE	N	SEC	Not applicable		10255	171647	63954	348	0	0			Yes			94983	0	0
0000049824-12-000006	31-DEC-2011	Illinois Stock Transfer Company	NONE	N	SEC	Not applicable		5332	70913	78466	7349	204	0			Yes			0	0	1286
0000879089-12-000004	31-DEC-2011	Whitney Bank	ALL	N	FDIC	Yes, filed amendment(s)															
0000868275-12-000003	31-DEC-2011	Saturna Capital Corporation	NONE	N	SEC	Yes, filed amendment(s)		0	100423	100423	100423	0	0			Not Applicable			247796	31	3
0001018490-12-000002	31-DEC-2011	DB Services Americas, Inc.	NONE	Y	SEC	No, failed to file amendment(s)	Response is 'yes' for changes directly related to Registrant. Response is 'no' regarding certain Control Affiliate (CA) events. Registrant filed amendments, but not always within 60 calendar days.	1679	56233	56233	0	0	0			Yes			0	0	0
0000839097-12-000002	31-DEC-2011	Deutsche Bank Trust Company Americas	SOME	Y	BGFRS	No, failed to file amendment(s)	An amendment related to line 11 of TA-1 (an outside organization contracted to perform transfer agent functions in the registrant's name) was filed; however, not within the 60 days.	0	57851	57851	0	0	0			Yes			0	0	111
0000838041-12-000001	31-DEC-2011	HOMETOWN BANK, N.A.	NONE	N	OCC	Not applicable		44	513	535	0	22									1
0000842581-12-000001	31-DEC-2011	Lorain National Bank	NONE	N	OCC	Not applicable		0	1	1	0	0									0
0001114874-12-000001	31-DEC-2011	DSI Properties, Inc.	NONE	N	SEC	Not applicable		409	0	0	0	0									0
0001096906-12-000671	31-DEC-2011	Progressive Transfer Corp.	SOME	N	SEC	Not applicable		229	3215	3215	0	10	0			Yes			0	0	0
0001096906-12-000670	31-DEC-2011	Interwest Transfer Co., Inc.	NONE	Y	SEC	Yes, filed amendment(s)		11188	251337	251337	0	143	0			Yes			0	0	0
0000944496-12-000005	31-DEC-2011	Mellon Investor Services LLC	NONE	Y	SEC	Yes, filed amendment(s)		806749	22813902	22815676	2260260	7041383	0			Yes			0	0	99930
0001144204-12-017661	31-DEC-2011	Johnson Financial, Inc.	NONE	N	SEC	Not applicable		1254	3135	9165	9153	9165	0			Yes			27840	0	0
0001474589-12-000002	31-DEC-2011	Diamond Hill Capital Management, Inc. TA	ALL	N	SEC	Not applicable															
0001104659-12-021933	31-DEC-2011	SCANA Corporation	NONE	N	SEC	Not applicable		3289	29295	29295	21462	1687	0			Yes			0	0	40
0000352083-12-000001	31-DEC-2011	Jersy Transfer and Trust Co.	SOME	Y	SEC	Not applicable		828	73691	73691	0	1	0			Yes			0	0	0
0001104659-12-021912	31-DEC-2011	Security Land and Development Corporation	NONE	N	SEC	Not applicable		8	0	728	0	1									0
0000854922-12-000001	31-DEC-2011	The Bank of New York Mellon	SOME	Y	BGFRS	Yes, filed amendment(s)		11555	564239	564239	16004	1	0			Yes			0	0	7366
0001290497-12-000002	31-DEC-2011	The Farmers Bank of Willards	NONE	N	FDIC	Not applicable		43	979	979	0	0									0
0000795162-12-000001	31-DEC-2011	Northeast Investors Trust	NONE	N	SEC	Not applicable		1633	0	25045	8953	0	0			Yes			61311	187	10
0001049169-12-000002	31-DEC-2011	ALPS Fund Services, Inc.	NONE	N	SEC	Not applicable		309153	488921	488921	442732	488921	0			Not Applicable			3185200	8339	124
0001077223-12-000004	31-DEC-2011	VANTAGEPOINT TRANSFER AGENTS, LLC	SOME	N	SEC	Not applicable		0	66384	66384	0	0	0			Yes			636755	1662	0
0001090027-12-000002	31-DEC-2011	PlanMember Services Corporation	NONE	Y	SEC	Not applicable		0	0	0	0	0									0
0000784554-12-000017	31-DEC-2011	Omega Ventures, Inc. under the name OTC COrporate Transfer Service	SOME	N	SEC	Not applicable		273	6570	1	0	3	0			Yes			0	0	0
0001108200-12-000005	31-DEC-2011	Computershare Investor Services, LLC	ALL	N	SEC	Not applicable															
0000950123-12-005340	31-DEC-2011	DUPREE & COMPANY INC	NONE	N	SEC	Not applicable		0	10260	8050	7617	1166	0			Yes			19205	654	3
0001145892-12-000002	31-DEC-2011	Computershare Trust Company, N.A.	ALL	Y	OCC	Not applicable															
0000883757-12-000003	31-DEC-2011	Equity Financial Trust Company	NONE	Y	SEC	Yes, filed amendment(s)		24132	203596	203596	384	155	0			Yes			0	0	0
0001104659-12-021740	31-DEC-2011	CH2M HILL Companies, Ltd.	NONE	N	SEC	Not applicable		15847	8559	5424	5424	0	0			Yes			0	0	0
0000067590-12-000160	31-DEC-2011	Prudential Mutual Fund Services LLC	SOME	N	SEC	Yes, filed amendment(s)		0	0	0	0	0									336
0001451316-12-000002	31-DEC-2011	Franklin Templeton Investment Services GmbH	NONE	Y	SEC	Yes, filed amendment(s)		450	71303	71303	0	0	0			Yes			748246	2326	38
0000950123-12-005331	31-DEC-2011	CMS Energy Corporation	NONE	N	SEC	Not applicable		2414	42253	42253	32648	410	0			Yes			0	0	98
0001111830-12-000202	31-DEC-2011	Ultimus Fund Solutions, LLC	NONE	Y	SEC	Not applicable		0	378899	379491	282710	0	0			Yes			788231	1349	11
0000735241-12-000002	31-DEC-2011	Presidential Life Corporation	NONE	N	SEC	Not applicable		29	481	0	0	0									0
0001073944-12-000002	31-DEC-2011	UMB Fund Services, Inc.	NONE	Y	SEC	Not applicable		106760	468835	468835	109972	347462	0			Yes			1606056	6462	27
0000853452-12-000002	31-DEC-2011	National Bank of Middlebury	NONE	N	OCC	Not applicable		32	388	388	0	0									1
0001146032-12-000002	31-DEC-2011	Banco Popular de Puerto Rico	SOME	N	BGFRS	Not applicable		2201	26341	26341	10128	197	0			Yes			2462	0	287
0001398344-12-001153	31-DEC-2011	Matrix Capital Group Inc	NONE	N	SEC	Not applicable		0	0	0	0	0									0
0001179706-12-000017	31-DEC-2011	Hewlett Packard Administrative Services LLC	NONE	N	SEC	Not applicable		0	0	0	0	0									0
0000915794-12-000002	31-DEC-2011	VP Distributors, LLC	SOME	N	SEC	Yes, filed amendment(s)		29	322104	322104	0	0	0			Yes			46854	985	105
0000005076-12-000001	31-DEC-2011	American Funds Service Company	NONE	N	SEC	Yes, filed amendment(s)		423402	28202076	28202076	27962851	0	0			Not Applicable			209693408	44353	1619
0000839147-12-000001	31-DEC-2011	The Ohio Valley Bank Company	NONE	N	FDIC	Not applicable		304	2129	2129	1734	40	0			Yes			0	0	45
0000024179-12-000004	31-DEC-2011	Continental Stock Transfer & Trust Company	NONE	Y	SEC	Not applicable		41280	1651855	1651855	8184	12744	0			Yes			0	0	2734
0001139576-12-000001	31-DEC-2011	LEAF Financial Corporation	SOME	N	SEC	Not applicable		290	11606	13559	0	0	0			Yes			0	0	0
0000810704-12-000004	31-DEC-2011	Primerica Shareholder Services, Inc.	SOME	Y	SEC	No, failed to file amendment(s)	Due to human error a TA-1 filing was not made timely to reflect a change in the person acting as CFO and Treasurer as of 09/01/2011.	0	0	0	0	0									0
0001104659-12-021347	31-DEC-2011	Pacific Global Investor Services, Inc.	NONE	N	SEC	Not applicable		1041	7400	7400	6774	0	0			Yes			10673	51	0
0001204459-12-000611	31-DEC-2011	Olympia Trust Company	SOME	Y	SEC	No, failed to file amendment(s)	Missed filing Change of Directors, filed in March 2012.	18986	115826	115826	2009	1717	0			Yes			0	0	0
0000831495-12-000004	31-DEC-2011	Delaware Service Company, Inc.	ALL	N	SEC	Yes, filed amendment(s)															
0001511164-12-000053	31-DEC-2011	Island Capital Management, LLC dba Island Stock Transfer	NONE	Y	SEC	Yes, filed amendment(s)		15195	139054	139054	980	168	0			Yes			0	0	2
0000734611-12-000002	31-DEC-2011	Cincinnati Financial Corporation	NONE	N	SEC	Not applicable		3423	19011	19011	4949	4489	0			Yes			0	0	9
0001145893-12-000008	31-DEC-2011	U.S. Bank National Association	SOME	Y	OCC	Yes, filed amendment(s)		6789	292324	292324	0	0	0			Yes			0	0	708
0000950123-12-005284	31-DEC-2011	Transamerica Fund Services, Inc.	SOME	N	SEC	Yes, filed amendment(s)		6887	464068	464068	447223	239203	0			Not Applicable			2288371	860	121
0000913181-12-000003	31-DEC-2011	Rydex Fund Services, LLC	SOME	Y	SEC	Yes, filed amendment(s)		9577	255222	255222	254407	0	0			Not Applicable			7182505	49812	60
0001285911-12-000016	31-DEC-2011	Dreyfus Transfer, Inc.	SOME	N	SEC	Yes, filed amendment(s)		1082	0	819606	701068	0	0			Yes			47379	0	1075
0000826074-12-000003	31-DEC-2011	Unico American Corporation	NONE	N	SEC	Not applicable		32	348	350	0	2									0
0000891010-12-000001	31-DEC-2011	Over The Counter Stock Transfer, Inc	NONE	N	SEC	Yes, filed amendment(s)		1599	96502	15	0	15	0			Yes			0	0	0
